row,variant,cuts_added_by_family,violations_by_family
moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_300s,plain_fixed_interval_cplex_benchmark,,
moderate_seed3301_low_gini_2_static_tailored_compact_bc_300s,static_tailored_compact_bc,,
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_300s,callback_tailored_bc_gini_auto,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_300s,callback_tailored_bc_paced,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_1200s,callback_tailored_bc_paced,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;benders_inventory_diagnostic=0;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_variable_s_centering=1;callback_subset_inventory_imbalance=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0;callback_support_duration_quad=0;callback_support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_1200s,callback_tailored_bc_paced,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;benders_inventory_diagnostic=0;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_variable_s_centering=1;callback_subset_inventory_imbalance=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0;callback_support_duration_quad=0;callback_support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_3600s,callback_tailored_bc_paced,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;benders_inventory_diagnostic=0;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_variable_s_centering=1;callback_subset_inventory_imbalance=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0;callback_support_duration_quad=0;callback_support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
control_v12_m1_tailored_60s,tailored,gini_interval=1;visit_inventory_linking=1;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
control_v12_m2_tailored_60s,tailored,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
control_high_imbalance_seed3202_tailored_60s,tailored,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
control_tight_T_seed3101_tailored_60s,tailored,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
high_imbalance_seed3201_hard_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,gini_subset_envelope=0;low_gini_l1_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;benders_inventory_diagnostic=0,
high_imbalance_seed3201_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;benders_inventory_diagnostic=0;callback_gini_interval_cap=0;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_variable_s_centering=0;callback_subset_inventory_imbalance=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0;callback_support_duration_quad=0;callback_support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
tight_T_seed3102_hard_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,gini_subset_envelope=0;low_gini_l1_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;benders_inventory_diagnostic=0,
tight_T_seed3102_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;benders_inventory_diagnostic=0;callback_gini_interval_cap=0;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_variable_s_centering=0;callback_subset_inventory_imbalance=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0;callback_support_duration_quad=0;callback_support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3302_hard_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,gini_subset_envelope=0;low_gini_l1_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;benders_inventory_diagnostic=0,
moderate_seed3302_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,gini_subset_envelope=2700;low_gini_l1_centering=41;subset_inventory_imbalance=2700;transfer_cutset=630;benders_inventory_diagnostic=0;callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0;callback_variable_s_centering=0;callback_subset_inventory_imbalance=0;callback_transfer_cutset=0;callback_support_duration_pair=0;callback_support_duration_triple=0;callback_support_duration_quad=0;callback_support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
