row,status,classification,solver_finalization_reached,wrapper_synthesized_final_json,best_bound_available,compact_bc_bound_valid,best_bound_fail_reason,finalization_source,audit_passed
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_300s,wrapper_timeout_valid_checkpoint_bound,converging_bound_progress,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_60s,wrapper_timeout_no_valid_bound,plain_benchmark_no_valid_checkpoint,False,True,False,False,native_cplex_callback_did_not_return_before_parent_timeout,wrapper_error_json,True
moderate_seed3301_low_gini_2_static_tailored_compact_bc_60s,wrapper_timeout_no_valid_bound,mixed_behavior,False,True,False,False,native_cplex_callback_did_not_return_before_parent_timeout,wrapper_error_json,True
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_60s,wrapper_timeout_valid_checkpoint_bound,plateau_weak_bound,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_60s,wrapper_timeout_valid_checkpoint_bound,plateau_weak_bound,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_300s,wrapper_timeout_no_valid_bound,plain_benchmark_no_valid_checkpoint,False,True,False,False,native_cplex_callback_did_not_return_before_parent_timeout,wrapper_error_json,True
moderate_seed3301_low_gini_2_static_tailored_compact_bc_300s,wrapper_timeout_no_valid_bound,mixed_behavior,False,True,False,False,native_cplex_callback_did_not_return_before_parent_timeout,wrapper_error_json,True
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_300s,wrapper_timeout_valid_checkpoint_bound,plateau_weak_bound,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_300s,wrapper_timeout_valid_checkpoint_bound,plateau_weak_bound,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_1200s,interval_unresolved_timeout,plateau_weak_bound,True,False,True,True,none,cplex_time_limit_with_valid_best_bound,True
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_1200s,interval_closed,closed_by_solver_final,True,False,True,True,none,cplex_solver_final,True
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_3600s,interval_unresolved_timeout,plateau_weak_bound,True,False,True,True,none,cplex_time_limit_with_valid_best_bound,True
control_v12_m1_tailored_60s,wrapper_timeout_valid_checkpoint_bound,converging_bound_progress,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
control_v12_m2_tailored_60s,wrapper_timeout_valid_checkpoint_bound,converging_bound_progress,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
control_high_imbalance_seed3202_tailored_60s,wrapper_timeout_valid_checkpoint_bound,converging_bound_progress,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
control_tight_T_seed3101_tailored_60s,wrapper_timeout_valid_checkpoint_bound,converging_bound_progress,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
high_imbalance_seed3201_hard_plain_fixed_interval_cplex_benchmark_60s,interval_closed,closed_by_solver_final,True,False,False,True,best_bound_unavailable_in_cplex_log,solver_final_json,True
high_imbalance_seed3201_hard_callback_tailored_bc_paced_60s,interval_closed,closed_by_solver_final,True,False,True,True,none,cplex_solver_final,True
tight_T_seed3102_hard_plain_fixed_interval_cplex_benchmark_60s,interval_closed,closed_by_solver_final,True,False,False,True,best_bound_unavailable_in_cplex_log,solver_final_json,True
tight_T_seed3102_hard_callback_tailored_bc_paced_60s,interval_closed,closed_by_solver_final,True,False,True,True,none,cplex_solver_final,True
moderate_seed3302_hard_plain_fixed_interval_cplex_benchmark_60s,interval_closed,closed_by_solver_final,True,False,False,True,best_bound_unavailable_in_cplex_log,solver_final_json,True
moderate_seed3302_hard_callback_tailored_bc_paced_60s,interval_closed,closed_by_solver_final,True,False,True,True,none,cplex_solver_final,True
