number,id,arm,path,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
28,D7,cold-seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D7\cold-seed-bounded\result.json,0.6717608136597508,0.27636958983502946,2.6359414921648097,33,178,155,16734.492570533075,True
28,D7,cold-seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D7\cold-seed-bounded\external\initial_witness.json,1.5423858798368395,0.3769173156092946,7.769790428183632,0,0,0,0.0,True
28,D7,cold-seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D7\cold-seed-bounded\external\native_0_witness.json,0.6717608136597508,0.27636958983502946,2.6359414921648097,33,178,155,16734.492570533075,True
29,D7,cold-seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D7\cold-seed-proof-free\result.json,0.6717608136597508,0.27636958983502946,2.6359414921648097,33,178,155,16734.492570533075,True
29,D7,cold-seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D7\cold-seed-proof-free\external\initial_witness.json,1.5423858798368395,0.3769173156092946,7.769790428183632,0,0,0,0.0,True
29,D7,cold-seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D7\cold-seed-proof-free\external\native_0_witness.json,0.6717608136597508,0.27636958983502946,2.6359414921648097,33,178,155,16734.492570533075,True
30,C5,cold-off,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-off\result.json,0.0,0.0,0.0,50,225,150,17956.919102623026,True
30,C5,cold-off,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-off\external\initial_witness.json,1.932558668914593,0.2873211126383692,10.968250375174826,0,0,0,0.0,True
30,C5,cold-off,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-off\external\native_0_witness.json,0.0,0.0,0.0,50,225,150,17956.919102623026,True
31,C5,cold-seed-bounded,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-seed-bounded\result.json,0.0,0.0,0.0,50,225,150,17956.919102623026,True
31,C5,cold-seed-bounded,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-seed-bounded\external\initial_witness.json,1.932558668914593,0.2873211126383692,10.968250375174826,0,0,0,0.0,True
31,C5,cold-seed-bounded,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-seed-bounded\external\native_0_witness.json,0.0,0.0,0.0,50,225,150,17956.919102623026,True
32,C5,cold-seed-proof-free,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-seed-proof-free\result.json,0.0,0.0,0.0,50,225,150,17956.919102623026,True
32,C5,cold-seed-proof-free,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-seed-proof-free\external\initial_witness.json,1.932558668914593,0.2873211126383692,10.968250375174826,0,0,0,0.0,True
32,C5,cold-seed-proof-free,results\gf_budgeted_proof_round65\local_raw\cold_protection_v5\C5\cold-seed-proof-free\external\native_0_witness.json,0.0,0.0,0.0,50,225,150,17956.919102623026,True
33,C6,joint,results\gf_budgeted_proof_round65\local_raw\causal_v5\C6\joint\result.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
33,C6,joint,results\gf_budgeted_proof_round65\local_raw\causal_v5\C6\joint\external\initial_witness.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
34,C6,seed-bounded-joint,results\gf_budgeted_proof_round65\local_raw\causal_v5\C6\seed-bounded-joint\result.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
34,C6,seed-bounded-joint,results\gf_budgeted_proof_round65\local_raw\causal_v5\C6\seed-bounded-joint\external\initial_witness.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
35,C6,candidate,results\gf_budgeted_proof_round65\local_raw\long_v5\C6\candidate\result.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
35,C6,candidate,results\gf_budgeted_proof_round65\local_raw\long_v5\C6\candidate\external\initial_witness.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
36,C6,K1-H,results\gf_budgeted_proof_round65\local_raw\long_v5\C6\K1-H\result.json,1.6891572379504285,0.3490218872904635,8.934235671066434,11,29,29,1765.8127580789653,True
36,C6,K1-H,results\gf_budgeted_proof_round65\local_raw\long_v5\C6\K1-H\external\initial_witness.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
36,C6,K1-H,results\gf_budgeted_proof_round65\local_raw\long_v5\C6\K1-H\external\native_0_witness.json,1.6891572379504285,0.3490218872904635,8.934235671066434,11,29,29,1765.8127580789653,True
37,C6,P-GRB,results\gf_budgeted_proof_round65\local_raw\long_v5\C6\P-GRB\result.json,1.6891007322131455,0.3503259073180406,8.925165499300698,10,31,31,1795.1530930079998,True
38,D7,candidate,results\gf_budgeted_proof_round65\local_raw\long_v5\D7\candidate\result.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
38,D7,candidate,results\gf_budgeted_proof_round65\local_raw\long_v5\D7\candidate\external\initial_witness.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
39,D7,K1-H,results\gf_budgeted_proof_round65\local_raw\long_v5\D7\K1-H\result.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
39,D7,K1-H,results\gf_budgeted_proof_round65\local_raw\long_v5\D7\K1-H\external\initial_witness.json,0.21564407531579494,0.03872267378877319,1.179476010180145,50,228,228,17975.490961810894,True
40,D7,P-GRB,results\gf_budgeted_proof_round65\local_raw\long_v5\D7\P-GRB\result.json,0.27732086593398864,0.09989121031469565,1.1828643707952866,47,209,209,17978.256445183477,True
41,D3,candidate,results\gf_budgeted_proof_round65\local_raw\protection_v5\D3\candidate\result.json,0.04505416158053463,0.02315974870174675,0.14596275252525256,11,30,30,2784.4272564574003,True
41,D3,candidate,results\gf_budgeted_proof_round65\local_raw\protection_v5\D3\candidate\external\initial_witness.json,0.04946868261441946,0.025652504205328552,0.1587745227272727,10,29,29,2800.490870947145,True
41,D3,candidate,results\gf_budgeted_proof_round65\local_raw\protection_v5\D3\candidate\external\native_0_witness.json,0.04505416158053463,0.02315974870174675,0.14596275252525256,11,30,30,2784.4272564574003,True
42,D3,K1-H,results\gf_budgeted_proof_round65\local_raw\protection_v5\D3\K1-H\result.json,0.04505416158053463,0.02315974870174675,0.14596275252525256,11,30,30,2784.4272564574003,True
42,D3,K1-H,results\gf_budgeted_proof_round65\local_raw\protection_v5\D3\K1-H\external\initial_witness.json,0.04946868261441946,0.025652504205328552,0.1587745227272727,10,29,29,2800.490870947145,True
42,D3,K1-H,results\gf_budgeted_proof_round65\local_raw\protection_v5\D3\K1-H\external\native_0_witness.json,0.04505416158053463,0.02315974870174675,0.14596275252525256,11,30,30,2784.4272564574003,True
43,D3,P-GRB,results\gf_budgeted_proof_round65\local_raw\protection_v5\D3\P-GRB\result.json,0.04505416158053463,0.02315974870174675,0.14596275252525256,11,30,30,2784.4272564574003,True
44,D4,candidate,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\candidate\result.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
44,D4,candidate,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\candidate\external\initial_witness.json,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
44,D4,candidate,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\candidate\external\native_0_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
45,D4,K1-H,results\gf_budgeted_proof_round65\local_raw\protection_v5\D4\K1-H\result.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
