number,id,arm,call,state,kind,status,grant_work,grant_seconds,work,seconds,optional_work,core_work,optional_seconds,core_seconds
12,D4,sparse,3,vehicle_1,optional,verified_projection_row,10,15,0.00017497991756756446,0.0015731,0.078357636069024558,0,0.087084099999999984,0
12,D4,sparse,4,vehicle_2,optional,verified_projection_row,10,15,0.00017493011756756444,0.0015456000000000001,0.078532566186592129,0,0.088629699999999978,0
12,D4,sparse,5,L0,optional,projection_overhead,0,0,0,0.0037303000000000162,0.078532566186592129,0,0.092359999999999998,0
12,D4,sparse,6,L0,optional,projection_reopt,10,15,0.089595640034255228,0.037394499999999997,0.16812820622084734,0,0.12975449999999999,0
12,D4,sparse,7,L0,optional,projection_finalization,0,0,0,0.001235,0.16812820622084734,0,0.13098949999999998,0
12,D4,sparse,8,L0.0,optional,canonical_build,0,0,0,0.0366316,0.16812820622084734,0,0.16762109999999997,0
12,D4,sparse,9,L0.0,optional,base_LP_OPTIMAL,10,15,0.14039999302008316,0.065309699999999998,0.3085281992409305,0,0.23293079999999997,0
12,D4,sparse,10,vehicle_0,optional,verified_projection_row,10,15,0.00011158376081081083,0.0015104000000000001,0.30863978300174133,0,0.23444119999999996,0
12,D4,sparse,11,vehicle_1,optional,verified_projection_row,10,15,0.00012954149054054048,0.001389,0.30876932449228189,0,0.23583019999999996,0
12,D4,sparse,12,vehicle_2,optional,verified_projection_row,10,15,6.6680514864864859e-05,0.0021199999999999999,0.30883600500714675,0,0.23795019999999997,0
12,D4,sparse,13,L0.0,optional,projection_overhead,0,0,0,0.0010544999999999929,0.30883600500714675,0,0.23900469999999996,0
12,D4,sparse,14,L0.0,optional,projection_reopt,10,15,0.14762530154868425,0.0559126,0.456461306555831,0,0.29491729999999994,0
12,D4,sparse,15,L0.0,optional,projection_finalization,0,0,0,0.0012706999999999996,0.456461306555831,0,0.29618799999999995,0
12,D4,sparse,16,L0.1,optional,canonical_build,0,0,0,0.0365259,0.456461306555831,0,0.33271389999999995,0
12,D4,sparse,17,L0.1,optional,base_LP_OPTIMAL,10,15,0.15754548944746918,0.078374799999999994,0.61400679600330021,0,0.41108869999999997,0
12,D4,sparse,18,vehicle_0,optional,verified_projection_row,10,15,6.6809404054054053e-05,0.0012853000000000001,0.61407360540735423,0,0.41237399999999996,0
12,D4,sparse,19,vehicle_1,optional,verified_projection_row,10,15,6.6901270270270264e-05,0.0013891000000000001,0.61414050667762454,0,0.41376309999999994,0
12,D4,sparse,20,vehicle_2,optional,verified_projection_row,10,15,6.6692214864864864e-05,0.0020641000000000001,0.61420719889248943,0,0.41582719999999995,0
12,D4,sparse,21,L0.1,optional,projection_overhead,0,0,0,0.00099260000000002142,0.61420719889248943,0,0.41681979999999996,0
12,D4,sparse,22,L0.1,optional,projection_reopt,10,15,0.15263547117696127,0.061100300000000003,0.76684267006945073,0,0.47792009999999996,0
12,D4,sparse,23,L0.1,optional,projection_finalization,0,0,0,0.0014437999999999951,0.76684267006945073,0,0.47936389999999995,0
12,D4,sparse,24,L0|0bdd0cbeec199780ca2bf7ad30938edd9f36f57f31e65f02df8c37ea8f5afa58,core,TIME_LIMIT,0,0,290.54950178036569,174.53078869999999,0.76684267006945073,290.54950178036569,0.47936389999999995,174.53078869999999
13,C6,bounded,0,L0,optional,canonical_build,0,0,0,0.78223140000000002,0,0,0.78223140000000002,0
13,C6,bounded,1,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,optional,WORK_LIMIT,10,15,10.002502555420691,3.3805632999999999,10.002502555420691,0,4.1627947000000001,0
13,C6,bounded,2,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,core,TIME_LIMIT,0,0,434.23705821481491,170.1180363,10.002502555420691,434.23705821481491,4.1627947000000001,170.1180363
14,C6,proof,0,L0,optional,canonical_build,0,0,0,0.78019110000000003,0,0,0.78019110000000003,0
14,C6,proof,1,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,optional,WORK_LIMIT,10,15,10.002502555420691,3.3935651999999998,10.002502555420691,0,4.1737563,0
14,C6,proof,2,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,core,TIME_LIMIT,0,0,434.86225560043732,170.09968739999999,10.002502555420691,434.86225560043732,4.1737563,170.09968739999999
15,C6,sparse,0,L0,optional,canonical_build,0,0,0,0.78022760000000002,0,0,0.78022760000000002,0
15,C6,sparse,1,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,optional,WORK_LIMIT,10,15,10.002502555420691,3.4024440999999999,10.002502555420691,0,4.1826717000000002,0
15,C6,sparse,2,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,core,TIME_LIMIT,0,0,434.12072221880351,169.97613200000001,10.002502555420691,434.12072221880351,4.1826717000000002,169.97613200000001
16,D7,cold-bounded,0,L0,optional,canonical_build,0,0,0,1.1539632,0,0,1.1539632,0
16,D7,cold-bounded,1,L0|a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,optional,OPTIMAL,10,15,7.4466830270386604,2.8244246999999998,7.4466830270386604,0,3.9783878999999995,0
16,D7,cold-bounded,2,L0.0,optional,canonical_build,0,0,0,1.2378195999999999,7.4466830270386604,0,5.2162074999999994,0
16,D7,cold-bounded,3,L0.0|de4911b11fc5ce66081bf3b31bac37e82ceeeaca592f7a61f16aa08624d92556,optional,OPTIMAL,10,15,9.624460082866463,3.1118787999999999,17.071143109905123,0,8.3280862999999989,0
16,D7,cold-bounded,4,L0.1,optional,canonical_build,0,0,0,1.1484182000000001,17.071143109905123,0,9.476504499999999,0
16,D7,cold-bounded,5,L0.1|6c92942409d50f09bd0b2d885424715f1e251c477341b5c443a4a86dbf3c5db5,optional,OPTIMAL,10,15,5.2552985018177418,2.1369767999999998,22.326441611722863,0,11.613481299999998,0
16,D7,cold-bounded,6,L0|a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,core,TIME_LIMIT,0,0,256.99110989726728,105.45143400000001,22.326441611722863,256.99110989726728,11.613481299999998,105.45143400000001
17,D7,cold-proof,0,L0,optional,canonical_build,0,0,0,1.1515586,0,0,1.1515586,0
17,D7,cold-proof,1,L0,optional,base_LP_OPTIMAL,10,15,7.4466830270386604,2.8076387999999999,7.4466830270386604,0,3.9591973999999999,0
17,D7,cold-proof,2,vehicle_0,optional,verified_projection_row,10,15,0.0027691086051997485,0.0097217999999999992,7.4494521356438606,0,3.9689191999999998,0
17,D7,cold-proof,3,vehicle_1,optional,verified_projection_row,10,15,0.012135547030754876,0.013288299999999999,7.4615876826746153,0,3.9822074999999999,0
17,D7,cold-proof,4,vehicle_2,optional,verified_projection_row,10,15,0.0027465642051997486,0.0098078000000000002,7.4643342468798153,0,3.9920152999999998,0
17,D7,cold-proof,5,vehicle_3,optional,verified_projection_row,10,15,0.002754306405199749,0.0097547999999999992,7.4670885532850146,0,4.0017700999999999,0
17,D7,cold-proof,6,L0,optional,projection_overhead,0,0,0,0.049435099999999982,7.4670885532850146,0,4.0512052000000001,0
17,D7,cold-proof,7,L0,optional,projection_reopt,10,15,6.6299091321551211,2.3310632,14.096997685440137,0,6.3822684000000001,0
17,D7,cold-proof,8,L0,optional,projection_finalization,0,0,0,0.0097022999999998305,14.096997685440137,0,6.3919706999999999,0
17,D7,cold-proof,9,L0.0,optional,canonical_build,0,0,0,1.2311350000000001,14.096997685440137,0,7.6231057,0
17,D7,cold-proof,10,L0.0,optional,base_LP_OPTIMAL,10,15,9.624460082866463,3.1048691000000002,23.7214577683066,0,10.7279748,0
17,D7,cold-proof,11,L0.1,optional,canonical_build,0,0,0,1.1551505,23.7214577683066,0,11.8831253,0
17,D7,cold-proof,12,L0.1,optional,base_LP_OPTIMAL,6.2785422316934003,15,5.2552985018177418,2.1411579000000001,28.976756270124341,0,14.024283199999999,0
17,D7,cold-proof,13,L0|a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,core,TIME_LIMIT,0,0,251.13446104409965,103.0273851,28.976756270124341,251.13446104409965,14.024283199999999,103.0273851
18,D7,cold-sparse,0,L0,optional,canonical_build,0,0,0,1.1518842,0,0,1.1518842,0
18,D7,cold-sparse,1,L0,optional,base_LP_OPTIMAL,10,15,7.4466830270386604,2.7822667999999999,7.4466830270386604,0,3.934151,0
18,D7,cold-sparse,2,vehicle_0,optional,verified_projection_row,10,15,0.0027691086051997485,0.0100401,7.4494521356438606,0,3.9441910999999998,0
18,D7,cold-sparse,3,vehicle_1,optional,verified_projection_row,10,15,0.012135547030754876,0.013255899999999999,7.4615876826746153,0,3.9574469999999997,0
18,D7,cold-sparse,4,vehicle_2,optional,verified_projection_row,10,15,0.0027465642051997486,0.0100085,7.4643342468798153,0,3.9674554999999998,0
18,D7,cold-sparse,5,vehicle_3,optional,verified_projection_row,10,15,0.002754306405199749,0.0098604000000000001,7.4670885532850146,0,3.9773158999999998,0
18,D7,cold-sparse,6,L0,optional,projection_overhead,0,0,0,0.049243300000000156,7.4670885532850146,0,4.0265592000000003,0
18,D7,cold-sparse,7,L0,optional,projection_reopt,10,15,6.6299091321551211,2.3353060000000001,14.096997685440137,0,6.3618652000000004,0
18,D7,cold-sparse,8,L0,optional,projection_finalization,0,0,0,0.0073051999999997896,14.096997685440137,0,6.3691703999999998,0
18,D7,cold-sparse,9,L0.0,optional,canonical_build,0,0,0,1.2414905000000001,14.096997685440137,0,7.6106609000000001,0
18,D7,cold-sparse,10,L0.0,optional,base_LP_OPTIMAL,10,15,9.624460082866463,3.1506815000000001,23.7214577683066,0,10.7613424,0
18,D7,cold-sparse,11,L0.1,optional,canonical_build,0,0,0,1.1481773,23.7214577683066,0,11.909519700000001,0
18,D7,cold-sparse,12,L0.1,optional,base_LP_OPTIMAL,6.2785422316934003,15,5.2552985018177418,2.1206621999999999,28.976756270124341,0,14.030181900000001,0
18,D7,cold-sparse,13,L0|a658fd055e72b5242bf933cb7df382c94385f2d52fa64307dccdc9c6e0ef8675,core,TIME_LIMIT,0,0,251.40944292368957,103.0228644,28.976756270124341,251.40944292368957,14.030181900000001,103.0228644
19,C6,bounded,0,L0,optional,canonical_build,0,0,0,0.78751760000000004,0,0,0.78751760000000004,0
19,C6,bounded,1,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,optional,WORK_LIMIT,10,15,10.002502555420691,3.3891867000000002,10.002502555420691,0,4.1767042999999999,0
19,C6,bounded,2,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,core,TIME_LIMIT,0,0,435.43266512017112,169.8393916,10.002502555420691,435.43266512017112,4.1767042999999999,169.8393916
20,C6,seed-bounded,0,L0,optional,canonical_build,0,0,0,0.78875419999999996,0,0,0.78875419999999996,0
20,C6,seed-bounded,1,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,optional,OPTIMAL,30,15,12.429513501998667,4.0943113000000002,12.429513501998667,0,4.8830654999999998,0
20,C6,seed-bounded,2,L0.0,optional,canonical_build,0,0,0,0.8692491,12.429513501998667,0,5.7523146000000001,0
20,C6,seed-bounded,3,L0.0|ed04731ae58648a92696c892dbe1b5731916946a6b200bf141b390cb5eaf0e3f,optional,WORK_LIMIT,17.570486498001333,15,17.571412578528289,5.6946146000000004,30.000926080526956,0,11.4469292,0
20,C6,seed-bounded,4,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,core,TIME_LIMIT,0,0,421.71907627866989,162.66236599999999,30.000926080526956,421.71907627866989,11.4469292,162.66236599999999
21,C6,seed-proof-free,0,L0,optional,canonical_build,0,0,0,0.78411169999999997,0,0,0.78411169999999997,0
21,C6,seed-proof-free,1,L0,optional,base_LP_OPTIMAL,30,15,12.429513501998667,4.0738789999999998,12.429513501998667,0,4.8579907000000002,0
21,C6,seed-proof-free,2,vehicle_0,optional,verified_projection_row,17.570486498001333,15,0.0631842590724951,0.038003700000000001,12.492697761071161,0,4.8959944000000002,0
21,C6,seed-proof-free,3,vehicle_1,optional,verified_projection_row,17.507302238928837,15,0.030814963484473663,0.0253689,12.523512724555635,0,4.9213633000000003,0
21,C6,seed-proof-free,4,vehicle_2,optional,verified_projection_row,17.476487275444363,15,0.047322901817015928,0.029780600000000001,12.57083562637265,0,4.9511438999999999,0
21,C6,seed-proof-free,5,vehicle_3,optional,verified_projection_row,17.429164373627351,15,0.058118487601451059,0.036751100000000002,12.628954113974102,0,4.987895,0
21,C6,seed-proof-free,6,L0,optional,projection_overhead,0,0,0,0.047902600000000239,12.628954113974102,0,5.0357976000000004,0
21,C6,seed-proof-free,7,L0,optional,projection_reopt,17.371045886025897,15,12.402410725190981,3.7921575000000001,25.031364839165082,0,8.8279551000000005,0
21,C6,seed-proof-free,8,L0,optional,projection_finalization,0,0,0,0.0092139999999996114,25.031364839165082,0,8.8371691000000006,0
21,C6,seed-proof-free,9,L0,optional,backend_type_restore_and_finalization,0,0,0,0.0043077999999994177,25.031364839165082,0,8.8414769,0
21,C6,seed-proof-free,10,L0.0,optional,canonical_build,0,0,0,0.86971759999999998,25.031364839165082,0,9.7111944999999995,0
21,C6,seed-proof-free,11,L0.0|ed04731ae58648a92696c892dbe1b5731916946a6b200bf141b390cb5eaf0e3f,optional,WORK_LIMIT,4.9686351608349177,15,4.9696582767794739,1.8160783,30.001023115944555,0,11.527272799999999,0
21,C6,seed-proof-free,12,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,core,TIME_LIMIT,0,0,418.48143197440635,162.6155751,30.001023115944555,418.48143197440635,11.527272799999999,162.6155751
22,C6,seed-bounded,0,L0,optional,canonical_build,0,0,0,0.78564250000000002,0,0,0.78564250000000002,0
22,C6,seed-bounded,1,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,optional,OPTIMAL,30,15,12.429513501998667,4.0921782000000002,12.429513501998667,0,4.8778207,0
22,C6,seed-bounded,2,L0.0,optional,canonical_build,0,0,0,0.86183180000000004,12.429513501998667,0,5.7396525,0
22,C6,seed-bounded,3,L0.0|ed04731ae58648a92696c892dbe1b5731916946a6b200bf141b390cb5eaf0e3f,optional,WORK_LIMIT,17.570486498001333,15,17.571412578528289,5.6459954999999997,30.000926080526956,0,11.385648,0
22,C6,seed-bounded,4,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,core,TIME_LIMIT,0,0,421.53630588274893,162.8645401,30.000926080526956,421.53630588274893,11.385648,162.8645401
23,C6,seed-proof-free,0,L0,optional,canonical_build,0,0,0,0.77880280000000002,0,0,0.77880280000000002,0
23,C6,seed-proof-free,1,L0,optional,base_LP_OPTIMAL,30,15,12.429513501998667,4.0674144999999999,12.429513501998667,0,4.8462173000000002,0
23,C6,seed-proof-free,2,vehicle_0,optional,verified_projection_row,17.570486498001333,15,0.0631842590724951,0.037891599999999998,12.492697761071161,0,4.8841089000000002,0
23,C6,seed-proof-free,3,vehicle_1,optional,verified_projection_row,17.507302238928837,15,0.030814963484473663,0.022657,12.523512724555635,0,4.9067658999999999,0
23,C6,seed-proof-free,4,vehicle_2,optional,verified_projection_row,17.476487275444363,15,0.047322901817015928,0.029894199999999999,12.57083562637265,0,4.9366601000000001,0
23,C6,seed-proof-free,5,vehicle_3,optional,verified_projection_row,17.429164373627351,15,0.058118487601451059,0.035861799999999999,12.628954113974102,0,4.9725219000000003,0
23,C6,seed-proof-free,6,L0,optional,projection_overhead,0,0,0,0.050060399999999894,12.628954113974102,0,5.0225822999999998,0
23,C6,seed-proof-free,7,L0,optional,projection_reopt,17.371045886025897,15,9.5467764383153568,3.0138864999999999,22.175730552289458,0,8.0364687999999997,0
23,C6,seed-proof-free,8,vehicle_0,optional,verified_projection_row,7.8242694477105417,15,0.0023536646791474788,0.0092314000000000007,22.178084216968607,0,8.0457001999999989,0
23,C6,seed-proof-free,9,vehicle_1,optional,verified_projection_row,7.8219157830313932,15,0.0084148663745954606,0.011011099999999999,22.186499083343204,0,8.0567112999999981,0
23,C6,seed-proof-free,10,vehicle_2,optional,verified_projection_row,7.8135009166567961,15,0.016339193684350928,0.012404999999999999,22.202838277027556,0,8.0691162999999975,0
23,C6,seed-proof-free,11,vehicle_3,optional,verified_projection_row,7.7971617229724437,15,0.0035376542979476283,0.0092835000000000001,22.206375931325503,0,8.0783997999999979,0
23,C6,seed-proof-free,12,L0,optional,projection_overhead,0,0,0,0.012585100000001681,22.206375931325503,0,8.0909848999999987,0
23,C6,seed-proof-free,13,L0,optional,projection_reopt,7.7936240686744966,15,0.63985116035731626,0.2046914,22.84622709168282,0,8.2956762999999984,0
23,C6,seed-proof-free,14,L0,optional,projection_finalization,0,0,0,0.014942200000000128,22.84622709168282,0,8.3106184999999986,0
23,C6,seed-proof-free,15,L0,optional,backend_type_restore_and_finalization,0,0,0,0.0059719000000013622,22.84622709168282,0,8.3165903999999991,0
23,C6,seed-proof-free,16,L0.0,optional,canonical_build,0,0,0,0.87352129999999995,22.84622709168282,0,9.1901116999999992,0
23,C6,seed-proof-free,17,L0.0|ed04731ae58648a92696c892dbe1b5731916946a6b200bf141b390cb5eaf0e3f,optional,WORK_LIMIT,7.1537729083171797,15,7.1550286695503527,2.4159351999999998,30.001255761233175,0,11.606046899999999,0
23,C6,seed-proof-free,18,L0|bf2992d220ec3f691ea0d974b8e4f839fc2bcadda0010e3ccb20436ac162209b,core,TIME_LIMIT,0,0,420.18244308132358,162.62793400000001,30.001255761233175,420.18244308132358,11.606046899999999,162.62793400000001
24,D4,seed-bounded,0,L0,optional,canonical_build,0,0,0,0.041397499999999997,0,0,0.041397499999999997,0
24,D4,seed-bounded,1,L0|0bdd0cbeec199780ca2bf7ad30938edd9f36f57f31e65f02df8c37ea8f5afa58,optional,OPTIMAL,30,15,0.077867609219024553,0.048326599999999997,0.077867609219024553,0,0.089724100000000001,0
24,D4,seed-bounded,2,L0.0,optional,canonical_build,0,0,0,0.036277400000000001,0.077867609219024553,0,0.12600149999999999,0
24,D4,seed-bounded,3,L0.0|e3fb9fd505da02ef07042cf18065690398950281cb9f48ea968e6cfc21b89fe5,optional,OPTIMAL,29.922132390780977,15,0.14039999302008316,0.067685099999999998,0.21826760223910771,0,0.19368659999999999,0
24,D4,seed-bounded,4,L0.1,optional,canonical_build,0,0,0,0.036207499999999997,0.21826760223910771,0,0.22989409999999999,0
24,D4,seed-bounded,5,L0.1|356fa1ab2b09ef76b990e9e1f2b92d17ded2fcb3c10ff70f387c99fb1b60836d,optional,OPTIMAL,29.781732397760891,15,0.15754548944746918,0.079553700000000005,0.37581309168657689,0,0.3094478,0
24,D4,seed-bounded,6,L0|0bdd0cbeec199780ca2bf7ad30938edd9f36f57f31e65f02df8c37ea8f5afa58,core,OPTIMAL,0,0,208.57610945706659,126.44585619999999,0.37581309168657689,208.57610945706659,0.3094478,126.44585619999999
25,D4,seed-proof,0,L0,optional,canonical_build,0,0,0,0.0357776,0,0,0.0357776,0
