snapshot_id,snapshot_scope,json_path,elapsed_seconds,callback_count,node_count,best_bound_at_snapshot,objective_value_if_available
dominant_k4_low_gini_1_gs_plus_sp_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_plus_sp_1200s.json,1200.9551014,89355,84070,0.0487233640003,0
dominant_k4_low_gini_1_gs_plus_sp_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_plus_sp_300s.json,330.7749794,24393,20178,0.048388162834,0
dominant_k4_low_gini_1_gs_sp_route_limited_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_sp_route_limited_1200s.json,1201.0202858,91972,86598,0.0487233640003,0
dominant_k4_low_gini_1_gs_sp_route_limited_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_sp_route_limited_300s.json,330.7638567,25796,21519,0.048388162834,0
dominant_k4_low_gini_1_gs_static_plus_callback_upper_only_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_static_plus_callback_upper_only_1200s.json,1200.8934925,102805,97591,0.0487233640003,0
dominant_k4_low_gini_1_gs_static_plus_callback_upper_only_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_static_plus_callback_upper_only_300s.json,330.7582657,27112,22847,0.048388162834,0
dominant_k4_low_gini_1_gs_static_upper_only_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_static_upper_only_1200s.json,1200.8015759,43073,38781,0.0487233640003,0
dominant_k4_low_gini_1_gs_static_upper_only_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_static_upper_only_300s.json,300.6304312,22055,18059,0.048388162834,0
dominant_k4_low_gini_1_gs_static_upper_only_3600s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_static_upper_only_3600s.json,3601.4189269,113801,108898,0.0487638722254,0
dominant_k4_low_gini_1_gs_static_upper_plus_diagnostic_lower_row_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_static_upper_plus_diagnostic_lower_row_1200s.json,1200.9681363,93555,88403,0.0487638722254,0
dominant_k4_low_gini_1_gs_static_upper_plus_diagnostic_lower_row_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_static_upper_plus_diagnostic_lower_row_300s.json,330.7651424,23072,19278,0.0484606246935,0
dominant_k4_low_gini_1_route_cuts_off_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cuts_off_1200s.json,1200.9396339,38415,33485,0.048388162834,0
dominant_k4_low_gini_1_route_cuts_off_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cuts_off_300s.json,330.6618944,18726,14877,0.048388162834,0
dominant_k4_low_gini_1_route_cutset_callback_limited_10s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_callback_limited_10s.json,30.2505178,1163,719,0.0440833510901,0
dominant_k4_low_gini_1_route_cutset_callback_limited_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_callback_limited_1200s.json,1201.2900975,94362,89749,0.0487233640003,0
dominant_k4_low_gini_1_route_cutset_callback_limited_14400s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_callback_limited_14400s.json,7502.8058463,642050,635246,0.0491015319884,0.0491015319884
dominant_k4_low_gini_1_route_cutset_callback_limited_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_callback_limited_300s.json,301.0962159,20550,16935,0.048388162834,0
dominant_k4_low_gini_1_route_cutset_callback_limited_3600s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_callback_limited_3600s.json,3601.3080092,311732,305202,0.0488356546044,0
dominant_k4_low_gini_1_route_cutset_only_high_violation_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_only_high_violation_1200s.json,1200.9540503,38436,33505,0.048388162834,0
dominant_k4_low_gini_1_route_cutset_only_high_violation_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_only_high_violation_300s.json,300.6453652,18735,14890,0.048388162834,0
dominant_k4_low_gini_1_route_cutset_root_limited_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_root_limited_1200s.json,1200.9166408,38440,33509,0.048388162834,0
dominant_k4_low_gini_1_route_cutset_root_limited_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_route_cutset_root_limited_300s.json,300.6956009,18719,14874,0.048388162834,0
dominant_k4_low_gini_1_sp_aggregate_only_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_aggregate_only_1200s.json,1200.8616397,39030,34110,0.048388162834,0
dominant_k4_low_gini_1_sp_aggregate_only_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_aggregate_only_300s.json,330.6261713,18709,14862,0.048388162834,0
dominant_k4_low_gini_1_sp_disaggregated_additive_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_additive_1200s.json,1200.8831901,44149,39341,0.0487233640003,0
dominant_k4_low_gini_1_sp_disaggregated_additive_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_additive_300s.json,330.710427,24263,19792,0.048388162834,0
dominant_k4_low_gini_1_sp_disaggregated_additive_3600s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_additive_3600s.json,3601.4756734,111440,105412,0.0487233640003,0
dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_10s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_10s.json,30.5935201,975,601,0.0438825182402,0
dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_1200s.json,1201.0236658,86240,80617,0.0487233640003,0
dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_300s.json,330.8374667,21515,17083,0.048388162834,0
dominant_k4_low_gini_1_sp_disaggregated_replace_aggregate_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_replace_aggregate_1200s.json,1201.0700966,100339,94954,0.0487233640003,0
dominant_k4_low_gini_1_sp_disaggregated_replace_aggregate_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_replace_aggregate_300s.json,330.9151438,18720,14557,0.0481673985699,0
dominant_k4_low_gini_1_sp_disaggregated_with_tight_e_bounds_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_with_tight_e_bounds_1200s.json,1200.871348,44143,39332,0.0487233640003,0
dominant_k4_low_gini_1_sp_disaggregated_with_tight_e_bounds_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_with_tight_e_bounds_300s.json,330.7310697,24259,19785,0.048388162834,0
dominant_k4_low_gini_1_static_tailored_compact_bc_10s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_10s.json,30.3128238,664,421,0.0436233472663,0
dominant_k4_low_gini_1_static_tailored_compact_bc_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_1200s.json,1200.8251194,39126,34207,0.048388162834,0
dominant_k4_low_gini_1_static_tailored_compact_bc_14400s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_14400s.json,14224.2495562,717480,710438,0.0491015319885,0.0491015319884
dominant_k4_low_gini_1_static_tailored_compact_bc_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.json,330.691499,18595,14744,0.048388162834,0
dominant_k4_low_gini_1_static_tailored_compact_bc_3600s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_3600s.json,3601.4661423,142746,137707,0.0487638722254,0
dominant_k4_low_gini_1_support_cover_callback_limited_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_callback_limited_1200s.json,1201.2439596,67312,62805,0.0487233640003,0
dominant_k4_low_gini_1_support_cover_callback_limited_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_callback_limited_300s.json,331.0072678,21164,17049,0.048388162834,0
dominant_k4_low_gini_1_support_cover_only_high_violation_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_only_high_violation_1200s.json,1200.868696,39268,34357,0.048388162834,0
dominant_k4_low_gini_1_support_cover_only_high_violation_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_only_high_violation_300s.json,300.6598613,19062,15166,0.048388162834,0
dominant_k4_low_gini_1_support_cover_root_limited_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_root_limited_1200s.json,1200.8587196,39280,34366,0.048388162834,0
dominant_k4_low_gini_1_support_cover_root_limited_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_root_limited_300s.json,300.6526555,19069,15173,0.048388162834,0
dominant_k4_low_gini_2_gs_static_upper_only_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_2_gs_static_upper_only_300s.json,330.6352438,10051,8672,0.0489209015481,0
