snapshot_id,snapshot_source,top_fractional_z,top_fractional_x,top_fractional_p,top_fractional_d,top_route_support_station_sets_by_vehicle
dominant_k4_low_gini_1_gs_off_1200s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_gs_off_300s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_gs_plus_sp_1200s:first_relaxation_callback,first_relaxation_callback,z_2_14:0.496384|z_0_11:0.487976|z_1_15:0.470545|z_1_10:0.535269|z_1_12:0.459614|z_1_16:0.562231|z_0_16:0.437769|z_0_1:0.437769,x_2_9_3:0.503616|x_2_9_14:0.496384|x_2_3_9:0.503616|x_0_2_11:0.487976|x_0_11_2:0.487976|x_1_18_10:0.535269|x_1_12_0:0.459614|x_1_0_12:0.459614,p_1_7:1.52707|p_1_10:0.535269|p_1_16:0.562231|p_1_15:4.60048|p_1_2:3.72217|p_0_2:12.2778|p_1_12:1.27437|p_2_14:7.1793,d_2_3:9.49748|d_1_17:5.55716|d_2_18:7.59829|d_2_19:6.39643|d_0_13:9.38869|d_0_5:0.636863|d_1_5:3.67842|d_1_18:0.716997,"k0:z_0_8=1,z_0_2=0.85111,z_0_13=0.67093,z_0_5=0.63686,z_0_11=0.48798,z_0_16=0.43777|k1:z_1_17=1,z_1_18=0.717,z_1_16=0.56223,z_1_10=0.53527,z_1_15=0.47055,z_1_12=0.45961|k2:z_2_9=1,z_2_4=1,z_2_19=0.76843,z_2_3=0.76102,z_2_14=0.49638,z_2_18=0.26201"
dominant_k4_low_gini_1_gs_plus_sp_300s:first_relaxation_callback,first_relaxation_callback,z_2_14:0.496384|z_0_11:0.487976|z_1_15:0.470545|z_1_10:0.535269|z_1_12:0.459614|z_1_16:0.562231|z_0_16:0.437769|z_0_1:0.437769,x_2_9_3:0.503616|x_2_9_14:0.496384|x_2_3_9:0.503616|x_0_2_11:0.487976|x_0_11_2:0.487976|x_1_18_10:0.535269|x_1_12_0:0.459614|x_1_0_12:0.459614,p_1_7:1.52707|p_1_10:0.535269|p_1_16:0.562231|p_1_15:4.60048|p_1_2:3.72217|p_0_2:12.2778|p_1_12:1.27437|p_2_14:7.1793,d_2_3:9.49748|d_1_17:5.55716|d_2_18:7.59829|d_2_19:6.39643|d_0_13:9.38869|d_0_5:0.636863|d_1_5:3.67842|d_1_18:0.716997,"k0:z_0_8=1,z_0_2=0.85111,z_0_13=0.67093,z_0_5=0.63686,z_0_11=0.48798,z_0_16=0.43777|k1:z_1_17=1,z_1_18=0.717,z_1_16=0.56223,z_1_10=0.53527,z_1_15=0.47055,z_1_12=0.45961|k2:z_2_9=1,z_2_4=1,z_2_19=0.76843,z_2_3=0.76102,z_2_14=0.49638,z_2_18=0.26201"
dominant_k4_low_gini_1_gs_sp_route_limited_1200s:first_relaxation_callback,first_relaxation_callback,z_2_14:0.496384|z_0_11:0.487976|z_1_15:0.470545|z_1_10:0.535269|z_1_12:0.459614|z_1_16:0.562231|z_0_16:0.437769|z_0_1:0.437769,x_2_9_3:0.503616|x_2_9_14:0.496384|x_2_3_9:0.503616|x_0_2_11:0.487976|x_0_11_2:0.487976|x_1_18_10:0.535269|x_1_12_0:0.459614|x_1_0_12:0.459614,p_1_7:1.52707|p_1_10:0.535269|p_1_16:0.562231|p_1_15:4.60048|p_1_2:3.72217|p_0_2:12.2778|p_1_12:1.27437|p_2_14:7.1793,d_2_3:9.49748|d_1_17:5.55716|d_2_18:7.59829|d_2_19:6.39643|d_0_13:9.38869|d_0_5:0.636863|d_1_5:3.67842|d_1_18:0.716997,"k0:z_0_8=1,z_0_2=0.85111,z_0_13=0.67093,z_0_5=0.63686,z_0_11=0.48798,z_0_16=0.43777|k1:z_1_17=1,z_1_18=0.717,z_1_16=0.56223,z_1_10=0.53527,z_1_15=0.47055,z_1_12=0.45961|k2:z_2_9=1,z_2_4=1,z_2_19=0.76843,z_2_3=0.76102,z_2_14=0.49638,z_2_18=0.26201"
dominant_k4_low_gini_1_gs_sp_route_limited_300s:first_relaxation_callback,first_relaxation_callback,z_2_14:0.496384|z_0_11:0.487976|z_1_15:0.470545|z_1_10:0.535269|z_1_12:0.459614|z_1_16:0.562231|z_0_16:0.437769|z_0_1:0.437769,x_2_9_3:0.503616|x_2_9_14:0.496384|x_2_3_9:0.503616|x_0_2_11:0.487976|x_0_11_2:0.487976|x_1_18_10:0.535269|x_1_12_0:0.459614|x_1_0_12:0.459614,p_1_7:1.52707|p_1_10:0.535269|p_1_16:0.562231|p_1_15:4.60048|p_1_2:3.72217|p_0_2:12.2778|p_1_12:1.27437|p_2_14:7.1793,d_2_3:9.49748|d_1_17:5.55716|d_2_18:7.59829|d_2_19:6.39643|d_0_13:9.38869|d_0_5:0.636863|d_1_5:3.67842|d_1_18:0.716997,"k0:z_0_8=1,z_0_2=0.85111,z_0_13=0.67093,z_0_5=0.63686,z_0_11=0.48798,z_0_16=0.43777|k1:z_1_17=1,z_1_18=0.717,z_1_16=0.56223,z_1_10=0.53527,z_1_15=0.47055,z_1_12=0.45961|k2:z_2_9=1,z_2_4=1,z_2_19=0.76843,z_2_3=0.76102,z_2_14=0.49638,z_2_18=0.26201"
dominant_k4_low_gini_1_gs_static_plus_callback_upper_only_1200s:first_relaxation_callback,first_relaxation_callback,z_2_7:0.484716|z_1_4:0.546536|z_1_3:0.546536|z_1_2:0.546536|z_1_10:0.546536|z_0_4:0.453464|z_0_3:0.453464|z_0_10:0.453464,x_2_7_8:0.484716|x_2_1_7:0.484716|x_0_19_16:0.546536|x_0_19_4:0.453464|x_0_0_16:0.453464|x_1_4_13:0.546536|x_1_3_10:0.546536|x_1_2_3:0.546536,p_0_16:11.5162|p_2_7:1.52707|p_0_10:0.453464|p_2_15:4.60048|p_1_10:10.3059|p_0_2:0.299854|p_2_12:1.27437|p_0_20:2.27437,d_2_8:10.4847|d_1_4:0.546536|d_0_4:0.453464|d_0_3:0.453464|d_0_8:0.409388|d_1_13:9.38869|d_2_5:3.38129|d_0_17:5.66306,"k0:z_0_9=1,z_0_19=1,z_0_16=1,z_0_18=0.54654,z_0_4=0.45346,z_0_3=0.45346|k1:z_1_13=0.58478,z_1_4=0.54654,z_1_3=0.54654,z_1_2=0.54654,z_1_10=0.54654,z_1_1=0.36167|k2:z_2_15=0.63833,z_2_1=0.63833,z_2_8=0.59061,z_2_7=0.48472,z_2_14=0.35897,z_2_5=0.15361"
dominant_k4_low_gini_1_gs_static_plus_callback_upper_only_300s:first_relaxation_callback,first_relaxation_callback,z_2_7:0.484716|z_1_4:0.546536|z_1_3:0.546536|z_1_2:0.546536|z_1_10:0.546536|z_0_4:0.453464|z_0_3:0.453464|z_0_10:0.453464,x_2_7_8:0.484716|x_2_1_7:0.484716|x_0_19_16:0.546536|x_0_19_4:0.453464|x_0_0_16:0.453464|x_1_4_13:0.546536|x_1_3_10:0.546536|x_1_2_3:0.546536,p_0_16:11.5162|p_2_7:1.52707|p_0_10:0.453464|p_2_15:4.60048|p_1_10:10.3059|p_0_2:0.299854|p_2_12:1.27437|p_0_20:2.27437,d_2_8:10.4847|d_1_4:0.546536|d_0_4:0.453464|d_0_3:0.453464|d_0_8:0.409388|d_1_13:9.38869|d_2_5:3.38129|d_0_17:5.66306,"k0:z_0_9=1,z_0_19=1,z_0_16=1,z_0_18=0.54654,z_0_4=0.45346,z_0_3=0.45346|k1:z_1_13=0.58478,z_1_4=0.54654,z_1_3=0.54654,z_1_2=0.54654,z_1_10=0.54654,z_1_1=0.36167|k2:z_2_15=0.63833,z_2_1=0.63833,z_2_8=0.59061,z_2_7=0.48472,z_2_14=0.35897,z_2_5=0.15361"
dominant_k4_low_gini_1_gs_static_upper_only_1200s:first_relaxation_callback,first_relaxation_callback,z_2_7:0.484716|z_1_4:0.546536|z_1_3:0.546536|z_1_2:0.546536|z_1_10:0.546536|z_0_4:0.453464|z_0_3:0.453464|z_0_10:0.453464,x_2_7_8:0.484716|x_2_1_7:0.484716|x_0_19_16:0.546536|x_0_19_4:0.453464|x_0_0_16:0.453464|x_1_4_13:0.546536|x_1_3_10:0.546536|x_1_2_3:0.546536,p_0_16:11.5162|p_2_7:1.52707|p_0_10:0.453464|p_2_15:4.60048|p_1_10:10.3059|p_0_2:0.299854|p_2_12:1.27437|p_0_20:2.27437,d_2_8:10.4847|d_1_4:0.546536|d_0_4:0.453464|d_0_3:0.453464|d_0_8:0.409388|d_1_13:9.38869|d_2_5:3.38129|d_0_17:5.66306,"k0:z_0_9=1,z_0_19=1,z_0_16=1,z_0_18=0.54654,z_0_4=0.45346,z_0_3=0.45346|k1:z_1_13=0.58478,z_1_4=0.54654,z_1_3=0.54654,z_1_2=0.54654,z_1_10=0.54654,z_1_1=0.36167|k2:z_2_15=0.63833,z_2_1=0.63833,z_2_8=0.59061,z_2_7=0.48472,z_2_14=0.35897,z_2_5=0.15361"
dominant_k4_low_gini_1_gs_static_upper_only_300s:first_relaxation_callback,first_relaxation_callback,z_2_7:0.484716|z_1_4:0.546536|z_1_3:0.546536|z_1_2:0.546536|z_1_10:0.546536|z_0_4:0.453464|z_0_3:0.453464|z_0_10:0.453464,x_2_7_8:0.484716|x_2_1_7:0.484716|x_0_19_16:0.546536|x_0_19_4:0.453464|x_0_0_16:0.453464|x_1_4_13:0.546536|x_1_3_10:0.546536|x_1_2_3:0.546536,p_0_16:11.5162|p_2_7:1.52707|p_0_10:0.453464|p_2_15:4.60048|p_1_10:10.3059|p_0_2:0.299854|p_2_12:1.27437|p_0_20:2.27437,d_2_8:10.4847|d_1_4:0.546536|d_0_4:0.453464|d_0_3:0.453464|d_0_8:0.409388|d_1_13:9.38869|d_2_5:3.38129|d_0_17:5.66306,"k0:z_0_9=1,z_0_19=1,z_0_16=1,z_0_18=0.54654,z_0_4=0.45346,z_0_3=0.45346|k1:z_1_13=0.58478,z_1_4=0.54654,z_1_3=0.54654,z_1_2=0.54654,z_1_10=0.54654,z_1_1=0.36167|k2:z_2_15=0.63833,z_2_1=0.63833,z_2_8=0.59061,z_2_7=0.48472,z_2_14=0.35897,z_2_5=0.15361"
dominant_k4_low_gini_1_gs_static_upper_only_3600s:first_relaxation_callback,first_relaxation_callback,z_2_7:0.484716|z_1_4:0.546536|z_1_3:0.546536|z_1_2:0.546536|z_1_10:0.546536|z_0_4:0.453464|z_0_3:0.453464|z_0_10:0.453464,x_2_7_8:0.484716|x_2_1_7:0.484716|x_0_19_16:0.546536|x_0_19_4:0.453464|x_0_0_16:0.453464|x_1_4_13:0.546536|x_1_3_10:0.546536|x_1_2_3:0.546536,p_0_16:11.5162|p_2_7:1.52707|p_0_10:0.453464|p_2_15:4.60048|p_1_10:10.3059|p_0_2:0.299854|p_2_12:1.27437|p_0_20:2.27437,d_2_8:10.4847|d_1_4:0.546536|d_0_4:0.453464|d_0_3:0.453464|d_0_8:0.409388|d_1_13:9.38869|d_2_5:3.38129|d_0_17:5.66306,"k0:z_0_9=1,z_0_19=1,z_0_16=1,z_0_18=0.54654,z_0_4=0.45346,z_0_3=0.45346|k1:z_1_13=0.58478,z_1_4=0.54654,z_1_3=0.54654,z_1_2=0.54654,z_1_10=0.54654,z_1_1=0.36167|k2:z_2_15=0.63833,z_2_1=0.63833,z_2_8=0.59061,z_2_7=0.48472,z_2_14=0.35897,z_2_5=0.15361"
dominant_k4_low_gini_1_gs_static_upper_plus_diagnostic_lower_row_1200s:first_relaxation_callback,first_relaxation_callback,z_1_11:0.5|z_1_17:0.5|z_2_7:0.507391|z_0_10:0.55892|z_2_10:0.44108|z_0_13:0.55892|z_0_5:0.636863|z_1_13:0.342735,x_1_2_11:0.5|x_1_2_17:0.5|x_1_17_2:0.5|x_1_11_2:0.5|x_2_7_3:0.507391|x_2_0_7:0.507391|x_0_14_5:0.52147|x_1_18_9:0.558357,p_0_16:11.5162|p_2_7:1.52707|p_1_15:4.60048|p_2_10:9.70375|p_0_12:1.27437|p_0_20:2.27437|p_0_14:7.1793|p_1_6:0.105895,d_2_18:1.49436|d_1_1:5.48376|d_1_17:5.55716|d_0_13:0.55892|d_0_5:4.31528|d_0_19:8.31528|d_2_3:9.73646|d_0_11:1.23917,"k0:z_0_8=1,z_0_4=1,z_0_19=1,z_0_16=1,z_0_14=0.76069,z_0_5=0.63686|k1:z_1_2=1,z_1_18=0.76747,z_1_9=0.76747,z_1_11=0.5,z_1_17=0.5,z_1_13=0.34273|k2:z_2_3=1,z_2_7=0.50739,z_2_10=0.44108,z_2_18=0.05153"
dominant_k4_low_gini_1_gs_static_upper_plus_diagnostic_lower_row_300s:first_relaxation_callback,first_relaxation_callback,z_1_11:0.5|z_1_17:0.5|z_2_7:0.507391|z_0_10:0.55892|z_2_10:0.44108|z_0_13:0.55892|z_0_5:0.636863|z_1_13:0.342735,x_1_2_11:0.5|x_1_2_17:0.5|x_1_17_2:0.5|x_1_11_2:0.5|x_2_7_3:0.507391|x_2_0_7:0.507391|x_0_14_5:0.52147|x_1_18_9:0.558357,p_0_16:11.5162|p_2_7:1.52707|p_1_15:4.60048|p_2_10:9.70375|p_0_12:1.27437|p_0_20:2.27437|p_0_14:7.1793|p_1_6:0.105895,d_2_18:1.49436|d_1_1:5.48376|d_1_17:5.55716|d_0_13:0.55892|d_0_5:4.31528|d_0_19:8.31528|d_2_3:9.73646|d_0_11:1.23917,"k0:z_0_8=1,z_0_4=1,z_0_19=1,z_0_16=1,z_0_14=0.76069,z_0_5=0.63686|k1:z_1_2=1,z_1_18=0.76747,z_1_9=0.76747,z_1_11=0.5,z_1_17=0.5,z_1_13=0.34273|k2:z_2_3=1,z_2_7=0.50739,z_2_10=0.44108,z_2_18=0.05153"
