leaf,variant,budget_seconds,top_fractional_z,top_fractional_p,top_fractional_d,node_count,checkpoint_valid_rows
low_gini_1,callback_compatible_source_transfer,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,6876,3
low_gini_1,callback_compatible_source_transfer,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,27499,10
low_gini_1,callback_local_plus_q,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,3410,3
low_gini_1,callback_local_plus_q,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,17197,11
low_gini_1,callback_local_plus_subset,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1613,3
low_gini_1,callback_local_plus_subset,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,11066,10
low_gini_1,callback_q_plus_subset,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1893,3
low_gini_1,callback_q_plus_subset,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,13243,10
low_gini_1,all_low_gini_safe_cuts,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1970,3
low_gini_1,all_low_gini_safe_cuts,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10974,11
low_gini_1,all_low_gini_safe_cuts_denominator,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1971,3
low_gini_1,all_low_gini_safe_cuts_denominator,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10913,10
low_gini_1,s_bucket_diagnostic,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,0,1
low_gini_1,s_bucket_diagnostic,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,0,1
low_gini_1,best_combined_paper_safe,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1967,3
low_gini_1,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10862,11
low_gini_1,plain_fixed_interval_mip,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,16339,0
low_gini_1,static_tailored_compact_bc,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,41065,40
low_gini_1,callback_subset_cross_h_centering,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,48608,40
low_gini_1,callback_local_q_centering,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,102580,40
low_gini_1,all_low_gini_safe_cuts_denominator,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,28867,40
low_gini_1,best_combined_paper_safe,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,29123,40
low_gini_1,plain_fixed_interval_mip,3600,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,136473,0
low_gini_1,best_combined_paper_safe,3600,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,85591,120
low_gini_2,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,15093,0
low_gini_2,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,9561,11
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,20477,0
high_imbalance_seed3201_hard,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,7536,11
tight_T_seed3102_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,20198,0
tight_T_seed3102_hard,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,9917,11
moderate_seed3302_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,7515,0
moderate_seed3302_hard,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,6317,10
