leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L2.0.1.0.0.1.1.0,"L2.0.1.0.0.1.1",7,0.41257850937883089,0.41398183764202423,1,1,0,1,0.64709642290801894,"OPTIMAL",0.26143869405058962,8.9019519999999996
L2.0.1.0.0.1.1.1,"L2.0.1.0.0.1.1",7,0.41398183764202423,0.41538516590521751,1,1,0,1,0.64715326930984096,"OPTIMAL",0.25931718634724615,9.1753067999999995
L2.0.1.0.1.0.0.0,"L2.0.1.0.1.0.0",7,0.41538516590521751,0.41678849416841079,1,1,0,1,0.64721675819062729,"OPTIMAL",0.25660185017235898,9.4489461000000006
L2.0.1.0.1.0.0.1,"L2.0.1.0.1.0.0",7,0.41678849416841079,0.41819182243160413,1,1,0,1,0.64728293167277029,"OPTIMAL",0.25020357894676482,9.7238287000000003
L2.0.1.0.1.0.1.0,"L2.0.1.0.1.0.1",7,0.41819182243160413,0.41959515069479741,1,1,0,1,0.64735178169574548,"OPTIMAL",0.23846212508141662,9.9884298999999999
L2.0.1.0.1.0.1.1,"L2.0.1.0.1.0.1",7,0.41959515069479741,0.4209984789579907,1,1,0,1,0.64742365858477768,"OPTIMAL",0.26076589539258455,10.259744899999999
L2.0.1.0.1.1.0.0,"L2.0.1.0.1.1.0",7,0.4209984789579907,0.42240180722118403,1,1,0,1,0.64750007010943478,"OPTIMAL",0.2701622894304862,10.5377095
L2.0.1.0.1.1.0.1,"L2.0.1.0.1.1.0",7,0.42240180722118403,0.42380513548437732,1,1,0,1,0.64757942464016383,"OPTIMAL",0.23408587956379509,10.8103111
L2.0.1.0.1.1.1.0,"L2.0.1.0.1.1.1",7,0.42380513548437732,0.4252084637475706,1,1,0,1,0.64766141344707207,"OPTIMAL",0.25734802217097791,11.081272
L2.0.1.0.1.1.1.1,"L2.0.1.0.1.1.1",7,0.4252084637475706,0.42661179201076393,1,1,0,1,0.64774602867594633,"OPTIMAL",0.24585284343217573,11.4484712
L2.0.1.0.0.1.0.1.0,"L2.0.1.0.0.1.0.1",8,0.41117518111563761,0.41187684524723422,1,0,1,0,0,"INFEASIBLE",0.7478166382199023,11.8431003
L2.0.1.0.0.1.0.1.1,"L2.0.1.0.0.1.0.1",8,0.41187684524723422,0.41257850937883089,1,1,0,1,0.64753058429447252,"OPTIMAL",0.24251505236223606,12.105384300000001
L2.0.1.0.0.1.1.0.0,"L2.0.1.0.0.1.1.0",8,0.41257850937883089,0.41328017351042756,1,1,0,1,0.64754452985783972,"OPTIMAL",0.25479410974615752,12.3702861
L2.0.1.0.0.1.1.0.1,"L2.0.1.0.0.1.1.0",8,0.41328017351042756,0.41398183764202423,1,1,0,1,0.64755919915457205,"OPTIMAL",0.24872083108240053,12.6375729
L2.0.1.1.0.0.0.0,"L2.0.1.1.0.0.0",7,0.42661179201076393,0.42801512027395727,1,1,0,1,0.64789244159814152,"OPTIMAL",0.26079666521936024,12.9072117
L2.0.1.1.0.0.0.1,"L2.0.1.1.0.0.0",7,0.42801512027395727,0.42941844853715055,1,1,0,1,0.64804556723641782,"OPTIMAL",0.27550805469090284,13.1784628
L2.0.1.0.0.1.1.1.0,"L2.0.1.0.0.1.1.1",8,0.41398183764202423,0.4146835017736209,1,1,0,1,0.64758597094085002,"OPTIMAL",0.25339414031481061,13.4456883
L2.0.1.0.0.1.1.1.1,"L2.0.1.0.0.1.1.1",8,0.4146835017736209,0.41538516590521751,1,1,0,1,0.64761700270304434,"OPTIMAL",0.26645721438537617,13.7454684
L2.0.1.0.1.0.0.0.0,"L2.0.1.0.1.0.0.0",8,0.41538516590521751,0.41608683003681413,1,1,0,1,0.64764870858051804,"OPTIMAL",0.28005592713831962,14.0174112
L2.0.1.0.1.0.0.0.1,"L2.0.1.0.1.0.0.0",8,0.41608683003681413,0.41678849416841079,1,1,0,1,0.64768108755735743,"OPTIMAL",0.25492458823356129,14.288386300000001
L2.0.1.0.1.0.0.1.0,"L2.0.1.0.1.0.0.1",8,0.41678849416841079,0.41749015830000746,1,1,0,1,0.64771413861968863,"OPTIMAL",0.24808371269241197,14.550972
L2.0.1.0.1.0.0.1.1,"L2.0.1.0.1.0.0.1",8,0.41749015830000746,0.41819182243160413,1,1,0,1,0.64774786075567481,"OPTIMAL",0.25853615871532842,14.8226376
L2.0.1.1.0.1.0,"L2.0.1.1.0.1",6,0.43222510506353717,0.43503176158992374,1,1,0,1,0.64839969555890897,"OPTIMAL",0.22903809199822614,15.0880516
L2.0.1.1.0.1.1,"L2.0.1.1.0.1",6,0.43503176158992374,0.43783841811631036,1,1,0,1,0.64916275927619016,"OPTIMAL",0.25230006090292856,15.357238499999999
L2.0.1.0.1.0.1.0.0,"L2.0.1.0.1.0.1.0",8,0.41819182243160413,0.4188934865632008,1,1,0,1,0.64778225295550584,"OPTIMAL",0.2404438846615988,15.620961299999999
L2.0.1.0.1.0.1.0.1,"L2.0.1.0.1.0.1.0",8,0.4188934865632008,0.41959515069479741,1,1,0,1,0.64781731421139988,"OPTIMAL",0.26826840211714836,15.8902453
L2.0.1.0.1.0.1.1.0,"L2.0.1.0.1.0.1.1",8,0.41959515069479741,0.42029681482639403,1,1,0,1,0.64785304351759354,"OPTIMAL",0.25177802123163839,16.165180400000001
L2.0.1.0.1.0.1.1.1,"L2.0.1.0.1.0.1.1",8,0.42029681482639403,0.4209984789579907,1,1,0,1,0.6478896306601144,"OPTIMAL",0.25296440211474563,16.433067999999999
L2.0.1.0.1.1.0.0.0,"L2.0.1.0.1.1.0.0",8,0.4209984789579907,0.42170014308958736,1,1,0,1,0.6479271901419269,"OPTIMAL",0.25707287092352055,16.703699799999999
L2.0.1.0.1.1.0.0.1,"L2.0.1.0.1.1.0.0",8,0.42170014308958736,0.42240180722118403,1,1,0,1,0.64796555174025228,"OPTIMAL",0.24743651128693714,16.963310400000001
L2.0.1.0.1.1.0.1.0,"L2.0.1.0.1.1.0.1",8,0.42240180722118403,0.4231034713527807,1,1,0,1,0.64800457608105033,"OPTIMAL",0.25405694971135134,18.800735800000002
L2.0.1.0.1.1.0.1.1,"L2.0.1.0.1.1.0.1",8,0.4231034713527807,0.42380513548437732,1,1,0,1,0.64804426217154187,"OPTIMAL",0.26365754998602431,19.066226
L2.0.1.0.1.1.1.0.0,"L2.0.1.0.1.1.1.0",8,0.42380513548437732,0.42450679961597393,1,1,0,1,0.64808460902093123,"OPTIMAL",0.25802431748349647,21.653271400000001
L2.0.1.0.1.1.1.0.1,"L2.0.1.0.1.1.1.0",8,0.42450679961597393,0.4252084637475706,1,1,0,1,0.64812561564039828,"OPTIMAL",0.24731919127829169,21.915780099999999
L2.0.1.1.0.0.1.0,"L2.0.1.1.0.0.1",7,0.42941844853715055,0.43082177680034384,1,1,0,1,0.64833931947551271,"OPTIMAL",0.25132159749685318,24.092714099999998
L2.0.1.1.0.0.1.1,"L2.0.1.1.0.0.1",7,0.43082177680034384,0.43222510506353717,1,1,0,1,0.64866073826128534,"OPTIMAL",0.24430133832629083,24.360575900000001
L2.0.1.0.1.1.1.1.0,"L2.0.1.0.1.1.1.1",8,0.4252084637475706,0.42591012787916727,1,1,0,1,0.64816728104309584,"OPTIMAL",0.27911333495254814,24.629539999999999
L2.0.1.0.1.1.1.1.1,"L2.0.1.0.1.1.1.1",8,0.42591012787916727,0.42661179201076393,1,1,0,1,0.64820960424414387,"OPTIMAL",0.28545224019914522,24.906625300000002
L2.0.1.1.0.0.0.0.0,"L2.0.1.1.0.0.0.0",8,0.42661179201076393,0.4273134561423606,1,1,0,1,0.64828178364644606,"OPTIMAL",0.25727175298947813,30.109490699999998
L2.0.1.1.0.0.0.0.1,"L2.0.1.1.0.0.0.0",8,0.4273134561423606,0.42801512027395727,1,1,0,1,0.64835715019679363,"OPTIMAL",0.25159216004743368,30.373741299999999
L2.0.1.1.0.0.0.1.0,"L2.0.1.1.0.0.0.1",8,0.42801512027395727,0.42871678440555394,1,1,0,1,0.64843308276899758,"OPTIMAL",0.25939149543023454,34.2956322
L2.0.1.1.0.0.0.1.1,"L2.0.1.1.0.0.0.1",8,0.42871678440555394,0.42941844853715055,1,1,0,1,0.64850958059608377,"OPTIMAL",0.2674746605436481,34.5643368
L2.0.1.1.0.0.1.0.0,"L2.0.1.1.0.0.1.0",8,0.42941844853715055,0.43012011266874717,1,1,0,1,0.64864788609702828,"OPTIMAL",0.25204191361979528,44.372622300000003
L2.0.1.1.0.0.1.0.1,"L2.0.1.1.0.0.1.0",8,0.43012011266874717,0.43082177680034384,1,1,0,1,0.64880769879847322,"OPTIMAL",0.24500713135346139,44.645881099999997
L2.0.1.1.0.1.0.0,"L2.0.1.1.0.1.0",7,0.43222510506353717,0.43362843332673046,1,1,0,1,0.64898992101842867,"OPTIMAL",0.23559253691580906,47.215933900000003
L2.0.1.1.0.1.0.1,"L2.0.1.1.0.1.0",7,0.43362843332673046,0.43503176158992374,1,1,0,1,0.64933501079459166,"OPTIMAL",0.25091778793462022,47.4741389
