run_id,instance,family,arm,trace_complete,trace_reason,valid_bound_observation_count,auc_status
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,tight_T,C4-CANDIDATE,True,complete_observed_trace,200,observed
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,tight_T,C5-CANDIDATE,True,complete_observed_trace,202,observed
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,moderate,C0-DIAG,True,complete_observed_trace,24,observed
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,moderate,C4-CANDIDATE,True,complete_observed_trace,44,observed
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,moderate,C5-CANDIDATE,True,complete_observed_trace,51,observed
stage2__V12_M1__p_grb__300s,V12_M1,v12,P-GRB,True,complete_native_callback_trace,5096,observed
stage2__V12_M2__p_grb__300s,V12_M2,v12,P-GRB,True,complete_native_callback_trace,17592,observed
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,high_imbalance,P-GRB,True,complete_native_callback_trace,2167,observed
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,moderate,P-GRB,True,complete_native_callback_trace,1802,observed
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,tight_T,P-GRB,True,complete_native_callback_trace,1689,observed
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,high_imbalance,P-GRB,True,complete_native_callback_trace,1938,observed
stage2__high_imbalance_seed4201__c4_candidate__300s,high_imbalance_seed4201,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,2916,observed
stage2__high_imbalance_seed4201__c5_candidate__300s,high_imbalance_seed4201,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,1632,observed
stage2__moderate_seed4302__p_grb__300s,moderate_seed4302,moderate,P-GRB,True,complete_native_callback_trace,1742,observed
stage2__moderate_seed4302__c4_candidate__300s,moderate_seed4302,moderate,C4-CANDIDATE,True,complete_observed_trace,172,observed
stage2__moderate_seed4302__c5_candidate__300s,moderate_seed4302,moderate,C5-CANDIDATE,True,complete_observed_trace,172,observed
stage2__tight_T_seed4101__p_grb__300s,tight_T_seed4101,tight_T,P-GRB,True,complete_native_callback_trace,1780,observed
stage2__tight_T_seed4101__c4_candidate__300s,tight_T_seed4101,tight_T,C4-CANDIDATE,True,complete_observed_trace,239,observed
stage2__tight_T_seed4101__c5_candidate__300s,tight_T_seed4101,tight_T,C5-CANDIDATE,True,complete_observed_trace,238,observed
stage2__high_imbalance_seed5202__p_grb__300s,high_imbalance_seed5202,high_imbalance,P-GRB,True,complete_native_callback_trace,1643,observed
stage2__high_imbalance_seed5202__c4_candidate__300s,high_imbalance_seed5202,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,192,observed
stage2__high_imbalance_seed5202__c5_candidate__300s,high_imbalance_seed5202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,162,observed
stage2__high_imbalance_seed5203__p_grb__300s,high_imbalance_seed5203,high_imbalance,P-GRB,True,complete_native_callback_trace,1990,observed
stage2__high_imbalance_seed5203__c4_candidate__300s,high_imbalance_seed5203,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,1486,observed
stage2__high_imbalance_seed5203__c5_candidate__300s,high_imbalance_seed5203,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,976,observed
stage2__moderate_seed5301__p_grb__300s,moderate_seed5301,moderate,P-GRB,True,complete_native_callback_trace,1726,observed
stage2__moderate_seed5301__c4_candidate__300s,moderate_seed5301,moderate,C4-CANDIDATE,True,complete_observed_trace,843,observed
stage2__moderate_seed5301__c5_candidate__300s,moderate_seed5301,moderate,C5-CANDIDATE,True,complete_observed_trace,233,observed
stage2__moderate_seed5302__p_grb__300s,moderate_seed5302,moderate,P-GRB,True,complete_native_callback_trace,1788,observed
stage2__moderate_seed5302__c4_candidate__300s,moderate_seed5302,moderate,C4-CANDIDATE,True,complete_observed_trace,838,observed
stage2__moderate_seed5302__c5_candidate__300s,moderate_seed5302,moderate,C5-CANDIDATE,True,complete_observed_trace,203,observed
stage2__tight_T_seed5102__p_grb__300s,tight_T_seed5102,tight_T,P-GRB,True,complete_native_callback_trace,1815,observed
stage2__tight_T_seed5103__p_grb__300s,tight_T_seed5103,tight_T,P-GRB,True,complete_native_callback_trace,2006,observed
stage2__tight_T_seed5103__c4_candidate__300s,tight_T_seed5103,tight_T,C4-CANDIDATE,True,complete_observed_trace,145,observed
stage2__tight_T_seed5103__c5_candidate__300s,tight_T_seed5103,tight_T,C5-CANDIDATE,True,complete_observed_trace,148,observed
stage2__high_imbalance_seed6202__p_grb__300s,high_imbalance_seed6202,high_imbalance,P-GRB,True,complete_native_callback_trace,1191,observed
stage2__high_imbalance_seed6202__c4_candidate__300s,high_imbalance_seed6202,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,119,observed
stage2__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,119,observed
stage2__moderate_seed6301__p_grb__300s,moderate_seed6301,moderate,P-GRB,True,complete_native_callback_trace,417,observed
stage2__tight_T_seed6102__p_grb__300s,tight_T_seed6102,tight_T,P-GRB,True,complete_native_callback_trace,911,observed
stage2__tight_T_seed6102__c4_candidate__300s,tight_T_seed6102,tight_T,C4-CANDIDATE,True,complete_observed_trace,45,observed
stage2__tight_T_seed6102__c5_candidate__300s,tight_T_seed6102,tight_T,C5-CANDIDATE,True,complete_observed_trace,53,observed
stage3__V12_M1__s0_cplex__300s,V12_M1,v12,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable
stage3__V12_M1__c3_replica__300s,V12_M1,v12,C3-REPLICA,True,compatible_existing_c3_trace,454,observed
stage3__V12_M2__s0_cplex__300s,V12_M2,v12,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable
stage3__V12_M2__c3_replica__300s,V12_M2,v12,C3-REPLICA,True,compatible_existing_c3_trace,218,observed
stage3__high_imbalance_seed3202__s0_cplex__300s,high_imbalance_seed3202,high_imbalance,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable
stage3__high_imbalance_seed3202__c3_replica__300s,high_imbalance_seed3202,high_imbalance,C3-REPLICA,True,compatible_existing_c3_trace,130,observed
stage3__moderate_seed3302__s0_cplex__300s,moderate_seed3302,moderate,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable
stage3__moderate_seed3302__c3_replica__300s,moderate_seed3302,moderate,C3-REPLICA,True,compatible_existing_c3_trace,230,observed
stage3__tight_T_seed3101__s0_cplex__300s,tight_T_seed3101,tight_T,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable
stage3__tight_T_seed3101__c3_replica__300s,tight_T_seed3101,tight_T,C3-REPLICA,True,compatible_existing_c3_trace,725,observed
stage4__V12_M2__c5_candidate__rep1__300s,V12_M2,v12,C5-CANDIDATE,True,complete_observed_trace,948,observed
stage4__V12_M2__c5_candidate__rep2__300s,V12_M2,v12,C5-CANDIDATE,True,complete_observed_trace,948,observed
stage4__high_imbalance_seed3202__c5_candidate__rep1__300s,high_imbalance_seed3202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,414,observed
stage4__high_imbalance_seed3202__c5_candidate__rep2__300s,high_imbalance_seed3202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,414,observed
stage4__tight_T_seed3101__c5_candidate__rep1__300s,tight_T_seed3101,tight_T,C5-CANDIDATE,True,complete_observed_trace,149,observed
stage4__tight_T_seed3101__c5_candidate__rep2__300s,tight_T_seed3101,tight_T,C5-CANDIDATE,True,complete_observed_trace,149,observed
stage4__tight_T_seed5102__c5_candidate__rep1__300s,tight_T_seed5102,tight_T,C5-CANDIDATE,True,complete_observed_trace,202,observed
stage4__tight_T_seed5102__c5_candidate__rep2__300s,tight_T_seed5102,tight_T,C5-CANDIDATE,True,complete_observed_trace,202,observed
stage4__moderate_seed6301__c5_candidate__rep1__300s,moderate_seed6301,moderate,C5-CANDIDATE,True,complete_observed_trace,51,observed
stage4__moderate_seed6301__c5_candidate__rep2__300s,moderate_seed6301,moderate,C5-CANDIDATE,True,complete_observed_trace,51,observed
