run_id,instance,arm,elapsed_seconds,native_tree_memory_mb,rows_attached_final,rows_avoided_final
eager_gate__V12_M1__eager_only__presolve_on__30s,V12_M1,eager_only,3.67,2.91,169752,0.0
eager_gate__V12_M1__eager_only__presolve_on__30s,V12_M1,eager_only,8.23,5.51,169752,0.0
eager_gate__V12_M1__eager_only__presolve_on__30s,V12_M1,eager_only,12.42,12.71,169752,0.0
eager_gate__V12_M1__eager_only__presolve_on__30s,V12_M1,eager_only,16.22,24.33,169752,0.0
eager_gate__V12_M2__eager_only__presolve_off__30s,V12_M2,eager_only,1.89,0.01,65994,0.0
eager_gate__V12_M2__eager_only__presolve_off__30s,V12_M2,eager_only,3.72,1.32,65994,0.0
eager_gate__V12_M2__eager_only__presolve_off__30s,V12_M2,eager_only,8.14,11.99,65994,0.0
eager_gate__V12_M2__eager_only__presolve_off__30s,V12_M2,eager_only,11.66,23.61,65994,0.0
eager_gate__V12_M2__eager_only__presolve_off__30s,V12_M2,eager_only,15.12,36.82,65994,0.0
eager_gate__V12_M2__eager_only__presolve_on__30s,V12_M2,eager_only,1.78,0.01,64700,0.0
eager_gate__V12_M2__eager_only__presolve_on__30s,V12_M2,eager_only,4.03,1.12,64700,0.0
eager_gate__V12_M2__eager_only__presolve_on__30s,V12_M2,eager_only,8.33,2.23,64700,0.0
eager_gate__V12_M2__eager_only__presolve_on__30s,V12_M2,eager_only,12.84,15.27,64700,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,3.23,0.01,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,6.88,1.08,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,14.64,5.33,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,21.02,24.68,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,26.73,33.48,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,31.44,41.36,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,35.81,54.73,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,40.56,62.24,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,45.39,72.83,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,50.52,77.44,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,57.17,81.9,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,75.42,108.82,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,92.84,126.28,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,109.88,145.12,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,127.28,161.87,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,144.5,172.56,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,162.97,189.93,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,181.55,199.83,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,199.86,218.01,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,217.55,230.14,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,235.59,237.63,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,253.52,253.1,152928,0.0
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,271.31,265.01,152928,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,2.23,0.01,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,5.45,1.23,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,11.59,4.15,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,17.2,11.6,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,22.45,20.17,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,28.83,26.91,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,34.61,39.85,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,39.69,49.91,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,45.14,57.36,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,50.19,89.62,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,56.72,137.03,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,76.09,238.51,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,92.89,323.99,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,110.42,361.77,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,129.34,386.65,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,147.78,403.96,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,167.23,427.84,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,187.0,445.54,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,204.95,461.25,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,225.03,488.69,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,244.16,511.63,224518,0.0
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,262.02,531.66,224518,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,1.95,0.01,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,5.44,2.88,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,11.41,12.85,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,16.94,23.22,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,21.95,47.27,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,26.5,70.33,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,31.11,87.86,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,35.56,105.83,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,39.75,127.08,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,44.0,147.62,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,49.44,166.05,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,66.39,220.59,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,82.86,268.46,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,99.53,321.75,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,116.75,373.94,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,133.27,421.26,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,150.16,468.15,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,166.5,510.65,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,183.03,555.17,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,199.69,598.97,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,216.98,646.79,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,234.0,697.51,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,250.91,736.05,165831,0.0
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,267.83,764.87,165831,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,3.03,0.01,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,7.23,2.06,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,12.78,7.16,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,17.89,12.44,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,23.0,18.17,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,27.98,45.47,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,32.95,57.42,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,38.11,73.69,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,43.95,89.98,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,49.31,96.41,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,54.97,108.84,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,71.16,137.18,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,87.52,162.7,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,104.72,193.96,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,121.94,208.11,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,139.69,225.42,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,157.41,233.32,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,175.44,239.81,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,193.14,252.51,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,211.03,262.61,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,229.92,264.7,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,247.2,296.67,102312,0.0
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,265.14,314.62,102312,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,1.41,0.01,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,3.75,2.5,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,8.89,6.96,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,13.2,14.1,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,17.27,24.33,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,21.44,36.13,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,25.28,46.94,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,29.14,55.5,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,33.09,64.4,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,36.92,70.22,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,41.88,84.08,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,57.39,108.33,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,73.22,116.78,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,88.44,133.11,290636,0.0
forensic__V12_M1__baseline__300s,V12_M1,baseline,103.52,92.19,290636,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,1.73,0.01,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,4.38,1.32,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,9.03,1.8,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,13.01,7.39,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,17.26,18.23,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,21.03,32.69,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,24.76,46.7,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,28.45,55.21,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,32.14,65.92,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,35.75,75.47,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,40.56,86.39,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,54.45,118.39,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,68.92,155.91,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,83.17,188.57,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,97.67,230.7,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,112.72,267.92,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,127.97,294.45,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,143.12,324.87,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,158.31,361.73,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,174.05,391.07,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,189.97,407.78,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,205.81,423.42,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,221.86,430.05,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,237.88,427.39,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,254.36,428.45,183748,0.0
forensic__V12_M2__baseline__300s,V12_M2,baseline,270.86,436.11,183748,0.0
gate__high_imbalance_seed3202__baseline__presolve_off__30s,high_imbalance_seed3202,baseline,4.3,0.01,26904,0.0
gate__high_imbalance_seed3202__baseline__presolve_off__30s,high_imbalance_seed3202,baseline,7.66,1.21,26904,0.0
gate__high_imbalance_seed3202__baseline__presolve_on__30s,high_imbalance_seed3202,baseline,3.28,0.01,24072,0.0
gate__high_imbalance_seed3202__baseline__presolve_on__30s,high_imbalance_seed3202,baseline,6.83,1.08,24072,0.0
gate__moderate_seed3302__baseline__presolve_off__30s,moderate_seed3302,baseline,4.02,0.01,25578,0.0
gate__moderate_seed3302__baseline__presolve_off__30s,moderate_seed3302,baseline,9.05,1.07,25578,0.0
gate__moderate_seed3302__baseline__presolve_on__30s,moderate_seed3302,baseline,2.25,0.01,26999,0.0
gate__moderate_seed3302__baseline__presolve_on__30s,moderate_seed3302,baseline,5.5,1.23,26999,0.0
gate__tight_T_seed3101__baseline__presolve_off__30s,tight_T_seed3101,baseline,2.97,0.01,24514,0.0
gate__tight_T_seed3101__baseline__presolve_off__30s,tight_T_seed3101,baseline,6.89,1.31,24514,0.0
gate__tight_T_seed3101__baseline__presolve_on__30s,tight_T_seed3101,baseline,1.94,0.01,46145,0.0
gate__tight_T_seed3101__baseline__presolve_on__30s,tight_T_seed3101,baseline,5.42,2.88,46145,0.0
gate__tight_T_seed3102__baseline__presolve_off__30s,tight_T_seed3102,baseline,3.97,0.01,26999,0.0
gate__tight_T_seed3102__baseline__presolve_off__30s,tight_T_seed3102,baseline,7.81,1.22,26999,0.0
gate__tight_T_seed3102__baseline__presolve_on__30s,tight_T_seed3102,baseline,3.03,0.01,25578,0.0
gate__tight_T_seed3102__baseline__presolve_on__30s,tight_T_seed3102,baseline,7.28,2.06,25578,0.0
gate__V12_M1__baseline__presolve_off__30s,V12_M1,baseline,1.2,0.01,149176,0.0
gate__V12_M1__baseline__presolve_off__30s,V12_M1,baseline,3.75,2.07,149176,0.0
gate__V12_M1__baseline__presolve_off__30s,V12_M1,baseline,8.78,4.54,149176,0.0
gate__V12_M1__baseline__presolve_off__30s,V12_M1,baseline,12.92,14.9,149176,0.0
gate__V12_M1__baseline__presolve_on__30s,V12_M1,baseline,1.41,0.01,153677,0.0
gate__V12_M1__baseline__presolve_on__30s,V12_M1,baseline,3.78,2.5,153677,0.0
gate__V12_M1__baseline__presolve_on__30s,V12_M1,baseline,8.94,6.96,153677,0.0
gate__V12_M1__baseline__presolve_on__30s,V12_M1,baseline,13.3,14.1,153677,0.0
gate__V12_M2__baseline__presolve_off__30s,V12_M2,baseline,1.92,0.01,61465,0.0
gate__V12_M2__baseline__presolve_off__30s,V12_M2,baseline,4.12,1.5,61465,0.0
gate__V12_M2__baseline__presolve_off__30s,V12_M2,baseline,8.19,5.81,61465,0.0
gate__V12_M2__baseline__presolve_off__30s,V12_M2,baseline,12.02,18.49,61465,0.0
gate__V12_M2__baseline__presolve_on__30s,V12_M2,baseline,1.72,0.01,77640,0.0
gate__V12_M2__baseline__presolve_on__30s,V12_M2,baseline,4.38,1.32,77640,0.0
gate__V12_M2__baseline__presolve_on__30s,V12_M2,baseline,9.08,1.8,77640,0.0
gate__V12_M2__baseline__presolve_on__30s,V12_M2,baseline,13.09,7.39,77640,0.0
mechanism_gate__tight_T_seed3101__root_flow_only__30s,tight_T_seed3101,root_flow_only,6.03,0.01,27399,0.0
mip_gate__high_imbalance_seed3202__mip_start_only__30s,high_imbalance_seed3202,mip_start_only,3.25,0.01,24072,0.0
mip_gate__high_imbalance_seed3202__mip_start_only__30s,high_imbalance_seed3202,mip_start_only,6.89,1.08,24072,0.0
mip_gate__moderate_seed3302__mip_start_only__30s,moderate_seed3302,mip_start_only,1.94,0.01,29841,0.0
mip_gate__moderate_seed3302__mip_start_only__30s,moderate_seed3302,mip_start_only,6.06,2.75,29841,0.0
mip_gate__tight_T_seed3101__mip_start_only__30s,tight_T_seed3101,mip_start_only,1.95,0.01,46145,0.0
mip_gate__tight_T_seed3101__mip_start_only__30s,tight_T_seed3101,mip_start_only,5.45,2.88,46145,0.0
mip_gate__tight_T_seed3102__mip_start_only__30s,tight_T_seed3102,mip_start_only,2.08,0.01,26999,0.0
mip_gate__tight_T_seed3102__mip_start_only__30s,tight_T_seed3102,mip_start_only,5.12,0.55,26999,0.0
mip_gate__V12_M1__mip_start_only__30s,V12_M1,mip_start_only,0.97,0.01,176182,0.0
mip_gate__V12_M1__mip_start_only__30s,V12_M1,mip_start_only,3.28,2.63,176182,0.0
mip_gate__V12_M1__mip_start_only__30s,V12_M1,mip_start_only,8.3,8.21,176182,0.0
mip_gate__V12_M1__mip_start_only__30s,V12_M1,mip_start_only,12.7,25.68,176182,0.0
mip_gate__V12_M1__mip_start_only__30s,V12_M1,mip_start_only,16.83,40.03,176182,0.0
mip_gate__V12_M2__mip_start_only__30s,V12_M2,mip_start_only,1.73,0.01,75699,0.0
mip_gate__V12_M2__mip_start_only__30s,V12_M2,mip_start_only,4.38,1.32,75699,0.0
mip_gate__V12_M2__mip_start_only__30s,V12_M2,mip_start_only,9.14,1.8,75699,0.0
mip_gate__V12_M2__mip_start_only__30s,V12_M2,mip_start_only,13.14,7.39,75699,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,6.95,0.01,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,11.81,0.79,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,20.75,2.49,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,26.3,5.51,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,31.89,10.55,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,36.77,14.95,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,42.05,17.75,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,47.36,19.22,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,52.66,23.26,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,57.33,28.77,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,63.42,31.15,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,80.91,47.31,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,97.91,57.18,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,115.98,74.85,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,133.94,87.33,154344,0.0
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,151.7,94.96,154344,0.0
