run_id,instance,arm,pairs_created,children_first_processed,equal_estimate_pairs,discriminated_pairs,mean_child_delay_seconds,max_child_delay_seconds
gate__V12_M2__baseline__presolve_on__30s,V12_M2,baseline,68,120,68,0,1.0691528358333333,12.254641999999999
mechanism_gate__tight_T_seed3101__root_flow_only__30s,tight_T_seed3101,root_flow_only,17,19,17,0,0.21686192105263177,0.6423247999999999
mip_gate__high_imbalance_seed3202__mip_start_only__30s,high_imbalance_seed3202,mip_start_only,16,17,16,0,0.23781729999999984,1.0851834
mip_gate__moderate_seed3302__mip_start_only__30s,moderate_seed3302,mip_start_only,19,21,19,0,0.5702478238095237,6.1453991
mip_gate__tight_T_seed3101__mip_start_only__30s,tight_T_seed3101,mip_start_only,29,32,29,0,0.2754209125,5.6489706
mip_gate__tight_T_seed3102__mip_start_only__30s,tight_T_seed3102,mip_start_only,17,19,17,0,0.24387815789473688,0.6366032000000001
mip_gate__V12_M1__mip_start_only__30s,V12_M1,mip_start_only,156,274,156,0,0.7962082160583943,10.8738657
mip_gate__V12_M2__mip_start_only__30s,V12_M2,mip_start_only,65,117,65,0,1.0965351649572648,12.2947623
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,67,109,67,0,15.220192247706423,178.1559667
optional__moderate_seed3302__root_flow_only__300s,moderate_seed3302,root_flow_only,109,175,109,0,16.437790989714287,189.720896
optional__tight_T_seed3101__root_flow_only__300s,tight_T_seed3101,root_flow_only,99,165,99,0,9.176941881212121,138.1138168
optional__V12_M2__root_flow_only__300s,V12_M2,root_flow_only,129,249,129,0,10.077035351807229,250.83296790000003
stage1__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,69,108,69,0,11.656869839814815,162.8044663
stage1__high_imbalance_seed3202__factory_delta__300s,high_imbalance_seed3202,factory_delta,64,90,64,0,3.704285821111111,70.5049231
stage1__high_imbalance_seed3202__factory_full__300s,high_imbalance_seed3202,factory_full,69,108,69,0,11.719901698148147,163.2247186
stage1__high_imbalance_seed3202__parent_delta__300s,high_imbalance_seed3202,parent_delta,64,90,64,0,3.6501299733333337,69.09481489999999
stage1__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,116,158,116,0,4.350556924683544,55.6642963
stage1__moderate_seed3302__factory_delta__300s,moderate_seed3302,factory_delta,126,176,126,0,4.703919760227273,73.6993618
stage1__moderate_seed3302__factory_full__300s,moderate_seed3302,factory_full,116,158,116,0,4.314989143670886,55.128770800000005
stage1__moderate_seed3302__parent_delta__300s,moderate_seed3302,parent_delta,126,176,126,0,4.67568975,73.4583853
stage1__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,69,115,69,0,12.493425239999999,162.6703341
stage1__tight_T_seed3101__factory_delta__300s,tight_T_seed3101,factory_delta,121,180,112,9,14.702865524444443,251.64875140000004
stage1__tight_T_seed3101__factory_full__300s,tight_T_seed3101,factory_full,121,184,112,9,13.141650761956521,159.83794840000002
stage1__tight_T_seed3101__parent_delta__300s,tight_T_seed3101,parent_delta,87,143,87,0,10.780958038461538,206.2237418
stage1__V12_M2__baseline__300s,V12_M2,baseline,146,284,146,0,6.757851604929577,125.0522433
stage1__V12_M2__factory_delta__300s,V12_M2,factory_delta,142,277,141,1,7.954821227075812,233.27201480000002
stage1__V12_M2__factory_full__300s,V12_M2,factory_full,146,284,145,1,6.75786422112676,125.5003641
stage1__V12_M2__parent_delta__300s,V12_M2,parent_delta,142,277,142,0,8.03533349530686,235.2638264
stage2__high_imbalance_seed3201__baseline__900s,high_imbalance_seed3201,baseline,84,146,84,0,63.105969218493144,849.9704072
stage2__high_imbalance_seed3201__root_flow_only__900s,high_imbalance_seed3201,root_flow_only,89,164,89,0,42.41750454695122,512.2694306999999
stage2__high_imbalance_seed3202__baseline__900s,high_imbalance_seed3202,baseline,84,137,84,0,49.5961893810219,760.6992693
stage2__high_imbalance_seed3202__root_flow_only__900s,high_imbalance_seed3202,root_flow_only,88,165,88,0,54.499376743030304,696.7819244
stage2__moderate_seed3301__baseline__900s,moderate_seed3301,baseline,163,315,163,0,23.778868043492064,658.6865216
stage2__moderate_seed3301__root_flow_only__900s,moderate_seed3301,root_flow_only,139,251,139,0,31.857004028286852,779.3169016
stage2__moderate_seed3302__baseline__900s,moderate_seed3302,baseline,116,158,116,0,4.326599205696203,55.3903786
stage2__moderate_seed3302__root_flow_only__900s,moderate_seed3302,root_flow_only,154,256,154,0,48.412811793359374,725.2938204
stage2__tight_T_seed3101__baseline__900s,tight_T_seed3101,baseline,86,144,86,0,24.966431929861113,524.733977
stage2__tight_T_seed3101__root_flow_only__900s,tight_T_seed3101,root_flow_only,127,228,127,0,30.687752475,451.2624811
stage2__tight_T_seed3102__baseline__900s,tight_T_seed3102,baseline,61,109,61,0,46.581889406422015,715.0746163
stage2__tight_T_seed3102__root_flow_only__900s,tight_T_seed3102,root_flow_only,117,210,117,0,49.45003465571429,766.4128705
stage2__V12_M1__baseline__900s,V12_M1,baseline,233,452,233,0,2.4306591382743363,55.641539800000004
stage2__V12_M1__root_flow_only__900s,V12_M1,root_flow_only,223,440,223,0,2.391812809545454,63.6365548
stage2__V12_M2__baseline__900s,V12_M2,baseline,148,293,148,0,9.061783553583616,153.7651446
stage2__V12_M2__root_flow_only__900s,V12_M2,root_flow_only,140,273,140,0,13.040075035531135,353.45870180000003
stage3__high_imbalance_seed3202__root_flow_only__1800s,high_imbalance_seed3202,root_flow_only,116,225,116,0,82.90971184711111,1103.4045976
stage3__moderate_seed3302__root_flow_only__1800s,moderate_seed3302,root_flow_only,177,310,177,0,81.57665639483871,1463.5673193
stage3__tight_T_seed3101__root_flow_only__1800s,tight_T_seed3101,root_flow_only,173,319,173,0,68.27888263605016,1521.1566091999998
stage3__tight_T_seed3102__root_flow_only__1800s,tight_T_seed3102,root_flow_only,119,220,119,0,63.54500090409091,881.1096636000001
