comparison,leaf_id,cold_native_status,incremental_native_status,cold_bound,incremental_bound,absolute_bound_difference,terminal_status_identity,objective_identity_within_1e_7,passed
cold_lp_vs_incremental_lp,L0.0.1.0.0.1.1,OPTIMAL,OPTIMAL,0.004239126506174525,0.004239126506174525,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.1,OPTIMAL,OPTIMAL,0.004288595758658668,0.004288595758658668,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.1.0,OPTIMAL,OPTIMAL,0.0042904469462331455,0.0042904469462331455,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.1.0.0,OPTIMAL,OPTIMAL,0.004291249365690923,0.004291249365690923,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.1.0.1,OPTIMAL,OPTIMAL,0.004343660787465644,0.004343660787465644,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.1.1,OPTIMAL,OPTIMAL,0.004394866410198953,0.004394866410198953,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.1.1.0,OPTIMAL,OPTIMAL,0.004395871790600063,0.004395871790600063,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.1.1.1,OPTIMAL,OPTIMAL,0.004448045385480151,0.004448045385480151,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1,OPTIMAL,OPTIMAL,0.004493740612011434,0.004493740612011434,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.0,OPTIMAL,OPTIMAL,0.004497362853839349,0.004497362853839349,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.0.0,OPTIMAL,OPTIMAL,0.004499359224288834,0.004499359224288834,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.0.0.0,OPTIMAL,OPTIMAL,0.0045002167453503245,0.0045002167453503245,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.0.0.1,OPTIMAL,OPTIMAL,0.004552514248032718,0.004552514248032718,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.0.1,OPTIMAL,OPTIMAL,0.004603779574774254,0.004603779574774254,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.0.1.0,OPTIMAL,OPTIMAL,0.004604733085274302,0.004604733085274302,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.0.1.1,OPTIMAL,OPTIMAL,0.004656897166768708,0.004656897166768708,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.1,OPTIMAL,OPTIMAL,0.004706241602510042,0.004706241602510042,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.1.0,OPTIMAL,OPTIMAL,0.004708203114690884,0.004708203114690884,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.1.0.0,OPTIMAL,OPTIMAL,0.0047091079887768535,0.0047091079887768535,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.1.0.1,OPTIMAL,OPTIMAL,0.004761391130971542,0.004761391130971542,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.1.1,OPTIMAL,OPTIMAL,0.004812617790103911,0.004812617790103911,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.1.1.0,OPTIMAL,OPTIMAL,0.004813482008877464,0.004813482008877464,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.1.1.1.1,OPTIMAL,OPTIMAL,0.004865733712173765,0.004865733712173765,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.1,OPTIMAL,OPTIMAL,0.004889331245015507,0.004889331245015507,0.0,True,True,True
cold_lp_vs_incremental_lp,L1,OPTIMAL,OPTIMAL,0.006612366616426456,0.006612366616426456,0.0,True,True,True
cold_lp_vs_incremental_lp,L1.0,OPTIMAL,OPTIMAL,0.006612366616426453,0.006612366616426453,0.0,True,True,True
cold_lp_vs_incremental_lp,L1.1,OPTIMAL,OPTIMAL,0.00851212603072234,0.00851212603072234,0.0,True,True,True
cold_vs_incremental_split_decision,L0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.0.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.0.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.0.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.0.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.1.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.1.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.1.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.0.1.1.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.0.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.0.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.0.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.0.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.1.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.1.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.1.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.0.1.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.0.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.0.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.0.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.0.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.1.0.0,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.1.0.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.1.1,,,,,,,,True
cold_vs_incremental_split_decision,L0.0.1.1.1.1.0,,,,,,,,True
cold_vs_incremental_split_decision,L1,,,,,,,,True
cold_vs_incremental_terminal_mip,L0.0.0.1.0.0.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.0.1.0.0.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.0.1.0.1.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.0.1.0.1.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.0.1.1.0.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.0.1.1.0.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.0.1.1.1.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.0.1.1.1.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.0.0.0.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.0.0.0.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.0.0.1.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.0.0.1.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.0.1.0.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.0.1.0.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.0.1.1.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.0.1.1.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.1.0.0.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.1.0.0.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.1.0.1.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.1.0.1.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.1.1.0.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.1.1.0.1,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L0.0.1.1.1.1.0,INFEASIBLE,INFEASIBLE,,,,True,,True
cold_vs_incremental_terminal_mip,L1,TIME_LIMIT,TIME_LIMIT,,,,True,,True
