stage,instance,arm,repetition,status,optimize_count,presolve_count,root_relaxation_count,lp_optimize_count,terminal_mip_optimize_count,split_count,declined_split_count,final_leaf_count,open_leaf_count,model_count,model_read_count,model_free_count,environment_count,environment_free_count,same_leaf_model_reuse_count,integer_domain_restore_count,work,lp_work,terminal_mip_work,peak_memory_gb,lifecycle_complete
stage2,tight_T_seed6102,P-GRB,0,time_limit,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,681.4307401871132,0,0,0.379951247,True
stage2,V12_M1,P-GRB,0,optimal,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,53.573278258640755,0,0,0.024137234,True
stage2,V12_M2,P-GRB,0,optimal,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,282.0967431295214,0,0,0.038775403,True
stage4,high_imbalance_seed5202,C4-CANDIDATE,1,round29_c4_external_gini_tree_time_limit,35,35,1,34,1,15,0,19,15,34,34,34,1,1,1,34,540.1533408714564,22.187398526675064,517.9659423447813,0.170385825,True
stage4,high_imbalance_seed5202,C4-CANDIDATE,2,round29_c4_external_gini_tree_time_limit,35,35,1,34,1,15,0,19,15,34,34,34,1,1,1,34,540.657577697233,22.187398526675064,518.4701791705579,0.170385825,True
stage4,moderate_seed3302,C4-CANDIDATE,1,round29_c4_external_gini_tree_time_limit,163,163,19,143,20,70,0,74,55,143,143,143,1,1,20,143,512.0854318868555,97.95902256806225,414.1264093187933,0.187795408,True
stage4,moderate_seed3302,C4-CANDIDATE,2,round29_c4_external_gini_tree_time_limit,163,163,20,143,20,70,0,74,55,143,143,143,1,1,20,143,512.8751540514153,97.95902256806225,414.916131483353,0.187795408,True
stage4,moderate_seed6301,C4-CANDIDATE,1,round29_c4_external_gini_tree_time_limit,28,28,2,26,2,11,0,15,10,26,26,26,1,1,2,26,648.8082445610672,442.5240677899971,206.28417677107012,0.672895847,True
stage4,moderate_seed6301,C4-CANDIDATE,2,round29_c4_external_gini_tree_time_limit,28,28,2,26,2,11,0,15,10,26,26,26,1,1,2,26,647.7486513788378,442.5240677899971,205.22458358884074,0.672895847,True
stage4,tight_T_seed3101,C4-CANDIDATE,1,round29_c4_external_gini_tree_time_limit,39,39,9,30,9,9,5,13,3,30,30,30,1,1,9,30,542.0011151570448,23.46352216663424,518.5375929904105,0.183179886,True
stage4,tight_T_seed3101,C4-CANDIDATE,2,round29_c4_external_gini_tree_time_limit,39,39,9,30,9,9,5,13,3,30,30,30,1,1,9,30,542.7864449589161,23.46352216663424,519.3229227922819,0.183179886,True
stage4,V12_M2,C4-CANDIDATE,1,round29_c4_external_gini_tree_time_limit,160,160,48,112,48,54,0,58,4,112,112,112,1,1,48,112,489.9974528532528,30.873837965497756,459.1236148877551,0.115857963,True
stage4,V12_M2,C4-CANDIDATE,2,round29_c4_external_gini_tree_time_limit,160,160,48,112,48,54,0,58,4,112,112,112,1,1,48,112,487.5879918873233,30.873837965497756,456.7141539218256,0.115857963,True
