stage,instance,arm,threshold,time_to_threshold_seconds,reached,final_common_ub_gap
stage2,high_imbalance_seed3202,P-GRB,0.0001,,False,0.38554827886589416
stage2,high_imbalance_seed4201,C3-REPLICA,0.25,33.8698812,True,0.0340754607082744
stage2,high_imbalance_seed4201,C3-REPLICA,0.1,34.6858772,True,0.0340754607082744
stage2,high_imbalance_seed4201,C3-REPLICA,0.05,35.3522072,True,0.0340754607082744
stage2,high_imbalance_seed4201,C3-REPLICA,0.01,,False,0.0340754607082744
stage2,high_imbalance_seed4201,C3-REPLICA,0.001,,False,0.0340754607082744
stage2,high_imbalance_seed4201,C3-REPLICA,0.0001,,False,0.0340754607082744
stage2,high_imbalance_seed4201,C4-CANDIDATE,0.25,,False,0.03392342123369721
stage2,high_imbalance_seed4201,C4-CANDIDATE,0.1,,False,0.03392342123369721
stage2,high_imbalance_seed4201,C4-CANDIDATE,0.05,,False,0.03392342123369721
stage2,high_imbalance_seed4201,C4-CANDIDATE,0.01,,False,0.03392342123369721
stage2,high_imbalance_seed4201,C4-CANDIDATE,0.001,,False,0.03392342123369721
stage2,high_imbalance_seed4201,C4-CANDIDATE,0.0001,,False,0.03392342123369721
stage2,high_imbalance_seed4201,P-GRB,0.25,,False,0.2801075476504728
stage2,high_imbalance_seed4201,P-GRB,0.1,,False,0.2801075476504728
stage2,high_imbalance_seed4201,P-GRB,0.05,,False,0.2801075476504728
stage2,high_imbalance_seed4201,P-GRB,0.01,,False,0.2801075476504728
stage2,high_imbalance_seed4201,P-GRB,0.001,,False,0.2801075476504728
stage2,high_imbalance_seed4201,P-GRB,0.0001,,False,0.2801075476504728
stage2,high_imbalance_seed5202,C3-REPLICA,0.25,37.5209209,True,0.12053594285584271
stage2,high_imbalance_seed5202,C3-REPLICA,0.1,,False,0.12053594285584271
stage2,high_imbalance_seed5202,C3-REPLICA,0.05,,False,0.12053594285584271
stage2,high_imbalance_seed5202,C3-REPLICA,0.01,,False,0.12053594285584271
stage2,high_imbalance_seed5202,C3-REPLICA,0.001,,False,0.12053594285584271
stage2,high_imbalance_seed5202,C3-REPLICA,0.0001,,False,0.12053594285584271
stage2,high_imbalance_seed5202,C4-CANDIDATE,0.25,,False,0.12016832915858479
stage2,high_imbalance_seed5202,C4-CANDIDATE,0.1,,False,0.12016832915858479
stage2,high_imbalance_seed5202,C4-CANDIDATE,0.05,,False,0.12016832915858479
stage2,high_imbalance_seed5202,C4-CANDIDATE,0.01,,False,0.12016832915858479
stage2,high_imbalance_seed5202,C4-CANDIDATE,0.001,,False,0.12016832915858479
stage2,high_imbalance_seed5202,C4-CANDIDATE,0.0001,,False,0.12016832915858479
stage2,high_imbalance_seed5202,P-GRB,0.25,0.31599998474121094,True,0.19842447854834708
stage2,high_imbalance_seed5202,P-GRB,0.1,,False,0.19842447854834708
stage2,high_imbalance_seed5202,P-GRB,0.05,,False,0.19842447854834708
stage2,high_imbalance_seed5202,P-GRB,0.01,,False,0.19842447854834708
stage2,high_imbalance_seed5202,P-GRB,0.001,,False,0.19842447854834708
stage2,high_imbalance_seed5202,P-GRB,0.0001,,False,0.19842447854834708
stage2,high_imbalance_seed5203,C3-REPLICA,0.25,25.7026491,True,0.1389982672832699
stage2,high_imbalance_seed5203,C3-REPLICA,0.1,,False,0.1389982672832699
stage2,high_imbalance_seed5203,C3-REPLICA,0.05,,False,0.1389982672832699
stage2,high_imbalance_seed5203,C3-REPLICA,0.01,,False,0.1389982672832699
stage2,high_imbalance_seed5203,C3-REPLICA,0.001,,False,0.1389982672832699
stage2,high_imbalance_seed5203,C3-REPLICA,0.0001,,False,0.1389982672832699
stage2,high_imbalance_seed5203,C4-CANDIDATE,0.25,,False,0.1385648023050016
stage2,high_imbalance_seed5203,C4-CANDIDATE,0.1,,False,0.1385648023050016
stage2,high_imbalance_seed5203,C4-CANDIDATE,0.05,,False,0.1385648023050016
stage2,high_imbalance_seed5203,C4-CANDIDATE,0.01,,False,0.1385648023050016
stage2,high_imbalance_seed5203,C4-CANDIDATE,0.001,,False,0.1385648023050016
stage2,high_imbalance_seed5203,C4-CANDIDATE,0.0001,,False,0.1385648023050016
stage2,high_imbalance_seed5203,P-GRB,0.25,0.3940000534057617,True,0.15390743181151917
stage2,high_imbalance_seed5203,P-GRB,0.1,,False,0.15390743181151917
stage2,high_imbalance_seed5203,P-GRB,0.05,,False,0.15390743181151917
stage2,high_imbalance_seed5203,P-GRB,0.01,,False,0.15390743181151917
stage2,high_imbalance_seed5203,P-GRB,0.001,,False,0.15390743181151917
stage2,high_imbalance_seed5203,P-GRB,0.0001,,False,0.15390743181151917
stage2,high_imbalance_seed6202,C3-REPLICA,0.25,67.45245510000001,True,0.23098886672493865
stage2,high_imbalance_seed6202,C3-REPLICA,0.1,,False,0.23098886672493865
stage2,high_imbalance_seed6202,C3-REPLICA,0.05,,False,0.23098886672493865
stage2,high_imbalance_seed6202,C3-REPLICA,0.01,,False,0.23098886672493865
stage2,high_imbalance_seed6202,C3-REPLICA,0.001,,False,0.23098886672493865
stage2,high_imbalance_seed6202,C3-REPLICA,0.0001,,False,0.23098886672493865
stage2,high_imbalance_seed6202,C4-CANDIDATE,0.25,,False,0.23361651149509707
stage2,high_imbalance_seed6202,C4-CANDIDATE,0.1,,False,0.23361651149509707
stage2,high_imbalance_seed6202,C4-CANDIDATE,0.05,,False,0.23361651149509707
stage2,high_imbalance_seed6202,C4-CANDIDATE,0.01,,False,0.23361651149509707
stage2,high_imbalance_seed6202,C4-CANDIDATE,0.001,,False,0.23361651149509707
stage2,high_imbalance_seed6202,C4-CANDIDATE,0.0001,,False,0.23361651149509707
stage2,high_imbalance_seed6202,P-GRB,0.25,1.561000108718872,True,0.19295655898683803
stage2,high_imbalance_seed6202,P-GRB,0.1,,False,0.19295655898683803
stage2,high_imbalance_seed6202,P-GRB,0.05,,False,0.19295655898683803
stage2,high_imbalance_seed6202,P-GRB,0.01,,False,0.19295655898683803
stage2,high_imbalance_seed6202,P-GRB,0.001,,False,0.19295655898683803
stage2,high_imbalance_seed6202,P-GRB,0.0001,,False,0.19295655898683803
stage2,moderate_seed3302,P-GRB,0.25,,False,0.33902731397296176
stage2,moderate_seed3302,P-GRB,0.1,,False,0.33902731397296176
stage2,moderate_seed3302,P-GRB,0.05,,False,0.33902731397296176
stage2,moderate_seed3302,P-GRB,0.01,,False,0.33902731397296176
stage2,moderate_seed3302,P-GRB,0.001,,False,0.33902731397296176
stage2,moderate_seed3302,P-GRB,0.0001,,False,0.33902731397296176
stage2,moderate_seed4302,C3-REPLICA,0.25,,False,0.859375
stage2,moderate_seed4302,C3-REPLICA,0.1,,False,0.859375
stage2,moderate_seed4302,C3-REPLICA,0.05,,False,0.859375
stage2,moderate_seed4302,C3-REPLICA,0.01,,False,0.859375
stage2,moderate_seed4302,C3-REPLICA,0.001,,False,0.859375
stage2,moderate_seed4302,C3-REPLICA,0.0001,,False,0.859375
stage2,moderate_seed4302,C4-CANDIDATE,0.25,,False,0.6654441904374504
stage2,moderate_seed4302,C4-CANDIDATE,0.1,,False,0.6654441904374504
stage2,moderate_seed4302,C4-CANDIDATE,0.05,,False,0.6654441904374504
stage2,moderate_seed4302,C4-CANDIDATE,0.01,,False,0.6654441904374504
stage2,moderate_seed4302,C4-CANDIDATE,0.001,,False,0.6654441904374504
stage2,moderate_seed4302,C4-CANDIDATE,0.0001,,False,0.6654441904374504
stage2,moderate_seed4302,P-GRB,0.25,,False,0.9999981836982077
stage2,moderate_seed4302,P-GRB,0.1,,False,0.9999981836982077
stage2,moderate_seed4302,P-GRB,0.05,,False,0.9999981836982077
stage2,moderate_seed4302,P-GRB,0.01,,False,0.9999981836982077
stage2,moderate_seed4302,P-GRB,0.001,,False,0.9999981836982077
stage2,moderate_seed4302,P-GRB,0.0001,,False,0.9999981836982077
stage2,moderate_seed5301,C3-REPLICA,0.25,,False,0.5106330487984344
stage2,moderate_seed5301,C3-REPLICA,0.1,,False,0.5106330487984344
stage2,moderate_seed5301,C3-REPLICA,0.05,,False,0.5106330487984344
stage2,moderate_seed5301,C3-REPLICA,0.01,,False,0.5106330487984344
stage2,moderate_seed5301,C3-REPLICA,0.001,,False,0.5106330487984344
stage2,moderate_seed5301,C3-REPLICA,0.0001,,False,0.5106330487984344
stage2,moderate_seed5301,C4-CANDIDATE,0.25,,False,0.5049677341342017
stage2,moderate_seed5301,C4-CANDIDATE,0.1,,False,0.5049677341342017
stage2,moderate_seed5301,C4-CANDIDATE,0.05,,False,0.5049677341342017
stage2,moderate_seed5301,C4-CANDIDATE,0.01,,False,0.5049677341342017
stage2,moderate_seed5301,C4-CANDIDATE,0.001,,False,0.5049677341342017
stage2,moderate_seed5301,C4-CANDIDATE,0.0001,,False,0.5049677341342017
stage2,moderate_seed5301,P-GRB,0.25,,False,0.5708842983011599
stage2,moderate_seed5301,P-GRB,0.1,,False,0.5708842983011599
stage2,moderate_seed5301,P-GRB,0.05,,False,0.5708842983011599
stage2,moderate_seed5301,P-GRB,0.01,,False,0.5708842983011599
stage2,moderate_seed5301,P-GRB,0.001,,False,0.5708842983011599
stage2,moderate_seed5301,P-GRB,0.0001,,False,0.5708842983011599
stage2,moderate_seed5302,C3-REPLICA,0.25,,False,0.847654609770937
stage2,moderate_seed5302,C3-REPLICA,0.1,,False,0.847654609770937
stage2,moderate_seed5302,C3-REPLICA,0.05,,False,0.847654609770937
stage2,moderate_seed5302,C3-REPLICA,0.01,,False,0.847654609770937
stage2,moderate_seed5302,C3-REPLICA,0.001,,False,0.847654609770937
stage2,moderate_seed5302,C3-REPLICA,0.0001,,False,0.847654609770937
stage2,moderate_seed5302,C4-CANDIDATE,0.25,,False,0.8469760253233953
stage2,moderate_seed5302,C4-CANDIDATE,0.1,,False,0.8469760253233953
stage2,moderate_seed5302,C4-CANDIDATE,0.05,,False,0.8469760253233953
stage2,moderate_seed5302,C4-CANDIDATE,0.01,,False,0.8469760253233953
stage2,moderate_seed5302,C4-CANDIDATE,0.001,,False,0.8469760253233953
stage2,moderate_seed5302,C4-CANDIDATE,0.0001,,False,0.8469760253233953
stage2,moderate_seed5302,P-GRB,0.25,,False,0.7508260948196747
stage2,moderate_seed5302,P-GRB,0.1,,False,0.7508260948196747
stage2,moderate_seed5302,P-GRB,0.05,,False,0.7508260948196747
stage2,moderate_seed5302,P-GRB,0.01,,False,0.7508260948196747
stage2,moderate_seed5302,P-GRB,0.001,,False,0.7508260948196747
stage2,moderate_seed5302,P-GRB,0.0001,,False,0.7508260948196747
stage2,moderate_seed6301,P-GRB,0.25,,False,0.28651923771503923
stage2,moderate_seed6301,P-GRB,0.1,,False,0.28651923771503923
stage2,moderate_seed6301,P-GRB,0.05,,False,0.28651923771503923
stage2,moderate_seed6301,P-GRB,0.01,,False,0.28651923771503923
stage2,moderate_seed6301,P-GRB,0.001,,False,0.28651923771503923
stage2,moderate_seed6301,P-GRB,0.0001,,False,0.28651923771503923
stage2,tight_T_seed3101,P-GRB,0.25,,False,0.8193193186959785
stage2,tight_T_seed3101,P-GRB,0.1,,False,0.8193193186959785
stage2,tight_T_seed3101,P-GRB,0.05,,False,0.8193193186959785
stage2,tight_T_seed3101,P-GRB,0.01,,False,0.8193193186959785
stage2,tight_T_seed3101,P-GRB,0.001,,False,0.8193193186959785
stage2,tight_T_seed3101,P-GRB,0.0001,,False,0.8193193186959785
stage2,tight_T_seed4101,C3-REPLICA,0.25,,False,0.25490661730083203
stage2,tight_T_seed4101,C3-REPLICA,0.1,,False,0.25490661730083203
stage2,tight_T_seed4101,C3-REPLICA,0.05,,False,0.25490661730083203
stage2,tight_T_seed4101,C3-REPLICA,0.01,,False,0.25490661730083203
stage2,tight_T_seed4101,C3-REPLICA,0.001,,False,0.25490661730083203
stage2,tight_T_seed4101,C3-REPLICA,0.0001,,False,0.25490661730083203
stage2,tight_T_seed4101,C4-CANDIDATE,0.25,,False,0.4631363163484407
stage2,tight_T_seed4101,C4-CANDIDATE,0.1,,False,0.4631363163484407
stage2,tight_T_seed4101,C4-CANDIDATE,0.05,,False,0.4631363163484407
stage2,tight_T_seed4101,C4-CANDIDATE,0.01,,False,0.4631363163484407
stage2,tight_T_seed4101,C4-CANDIDATE,0.001,,False,0.4631363163484407
stage2,tight_T_seed4101,C4-CANDIDATE,0.0001,,False,0.4631363163484407
stage2,tight_T_seed4101,P-GRB,0.25,,False,0.3547553121574414
stage2,tight_T_seed4101,P-GRB,0.1,,False,0.3547553121574414
stage2,tight_T_seed4101,P-GRB,0.05,,False,0.3547553121574414
stage2,tight_T_seed4101,P-GRB,0.01,,False,0.3547553121574414
stage2,tight_T_seed4101,P-GRB,0.001,,False,0.3547553121574414
stage2,tight_T_seed4101,P-GRB,0.0001,,False,0.3547553121574414
stage2,tight_T_seed5102,C3-REPLICA,0.25,,False,0.2957022782677582
stage2,tight_T_seed5102,C3-REPLICA,0.1,,False,0.2957022782677582
stage2,tight_T_seed5102,C3-REPLICA,0.05,,False,0.2957022782677582
stage2,tight_T_seed5102,C3-REPLICA,0.01,,False,0.2957022782677582
stage2,tight_T_seed5102,C3-REPLICA,0.001,,False,0.2957022782677582
stage2,tight_T_seed5102,C3-REPLICA,0.0001,,False,0.2957022782677582
stage2,tight_T_seed5102,C4-CANDIDATE,0.25,,False,0.4247819940641107
stage2,tight_T_seed5102,C4-CANDIDATE,0.1,,False,0.4247819940641107
stage2,tight_T_seed5102,C4-CANDIDATE,0.05,,False,0.4247819940641107
stage2,tight_T_seed5102,C4-CANDIDATE,0.01,,False,0.4247819940641107
stage2,tight_T_seed5102,C4-CANDIDATE,0.001,,False,0.4247819940641107
stage2,tight_T_seed5102,C4-CANDIDATE,0.0001,,False,0.4247819940641107
stage2,tight_T_seed5102,P-GRB,0.25,,False,0.3766202187495763
stage2,tight_T_seed5102,P-GRB,0.1,,False,0.3766202187495763
stage2,tight_T_seed5102,P-GRB,0.05,,False,0.3766202187495763
stage2,tight_T_seed5102,P-GRB,0.01,,False,0.3766202187495763
stage2,tight_T_seed5102,P-GRB,0.001,,False,0.3766202187495763
stage2,tight_T_seed5102,P-GRB,0.0001,,False,0.3766202187495763
stage2,tight_T_seed5103,C3-REPLICA,0.25,,False,0.3555420834214354
stage2,tight_T_seed5103,C3-REPLICA,0.1,,False,0.3555420834214354
stage2,tight_T_seed5103,C3-REPLICA,0.05,,False,0.3555420834214354
stage2,tight_T_seed5103,C3-REPLICA,0.01,,False,0.3555420834214354
stage2,tight_T_seed5103,C3-REPLICA,0.001,,False,0.3555420834214354
stage2,tight_T_seed5103,C3-REPLICA,0.0001,,False,0.3555420834214354
stage2,tight_T_seed5103,C4-CANDIDATE,0.25,,False,0.4890994905948197
stage2,tight_T_seed5103,C4-CANDIDATE,0.1,,False,0.4890994905948197
stage2,tight_T_seed5103,C4-CANDIDATE,0.05,,False,0.4890994905948197
stage2,tight_T_seed5103,C4-CANDIDATE,0.01,,False,0.4890994905948197
stage2,tight_T_seed5103,C4-CANDIDATE,0.001,,False,0.4890994905948197
stage2,tight_T_seed5103,C4-CANDIDATE,0.0001,,False,0.4890994905948197
stage2,tight_T_seed5103,P-GRB,0.25,,False,0.466515036960781
stage2,tight_T_seed5103,P-GRB,0.1,,False,0.466515036960781
stage2,tight_T_seed5103,P-GRB,0.05,,False,0.466515036960781
stage2,tight_T_seed5103,P-GRB,0.01,,False,0.466515036960781
stage2,tight_T_seed5103,P-GRB,0.001,,False,0.466515036960781
stage2,tight_T_seed5103,P-GRB,0.0001,,False,0.466515036960781
stage2,tight_T_seed6102,C3-REPLICA,0.25,216.1233193,True,0.193678706043783
stage2,tight_T_seed6102,C3-REPLICA,0.1,,False,0.193678706043783
stage2,tight_T_seed6102,C3-REPLICA,0.05,,False,0.193678706043783
stage2,tight_T_seed6102,C3-REPLICA,0.01,,False,0.193678706043783
stage2,tight_T_seed6102,C3-REPLICA,0.001,,False,0.193678706043783
stage2,tight_T_seed6102,C3-REPLICA,0.0001,,False,0.193678706043783
stage2,tight_T_seed6102,C4-CANDIDATE,0.25,,False,0.19244689255943145
stage2,tight_T_seed6102,C4-CANDIDATE,0.1,,False,0.19244689255943145
stage2,tight_T_seed6102,C4-CANDIDATE,0.05,,False,0.19244689255943145
stage2,tight_T_seed6102,C4-CANDIDATE,0.01,,False,0.19244689255943145
stage2,tight_T_seed6102,C4-CANDIDATE,0.001,,False,0.19244689255943145
stage2,tight_T_seed6102,C4-CANDIDATE,0.0001,,False,0.19244689255943145
stage2,tight_T_seed6102,P-GRB,0.25,,False,0.25406994696366914
stage2,tight_T_seed6102,P-GRB,0.1,,False,0.25406994696366914
stage2,tight_T_seed6102,P-GRB,0.05,,False,0.25406994696366914
stage2,tight_T_seed6102,P-GRB,0.01,,False,0.25406994696366914
stage2,tight_T_seed6102,P-GRB,0.001,,False,0.25406994696366914
stage2,tight_T_seed6102,P-GRB,0.0001,,False,0.25406994696366914
stage2,V12_M1,P-GRB,0.25,0.6489999294281006,True,1.2432488375612486e-15
stage2,V12_M1,P-GRB,0.1,8.728999853134155,True,1.2432488375612486e-15
stage2,V12_M1,P-GRB,0.05,20.82200002670288,True,1.2432488375612486e-15
stage2,V12_M1,P-GRB,0.01,33.1800000667572,True,1.2432488375612486e-15
stage2,V12_M1,P-GRB,0.001,34.800999879837036,True,1.2432488375612486e-15
stage2,V12_M1,P-GRB,0.0001,34.819000005722046,True,1.2432488375612486e-15
stage2,V12_M2,P-GRB,0.25,6.4049999713897705,True,0.0
stage2,V12_M2,P-GRB,0.1,10.684000015258789,True,0.0
stage2,V12_M2,P-GRB,0.05,39.681999921798706,True,0.0
stage2,V12_M2,P-GRB,0.01,152.69299983978271,True,0.0
stage2,V12_M2,P-GRB,0.001,169.2099997997284,True,0.0
stage2,V12_M2,P-GRB,0.0001,169.3090000152588,True,0.0
