stage,instance,arm,repetition,instance_parsing_complete_seconds,preprocessing_complete_seconds,hga_start_seconds,hga_generation_complete_seconds,hga_extraction_complete_seconds,hga_decode_complete_seconds,verification_complete_seconds,pre_exact_elapsed_seconds,exact_phase_start_seconds,first_external_event_seconds,first_model_build_seconds,first_lp_launch_seconds,external_phase_seconds,serialization_seconds,process_exit_seconds,phase_event_count
stage2,high_imbalance_seed4201,P-GRB,0,0.0026088,,,,,,,295.0235615,,,,,0.0,0.0009987999999907515,295.0246578,7
stage2,high_imbalance_seed5202,C3-REPLICA,0,0.0019209,0.0021509,0.0029116,13.8882569,13.8909148,13.8914967,13.8916767,35.7252509,35.7252509,35.745632,35.756456,35.8603351,259.3332901,0.0010368000000084976,295.0596694,37
stage2,high_imbalance_seed5202,C4-CANDIDATE,0,0.0019515,0.0021849,0.0025741,14.0027014,14.005167,14.0057208,14.0059027,14.0114946,14.0114946,14.0200646,14.0202116,14.1286731,281.0191682,0.0015356000000110726,295.0323966,29
stage2,high_imbalance_seed5202,P-GRB,0,0.0018814,,,,,,,295.0245533,,,,,0.0,0.0010111000000279091,295.0256604,7
stage2,high_imbalance_seed5203,C3-REPLICA,0,0.0018637,0.0020983,0.0028206,14.32254,14.3254381,14.3259404,14.3261941,24.4871261,24.4871261,24.5051532,24.5154394,24.6166103,270.5653415,0.002103599999998096,295.0552862,37
stage2,high_imbalance_seed5203,C4-CANDIDATE,0,0.0019093,0.0021533,0.0025119,14.303189,14.3054319,14.3060447,14.3062177,14.3120811,14.3120811,14.320206,14.3207527,14.4284601,280.7167284,0.0017020999999886044,295.0308143,29
stage2,high_imbalance_seed5203,P-GRB,0,0.0020811,,,,,,,295.0200492,,,,,0.0,0.0012518999999997504,295.0213976,7
stage2,high_imbalance_seed6202,C3-REPLICA,0,0.0021394,0.0024281,0.0028203,21.8850805,21.8878022,21.8884216,21.8886594,42.854703,42.854703,42.9895251,43.1134109,44.1032739,252.4439642,0.0017154999999888787,295.3005828,37
stage2,high_imbalance_seed6202,C4-CANDIDATE,0,0.0024083,0.0027067,0.0030564,21.5876145,21.5902416,21.5908753,21.5910664,21.6018378,21.6018378,21.609574,21.6097326,22.7313901,273.5663356,0.0009350000000267755,295.169187,29
stage2,high_imbalance_seed6202,P-GRB,0,0.0029456,,,,,,,295.0249566,,,,,0.0,0.0008765000000039436,295.0259186,7
stage2,moderate_seed3302,P-GRB,0,0.0020159,,,,,,,295.0212311,,,,,0.0,0.0010465999999951237,295.0223915,7
stage2,moderate_seed4302,C3-REPLICA,0,0.0019966,0.0022349,0.0032287,19.7955652,19.7987049,19.8001835,19.8006718,36.2733802,36.2733802,36.2961523,36.3116443,36.4253194,258.7742432,0.0016544000000067172,295.0495357,37
stage2,moderate_seed4302,C4-CANDIDATE,0,0.0019243,0.0021559,0.0025441,19.2770686,19.2794368,19.2801947,19.2804528,19.2876098,19.2876098,19.296276,19.2964376,19.4108988,275.7377971,0.0009739999999851534,295.0265159,29
stage2,moderate_seed4302,P-GRB,0,0.0020467,,,,,,,295.0212631,,,,,0.0,0.0008659999999736101,295.0222126,7
stage2,moderate_seed5301,C3-REPLICA,0,0.0018383,0.0020663,0.0024601,20.9964031,20.9984445,20.9996584,21.0001453,41.1656476,41.1656476,41.189279,41.2041587,41.3177067,253.8797267,0.0016257999999993444,295.0472097,37
stage2,moderate_seed5301,C4-CANDIDATE,0,0.0020239,0.0022626,0.0026521,20.9455326,20.9478901,20.9488663,20.9493586,20.9539238,20.9539238,20.9634418,20.9636539,21.0797052,274.0673688,0.0012725000000273212,295.0226434,29
stage2,moderate_seed5301,P-GRB,0,0.0019788,,,,,,,295.0199233,,,,,0.0,0.001740199999971992,295.022009,7
stage2,moderate_seed5302,C3-REPLICA,0,0.001886,0.0021123,0.002515,20.4143662,20.4168774,20.4175574,20.4177525,56.2585362,56.2585362,56.2822376,56.2969317,56.4101675,238.78598789999998,0.002143400000022666,295.0468844,37
stage2,moderate_seed5302,C4-CANDIDATE,0,0.0025807,0.0028442,0.0033678,20.1396015,20.1423331,20.1430233,20.1432018,20.1495897,20.1495897,20.1582305,20.1584178,20.2709597,274.87601650000005,0.0009311999999681575,295.0266176,29
stage2,moderate_seed5302,P-GRB,0,0.0021089,,,,,,,295.0287924,,,,,0.0,0.0016923000000019783,295.0306979,7
stage2,moderate_seed6301,P-GRB,0,0.0024058,,,,,,,295.0329019,,,,,0.0,0.0009936999999808904,295.0340705,7
stage2,tight_T_seed3101,P-GRB,0,0.0019001,,,,,,,295.0303549,,,,,0.0,0.0012785999999778142,295.0317287,7
stage2,tight_T_seed4101,C3-REPLICA,0,0.0018327,0.002066,0.0024282,9.9593442,9.9616307,9.9629533,9.9634593,28.4520802,28.4520802,28.4758068,28.4911858,28.6036125,266.5956702,0.00248450000003686,295.0504487,37
stage2,tight_T_seed4101,C4-CANDIDATE,0,0.0020076,0.0022436,0.0026609,9.895825,9.8978388,9.8984372,9.8986408,9.903985,9.903985,9.9121526,9.9126032,10.0317782,285.12143330000004,0.0010752000000024964,295.0265737,29
stage2,tight_T_seed4101,P-GRB,0,0.0017921,,,,,,,295.0229057,,,,,0.0,0.0008651999999642612,295.0238524,7
stage2,tight_T_seed5102,C3-REPLICA,0,0.0019642,0.0021876,0.0025792,17.6757434,17.6776541,17.6782446,17.6784686,35.3051095,35.3051095,35.3276956,35.3424993,35.4558258,259.833914,0.00240009999998847,295.1417687,37
stage2,tight_T_seed5102,C4-CANDIDATE,0,0.0018223,0.0021003,0.0024985,17.5716302,17.5734951,17.5740918,17.5742691,17.5792627,17.5792627,17.5893723,17.5897442,17.7036595,277.4468996,0.0009559999999737556,295.0272012,29
stage2,tight_T_seed5102,P-GRB,0,0.0017939,,,,,,,295.025501,,,,,0.0,0.0009536999999681939,295.026572,7
stage2,tight_T_seed5103,C3-REPLICA,0,0.0018813,0.0021289,0.0025261,29.0786022,29.0820601,29.0826315,29.0829841,42.9289847,42.9289847,42.9538734,42.9691958,43.0813888,252.11864309999999,0.0010394000000246706,295.0487477,37
stage2,tight_T_seed5103,C4-CANDIDATE,0,0.0019082,0.0022036,0.0026222,29.2276948,29.2317629,29.2327932,29.233044,29.2424422,29.2424422,29.2502798,29.250455,29.3665523,265.78740619999996,0.0009231999999883556,295.0308468,29
stage2,tight_T_seed5103,P-GRB,0,0.0017469,,,,,,,295.0236758,,,,,0.0,0.0008155000000442669,295.0245763,7
stage2,tight_T_seed6102,C3-REPLICA,0,0.0022577,0.0025731,0.0029306,91.9588357,91.9613135,91.9636704,91.9641855,175.1223721,175.1223721,175.3258106,175.5198311,176.7000723,120.19273629999998,0.0009717000000364351,295.3161817,37
stage2,tight_T_seed6102,C4-CANDIDATE,0,0.0021368,0.0024413,0.0028066,92.004974,92.0079304,92.0121591,92.0128623,92.0225232,92.0225232,92.0305516,92.0310189,93.2075106,203.06274290000002,0.0009511000000088643,295.0863024,29
stage2,tight_T_seed6102,P-GRB,0,0.0020903,,,,,,,295.0331562,,,,,0.0,0.0010126999999897635,295.0344015,7
stage2,V12_M1,P-GRB,0,0.0023551,,,,,,,34.8739319,,,,,0.0,0.001521399999994344,34.8756671,7
stage2,V12_M2,P-GRB,0,0.0016925,,,,,,,169.4384109,,,,,0.0,0.000904599999984157,169.4394029,7
stage4,high_imbalance_seed5202,C4-CANDIDATE,1,0.0018121,0.0021032,0.0024812,13.7852024,13.7875582,13.7887042,13.7892943,13.7953781,13.7953781,13.8048792,13.8050434,13.9130028,281.2308652,0.0008894000000054803,295.0272071,29
stage4,high_imbalance_seed5202,C4-CANDIDATE,2,0.0019295,0.0021726,0.0025637,13.7694003,13.7722472,13.7734188,13.7736693,13.7797562,13.7797562,13.788549,13.7889568,13.89703,281.24767429999997,0.0009280000000444488,295.0284345,29
stage4,moderate_seed3302,C4-CANDIDATE,1,0.0018279,0.0020619,0.0024296,20.5751935,20.5775073,20.5790215,20.5792087,20.5828571,20.5828571,20.5914765,20.5916618,20.7045202,274.4475265,0.0009446999999909167,295.0314071,29
stage4,moderate_seed3302,C4-CANDIDATE,2,0.0019726,0.0022079,0.0029347,20.2241201,20.2274316,20.2300699,20.2305199,20.2354461,20.2354461,20.2463643,20.2465168,20.3587817,274.7915252,0.002029399999969428,295.0294738,29
stage4,moderate_seed6301,C4-CANDIDATE,1,0.0021726,0.0024882,0.0029139,51.4881895,51.4914494,51.4926734,51.4930177,51.5036564,51.5036564,51.5123938,51.5125661,52.6850071,243.58230179999998,0.0009167000000047665,295.0869574,29
stage4,moderate_seed6301,C4-CANDIDATE,2,0.0022698,0.0025969,0.0029916,51.6595511,51.6624656,51.6633399,51.6635264,51.6746176,51.6746176,51.682763,51.6829204,52.8632979,243.4152816,0.0009575000000268119,295.0909371,29
stage4,tight_T_seed3101,C4-CANDIDATE,1,0.0021944,0.0024675,0.0028343,15.1160857,15.1200878,15.1211408,15.121843,15.1286944,15.1286944,15.1371178,15.1375421,15.2539757,279.90568429999996,0.0016239999999925203,295.0362148,29
stage4,tight_T_seed3101,C4-CANDIDATE,2,0.0018559,0.0020872,0.0026927,15.0659089,15.069348,15.0699684,15.0701838,15.0762314,15.0762314,15.0856778,15.0861362,15.1991862,279.9542568,0.0009380000000192013,295.031514,29
stage4,V12_M2,C4-CANDIDATE,1,0.0017674,0.0019917,0.0025367,6.8489643,6.8519202,6.852775,6.8533665,6.8578007,6.8578007,6.8672895,6.8675876,7.0131581,288.1648998,0.002892800000040552,295.0258838,29
stage4,V12_M2,C4-CANDIDATE,2,0.0018574,0.0021196,0.0025989,6.7939954,6.7959013,6.7963004,6.7965444,6.8003573,6.8003573,6.8080874,6.8085157,6.9557599,288.2228863,0.0009466999999858672,295.0243141,29
