run_id,stage,instance,status,process_wall_seconds,hga_seconds,pre_exact_and_serialization_residual_seconds,verification_pre_exact_residual_minus_hga_seconds,external_initialization_to_first_event_seconds,model_build_seconds,model_read_seconds,lp_solver_seconds,lp_work,terminal_mip_solver_seconds,terminal_mip_work,presolve_execution_count,root_relaxation_execution_count,native_presolve_time_seconds,native_root_time_seconds,structural_splits,lp_infeasible_leaves,lp_bound_pruned_leaves,terminal_mip_leaves,lp_processed_leaves,average_lp_solver_seconds,average_lp_work,average_terminal_mip_solver_seconds,average_terminal_mip_work,open_leaves_at_deadline,time_to_first_global_lb_improvement_seconds,time_after_final_global_lb_improvement_seconds,lp_material_improvement_fraction,terminal_mip_global_lb_improvement_fraction,terminal_mip_incumbent_improvement_fraction,evaluated_structural_splits,low_value_structural_splits,low_value_structural_split_fraction,models_created,models_read,optimize_count,peak_memory_gb
stage2__high_imbalance_seed5203__c3_replica__300s,stage2,high_imbalance_seed5203,cplex_replica_external_gini_tree_time_limit,294.0534386,14.3849226,24.27943859999999,9.894515999999992,0.46409,5.778589899999999,1.4466231999999999,12.468,35.16226,248.399,467.89251,69,16,unavailable,unavailable,37,0,0,16,53,0.23524528301886793,0.6634388679245283,15.5249375,29.243281875,23,0.464093,47.239000000000004,1.0,0.1875,0.0,26,0,0.0,69,69,69,0.135849073
stage2__high_imbalance_seed6202__c3_replica__300s,stage2,high_imbalance_seed6202,cplex_replica_external_gini_tree_time_limit,294.3031945,21.5165162,42.378194500000006,20.861678300000005,3.31658,21.840507700000003,4.3592452999999995,61.174,187.75962,159.768,373.359,21,1,unavailable,unavailable,18,1,0,1,20,3.0587,9.387981,159.768,373.359,18,3.31658,163.82710000000003,0.95,0.0,0.0,9,0,0.0,21,21,21,0.566828763
stage2__moderate_seed3302__c3_replica__300s,stage2,moderate_seed3302,cplex_replica_external_gini_tree_time_limit,294.0519246,19.9507175,42.612924600000014,22.662207100000014,0.546887,13.134677700000005,2.882222199999999,27.167,81.319446,204.644,384.63349999999997,133,18,unavailable,unavailable,97,0,0,18,115,0.23623478260869565,0.7071256173913043,11.369111111111112,21.368527777777775,81,0.54689,11.762,1.0,0.0,0.0,57,0,0.0,133,133,133,0.08758487
stage2__moderate_seed4302__c3_replica__300s,stage2,moderate_seed4302,cplex_replica_external_gini_tree_time_limit,294.0462974,19.3618563,35.63229740000003,16.270441100000028,0.273364,17.926067700000008,4.952623999999999,15.8500001,46.11792,214.14,417.32885699999997,231,74,unavailable,unavailable,83,0,0,74,157,0.10095541464968154,0.29374471337579616,2.8937837837837836,5.639579148648648,11,6.00464,30.825999999999993,0.49044585987261147,0.2702702702702703,0.0,77,77,1.0,231,231,231,0.081733298
stage2__moderate_seed5301__c3_replica__300s,stage2,moderate_seed5301,cplex_replica_external_gini_tree_time_limit,294.0415581,20.8686057,40.99455809999998,20.125952399999978,0.491098,31.51710989999998,8.770567699999999,75.069,227.259076,127.993,279.567537,409,131,unavailable,unavailable,146,1,0,131,278,0.27003237410071945,0.817478690647482,0.9770458015267175,2.1341033358778625,16,0.491102,1.9190000000000111,0.9964028776978417,0.0916030534351145,0.0,138,0,0.0,409,409,409,0.071021525
stage2__moderate_seed5302__c3_replica__300s,stage2,moderate_seed5302,cplex_replica_external_gini_tree_time_limit,294.0478801,20.1784878,55.83988009999999,35.66139229999999,0.44869,4.9009636,1.0693838,11.06,33.324858,219.816,458.7669,49,6,unavailable,unavailable,37,0,0,6,43,0.2572093023255814,0.7749966976744186,36.636,76.46115,33,0.448694,37.946,0.9534883720930233,0.0,0.0,21,2,0.09523809523809523,49,49,49,0.131553575
stage2__tight_T_seed3101__c3_replica__300s,stage2,tight_T_seed3101,cplex_replica_external_gini_tree_time_limit,294.0543783,14.9756845,29.363378300000022,14.387693800000022,0.470579,41.3424964,11.628204300000002,93.315,289.126269,105.666,181.406292,535,173,unavailable,unavailable,185,2,0,174,361,0.25849030470914125,0.8009037922437673,0.6072758620689654,1.0425648965517242,11,0.470582,0.3159999999999741,0.5512465373961218,0.3390804597701149,0.0,180,160,0.8888888888888888,535,535,535,0.055520851
stage2__tight_T_seed4101__c3_replica__300s,stage2,tight_T_seed4101,cplex_replica_external_gini_tree_time_limit,294.0479378,9.9094963,28.52593780000001,18.616441500000008,0.372139,22.926265399999995,6.229629300000001,41.792,119.460893,187.548,333.644696,293,91,unavailable,unavailable,107,4,0,91,202,0.2068910891089109,0.5913905594059405,2.060967032967033,3.666425230769231,14,0.372143,1.622000000000014,0.7871287128712872,0.1978021978021978,0.0,100,38,0.38,293,293,293,0.075756795
stage2__tight_T_seed5102__c3_replica__300s,stage2,tight_T_seed5102,cplex_replica_external_gini_tree_time_limit,294.0437725,17.6794668,35.348772499999995,17.669305699999995,0.416903,28.265699999999995,7.7877842,56.149,163.636525,157.844,290.08823,366,116,unavailable,unavailable,131,3,0,116,250,0.224596,0.6545461,1.3607241379310344,2.500760603448276,14,0.416907,14.325999999999993,0.652,0.3103448275862069,0.0,123,81,0.6585365853658537,366,366,366,0.081274581
stage2__tight_T_seed5103__c3_replica__300s,stage2,tight_T_seed5103,cplex_replica_external_gini_tree_time_limit,294.0460783,29.221213,43.05807829999998,13.836865299999978,0.450756,30.14631979999999,8.375135899999995,64.659,185.968232,138.359,273.32374,393,127,unavailable,unavailable,136,3,0,127,266,0.2430789473684211,0.6991286917293233,1.0894409448818898,2.152155433070866,8,0.45076,1.1100000000000136,0.5676691729323309,0.3700787401574803,0.0,132,112,0.8484848484848485,393,393,393,0.061197355
stage2__tight_T_seed6102__c3_replica__300s,stage2,tight_T_seed6102,cplex_replica_external_gini_tree_time_limit,294.3158592,90.4713617,171.95385919999998,81.48249749999998,4.58258,23.681029000000002,4.66985,71.834,232.99407,16.547,46.7019,21,1,unavailable,unavailable,17,2,0,1,20,3.5917000000000003,11.6497035,16.547,46.7019,16,4.58259,21.941999999999993,0.9,0.0,0.0,9,0,0.0,21,21,21,0.503973249
stage2__V12_M1__c3_replica__300s,stage2,V12_M1,cplex_replica_external_gini_tree_time_limit,294.0351589,6.1422706,12.107158900000002,5.964888300000002,0.172959,18.539999200000008,5.0946278000000005,12.6719985,43.451736,240.86599999999999,328.986067,334,103,unavailable,unavailable,120,8,0,103,231,0.054857136363636365,0.18810275324675324,2.338504854368932,3.194039485436893,11,0.172963,7.351999999999975,0.8268398268398268,0.22330097087378642,0.0,114,31,0.2719298245614035,334,334,334,0.043116902
stage2__V12_M2__c3_replica__300s,stage2,V12_M2,cplex_replica_external_gini_tree_time_limit,294.0534575,6.930951,13.511457500000006,6.580506500000006,0.288496,15.989718399999996,4.630250599999998,9.6030012,30.755678,247.356,436.609263,160,48,unavailable,unavailable,58,6,0,48,112,0.08574108214285714,0.27460426785714287,5.15325,9.0960263125,6,0.288499,1.6219999999999573,0.9464285714285714,0.10416666666666667,0.0,55,0,0.0,160,160,160,0.090709898
stage3__high_imbalance_seed3202__c3_replica__300s,stage3,high_imbalance_seed3202,cplex_replica_external_gini_tree_time_limit,294.0467805,15.9153899,33.29778049999999,17.382390599999987,0.429034,7.2046543,1.8926111999999997,15.857,44.136729,233.672,490.07618,89,23,unavailable,unavailable,41,2,0,23,66,0.24025757575757575,0.6687383181818182,10.159652173913043,21.307660000000002,18,0.429037,24.261000000000024,0.9696969696969697,0.043478260869565216,0.0,32,0,0.0,89,89,89,0.09587926
stage3__moderate_seed3302__c3_replica__300s,stage3,moderate_seed3302,cplex_replica_external_gini_tree_time_limit,294.0572794,20.0331055,42.62527940000004,22.592173900000038,0.539539,13.059535800000003,2.8472172000000002,27.044,81.319446,204.914,384.7063,133,18,unavailable,unavailable,97,0,0,18,115,0.23516521739130436,0.7071256173913043,11.38411111111111,21.37257222222222,81,0.539543,12.054999999999978,1.0,0.0,0.0,57,0,0.0,133,133,133,0.08758487
stage3__tight_T_seed3101__c3_replica__300s,stage3,tight_T_seed3101,cplex_replica_external_gini_tree_time_limit,294.0460517,14.9945213,29.51405170000004,14.519530400000038,0.485315,41.12408509999998,11.534517299999992,93.196,289.126269,105.973,181.488923,535,173,unavailable,unavailable,185,2,0,174,361,0.2581606648199446,0.8009037922437673,0.6090402298850575,1.0430397873563217,11,0.485318,0.3739999999999668,0.5512465373961218,0.3390804597701149,0.0,180,160,0.8888888888888888,535,535,535,0.055520851
stage3__V12_M1__c3_replica__300s,stage3,V12_M1,cplex_replica_external_gini_tree_time_limit,294.0375676,6.1298027,12.197567600000013,6.067764900000014,0.17413,18.49852239999999,5.104646599999998,12.723002600000001,43.451736,240.723,327.881107,334,103,unavailable,unavailable,120,8,0,103,231,0.055077933333333336,0.18810275324675324,2.337116504854369,3.183311718446602,11,0.174136,6.561999999999955,0.8268398268398268,0.22330097087378642,0.0,114,31,0.2719298245614035,334,334,334,0.043116902
stage3__V12_M2__c3_replica__300s,stage3,V12_M2,cplex_replica_external_gini_tree_time_limit,294.0535787,6.9934212,13.549578699999984,6.556157499999983,0.286643,15.889816600000003,4.570425500000002,9.599,30.50668,247.531,429.370613,158,47,unavailable,unavailable,58,6,0,47,111,0.08647747747747749,0.27483495495495497,5.266617021276596,9.135544957446808,7,0.286646,7.448000000000036,0.9459459459459459,0.0851063829787234,0.0,55,0,0.0,158,158,158,0.090709898
stage4__moderate_seed3302__c3_replica__rep1__300s,stage4,moderate_seed3302,cplex_replica_external_gini_tree_time_limit,294.0475492,20.5075998,43.3345492,22.826949399999997,0.548369,13.136008599999998,2.8632309000000005,27.21,81.319446,203.96099999999998,381.988,133,18,unavailable,unavailable,97,0,0,18,115,0.23660869565217393,0.7071256173913043,11.331166666666666,21.221555555555554,81,0.548372,10.388999999999982,1.0,0.0,0.0,57,0,0.0,133,133,133,0.087584882
stage4__moderate_seed3302__c3_replica__rep2__300s,stage4,moderate_seed3302,cplex_replica_external_gini_tree_time_limit,294.0469991,20.150598,42.92099909999999,22.77040109999999,0.55457,13.056138299999999,2.867022800000002,27.29,81.319446,204.359,384.1792,133,18,unavailable,unavailable,97,0,0,18,115,0.23730434782608695,0.7071256173913043,11.353277777777778,21.34328888888889,81,0.554573,11.638000000000005,1.0,0.0,0.0,57,0,0.0,133,133,133,0.087584882
stage4__V12_M2__c3_replica__rep1__300s,stage4,V12_M2,cplex_replica_external_gini_tree_time_limit,294.0527586,6.9606505,13.634758599999998,6.674108099999998,0.290293,15.963027799999997,4.589700199999997,9.5529991,30.50668,247.441,432.612113,158,47,unavailable,unavailable,58,6,0,47,111,0.08606305495495495,0.27483495495495497,5.264702127659574,9.204513042553192,7,0.290297,8.513000000000034,0.9459459459459459,0.0851063829787234,0.0,55,0,0.0,158,158,158,0.09070991
stage4__V12_M2__c3_replica__rep2__300s,stage4,V12_M2,cplex_replica_external_gini_tree_time_limit,294.0569,6.9052995,13.480899999999963,6.575600499999963,0.302896,15.992089,4.606369099999999,9.6139988,30.50668,247.454,431.728613,158,47,unavailable,unavailable,58,6,0,47,111,0.08661260180180179,0.27483495495495497,5.264978723404256,9.185715170212767,7,0.3029,8.114000000000033,0.9459459459459459,0.0851063829787234,0.0,55,0,0.0,158,158,158,0.09070991
