stage,instance,arm,repetition,leaf_id,event,native_status,telemetry_seconds,global_lb_before,global_lb_after,global_lb_gain,verified_ub_before,verified_ub_after,incumbent_improvement,work,simplex_iterations,in_memory_model_reused,produced_global_lb_gain,produced_incumbent_gain
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.0.0.1.0,terminal_mip_complete,empty,63.6259,1.60762,1.60762,0.0,1.74931,1.74931,0.0,18.0949,34393,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.0.0.1.1,terminal_mip_complete,empty,78.4381,1.60766,1.60766,0.0,1.74931,1.74931,0.0,29.7359,68464,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.0.1.0.0,terminal_mip_complete,empty,80.9122,1.60787,1.60787,0.0,1.74931,1.74931,0.0,2.56135,9025,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.0.1.0.1.0.1,terminal_mip_complete,empty,82.3994,1.60802,1.60802,0.0,1.74931,1.74931,0.0,2.13182,5793,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.0.1.0.0,terminal_mip_complete,empty,97.447,1.60802,1.60802,0.0,1.74931,1.74931,0.0,30.5067,71057,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.0.1.0.1,terminal_mip_complete,empty,123.941,1.60843,1.60849,5.999999999994898e-05,1.74931,1.74931,0.0,57.8263,144655,,True,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.0.1.1.1,terminal_mip_complete,empty,143.364,1.60849,1.60849,0.0,1.74931,1.74931,0.0,40.4203,93980,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.0.1.1.0,terminal_mip_complete,empty,156.787,1.60866,1.60866,0.0,1.74931,1.74931,0.0,26.9895,61588,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.1.0.0.0,terminal_mip_complete,empty,199.799,1.60913,1.60913,0.0,1.74931,1.74931,0.0,87.7969,219259,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.1.0.0.1,terminal_mip_complete,empty,235.23,1.60957,1.60957,0.0,1.74931,1.74931,0.0,75.6603,189322,,False,False
stage1,high_imbalance_seed3202,C3-REPLICA,0,R.1.0.0.0.1.0.1.0.1.0,terminal_mip_interrupted,open,261.923,1.60997,1.60997,0.0,1.74931,1.74931,0.0,54.1166,105320,,False,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.1.1.0.1,terminal_mip_complete,INFEASIBLE,19.2923,1.60718,1.60719,9.999999999843467e-06,1.74931,1.74931,0.0,6.59414,18521,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.1.1.0.0,terminal_mip_complete,INFEASIBLE,22.0827,1.60719,1.60721,2.0000000000131024e-05,1.74931,1.74931,0.0,5.62436,17082,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.1.0.1.1,terminal_mip_complete,INFEASIBLE,24.3463,1.60721,1.60726,4.999999999988347e-05,1.74931,1.74931,0.0,4.33542,9141,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.1.0.1.0,terminal_mip_complete,INFEASIBLE,26.8593,1.60726,1.60729,3.0000000000196536e-05,1.74931,1.74931,0.0,4.89877,13444,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.1.1.1.0,terminal_mip_complete,INFEASIBLE,29.9698,1.60729,1.60729,0.0,1.74931,1.74931,0.0,5.82621,12646,1,False,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.1.0.0.1,terminal_mip_complete,INFEASIBLE,34.0111,1.60739,1.60741,1.999999999990898e-05,1.74931,1.74931,0.0,4.72832,13311,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.1.1.1.1,terminal_mip_complete,INFEASIBLE,37.634,1.60741,1.60754,0.00012999999999996348,1.74931,1.74931,0.0,6.67496,17547,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.0.0.0.0,terminal_mip_complete,INFEASIBLE,41.2339,1.60754,1.60756,2.0000000000131024e-05,1.74931,1.74931,0.0,6.6827,13356,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.1.0.0.0,terminal_mip_complete,INFEASIBLE,43.0058,1.60756,1.60762,5.999999999994898e-05,1.74931,1.74931,0.0,3.49326,8819,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.0.0.0.1,terminal_mip_complete,INFEASIBLE,50.6465,1.60768,1.60774,5.999999999994898e-05,1.74931,1.74931,0.0,11.8357,26527,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.0.1.1.1,terminal_mip_complete,INFEASIBLE,52.5686,1.60774,1.60785,0.0001100000000000545,1.74931,1.74931,0.0,3.92898,12144,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.0.0.1.0,terminal_mip_complete,INFEASIBLE,61.5711,1.60785,1.60787,1.999999999990898e-05,1.74931,1.74931,0.0,18.0949,34393,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.0.1.1.0,terminal_mip_complete,INFEASIBLE,64.0991,1.60793,1.60801,7.999999999985796e-05,1.74931,1.74931,0.0,3.36989,10246,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.0.0.1.1,terminal_mip_complete,INFEASIBLE,78.3735,1.60801,1.60802,1.0000000000065512e-05,1.74931,1.74931,0.0,29.7359,68464,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.0.1.0.0,terminal_mip_complete,INFEASIBLE,93.8389,1.60821,1.60821,0.0,1.74931,1.74931,0.0,30.5067,71057,1,False,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.0.1.0.1,terminal_mip_complete,INFEASIBLE,94.9392,1.60821,1.60843,0.000220000000000109,1.74931,1.74931,0.0,2.13182,5793,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.0.1.0.1,terminal_mip_complete,INFEASIBLE,121.022,1.60843,1.60849,5.999999999994898e-05,1.74931,1.74931,0.0,57.8263,144655,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.0.1.1.0,terminal_mip_complete,INFEASIBLE,134.736,1.60866,1.60866,0.0,1.74931,1.74931,0.0,26.9895,61588,1,False,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.0.1.0.0,terminal_mip_complete,INFEASIBLE,136.716,1.60873,1.60891,0.000180000000000069,1.74931,1.74931,0.0,2.56135,9025,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.0.1.1.1,terminal_mip_complete,INFEASIBLE,155.669,1.60891,1.60896,4.999999999988347e-05,1.74931,1.74931,0.0,40.4203,93980,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.1.0.0.0,terminal_mip_complete,INFEASIBLE,198.006,1.60922,1.60957,0.00034999999999985043,1.74931,1.74931,0.0,87.7969,219259,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.1.0.0.1,terminal_mip_complete,INFEASIBLE,233.956,1.60962,1.60997,0.00034999999999985043,1.74931,1.74931,0.0,75.6603,189322,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.1.0.1.0.1.0,terminal_mip_complete,INFEASIBLE,269.205,1.61004,1.61009,5.0000000000105516e-05,1.74931,1.74931,0.0,74.6798,172023,1,True,False
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,L2.0.0.0.1.0.0.1.1,terminal_mip_complete,INFEASIBLE,271.07,1.61035,1.61047,0.00012000000000012001,1.74931,1.74931,0.0,2.11656,5630,1,True,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.1.1.0.0,terminal_mip_complete,empty,43.4047,0.139283,0.139283,0.0,0.195636,0.195636,0.0,17.9851,36477,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.1.1.0.1,terminal_mip_complete,empty,51.9439,0.139284,0.139284,0.0,0.195636,0.195636,0.0,15.6495,30093,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.1.1.1.0,terminal_mip_complete,empty,61.6194,0.139308,0.139308,0.0,0.195636,0.195636,0.0,12.4851,25066,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.1.1.1.1,terminal_mip_complete,empty,69.7977,0.139315,0.139315,0.0,0.195636,0.195636,0.0,14.9553,29519,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.1.0.1.1,terminal_mip_complete,empty,79.0824,0.139316,0.139316,0.0,0.195636,0.195636,0.0,15.4453,30803,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.1.0.1.0,terminal_mip_complete,empty,85.7406,0.139329,0.139329,0.0,0.195636,0.195636,0.0,11.6459,22955,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.1.0.0.0.0.1,terminal_mip_complete,empty,98.3916,0.139332,0.139332,0.0,0.195636,0.195636,0.0,23.0015,46370,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.1.0.0.0.0.0,terminal_mip_complete,empty,109.269,0.13935,0.13935,0.0,0.195636,0.195636,0.0,20.3267,40457,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.1.0.0.0,terminal_mip_complete,empty,117.039,0.13935,0.13935,0.0,0.195636,0.195636,0.0,14.3447,28205,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.1.0.0.1,terminal_mip_complete,empty,123.225,0.139356,0.139356,0.0,0.195636,0.195636,0.0,10.9236,22446,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.1.0.0.0.1.0,terminal_mip_complete,empty,135.464,0.139356,0.139356,0.0,0.195636,0.195636,0.0,22.854,44793,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.1.0.0.0.1.1,terminal_mip_complete,empty,152.288,0.139374,0.139374,0.0,0.195636,0.195636,0.0,31.7214,67667,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.1.0.0.1.0.0,terminal_mip_complete,empty,172.349,0.13938,0.13938,0.0,0.195636,0.195636,0.0,35.3235,67704,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.1.0.0.1.0.1,terminal_mip_complete,empty,199.483,0.13938,0.13938,0.0,0.195636,0.195636,0.0,48.7579,79169,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.0.1.1.0,terminal_mip_complete,empty,205.994,0.139383,0.139383,0.0,0.195636,0.195636,0.0,10.3072,22305,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.0.1.0.1.1.1,terminal_mip_complete,empty,211.443,0.139402,0.139402,0.0,0.195636,0.195636,0.0,10.2157,21235,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.1.0.0.1.1.0,terminal_mip_complete,empty,238.062,0.139404,0.139404,0.0,0.195636,0.195636,0.0,46.8992,77548,,False,False
stage1,moderate_seed3302,C3-REPLICA,0,R.0.0.1.0.1.0.0.1.1.1,terminal_mip_interrupted,open,252.337,0.139417,0.139417,0.0,0.195636,0.195636,0.0,25.5408,47352,,False,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.1.1.0.1,terminal_mip_complete,INFEASIBLE,51.063,0.139389,0.1394,1.0999999999983245e-05,0.195636,0.195636,0.0,15.6495,30093,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.1.1.0.0,terminal_mip_complete,INFEASIBLE,60.6001,0.1394,0.139402,2.000000000002e-06,0.195636,0.195636,0.0,17.9851,36477,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.1.1.1.0,terminal_mip_complete,INFEASIBLE,67.2863,0.139402,0.139402,0.0,0.195636,0.195636,0.0,12.4851,25066,1,False,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.1.1.1.1,terminal_mip_complete,INFEASIBLE,76.2527,0.139414,0.139417,3.0000000000030003e-06,0.195636,0.195636,0.0,14.9553,29519,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.1.0.1.1,terminal_mip_complete,INFEASIBLE,84.5922,0.139417,0.139417,0.0,0.195636,0.195636,0.0,15.4453,30803,1,False,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.1.0.0.0.0.0,terminal_mip_complete,INFEASIBLE,96.6286,0.139426,0.139427,1.000000000001e-06,0.195636,0.195636,0.0,20.3267,40457,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.1.0.1.0,terminal_mip_complete,INFEASIBLE,103.658,0.139434,0.139438,4.000000000004e-06,0.195636,0.195636,0.0,11.6459,22955,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.1.0.0.0.0.1,terminal_mip_complete,INFEASIBLE,115.187,0.139438,0.139443,5.0000000000050004e-06,0.195636,0.195636,0.0,23.0015,46370,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.1.0.0.0.1.0,terminal_mip_complete,INFEASIBLE,128.481,0.13945,0.13945,0.0,0.195636,0.195636,0.0,22.854,44793,1,False,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.1.0.0.1,terminal_mip_complete,INFEASIBLE,134.851,0.139451,0.13946,9.000000000009e-06,0.195636,0.195636,0.0,10.9236,22446,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.1.0.0.0.1.1,terminal_mip_complete,INFEASIBLE,152.086,0.139462,0.139468,6.0000000000060005e-06,0.195636,0.195636,0.0,31.7214,67667,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.1.0.0.0,terminal_mip_complete,INFEASIBLE,159.507,0.139468,0.139473,5.0000000000050004e-06,0.195636,0.195636,0.0,14.3447,28205,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.1.0.0.1.0.0,terminal_mip_complete,INFEASIBLE,179.125,0.139474,0.139483,9.000000000009e-06,0.195636,0.195636,0.0,35.3235,67704,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.0.1.1.1,terminal_mip_complete,INFEASIBLE,184.893,0.139485,0.139486,1.000000000001e-06,0.195636,0.195636,0.0,10.2157,21235,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.1.0.0.1.0.1,terminal_mip_complete,INFEASIBLE,211.494,0.139486,0.139496,1.0000000000010001e-05,0.195636,0.195636,0.0,48.7579,79169,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.1.0.0.1.1.0,terminal_mip_complete,INFEASIBLE,237.706,0.139497,0.139501,3.999999999976245e-06,0.195636,0.195636,0.0,46.8992,77548,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.0.1.1.0,terminal_mip_complete,INFEASIBLE,243.909,0.139502,0.139506,4.000000000004e-06,0.195636,0.195636,0.0,10.3072,22305,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.1.0.0.1.1.1,terminal_mip_complete,INFEASIBLE,266.639,0.139509,0.139516,7.000000000007001e-06,0.195636,0.195636,0.0,40.2916,68565,1,True,False
stage1,moderate_seed3302,C4-CANDIDATE,0,L0.1.0.0.1.0.1.0.1,terminal_mip_complete,INFEASIBLE,273.636,0.139519,0.139521,2.000000000002e-06,0.195636,0.195636,0.0,10.7099,21320,1,True,False
stage1,moderate_seed6301,C4-CANDIDATE,0,L1.0.1.1.0.0.1.1.0,terminal_mip_complete,INFEASIBLE,178.77,0.481878,0.481898,2.0000000000020002e-05,0.607529,0.607529,0.0,53.8984,29543,1,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.0.1.0.1.0,terminal_mip_complete,empty,9.16924,0.00556306,0.00556306,0.0,0.10725273413394144,0.107253,0.0,0.653712,660,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.0.1.0.1.1,terminal_mip_complete,empty,10.0398,0.00563634,0.00573039,9.405000000000004e-05,0.10725273413394144,0.107253,0.0,0.641522,514,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.0.1.1.0.0,terminal_mip_complete,empty,11.36,0.00573039,0.00573039,0.0,0.10725273413394144,0.107253,0.0,0.677006,568,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.0.1.1.0.1,terminal_mip_complete,empty,12.2143,0.00573039,0.00573039,0.0,0.10725273413394144,0.107253,0.0,0.624695,393,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.0.1.1.1.1,terminal_mip_complete,empty,13.4839,0.00593982,0.00593982,0.0,0.10725273413394144,0.107253,0.0,0.643089,526,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.0.1.1.1.0,terminal_mip_complete,empty,14.359,0.00593982,0.0061493,0.00020947999999999974,0.10725273413394144,0.107253,0.0,0.643005,552,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.0.0.0.0,terminal_mip_complete,empty,17.2602,0.0061493,0.0061493,0.0,0.10725273413394144,0.107253,0.0,0.715906,1018,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.0.0.0.1,terminal_mip_complete,empty,18.1323,0.0061493,0.0061493,0.0,0.10725273413394144,0.107253,0.0,0.657796,661,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.0.0.1.0,terminal_mip_complete,empty,19.4126,0.00635878,0.00635878,0.0,0.10725273413394144,0.107253,0.0,0.714057,1031,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.0.0.1.1,terminal_mip_complete,empty,20.2979,0.00646352,0.00656836,0.00010483999999999927,0.10725273413394144,0.107253,0.0,0.670469,601,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.0.1.0.1,terminal_mip_complete,empty,21.5453,0.00656836,0.00656836,0.0,0.10725273413394144,0.107253,0.0,0.675831,724,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.0.1.0.0,terminal_mip_complete,empty,22.4416,0.00656836,0.00656836,0.0,0.10725273413394144,0.107253,0.0,0.648598,616,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.0.1.1.0,terminal_mip_complete,empty,23.748,0.00677774,0.00677774,0.0,0.10725273413394144,0.107253,0.0,0.739796,930,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.0.1.1.1,terminal_mip_complete,empty,24.6797,0.00688247,0.00698721,0.00010473999999999987,0.10725273413394144,0.107253,0.0,0.767913,591,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.1.0.0.1,terminal_mip_complete,empty,26.8298,0.00698721,0.00698721,0.0,0.10725273413394144,0.107253,0.0,0.745595,999,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.1.0.0.0,terminal_mip_complete,empty,27.7838,0.00698721,0.00698721,0.0,0.10725273413394144,0.107253,0.0,0.780289,1036,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.1.0.1.0,terminal_mip_complete,empty,29.0507,0.00719676,0.00719676,0.0,0.10725273413394144,0.107253,0.0,0.73223,660,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.1.0.1.1,terminal_mip_complete,empty,29.9685,0.00730143,0.00740617,0.00010473999999999987,0.10725273413394144,0.107253,0.0,0.686241,706,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.1.1.0.0,terminal_mip_complete,empty,31.7376,0.00740617,0.00740617,0.0,0.10725273413394144,0.107253,0.0,0.845454,1490,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.1.1.0.1,terminal_mip_complete,empty,32.6594,0.00751091,0.00755046,3.9550000000000175e-05,0.10725273413394144,0.107253,0.0,0.751662,862,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.0.1.0.0.1,terminal_mip_complete,empty,33.5397,0.00755046,0.00755046,0.0,0.10725273413394144,0.107253,0.0,0.710991,1090,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.0.1.0.0.0,terminal_mip_complete,empty,34.4478,0.00761565,0.00761565,0.0,0.10725273413394144,0.107253,0.0,0.663433,717,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.1.1.1.1,terminal_mip_complete,empty,35.4344,0.00761565,0.00761565,0.0,0.10725273413394144,0.107253,0.0,0.760897,1048,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.0.1.1.1.1.1.0,terminal_mip_complete,empty,36.3691,0.00761569,0.00782531,0.00020962000000000064,0.10725273413394144,0.107253,0.0,0.794626,1178,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.0.0.0.0,terminal_mip_complete,empty,40.614,0.00782531,0.00782531,0.0,0.10725273413394144,0.107253,0.0,0.757156,944,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.0.0.0.1,terminal_mip_complete,empty,41.6121,0.00782531,0.00782531,0.0,0.10725273413394144,0.107253,0.0,0.77,1048,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.0.0.1.0,terminal_mip_complete,empty,43.4032,0.0080346,0.0080346,0.0,0.10725273413394144,0.107253,0.0,0.814928,1394,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.0.0.1.1,terminal_mip_complete,empty,44.3402,0.00813934,0.00824408,0.00010474000000000074,0.10725273413394144,0.107253,0.0,0.764777,1003,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.0.1.0.1,terminal_mip_complete,empty,45.6963,0.00824408,0.00824408,0.0,0.10725273413394144,0.107253,0.0,0.778328,1037,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.0.1.0.0,terminal_mip_complete,empty,46.6691,0.00824408,0.00824408,0.0,0.10725273413394144,0.107253,0.0,0.769167,1144,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.0.1.1.0,terminal_mip_complete,empty,48.0361,0.00845356,0.00845356,0.0,0.10725273413394144,0.107253,0.0,0.712766,749,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.0.1.1.1,terminal_mip_complete,empty,48.94,0.0085583,0.00866304,0.00010474000000000074,0.10725273413394144,0.107253,0.0,0.755397,868,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.1.0.0.1,terminal_mip_complete,empty,50.8425,0.00866304,0.00866304,0.0,0.10725273413394144,0.107253,0.0,0.816985,1157,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.1.0.0.0,terminal_mip_complete,empty,51.8368,0.00866304,0.00866304,0.0,0.10725273413394144,0.107253,0.0,0.857335,1505,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.1.0.1.0,terminal_mip_complete,empty,53.6362,0.00887252,0.00887252,0.0,0.10725273413394144,0.107253,0.0,0.804701,786,,False,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.1.0.1.1,terminal_mip_complete,empty,54.6313,0.00897725,0.00908199,0.000104739999999999,0.10725273413394144,0.107253,0.0,0.85157,1244,,True,False
stage1,tight_T_seed3101,C3-REPLICA,0,R.0.0.0.1.0.0.1.1.0.1,terminal_mip_complete,empty,56.3847,0.00908199,0.00908199,0.0,0.10725273413394144,0.107253,0.0,0.807052,1081,,False,False
