event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
121,2.1325561999999998,2.8495597871602727,true,0.47588119126811779,true,0.43550371367929375,1337,329,4.4465908125712189e-323,3,1,MIP
122,2.1576678,2.8812525402914191,true,0.47588119126811779,true,0.43563588315574925,1352,323,4.4465908125712189e-323,3,1,MIP
123,2.1612851000000002,2.8865867385492749,true,0.47588119126811779,true,0.43568151914922754,1355,321,4.4465908125712189e-323,3,1,MIP
124,2.1625420000000002,2.8884965154671725,true,0.47588119126811779,true,0.43588296347842487,1356,321,4.4465908125712189e-323,3,1,MIP
125,2.1692124000000002,2.8974175630771168,true,0.47588119126811779,true,0.43600776819253073,1360,317,4.4465908125712189e-323,3,1,MIP
126,2.1705998000000002,2.8996741778538513,true,0.47588119126811779,true,0.43659702927050803,1361,318,4.4465908125712189e-323,3,1,MIP
127,2.1845816,2.9155972371691123,true,0.47588119126811779,true,0.43662552459738679,1372,311,4.4465908125712189e-323,3,1,MIP
128,2.2067945999999998,2.9451064351457323,true,0.47588119126811779,true,0.437025562856447,1381,307,4.4465908125712189e-323,3,1,MIP
129,2.2128388000000001,2.9535359746636933,true,0.47588119126811779,true,0.43705707580287206,1385,307,4.4465908125712189e-323,3,1,MIP
130,2.2193136,2.9631440034129519,true,0.47588119126811779,true,0.43711278885242838,1393,304,4.4465908125712189e-323,3,1,MIP
131,2.2290082999999998,2.9759343787084092,true,0.47588119126811779,true,0.43722746823568753,1401,302,4.4465908125712189e-323,3,1,MIP
132,2.2551985999999999,3.014945805008562,true,0.47588119126811779,true,0.43724877814948987,1424,298,4.4465908125712189e-323,3,1,MIP
133,2.2894410999999999,3.0588814939759801,true,0.47588119126811779,true,0.43737226319033784,1443,293,4.4465908125712189e-323,3,1,MIP
134,2.2943869000000001,3.0667899103728966,true,0.47588119126811779,true,0.4380486056679001,1448,292,4.4465908125712189e-323,3,1,MIP
135,2.305056,3.0821004181523439,true,0.47588119126811779,true,0.43867148993463906,1457,288,4.4465908125712189e-323,3,1,MIP
136,2.3143693000000001,3.0935426889365631,true,0.47588119126811779,true,0.43881456208339803,1466,284,4.4465908125712189e-323,3,1,MIP
137,2.3161391999999998,3.0959834821585788,true,0.47588119126811779,true,0.43893896199442817,1471,277,4.4465908125712189e-323,3,1,MIP
138,2.3220521000000001,3.1040724760366882,true,0.47588119126811779,true,0.43913945373917596,1472,278,4.4465908125712189e-323,3,1,MIP
139,2.3235465,3.1068258886818048,true,0.47588119126811779,true,0.43925977318312415,1473,279,4.4465908125712189e-323,3,1,MIP
140,2.3391955000000002,3.1271397188482761,true,0.47588119126811779,true,0.43937946328271354,1487,274,4.4465908125712189e-323,3,1,MIP
141,2.3407488999999999,3.1295585005414939,true,0.47588119126811779,true,0.43998550677815706,1488,275,4.4465908125712189e-323,3,1,MIP
142,2.4479755999999999,3.2267479110182968,true,0.47377736448240348,true,0.43998550677815706,1489,195,6.4228533959362051e-323,3,1,MIP
143,2.4587667,3.2388120019555169,true,0.47213953205662673,true,0.43998550677815706,1495,177,6.9169190417774516e-323,3,1,MIP
144,2.4690012000000001,3.2497915169522185,true,0.47213953205662673,true,0.440031464815833,1505,172,6.9169190417774516e-323,3,1,MIP
145,2.4697,3.2507337759909003,true,0.47213953205662673,true,0.44028040552391084,1506,173,6.9169190417774516e-323,3,1,MIP
146,2.4820978,3.2683913058129646,true,0.47213953205662673,true,0.44076477561789013,1519,167,6.9169190417774516e-323,3,1,MIP
147,2.4841796,3.2712679909856912,true,0.47213953205662673,true,0.44111921213245359,1524,163,6.9169190417774516e-323,3,1,MIP
148,2.4909835999999999,3.2818003401129121,true,0.47213953205662673,true,0.44123354864044262,1527,163,6.9169190417774516e-323,3,1,MIP
149,2.4999402000000002,3.2941032186674071,true,0.47213953205662673,true,0.44127888060149573,1536,157,6.9169190417774516e-323,3,1,MIP
