source,status,model_type,bound_valid,bound_scope,objective_sense,has_cutoff_row,has_gamma_rows,best_bound,incumbent,gap_to_cutoff,can_merge_bound,solver_status,basis
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_11.json,interval_closed,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0,0,0.0,True,infeasible,interval_exact_cutoff_mip_infeasible
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_13.json,interval_closed,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0,0,0.0,True,infeasible,interval_exact_cutoff_mip_infeasible
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_15.json,interval_closed,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0,0,0.0,True,infeasible,interval_exact_cutoff_mip_infeasible
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_16.json,interval_closed,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0,0,0.0,True,infeasible,interval_exact_cutoff_mip_infeasible
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_17.json,interval_closed,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0,0,0.0,True,infeasible,interval_exact_cutoff_mip_infeasible
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_0.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.048284627206,0,0.000867915458745,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.047772957989,0,0.00137958467575,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_2.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.048449190663,0,0.000703352001745,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_0.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.048467287404,0,0.000685255260745,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.051047888114,0,-0.00189534544925,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_3.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.053717932377,0,-0.00456538971225,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_9.json,interval_closed,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0,0,0.0,True,infeasible,interval_exact_cutoff_mip_infeasible
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.043995201776,0,0.00515734088875,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_1_d1_0.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.04336209141,0,0.00579045125475,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_1_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.045989875856,0,0.00316266680875,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_2.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.048171845095,0,0.000980697569745,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_2_d1_0.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.047626254644,0,0.00152628802075,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_2_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.050591600993,0,-0.00143905832825,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_3.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.053693658942,0,-0.00454111627725,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_5.json,interval_closed,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0,0,0.0,True,infeasible,interval_exact_cutoff_mip_infeasible
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_6.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.2958135694,0,0.304890857285,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_6_d1_0.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.29904037449,0,0.301664052195,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_6_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.33973782457,0,0.260966602115,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_7.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.37002677308,0,0.230677653605,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_7_d1_0.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.38050263871,0.635406337452,0.220201787975,True,time limit exceeded,interval_exact_cutoff_mip_timeout
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_7_d1_1.json,interval_unresolved_timeout,original_compact_objective_bound,True,original_fixed_interval,minimize,False,True,0.41624339032,0.668292604334,0.184461036365,True,time limit exceeded,interval_exact_cutoff_mip_timeout
