number,id,arm,stage,file,sha256,scope,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
27,D4,service,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\service\native_witness.json,99408ecaf5f43ff8691ffb9c83f4570b1c805f8654675658b36a8e00cfde27e3,original_problem,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2352.6736035058643,True
28,D4,service-conflicts,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\service-conflicts\native_witness.json,b93b287642701c604b9651835a7c1bca08d1e55bc2a27465cec7bbedf72c3764,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
29,D4,projection-rlt,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D4\projection-rlt\native_witness.json,b93b287642701c604b9651835a7c1bca08d1e55bc2a27465cec7bbedf72c3764,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
30,D3,off,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D3\off\native_witness.json,fdf5b90cc2f7925fbace2419f9123e9acd50db829af27c32017f2fa6a70e5dd2,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
31,D3,projection,mip_v2,results\gf_passive_threshold_conflicts_round62\local_raw\mip_v2\D3\projection\native_witness.json,7935727c881200f8c5de5fa01c1a7a3f6b93feabb738acec0aea7e42a54f8270,original_problem,0.056604475850865574,0.02305886446729302,0.22363740922381706,11,29,29,2806.394757784299,True
32,D6,Single-off-off,full_medium_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-off-off\result.json,098d7301b3078a92c727cbb13b80e3d7965836c6d99919238359d8f8baf8c830,original_problem,0.18859121024173825,0.061819100442787225,0.8451473986596736,30,125,125,14419.962163262167,True
33,D6,Single-off-projection,full_medium_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-off-projection\result.json,db4b50c3a5aa4bcdf2f69b236337b415c055be7867a4702ec62ef5302640a3e9,original_problem,0.18859121024173825,0.061819100442787225,0.8451473986596736,30,125,125,14419.962163262167,True
34,D6,Single-passive-cert-projection,full_medium_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-passive-cert-projection\external\round61\archive_witness.json,5138ac9cfc4486fc92ecfb6992a58daec5d00ab69fb7a4079f05e7c6e4c83fbe,original_problem,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
34,D6,Single-passive-cert-projection,full_medium_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-passive-cert-projection\result.json,c7526335923aeacddbde4152cd3c3a4a6c563b25ede716f80fb3c35e4a53feae,original_problem,0.15724117585229214,0.03787648951880368,0.7957645755565899,30,124,124,17782.963907372512,True
36,D4,force-native,threshold_oracle,results\gf_passive_threshold_conflicts_round62\local_raw\threshold_oracle\D4\force-native\route_witness.json,9e391f1318284f75b44d68948beec69908358a6ea3fa035bf2cf9f778c420a70,time_diagnostic,1.3102860552242714,0.4034818631668463,6.045361280382834,6,21,1,2407.0529307561305,False
37,D4,Single-off-off,full_D4_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-off-off\result.json,86739ca20da6d5206ca10318380f0b2f79b74d2b908631652f44d7163d516936,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
38,D4,Single-passive-cert-off,full_D4_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-passive-cert-off\external\round61\archive_witness.json,6667eb843893b22433c6eeabea0c0fa1e17234270eb3c6536eb15555d836ed8a,original_problem,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
38,D4,Single-passive-cert-off,full_D4_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-passive-cert-off\result.json,8f8ab109985a262a79835d953fb2a489a1e56fdac3573ec343ca6d17655d89e9,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
39,D4,Single-off-projection,full_D4_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-off-projection\result.json,b0c3cc22446490fa0202e8b7f55b35d82698f54c9b2624fc9f6bbe101e2d1d03,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
40,D4,Single-passive-cert-projection,full_D4_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-passive-cert-projection\external\round61\archive_witness.json,6667eb843893b22433c6eeabea0c0fa1e17234270eb3c6536eb15555d836ed8a,original_problem,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
40,D4,Single-passive-cert-projection,full_D4_v2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-passive-cert-projection\result.json,c334c44ea11a9d3241439ebd698bd297816e83826b25eb9c59360968ef0e79a0,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
41,D3,Single-off-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-off-off\result.json,bd5b236f3a0372f98fbdfb1dcca504e40ec7f330eb7fd9977cca516ade506834,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
42,D3,Single-passive-cert-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-passive-cert-off\external\round61\archive_witness.json,da22c8bc932f32bec9427b2cca01918665fb9d7bc67039ece383d72b956c1f1c,original_problem,0.07095552388769952,0.02735213701711395,0.29068924580390376,10,27,25,2740.501500702626,True
42,D3,Single-passive-cert-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-passive-cert-off\result.json,3b64ba0c3cc3d8d5172fcf4865f63605d88d7406af3dc46903d908e519973bf4,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
43,C2,Single-off-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-off-off\result.json,2d8d26d9d6ec568aa98925abe1dfc15190ce51b3fd5decabecdb945e275f007a,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
44,C2,Single-passive-cert-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-passive-cert-off\external\round61\archive_witness.json,4121fabccccc8f98b4b05e4afccc8140d7fc1a18d5d4c9c43c6779f97c488a4c,original_problem,0.8370914675547019,0.2708414675547019,3.775,4,17,16,1777.013632206718,True
44,C2,Single-passive-cert-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-passive-cert-off\result.json,89394365836231eae4b5a30f353e672999e6518f4e9b28bc07fabfe3cbbb8113,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
45,D7,Single-off-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D7\Single-off-off\result.json,4c2b1802f3ffa294c6838209217292f9406d7c4e829cd2feecee507e4fb78d0e,original_problem,0.3718940096799278,0.1612660468263147,1.4041864190240874,46,208,208,17853.69434182693,True
46,D7,Single-passive-cert-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D7\Single-passive-cert-off\external\round61\archive_witness.json,6679fbbd2264c57164b28a01bce893e4c2c577b23890c4c236dcc6440ab07b92,original_problem,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
46,D7,Single-passive-cert-off,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D7\Single-passive-cert-off\result.json,6b871ee3583a4f4daf6e30ffc253e19eb1c7a98746c4a5d77d02c2f80b6f11e1,original_problem,0.2828562228211008,0.10149993521167851,1.2090419173961486,48,203,203,17966.373953303002,True
47,D3,Single-off-projection,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-off-projection\result.json,7ef384e78000b7c22cafc27fd87ccf029b7cd9ae475972b4cf088f42dfa56f2a,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
48,C2,Single-off-projection,long_v2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-off-projection\result.json,89a382df1dd25053b0ffbcf1df7b59e80f8ceded64995749f3bc807ec98e803e,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
49,C2,K1-off-off,k1_v2,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v2\C2\K1-off-off\result.json,b56ac30574edca0099aee91d57f9a653541ada9d76a0ca6940dfb835ee42c51a,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
50,D4,off,screen_v3,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D4\off\native_witness.json,77227b8c60896e2364ef79f1b85a31fca85c07ad65e200205f1b6b11125559ac,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
51,D4,projection,screen_v3,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D4\projection\native_witness.json,31150bfe248a9113a3c5da0c07e6396a07d974de46a263d16929111976c4cce5,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
52,D4,projection-service,screen_v3,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D4\projection-service\native_witness.json,77227b8c60896e2364ef79f1b85a31fca85c07ad65e200205f1b6b11125559ac,original_problem,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
53,D3,off,screen_v3,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D3\off\native_witness.json,fdf5b90cc2f7925fbace2419f9123e9acd50db829af27c32017f2fa6a70e5dd2,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.4272564574003,True
54,D3,projection-service,screen_v3,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D3\projection-service\native_witness.json,415ed10705ae3a8bbd5d894678f6cf208c6d6ec7b8577e656c78dae6c2d4edb2,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.780856205036,True
57,D3,projection-service,screen_v3,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D3\projection-service-clean-repeat\native_witness.json,415ed10705ae3a8bbd5d894678f6cf208c6d6ec7b8577e656c78dae6c2d4edb2,original_problem,0.04500155005562836,0.01922309854047684,0.17185634343434344,11,29,29,2784.780856205036,True
58,C2,K1-off-off,k1_v3,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-off-off\result.json,64c7c62ed169165c663885179e01abddad3fd1e7c5774ee742726ec34dc290ca,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
59,C2,K1-passive-cert-off,k1_v3,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-passive-cert-off\external\round61\archive_witness.json,4121fabccccc8f98b4b05e4afccc8140d7fc1a18d5d4c9c43c6779f97c488a4c,original_problem,0.8370914675547019,0.2708414675547019,3.775,4,17,16,1777.013632206718,True
59,C2,K1-passive-cert-off,k1_v3,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-passive-cert-off\result.json,1875213883954f821046a527b271147c7002766a67f33e24dc2fe0a030415074,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
60,C2,K1-off-projection,k1_v3,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-off-projection\result.json,0679aa761eaf9143ef76642025020cc7785bf1290010d6b4985916179db7c41c,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
61,C2,K1-passive-cert-projection,k1_v3,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-passive-cert-projection\external\round61\archive_witness.json,4121fabccccc8f98b4b05e4afccc8140d7fc1a18d5d4c9c43c6779f97c488a4c,original_problem,0.8370914675547019,0.2708414675547019,3.775,4,17,16,1777.013632206718,True
61,C2,K1-passive-cert-projection,k1_v3,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-passive-cert-projection\result.json,6a277b963c2fb21777e3bdaed2ff866ef937463e0d85f8350b741ea6ceb6d02c,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
62,C2,P-GRB,references_v3,results\gf_passive_threshold_conflicts_round62\local_raw\references_v3\C2\P-GRB\result.json,4547fcde99d1fbdcc84ae43a313c08f8055eaeb6b78b86bb79782086d7c416a8,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
63,C2,K1-H,references_v3,results\gf_passive_threshold_conflicts_round62\local_raw\references_v3\C2\K1-H\result.json,24b88c50eafb9852c57345745aff83a5cf4b5cdbfd7f103f5a268be9a92e6e6e,original_problem,0.8299634131717751,0.26521341317177516,3.7649999999999997,5,17,17,1785.7310100703473,True
64,D1,passive-native-stop,native_micro_v3,results\gf_passive_threshold_conflicts_round62\local_raw\native_micro_v3\D1\archive\archive_witness.json,20174cf1ef02071aba13a0e3e97234779ea3bad6dd2d509bfc86e1ac12c0adeb,original_problem,0.0,0.0,0.0,8,14,14,3215.1759269577524,True
65,C1,K1-off-off,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C1\K1-off-off\result.json,80c1485bce6a37b68a5881235c7b0649ce19c5713792cb165302e10e3df32211,original_problem,0.26181696296169044,0.1588352706696277,0.6865446152804185,11,40,40,3560.53480062375,True
66,C1,K1-passive-cert-off,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C1\K1-passive-cert-off\external\round61\archive_witness.json,9322bcf2a2fb5735c9b4d3c2e1bc25dd700196a0084fa7787a3ac77d8b1fca58,original_problem,0.29766711413251545,0.1980223894020846,0.664298164869539,10,36,36,3534.563139784196,True
66,C1,K1-passive-cert-off,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C1\K1-passive-cert-off\result.json,ccd23b031d00a3ed55c842d7df0b86a8e536d18db13fca90723207f7b79fae80,original_problem,0.26181696296169044,0.1588352706696277,0.6865446152804185,11,40,40,3560.53480062375,True
67,C1,K1-off-projection,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C1\K1-off-projection\result.json,ac204b6aea4e2bb844ae6d091b50f5e836e3091aa0e314a3d04922fdde248cae,original_problem,0.26181696296169044,0.1588352706696277,0.6865446152804185,11,40,40,3560.53480062375,True
68,C1,K1-passive-cert-projection,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C1\K1-passive-cert-projection\external\round61\archive_witness.json,9322bcf2a2fb5735c9b4d3c2e1bc25dd700196a0084fa7787a3ac77d8b1fca58,original_problem,0.29766711413251545,0.1980223894020846,0.664298164869539,10,36,36,3534.563139784196,True
68,C1,K1-passive-cert-projection,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C1\K1-passive-cert-projection\result.json,fac299f6e6faa15ff7bdcdf109ea53e58deb488aed254e871c7de5ea95c384cf,original_problem,0.26181696296169044,0.1588352706696277,0.6865446152804185,11,40,40,3560.53480062375,True
69,C3,K1-off-off,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C3\K1-off-off\result.json,4036feb60fc107e5d6341832e81de44506e116d0911e862905240e9d2d62f115,original_problem,0.817995541205776,0.16825067959738446,4.3316324107226105,12,20,19,1794.0812252063472,True
70,C3,K1-passive-cert-off,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C3\K1-passive-cert-off\external\round61\archive_witness.json,85f40d9ffa0c3e172077fb54b4b736f12cf276978653c93290ffd2c0fd2e9821,original_problem,0.9239292321447105,0.18464356406778748,4.92857112051282,8,15,12,1758.4447057215905,True
70,C3,K1-passive-cert-off,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C3\K1-passive-cert-off\result.json,42a4dbf710308ba3a3b72b0ed13118c3c3cac13bed2a64276ade120a0edfd7d1,original_problem,0.817995541205776,0.16825067959738446,4.3316324107226105,12,20,19,1794.0812252063472,True
71,C3,K1-off-projection,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C3\K1-off-projection\result.json,923dc497726a005782939ebd6883964adbd1c1e0ceb53c87b6b359cdb1f5eb17,original_problem,0.8230855227563119,0.1679835170919762,4.367346704428904,12,20,18,1772.426345403305,True
72,C3,K1-passive-cert-projection,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C3\K1-passive-cert-projection\external\round61\archive_witness.json,85f40d9ffa0c3e172077fb54b4b736f12cf276978653c93290ffd2c0fd2e9821,original_problem,0.9239292321447105,0.18464356406778748,4.92857112051282,8,15,12,1758.4447057215905,True
72,C3,K1-passive-cert-projection,confirmation_v3,results\gf_passive_threshold_conflicts_round62\local_raw\confirmation_v3\C3\K1-passive-cert-projection\result.json,460ac70b09a1b3501dc13f66b97c0ea22999d65122148f8dec03029090cd2bfa,original_problem,0.8230855227563119,0.1679835170919762,4.367346704428904,12,20,18,1772.426345403305,True
