number,charged,id,stage,arm,kind,cap,complete,optimizer_calls,call_evidence,wall_seconds,watchdog,within_budget,returncode,build_freeze,executable_sha256,destination
34,True,D6,full_medium_v2,Single-passive-cert-projection,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-passive-cert-projection\external\paper_optimize_ledger.csv,117.07800000021234,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\full_medium_v2\D6\Single-passive-cert-projection
35,True,D4,threshold_oracle,cheap,oracle,120,True,0,results\gf_passive_threshold_conflicts_round62\local_raw\threshold_oracle\D4\cheap\oracle_result.json,0.07800000021234155,False,True,0,build_freeze_v2.json,0c6c216dff339ab8f799c44c9deac0644872f191fb1556419205cf39c3174e6f,results\gf_passive_threshold_conflicts_round62\local_raw\threshold_oracle\D4\cheap
36,True,D4,threshold_oracle,force-native,oracle,120,True,1,results\gf_passive_threshold_conflicts_round62\local_raw\threshold_oracle\D4\force-native\oracle_result.json,64.82799999974668,False,True,0,build_freeze_v2.json,0c6c216dff339ab8f799c44c9deac0644872f191fb1556419205cf39c3174e6f,results\gf_passive_threshold_conflicts_round62\local_raw\threshold_oracle\D4\force-native
37,True,D4,full_D4_v2,Single-off-off,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-off-off\external\paper_optimize_ledger.csv,89.95300000021234,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-off-off
38,True,D4,full_D4_v2,Single-passive-cert-off,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-passive-cert-off\external\paper_optimize_ledger.csv,90.04699999978766,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-passive-cert-off
39,True,D4,full_D4_v2,Single-off-projection,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-off-projection\external\paper_optimize_ledger.csv,55.125,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-off-projection
40,True,D4,full_D4_v2,Single-passive-cert-projection,performance,120,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-passive-cert-projection\external\paper_optimize_ledger.csv,55.15599999995902,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\full_D4_v2\D4\Single-passive-cert-projection
41,True,D3,long_v2,Single-off-off,performance,600,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-off-off\external\paper_optimize_ledger.csv,314.7029999997467,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-off-off
42,True,D3,long_v2,Single-passive-cert-off,performance,600,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-passive-cert-off\external\paper_optimize_ledger.csv,315.17199999978766,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-passive-cert-off
43,True,C2,long_v2,Single-off-off,performance,600,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-off-off\external\paper_optimize_ledger.csv,551.625,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-off-off
44,True,C2,long_v2,Single-passive-cert-off,performance,600,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-passive-cert-off\external\paper_optimize_ledger.csv,552.3599999998696,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-passive-cert-off
45,True,D7,long_v2,Single-off-off,performance,600,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D7\Single-off-off\external\paper_optimize_ledger.csv,597.125,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D7\Single-off-off
46,True,D7,long_v2,Single-passive-cert-off,performance,600,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D7\Single-passive-cert-off\external\paper_optimize_ledger.csv,597.1090000001714,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D7\Single-passive-cert-off
47,True,D3,long_v2,Single-off-projection,performance,600,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-off-projection\external\paper_optimize_ledger.csv,460.5150000001304,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\D3\Single-off-projection
48,True,C2,long_v2,Single-off-projection,performance,600,True,2,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-off-projection\external\paper_optimize_ledger.csv,457.75,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\long_v2\C2\Single-off-projection
49,True,C2,k1_v2,K1-off-off,performance,600,True,5,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v2\C2\K1-off-off\external\paper_optimize_ledger.csv,597.1089999997057,False,True,0,build_freeze_v2.json,2477d2fea0dec87b84611fd64563a8290fad03c99dd33754eeae65d7e97e4977,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v2\C2\K1-off-off
,False,D3,preflight_v3,off,build-only,120,True,0,no optimizer in this executable/mode,0.20300000021234155,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D3\off
,False,D3,preflight_v3,events,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D3\events
,False,D3,preflight_v3,conflicts,build-only,120,True,0,no optimizer in this executable/mode,0.14099999982863665,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D3\conflicts
,False,D3,preflight_v3,projection,build-only,120,True,0,no optimizer in this executable/mode,0.10899999970570207,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D3\projection
,False,D3,preflight_v3,service,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D3\service
,False,D3,preflight_v3,service-conflicts,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D3\service-conflicts
,False,D3,preflight_v3,projection-rlt,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D3\projection-rlt
,False,D3,preflight_v3,projection-service,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D3\projection-service
,False,D4,preflight_v3,off,build-only,120,True,0,no optimizer in this executable/mode,0.0940000000409782,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D4\off
,False,D4,preflight_v3,events,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D4\events
,False,D4,preflight_v3,conflicts,build-only,120,True,0,no optimizer in this executable/mode,0.10999999986961484,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D4\conflicts
,False,D4,preflight_v3,projection,build-only,120,True,0,no optimizer in this executable/mode,0.10900000017136335,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D4\projection
,False,D4,preflight_v3,service,build-only,120,True,0,no optimizer in this executable/mode,0.09299999987706542,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D4\service
,False,D4,preflight_v3,service-conflicts,build-only,120,True,0,no optimizer in this executable/mode,0.0940000000409782,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D4\service-conflicts
,False,D4,preflight_v3,projection-rlt,build-only,120,True,0,no optimizer in this executable/mode,0.11000000033527613,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D4\projection-rlt
,False,D4,preflight_v3,projection-service,build-only,120,True,0,no optimizer in this executable/mode,0.10899999970570207,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\preflight_v3\D4\projection-service
50,True,D4,screen_v3,off,performance,120,True,1,single synchronous native call; native log retained,90.1089999997057,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D4\off
51,True,D4,screen_v3,projection,performance,120,True,1,single synchronous native call; native log retained,55.3589999997057,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D4\projection
52,True,D4,screen_v3,projection-service,performance,120,True,1,single synchronous native call; native log retained,78.34400000004098,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D4\projection-service
53,True,D3,screen_v3,off,performance,600,True,1,single synchronous native call; native log retained,315.1100000003353,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D3\off
54,True,D3,screen_v3,projection-service,performance,600,True,1,single synchronous native call; native log retained,310.0160000002943,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D3\projection-service
55,True,D3,projection_audit_v3,projection-containment,LP-audit,120,True,33,results\gf_passive_threshold_conflicts_round62\local_raw\projection_audit_v3\D3\audit_result.json,0.7809999999590218,False,True,0,build_freeze_v3.json,ecfc5218e8a19c03a730cb47359a72523f01ee0fbc23628350cb65184d3b81df,results\gf_passive_threshold_conflicts_round62\local_raw\projection_audit_v3\D3
56,True,D4,projection_audit_v3,projection-containment,LP-audit,120,True,33,results\gf_passive_threshold_conflicts_round62\local_raw\projection_audit_v3\D4\audit_result.json,0.5470000002533197,False,True,0,build_freeze_v3.json,ecfc5218e8a19c03a730cb47359a72523f01ee0fbc23628350cb65184d3b81df,results\gf_passive_threshold_conflicts_round62\local_raw\projection_audit_v3\D4
57,True,D3,screen_v3,projection-service,performance,600,True,1,single synchronous native call; native log retained,307.42199999978766,False,True,0,build_freeze_v3.json,b00547427ac64fedeae087df70803f32c8812e5a5b0f60f81682019a7cf0d958,results\gf_passive_threshold_conflicts_round62\local_raw\screen_v3\D3\projection-service-clean-repeat
58,True,C2,k1_v3,K1-off-off,performance,600,True,5,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-off-off\external\paper_optimize_ledger.csv,597.25,False,True,0,build_freeze_v3.json,fa87fac2b57d7b0f68fe58bd12b340499f65405f29948f17f1b148b46ba5d3d4,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-off-off
59,True,C2,k1_v3,K1-passive-cert-off,performance,600,True,5,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-passive-cert-off\external\paper_optimize_ledger.csv,597.1089999997057,False,True,0,build_freeze_v3.json,fa87fac2b57d7b0f68fe58bd12b340499f65405f29948f17f1b148b46ba5d3d4,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-passive-cert-off
60,True,C2,k1_v3,K1-off-projection,performance,600,True,5,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-off-projection\external\paper_optimize_ledger.csv,475.1710000000894,False,True,0,build_freeze_v3.json,fa87fac2b57d7b0f68fe58bd12b340499f65405f29948f17f1b148b46ba5d3d4,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-off-projection
61,True,C2,k1_v3,K1-passive-cert-projection,performance,600,True,5,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-passive-cert-projection\external\paper_optimize_ledger.csv,476.82800000021234,False,True,0,build_freeze_v3.json,fa87fac2b57d7b0f68fe58bd12b340499f65405f29948f17f1b148b46ba5d3d4,results\gf_passive_threshold_conflicts_round62\local_raw\k1_v3\C2\K1-passive-cert-projection
62,True,C2,references_v3,P-GRB,performance,600,True,1,original single synchronous compact P-GRB,597.0789999999106,False,True,0,build_freeze_v3.json,fa87fac2b57d7b0f68fe58bd12b340499f65405f29948f17f1b148b46ba5d3d4,results\gf_passive_threshold_conflicts_round62\local_raw\references_v3\C2\P-GRB
63,True,C2,references_v3,K1-H,performance,600,True,7,results\gf_passive_threshold_conflicts_round62\local_raw\references_v3\C2\K1-H\external\paper_optimize_ledger.csv,526.219000000041,False,True,0,build_freeze_v3.json,fa87fac2b57d7b0f68fe58bd12b340499f65405f29948f17f1b148b46ba5d3d4,results\gf_passive_threshold_conflicts_round62\local_raw\references_v3\C2\K1-H
