number,id,arm,path,rows,columns,nonzeros,presolved_rows,presolved_columns,presolved_nonzeros,root_objective,root_iterations,root_seconds
22,C2,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-q\external\native_logs\L0.0_c6_1_child_disjunction_target_mip.gurobi.log,9543,3202,52774,7952,3100,66135,0.6156661,4977,0.2
22,C2,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-q\external\native_logs\L0.0_lp.gurobi.log,9543,3202,52774,8238,3111,40185,,,
22,C2,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-q\external\native_logs\L0.0_terminal_mip.gurobi.log,9543,3202,52774,7952,3100,66135,,,
22,C2,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-q\external\native_logs\L0.1_lp.gurobi.log,9543,3202,53002,8427,3134,39954,,,
22,C2,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-q\external\native_logs\L0_lp.gurobi.log,9543,3202,52774,8214,3130,39264,,,
23,C2,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\native_logs\L0.0.0_lp.gurobi.log,10423,4002,57614,9245,3910,47739,,,
23,C2,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\native_logs\L0.0.1.0_lp.gurobi.log,10423,4002,57842,9477,3917,48741,,,
23,C2,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\native_logs\L0.0.1.1_lp.gurobi.log,10423,4002,57842,9339,3917,45825,,,
23,C2,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\native_logs\L0.0.1_lp.gurobi.log,10423,4002,57842,9339,3917,45825,,,
23,C2,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\native_logs\L0.0.1_terminal_mip.gurobi.log,10423,4002,57842,9036,3906,80233,0.7617854,5247,0.24
23,C2,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\native_logs\L0.0_lp.gurobi.log,10423,4002,57614,9118,3911,45025,,,
23,C2,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\native_logs\L0.1_lp.gurobi.log,10423,4002,57842,9307,3934,44794,,,
23,C2,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-sep\external\native_logs\L0_lp.gurobi.log,10423,4002,57614,9094,3930,44104,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0.0_lp.gurobi.log,11223,4002,59214,9245,3910,50139,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0.1.0.0_lp.gurobi.log,11223,4002,59442,9477,3917,51141,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0.1.0.1_lp.gurobi.log,11223,4002,59442,9477,3917,51141,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0.1.0_c6_1_child_disjunction_target_mip.gurobi.log,11223,4002,59442,9154,3904,81405,0.76874,7041,0.38
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0.1.0_lp.gurobi.log,11223,4002,59442,9477,3917,51141,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0.1.0_terminal_mip.gurobi.log,11223,4002,59442,9154,3904,81405,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0.1.1_lp.gurobi.log,11223,4002,59442,9339,3917,48225,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0.1_lp.gurobi.log,11223,4002,59442,9339,3917,48225,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.0_lp.gurobi.log,11223,4002,59214,9118,3911,47425,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0.1_lp.gurobi.log,11223,4002,59442,9307,3934,47194,,,
24,C2,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\C2\warm-joint\external\native_logs\L0_lp.gurobi.log,11223,4002,59214,9094,3930,46504,,,
25,D7,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-off\external\native_logs\L0.0.0_c6_1_next_leaf_target_mip.gurobi.log,103581,23563,719333,49478,23445,500523,0.195378,23057,4.5
25,D7,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-off\external\native_logs\L0.0.0_lp.gurobi.log,103581,23563,719333,50023,23258,417359,,,
25,D7,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-off\external\native_logs\L0.0.1_lp.gurobi.log,103581,23563,719917,50558,23258,419969,,,
25,D7,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-off\external\native_logs\L0.0_lp.gurobi.log,103581,23563,719333,50023,23258,417359,,,
25,D7,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-off\external\native_logs\L0.1_lp.gurobi.log,103581,23563,719917,50558,23258,419969,,,
25,D7,warm-off,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-off\external\native_logs\L0_lp.gurobi.log,103581,23563,719333,50023,23258,417359,,,
26,D7,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-q\external\native_logs\L0.0.0_c6_1_next_leaf_target_mip.gurobi.log,113981,33563,769733,59682,33445,533151,0.195378,33866,9.55
26,D7,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-q\external\native_logs\L0.0.0_lp.gurobi.log,113981,33563,769733,60423,33258,467755,,,
26,D7,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-q\external\native_logs\L0.0.1_lp.gurobi.log,113981,33563,770317,60958,33258,470365,,,
26,D7,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-q\external\native_logs\L0.0_lp.gurobi.log,113981,33563,769733,60423,33258,467755,,,
26,D7,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-q\external\native_logs\L0.1_lp.gurobi.log,113981,33563,770317,60958,33258,470365,,,
26,D7,warm-q,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-q\external\native_logs\L0_lp.gurobi.log,113981,33563,769733,60423,33258,467755,,,
27,D7,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-sep\external\native_logs\L0.0.0_c6_1_next_leaf_target_mip.gurobi.log,124381,43563,829933,70082,43445,583263,0.195378,71831,29.65
27,D7,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-sep\external\native_logs\L0.0.0_lp.gurobi.log,124381,43563,829933,70823,43258,527951,,,
27,D7,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-sep\external\native_logs\L0.0.1_lp.gurobi.log,124381,43563,830517,71358,43258,530561,,,
27,D7,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-sep\external\native_logs\L0.0_lp.gurobi.log,124381,43563,829933,70823,43258,527951,,,
27,D7,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-sep\external\native_logs\L0.1_lp.gurobi.log,124381,43563,830517,71358,43258,530561,,,
27,D7,warm-sep,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-sep\external\native_logs\L0_lp.gurobi.log,124381,43563,829933,70823,43258,527951,,,
28,D7,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-joint\external\native_logs\L0.0.0_c6_1_next_leaf_target_mip.gurobi.log,134381,43563,849933,80082,43445,604174,0.195378,100546,43.02
28,D7,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-joint\external\native_logs\L0.0.0_lp.gurobi.log,134381,43563,849933,70823,43258,557951,,,
28,D7,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-joint\external\native_logs\L0.0.1_lp.gurobi.log,134381,43563,850517,71358,43258,560561,,,
28,D7,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-joint\external\native_logs\L0.0_lp.gurobi.log,134381,43563,849933,70823,43258,557951,,,
28,D7,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-joint\external\native_logs\L0.1_lp.gurobi.log,134381,43563,850517,71358,43258,560561,,,
28,D7,warm-joint,results\gf_shared_load_time_round64\local_raw\warm_dev_v3\D7\warm-joint\external\native_logs\L0_lp.gurobi.log,134381,43563,849933,70823,43258,557951,,,
