number,charged,id,arm,stage,optimizer_calls,backend_attempts,build_freeze
46,True,C3,warm-sep,warm_protection_v3,7,7,build_freeze_v3.json
47,True,C2,P-GRB,warm_dev_v3,1,1,build_freeze_v3.json
48,True,C2,K1-H,warm_dev_v3,7,7,build_freeze_v3.json
49,True,D7,P-GRB,warm_dev_v3,1,1,build_freeze_v3.json
50,True,D7,K1-H,warm_dev_v3,6,6,build_freeze_v3.json
51,True,C6,warm-off,confirmation_v3,5,5,build_freeze_v3.json
52,True,C6,warm-joint,confirmation_v3,4,4,build_freeze_v3.json
53,True,C6,P-GRB,confirmation_v3,1,1,build_freeze_v3.json
54,True,C6,K1-H,confirmation_v3,5,5,build_freeze_v3.json
55,True,C6,cold-off,confirmation_v3,5,5,build_freeze_v3.json
56,True,C6,cold-joint,confirmation_v3,5,5,build_freeze_v3.json
57,True,C7,warm-off,confirmation_v3,0,0,build_freeze_v3.json
58,True,C7,warm-joint,confirmation_v3,0,0,build_freeze_v3.json
59,True,C7,P-GRB,confirmation_v3,1,1,build_freeze_v3.json
60,True,C7,K1-H,confirmation_v3,0,0,build_freeze_v3.json
61,True,C7,cold-off,confirmation_v3,4,4,build_freeze_v3.json
62,True,C7,cold-joint,confirmation_v3,4,4,build_freeze_v3.json
