instance,seed,run_id,mode,label,objective,G,P,route_count,served_station_count,total_pickup,total_drop,depot_unload,route_durations,verifier_passed,runtime,accepted_as_best,exported_incumbent_path
gcap_smoke_V4_M1.txt,20260626,103,hga-tgbc,hga_route_child_gen_1,0.192941,0.102941,0.6,1,3,4,1,3,"553",true,0.0070666,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,104,hga-tgbc,hga_route_child_gen_1,0,0,0,1,4,4,4,0,"577",true,0.0070747,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,105,hga-tgbc,hga_route_child_gen_1,0.0694737,0.0394737,0.2,1,3,4,3,1,"553",true,0.0071009,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,106,hga-tgbc,hga_route_child_gen_1,0,0,0,1,4,4,4,0,"572",true,0.0071091,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,107,hga-tgbc,hga_guided_education_gen_1,0,0,0,1,4,4,4,0,"572",true,0.0071313,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,108,hga-tgbc,hga_route_child_gen_1,0,0,0,1,4,4,4,0,"563",true,0.0071384,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,109,hga-tgbc,hga_route_child_gen_1,0.222353,0.132353,0.6,1,3,4,1,3,"556",true,0.0071491,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,110,hga-tgbc,hga_route_child_gen_1,0.0694737,0.0394737,0.2,1,3,4,3,1,"564",true,0.0071593,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,111,hga-tgbc,hga_route_child_gen_1,0,0,0,1,4,4,4,0,"567",true,0.007167,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,112,hga-tgbc,hga_route_child_gen_2,0,0,0,1,4,4,4,0,"567",true,0.0071789,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,113,hga-tgbc,hga_route_child_gen_2,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.0071883,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,114,hga-tgbc,hga_guided_education_gen_2,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.0072096,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,115,hga-tgbc,hga_route_child_gen_2,0.222353,0.132353,0.6,1,3,4,1,3,"572",true,0.0072191,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,116,hga-tgbc,hga_route_child_gen_2,0,0,0,1,4,4,4,0,"572",true,0.0072268,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,117,hga-tgbc,hga_guided_education_gen_2,0,0,0,1,4,4,4,0,"572",true,0.0072534,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,118,hga-tgbc,hga_route_child_gen_2,0,0,0,1,4,4,4,0,"567",true,0.0072604,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,119,hga-tgbc,hga_route_child_gen_2,0,0,0,1,4,4,4,0,"563",true,0.0072675,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,120,hga-tgbc,hga_route_child_gen_2,0,0,0,1,4,4,4,0,"581",true,0.0072743,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,121,hga-tgbc,hga_guided_education_gen_2,0,0,0,1,4,4,4,0,"581",true,0.0072963,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,122,hga-tgbc,hga_route_child_gen_2,0.27625,0.15625,0.8,1,2,4,0,4,"548",true,0.0073054,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,123,hga-tgbc,hga_route_child_gen_2,0.0694737,0.0394737,0.2,1,3,4,3,1,"553",true,0.0073176,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,124,hga-tgbc,hga_guided_education_gen_2,0.0694737,0.0394737,0.2,1,3,4,3,1,"553",true,0.0073939,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,125,hga-tgbc,hga_route_child_gen_2,0.0694737,0.0394737,0.2,1,3,4,3,1,"555",true,0.0074209,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,126,hga-tgbc,hga_route_child_gen_3,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0074322,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,127,hga-tgbc,hga_guided_education_gen_3,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0074526,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,128,hga-tgbc,hga_route_child_gen_3,0.135,0.075,0.4,1,3,3,3,0,"444",true,0.0074635,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,129,hga-tgbc,hga_route_child_gen_3,0.135,0.075,0.4,1,4,3,3,0,"457",true,0.0074708,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
gcap_smoke_V4_M1.txt,20260626,130,hga-tgbc,hga_guided_education_gen_3,0,0,0,1,4,4,4,0,"581",true,0.0075251,false,results\tgbc_migration_round\incumbents\v4_hga_tgbc_v6.json
