leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,telemetry_seconds
L0.1.0.0.1.0,"L0.1.0.0.1",5,0.027511341545954866,0.029039749409619023,1,1,0,1,0.13878187637289657,"OPTIMAL",0.55828792931926174,13.3093234
L0.1.0.0.1.1,"L0.1.0.0.1",5,0.029039749409619023,0.030568157273283183,1,1,0,1,0.13867586367583726,"OPTIMAL",0.54184108847008161,13.657308799999999
L0.1.0.1.0.0,"L0.1.0.1.0",5,0.030568157273283183,0.032096565136947343,1,1,0,1,0.13877131378418206,"OPTIMAL",0.53743717225795518,13.99727
L0.1.0.1.0.1,"L0.1.0.1.0",5,0.032096565136947343,0.033624973000611499,1,1,0,1,0.13886361810089343,"OPTIMAL",0.61863150645940534,14.358500100000001
L0.1.0.0.0.0,"L0.1.0.0.0",5,0.024454525818626546,0.025982933682290706,1,1,0,1,0.13904299296705433,"OPTIMAL",0.56455302255585893,14.7092232
L0.1.0.0.0.1,"L0.1.0.0.0",5,0.025982933682290706,0.027511341545954866,1,1,0,1,0.13891442104548563,"OPTIMAL",0.68101278669628273,15.104876300000001
L0.1.0.1.1.0,"L0.1.0.1.1",5,0.033624973000611499,0.035153380864275663,1,1,0,1,0.13895276625558942,"OPTIMAL",0.74262939003296813,15.5065647
L0.1.0.1.1.1,"L0.1.0.1.1",5,0.035153380864275663,0.036681788727939819,1,1,0,1,0.13903874783225575,"OPTIMAL",0.71340531566622312,15.898138299999999
L1.0.0,"L1.0",2,0.048909051637253093,0.061136314546566366,1,1,0,1,0.13973390459727561,"OPTIMAL",1.1585835294935176,16.433072500000002
L1.0.1,"L1.0",2,0.061136314546566366,0.073363577455879639,1,1,0,1,0.14627299252625403,"OPTIMAL",1.1425007621263943,16.967122700000001
L0.0.1.1.1.0,"L0.0.1.1.1",5,0.021397710091298226,0.022926117954962386,1,1,0,1,0.13928685906908184,"OPTIMAL",0.44486069320374216,17.2742741
L0.0.1.1.1.1,"L0.0.1.1.1",5,0.022926117954962386,0.024454525818626546,1,1,0,1,0.13916708566384028,"OPTIMAL",0.48824847785925723,17.596443399999998
L0.1.1.0.0.0,"L0.1.1.0.0",5,0.036681788727939819,0.038210196591603976,1,1,0,1,0.1391215523689939,"OPTIMAL",0.8113171599548159,18.022807
L0.1.1.0.0.1,"L0.1.1.0.0",5,0.038210196591603976,0.039738604455268139,1,1,0,1,0.13928850326024372,"OPTIMAL",1.351361359738052,18.615881999999999
L0.1.1.1.0,"L0.1.1.1",4,0.042795420182596453,0.045852235909924773,1,1,0,1,0.13963071096698773,"OPTIMAL",1.2271286427714028,19.158307700000002
L0.1.1.1.1,"L0.1.1.1",4,0.045852235909924773,0.048909051637253093,1,1,0,1,0.14028854104811658,"OPTIMAL",1.0541541497039084,19.656849699999999
L0.0.1.1.0.0,"L0.0.1.1.0",5,0.01834089436396991,0.01986930222763407,1,1,0,1,0.14106182160146097,"OPTIMAL",0.48613494715344013,19.984069000000002
L0.0.1.1.0.1,"L0.0.1.1.0",5,0.01986930222763407,0.021397710091298226,1,1,0,1,0.13940210783774609,"OPTIMAL",0.55938634299415424,20.333711099999999
L0.1.0.0.1.1.0,"L0.1.0.0.1.1",6,0.029039749409619023,0.029803953341451105,1,1,0,1,0.13911448028895618,"OPTIMAL",0.48062089206393543,20.664646699999999
L0.1.0.0.1.1.1,"L0.1.0.0.1.1",6,0.029803953341451105,0.030568157273283183,1,1,0,1,0.13909643607417313,"OPTIMAL",0.52032541954778955,21.014212400000002
L0.1.0.1.0.0.0,"L0.1.0.1.0.0",6,0.030568157273283183,0.031332361205115261,1,1,0,1,0.13914457930289001,"OPTIMAL",0.57717618162734841,23.3621032
L0.1.0.1.0.0.1,"L0.1.0.1.0.0",6,0.031332361205115261,0.032096565136947343,1,1,0,1,0.139191937992449,"OPTIMAL",0.62489292545636921,23.723599400000001
L0.1.0.0.1.0.0,"L0.1.0.0.1.0",6,0.027511341545954866,0.028275545477786945,1,1,0,1,0.13924938028173175,"OPTIMAL",0.40748156089893883,26.2608864
