sequence,timestamp,instance,arm,budget_seconds,run_id,skipped_existing,return_code,wall_seconds,engineering_blocker,run_order
21,2026-07-13T23:45:06+08:00,high_imbalance_seed3201,tailored_controlling_scheduler_static,300,official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,False,0,294.3262519999407,,21
22,2026-07-13T23:50:07+08:00,tight_T_seed3102,plain_cplex,300,official__tight_T_seed3102__plain_cplex__300s,False,0,300.1620398000814,,22
23,2026-07-13T23:55:01+08:00,tight_T_seed3102,tailored_legacy_scheduler_static,300,official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,False,0,294.2112265001051,,23
24,2026-07-13T23:59:56+08:00,tight_T_seed3102,tailored_controlling_scheduler_static,300,official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,False,0,294.0791782999877,,24
25,2026-07-14T00:07:22+08:00,V12_M1,plain_cplex,900,official__V12_M1__plain_cplex__900s,False,0,183.07485620002262,,
26,2026-07-14T00:18:18+08:00,V12_M1,tailored_legacy_scheduler_static,900,official__V12_M1__tailored_legacy_scheduler_static__900s,False,0,655.588463800028,,
27,2026-07-14T00:20:00+08:00,V12_M1,tailored_controlling_scheduler_static,900,official__V12_M1__tailored_controlling_scheduler_static__900s,False,0,101.43645689985715,,
28,2026-07-14T00:35:00+08:00,V12_M2,plain_cplex,900,official__V12_M2__plain_cplex__900s,False,0,900.1956207000185,,
29,2026-07-14T00:39:51+08:00,V12_M2,tailored_legacy_scheduler_static,900,official__V12_M2__tailored_legacy_scheduler_static__900s,False,0,289.7137450000737,,
30,2026-07-14T00:47:47+08:00,V12_M2,tailored_controlling_scheduler_static,900,official__V12_M2__tailored_controlling_scheduler_static__900s,False,0,476.2509471999947,,
31,2026-07-14T01:02:48+08:00,tight_T_seed3101,plain_cplex,900,official__tight_T_seed3101__plain_cplex__900s,False,0,900.161751100095,,
32,2026-07-14T01:04:04+08:00,tight_T_seed3101,tailored_legacy_scheduler_static,900,official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,False,0,76.145058499882,,
33,2026-07-14T01:18:47+08:00,tight_T_seed3101,tailored_controlling_scheduler_static,900,official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,False,0,882.3243785998784,,
34,2026-07-14T01:33:48+08:00,high_imbalance_seed3202,plain_cplex,900,official__high_imbalance_seed3202__plain_cplex__900s,False,0,900.1513706999831,,
35,2026-07-14T01:38:39+08:00,high_imbalance_seed3202,tailored_legacy_scheduler_static,900,official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,False,0,291.29929240001366,,
36,2026-07-14T01:53:22+08:00,high_imbalance_seed3202,tailored_controlling_scheduler_static,900,official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,False,0,882.2218097997829,,
37,2026-07-14T02:08:25+08:00,moderate_seed3301,plain_cplex,900,official__moderate_seed3301__plain_cplex__900s,False,0,902.2649296999443,,
38,2026-07-14T02:25:25+08:00,moderate_seed3301,tailored_legacy_scheduler_static,900,official__moderate_seed3301__tailored_legacy_scheduler_static__900s,False,-98,1020.0185883999802,,
39,2026-07-14T02:40:08+08:00,moderate_seed3301,tailored_controlling_scheduler_static,900,official__moderate_seed3301__tailored_controlling_scheduler_static__900s,False,0,882.1962826000527,,
40,2026-07-14T02:55:09+08:00,moderate_seed3302,plain_cplex,900,official__moderate_seed3302__plain_cplex__900s,False,0,900.8491565999575,,
41,2026-07-14T03:12:09+08:00,moderate_seed3302,tailored_legacy_scheduler_static,900,official__moderate_seed3302__tailored_legacy_scheduler_static__900s,False,-98,1020.0386925002094,,
