serial_order,run_id,panel_ordinal,panel_row_id,instance_id,V,M,scenario,round35_pattern,arm,startup_variant,proof_source,anchor_source,split_normalization,process_cap_seconds,shutdown_margin_seconds,watchdog_seconds,rho,initial_interval_count,frozen_before_causal_results
27,r36_07_high_imbalance_seed5203__bw_p__1800s,7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,20,3,high_imbalance,3_simple_ub_weaker_exact_phase_faster,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
28,r36_07_high_imbalance_seed5203__bw_a__1800s,7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,20,3,high_imbalance,3_simple_ub_weaker_exact_phase_faster,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
29,r36_08_tight_T_seed5102__hh__1800s,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,3_simple_ub_weaker_exact_phase_faster,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
30,r36_08_tight_T_seed5102__ss__1800s,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,3_simple_ub_weaker_exact_phase_faster,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
31,r36_08_tight_T_seed5102__bw_p__1800s,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,3_simple_ub_weaker_exact_phase_faster,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
32,r36_08_tight_T_seed5102__bw_a__1800s,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,3_simple_ub_weaker_exact_phase_faster,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
33,r36_09_round31_sealed_moderate_V50_seed1112848618__hh__3600s,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,5_simple_certification_or_final_gap_regression,HH,hga-full,hga,hga,proof,3600,15,3690,0.01,4,True
34,r36_09_round31_sealed_moderate_V50_seed1112848618__ss__3600s,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,5_simple_certification_or_final_gap_regression,SS,simple-start,simple,simple,proof,3600,15,3690,0.01,4,True
35,r36_09_round31_sealed_moderate_V50_seed1112848618__bw_p__3600s,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,5_simple_certification_or_final_gap_regression,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,3600,15,3690,0.01,4,True
36,r36_09_round31_sealed_moderate_V50_seed1112848618__bw_a__3600s,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,5_simple_certification_or_final_gap_regression,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,3600,15,3690,0.01,4,True
37,r36_10_high_imbalance_seed6202__hh__3600s,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,5_simple_certification_or_final_gap_regression,HH,hga-full,hga,hga,proof,3600,15,3690,0.01,4,True
38,r36_10_high_imbalance_seed6202__ss__3600s,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,5_simple_certification_or_final_gap_regression,SS,simple-start,simple,simple,proof,3600,15,3690,0.01,4,True
39,r36_10_high_imbalance_seed6202__bw_p__3600s,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,5_simple_certification_or_final_gap_regression,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,3600,15,3690,0.01,4,True
40,r36_10_high_imbalance_seed6202__bw_a__3600s,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,5_simple_certification_or_final_gap_regression,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,3600,15,3690,0.01,4,True
41,r36_11_tight_T_seed6102__hh__3600s,11,r36_11_tight_T_seed6102,tight_T_seed6102,50,3,tight_T,5_simple_certification_or_final_gap_regression,HH,hga-full,hga,hga,proof,3600,15,3690,0.01,4,True
42,r36_11_tight_T_seed6102__ss__3600s,11,r36_11_tight_T_seed6102,tight_T_seed6102,50,3,tight_T,5_simple_certification_or_final_gap_regression,SS,simple-start,simple,simple,proof,3600,15,3690,0.01,4,True
43,r36_11_tight_T_seed6102__bw_p__3600s,11,r36_11_tight_T_seed6102,tight_T_seed6102,50,3,tight_T,5_simple_certification_or_final_gap_regression,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,3600,15,3690,0.01,4,True
44,r36_11_tight_T_seed6102__bw_a__3600s,11,r36_11_tight_T_seed6102,tight_T_seed6102,50,3,tight_T,5_simple_certification_or_final_gap_regression,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,3600,15,3690,0.01,4,True
45,r36_12_round32_multi_m_moderate_V50_M4_seed721910669__hh__3600s,12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,5_simple_certification_or_final_gap_regression,HH,hga-full,hga,hga,proof,3600,15,3690,0.01,4,True
46,r36_12_round32_multi_m_moderate_V50_M4_seed721910669__ss__3600s,12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,5_simple_certification_or_final_gap_regression,SS,simple-start,simple,simple,proof,3600,15,3690,0.01,4,True
47,r36_12_round32_multi_m_moderate_V50_M4_seed721910669__bw_p__3600s,12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,5_simple_certification_or_final_gap_regression,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,3600,15,3690,0.01,4,True
48,r36_12_round32_multi_m_moderate_V50_M4_seed721910669__bw_a__3600s,12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,5_simple_certification_or_final_gap_regression,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,3600,15,3690,0.01,4,True
49,r36_13_moderate_seed4302__hh__1800s,13,r36_13_moderate_seed4302,moderate_seed4302,20,3,moderate,2_simple_ub_weaker_exact_phase_similar,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
50,r36_13_moderate_seed4302__ss__1800s,13,r36_13_moderate_seed4302,moderate_seed4302,20,3,moderate,2_simple_ub_weaker_exact_phase_similar,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
51,r36_13_moderate_seed4302__bw_p__1800s,13,r36_13_moderate_seed4302,moderate_seed4302,20,3,moderate,2_simple_ub_weaker_exact_phase_similar,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
52,r36_13_moderate_seed4302__bw_a__1800s,13,r36_13_moderate_seed4302,moderate_seed4302,20,3,moderate,2_simple_ub_weaker_exact_phase_similar,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
53,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__hh__1800s,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,1_simple_ub_not_weaker_simple_faster,HH,hga-full,hga,hga,proof,1800,15,1890,0.01,4,True
54,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__ss__1800s,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,1_simple_ub_not_weaker_simple_faster,SS,simple-start,simple,simple,proof,1800,15,1890,0.01,4,True
55,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__bw_p__1800s,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,1_simple_ub_not_weaker_simple_faster,BW-P,hga-full,best-of-hga-simple,wide-of-hga-simple,proof,1800,15,1890,0.01,4,True
56,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__bw_a__1800s,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,1_simple_ub_not_weaker_simple_faster,BW-A,hga-full,best-of-hga-simple,wide-of-hga-simple,anchor,1800,15,1890,0.01,4,True
