leaf_id,parent_id,depth,gamma_L,gamma_U,terminal_valid,optimal,infeasible,bound_available,lower_bound,native_status,work,iterations,telemetry_seconds
R.0.1.0.0.0.1.1.0.0.0,"R.0.1.0.0.0.1.1.0.0",10,0.15394022671535401,0.15449001323933742,1,1,0,1,0.39800186709403268,"OPTIMAL",0.59942220605555618,2963,27.742538400000001
R.0.1.0.0.0.1.1.0.0.1,"R.0.1.0.0.0.1.1.0.0",10,0.15449001323933742,0.15503979976332083,1,1,0,1,0.39800570136680352,"OPTIMAL",0.60080656224701601,2959,29.215919599999999
R.0.1.0.0.0.1.1.0.1.0,"R.0.1.0.0.0.1.1.0.1",10,0.15503979976332083,0.15558958628730424,1,1,0,1,0.39801046869190576,"OPTIMAL",0.60606532023245219,3107,30.664431499999999
R.0.1.0.0.0.1.1.0.1.1,"R.0.1.0.0.0.1.1.0.1",10,0.15558958628730424,0.15613937281128765,1,1,0,1,0.39801812465461811,"OPTIMAL",0.61474164875157711,3027,32.100001599999999
R.0.1.0.0.0.1.0.0.1.0,"R.0.1.0.0.0.1.0.0.1",10,0.15064150757145356,0.15119129409543697,1,1,0,1,0.39802338134387877,"OPTIMAL",0.72065608256297098,3486,33.621845899999997
R.0.1.0.0.0.1.0.0.1.1,"R.0.1.0.0.0.1.0.0.1",10,0.15119129409543697,0.15174108061942038,1,1,0,1,0.39801351327895679,"OPTIMAL",0.66132679600355959,3246,34.772097700000003
R.0.1.0.0.0.1.1.1.0.0,"R.0.1.0.0.0.1.1.1.0",10,0.15613937281128765,0.15668915933527106,1,1,0,1,0.39802693232828018,"OPTIMAL",0.63238985917607238,3021,36.193069299999998
R.0.1.0.0.0.1.1.1.0.1,"R.0.1.0.0.0.1.1.1.0",10,0.15668915933527106,0.15723894585925446,1,1,0,1,0.39803807991844808,"OPTIMAL",0.60979666604734151,3208,37.530568700000003
R.0.1.0.0.0.1.0.0.0.0,"R.0.1.0.0.0.1.0.0.0",10,0.14954193452348677,0.15009172104747015,1,1,0,1,0.39804754672424214,"OPTIMAL",0.69968987550332928,3608,38.945270499999999
R.0.1.0.0.0.1.0.0.0.1,"R.0.1.0.0.0.1.0.0.0",10,0.15009172104747015,0.15064150757145356,1,1,0,1,0.39803459883884151,"OPTIMAL",0.68172633976314045,3353,40.100169600000001
