record_granularity,official_run_id,instance,decision_sequence,interval_id,family,variable_count,parent_effective_cardinality_sum,parent_rc_cardinality_sum,left_rc_cardinality_sum,right_rc_cardinality_sum,parent_fixed_count,left_fixed_count,right_fixed_count,parent_tightened_count,left_tightened_count,right_tightened_count,exact_child_disjoint_count,full_row_level_ledger_committed
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,2,L0.0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,2,L0.0,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,2,L0.0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,3,L0.1,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,3,L0.1,final_inventory,12,164,164,164,84,0,0,1,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,3,L0.1,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,3,L0.1,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,3,L0.1,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,3,L0.1,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,3,L0.1,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L0.0.1,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L0.0.1,final_inventory,12,215,215,215,191,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L0.0.1,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L0.0.1,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L0.0.1,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L0.0.1,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,4,L0.0.1,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,5,L0.1.0,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,5,L0.1.0,final_inventory,12,164,164,164,124,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,5,L0.1.0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,5,L0.1.0,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,5,L0.1.0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,5,L0.1.0,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,5,L0.1.0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,6,L0.0.1.0,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,6,L0.0.1.0,final_inventory,12,215,215,215,208,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,6,L0.0.1.0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,6,L0.0.1.0,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,6,L0.0.1.0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,6,L0.0.1.0,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,6,L0.0.1.0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,7,L0.1.0.0,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,7,L0.1.0.0,final_inventory,12,164,164,164,146,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,7,L0.1.0.0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,7,L0.1.0.0,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,7,L0.1.0.0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,7,L0.1.0.0,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,7,L0.1.0.0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,8,L0.0.1.1,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,8,L0.0.1.1,final_inventory,12,191,191,191,176,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,8,L0.0.1.1,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,8,L0.0.1.1,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,8,L0.0.1.1,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,8,L0.0.1.1,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,8,L0.0.1.1,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,9,L0.1.0.0.0,drop_quantity,36,705,705,705,705,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,9,L0.1.0.0.0,final_inventory,12,164,164,164,156,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,9,L0.1.0.0.0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,9,L0.1.0.0.0,pickup_quantity,36,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,9,L0.1.0.0.0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,9,L0.1.0.0.0,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-RC-A,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,9,L0.1.0.0.0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,1,L0,drop_quantity,36,612,612,612,612,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,1,L0,final_inventory,12,214,214,214,214,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,1,L0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,1,L0,pickup_quantity,36,612,612,612,612,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,1,L0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,1,L0,vehicle_load,36,1116,1116,1116,1116,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-RC-A,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,1,L0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,L0,drop_quantity,30,420,420,420,420,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,L0,final_inventory,10,154,154,154,154,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,L0,operation_mode,30,60,60,60,60,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,L0,pickup_quantity,30,393,393,393,393,3,3,3,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,L0,routing_arc,330,660,660,660,660,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,L0,vehicle_load,30,630,630,630,630,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-RC-A,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,L0,visit_selection,30,60,60,60,60,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,L0,drop_quantity,36,501,501,501,501,6,6,6,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,L0,final_inventory,12,217,217,217,217,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,L0,operation_mode,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,L0,pickup_quantity,36,558,558,558,558,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,L0,routing_arc,468,936,936,936,936,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,L0,vehicle_load,36,756,756,756,756,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-RC-A,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,L0,visit_selection,36,72,72,72,72,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503,1,L0,drop_quantity,24,370,370,370,370,2,2,2,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503,1,L0,final_inventory,12,220,220,220,220,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503,1,L0,operation_mode,24,48,48,48,48,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503,1,L0,pickup_quantity,24,350,350,350,350,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503,1,L0,routing_arc,312,624,624,624,624,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503,1,L0,vehicle_load,24,504,504,504,504,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-RC-A,round39_small_hard_V12_M2_Q20_slot06_seed258908503,1,L0,visit_selection,24,48,48,48,48,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,1,L0,drop_quantity,60,873,873,873,873,6,6,6,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,1,L0,final_inventory,20,562,552,550,548,0,0,0,1,1,1,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,1,L0,operation_mode,60,120,120,120,120,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,1,L0,pickup_quantity,60,1056,1056,1056,1056,9,9,9,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,1,L0,routing_arc,1260,2520,2520,2520,2520,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,1,L0,vehicle_load,60,1860,1860,1860,1860,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,1,L0,visit_selection,60,120,120,120,120,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,10,L0.0.1.1.1.1,drop_quantity,60,873,873,873,873,6,6,6,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,10,L0.0.1.1.1.1,final_inventory,20,556,547,547,547,0,0,0,1,1,1,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,10,L0.0.1.1.1.1,operation_mode,60,120,120,120,120,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,10,L0.0.1.1.1.1,pickup_quantity,60,1056,1056,1053,1056,9,9,9,0,1,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,10,L0.0.1.1.1.1,routing_arc,1260,2520,2520,2520,2520,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,10,L0.0.1.1.1.1,vehicle_load,60,1860,1860,1860,1860,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,10,L0.0.1.1.1.1,visit_selection,60,120,120,120,120,0,0,0,0,0,0,0,False
decision_family_compact,stage3_300s__high_imbalance_seed3201__K1-AM-RC-A,high_imbalance_seed3201,5,L0.1.0,drop_quantity,60,873,873,873,873,6,6,6,0,0,0,0,False
