state,lp_state,purpose,model_path,model_sha256,optimal,terminal_valid,primal_values_available,reduced_costs_available,basis_status_available,live_score_solve
B1,L,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF/external/models/L0.0.lp,5ce0f71215174c5f2c2269ca4cacdc0a69ca35d9e742531e9592da347a576763,1,1,1,1,1,False
B1,R,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMF/external/models/L0.1.lp,4540c2f313b4709ac21f265af599cce85419b50ca64992743376f05d28aee587,1,1,1,1,1,False
B2,P,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMF/external/models/L0.lp,abc591fff4a2457e7a3a4eb7c3b470869bf7ae9e310ed8ebcfab369e6a998440,1,1,1,1,1,False
B2,L,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMF/external/models/L0.0.lp,2af46f24710ab1df99cf469b274fa88c1f5724b0d7a3e377046555d5d6f01108,1,1,1,1,1,False
B2,R,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMF/external/models/L0.1.lp,fa8360c907eee69517c909eb7cceebeb76d1e267731ce7b1d4eed42797f0480b,1,1,1,1,1,False
B3,P,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__high_imbalance_seed3201__K1-AMF/external/models/L0.lp,a85c2771d9874c42c5ce65535f9798f390e9e0bca6783abcda12a11ff74a5ac5,1,1,1,1,1,False
B3,L,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__high_imbalance_seed3201__K1-AMF/external/models/L0.0.lp,a3766210aaa1c1ddfed094ad0013f1d8425c084e5bc3a14887cadf3f9505b01a,1,1,1,1,1,False
B3,R,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__high_imbalance_seed3201__K1-AMF/external/models/L0.1.lp,b3b46478269b04bcbac6c4337f6aa98782e8804d27f40bdc5aa7bb5705270a39,1,1,1,1,1,False
B4,P,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__moderate_seed3301__K1-AMF/external/models/L0.lp,189351aec15b0e96c7e886e99e61aa2cb51710a987ca5a9c297ba6ae73146095,1,1,1,1,1,False
B4,L,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__moderate_seed3301__K1-AMF/external/models/L0.0.lp,d32e46c8b6899b8c6ce6def8a75d4b2dd5d13d0b1a099019e88fed77350a1271,1,1,1,1,1,False
B4,R,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__moderate_seed3301__K1-AMF/external/models/L0.1.lp,95a776c446f2ddf28aea2f930d25074ec594866f3eff1ac3d8792a8caba0ef2c,1,1,1,1,1,False
U1,P,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AMF/external/models/L0.lp,c78ce31ee342d5fdd4e0fb793b38c40876fbc5103ab05940a2ea52bf3cd5feb9,1,1,1,1,1,False
U1,L,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AMF/external/models/L0.0.lp,d2ded41b25049ef80831fd87a81072efc88c34269a11b270b1d55eb1aa2be6af,1,1,1,1,1,False
U1,R,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AMF/external/models/L0.1.lp,78d46018c68d250530a00d9f5fe47c18fc8e34f860e5f55e054e1f219d3cfb88,1,1,1,1,1,False
T1,P,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__tight_T_seed3102__K1-AMF/external/models/L0.0.lp,de6043550459538877b79bf9de73bb88a9ff035e95933eb6343da4175045a28b,1,1,1,1,1,False
T1,L,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__tight_T_seed3102__K1-AMF/external/models/L0.0.0.lp,e7343e97941e2142c6befe4d54f93c29f846d77b26e2327d52262f1a642aba23,1,1,1,1,1,False
T1,R,offline_primal_dual_attribute_extraction,results/gf_k1_amf_formulation_rescue_round48/runs/stage3_300s__tight_T_seed3102__K1-AMF/external/models/L0.0.1.lp,70e3216fa6c984e2d16b46247ce435c07e590c6b3cd197c70ea7a84a85cd7cd4,1,1,1,1,1,False
