parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L1,0.277261,L1.0,0,1,L1.1,0.292961,0,0.292961,1e-07,"child_lp_infeasible"
L2,0.294243,L2.0,0.295729,0,L2.1,0.32305,0,0.295729,1e-07,"strict_child_lp_bound_improvement"
L3,0.354035,L3.0,0.354035,0,L3.1,0,1,0.354035,1e-07,"child_lp_infeasible"
L1.1,0.292961,L1.1.0,0,1,L1.1.1,0.300833,0,0.300833,1e-07,"child_lp_infeasible"
L2.0,0.295729,L2.0.0,0.297683,0,L2.0.1,0.308483,0,0.297683,1e-07,"strict_child_lp_bound_improvement"
L2.0.0,0.297683,L2.0.0.0,0.299819,0,L2.0.0.1,0.30329,0,0.299819,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0,0.299819,L2.0.0.0.0,0.301439,0,L2.0.0.0.1,0.302364,0,0.301439,1e-07,"strict_child_lp_bound_improvement"
L1.1.1,0.300833,L1.1.1.0,0,1,L1.1.1.1,0.304772,0,0.304772,1e-07,"child_lp_infeasible"
L2.0.0.0.0,0.301439,L2.0.0.0.0.0,0.3032,0,L2.0.0.0.0.1,0.302649,0,0.302649,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1,0.302364,L2.0.0.0.1.0,0.303088,0,L2.0.0.0.1.1,0.303635,0,0.303088,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.0.1,0.302649,L2.0.0.0.0.1.0,0.303139,0,L2.0.0.0.0.1.1,0.303254,0,0.303139,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.0,0.303088,L2.0.0.0.1.0.0,0.303457,0,L2.0.0.0.1.0.1,0.303723,0,0.303457,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.0.1.0,0.303139,L2.0.0.0.0.1.0.0,0.303659,0,L2.0.0.0.0.1.0.1,0.303442,0,0.303442,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.0.0,0.3032,L2.0.0.0.0.0.0,0.305455,0,L2.0.0.0.0.0.1,0.303731,0,0.303731,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.0.1.1,0.303254,L2.0.0.0.0.1.1.0,0.303498,0,L2.0.0.0.0.1.1.1,0.303557,0,0.303498,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1,0.30329,L2.0.0.1.0,0.303832,0,L2.0.0.1.1,0.306099,0,0.303832,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.0.1.0.1,0.303442,L2.0.0.0.0.1.0.1.0,0.303636,0,L2.0.0.0.0.1.0.1.1,0.303594,0,0.303594,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.0.0,0.303457,L2.0.0.0.1.0.0.0,0.303639,0,L2.0.0.0.1.0.0.1,0.303772,0,0.303639,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.0.1.1.0,0.303498,L2.0.0.0.0.1.1.0.0,0.303621,0,L2.0.0.0.0.1.1.0.1,0.30365,0,0.303621,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.0.1.1.1,0.303557,L2.0.0.0.0.1.1.1.0,0.30368,0,L2.0.0.0.0.1.1.1.1,0.30371,0,0.30368,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.1,0.303635,L2.0.0.0.1.1.0,0.303993,0,L2.0.0.0.1.1.1,0.30427,0,0.303993,1e-07,"strict_child_lp_bound_improvement"
