event_sequence,elapsed_runtime_seconds,work,incumbent_available,incumbent,best_bound_available,best_bound,processed_nodes,open_nodes,solution_count,callback_where,phase,context
77,24.991999864578247,53.210449987857736,true,3.3347286511060803,true,0.54541624979454517,61,61,1.5316035021078643e-322,3,1,MIP
78,25.115999937057495,53.45331090218437,true,3.3347286511060803,true,0.54541624979454517,63,63,1.5316035021078643e-322,3,1,MIP
79,25.260999917984009,53.784441727116857,true,3.3347286511060803,true,0.54541624979454517,66,66,1.5316035021078643e-322,3,1,MIP
80,25.489999771118164,54.276846798025332,true,3.3346217168000121,true,0.54541624979454517,69,69,1.5810100666919889e-322,3,1,MIP
81,25.592000007629395,54.506998737778325,true,3.3346217168000121,true,0.54541624979454517,72,72,1.5810100666919889e-322,3,1,MIP
82,25.700999975204468,54.756030728544168,true,3.3346217168000121,true,0.54541624979454517,75,75,1.5810100666919889e-322,3,1,MIP
83,25.904999971389771,55.132245835317327,true,3.3346217168000121,true,0.54541624979454517,78,78,1.5810100666919889e-322,3,1,MIP
84,26.027999877929688,55.408449466065314,true,3.3346217168000121,true,0.54541624979454517,81,81,1.5810100666919889e-322,3,1,MIP
85,26.154999971389771,55.687463218182785,true,3.3346217168000121,true,0.54541624979454517,85,85,1.5810100666919889e-322,3,1,MIP
86,26.262999773025513,55.88436273832518,true,3.3346217168000121,true,0.54541624979454517,87,87,1.5810100666919889e-322,3,1,MIP
87,26.381999969482422,56.160512242661561,true,3.3346217168000121,true,0.54541624979454517,91,91,1.5810100666919889e-322,3,1,MIP
88,26.546999931335449,56.562021712684519,true,3.3346217168000121,true,0.54541624979454517,93,93,1.5810100666919889e-322,3,1,MIP
89,26.700999975204468,56.876789446294936,true,3.3346217168000121,true,0.54541624979454517,95,95,1.5810100666919889e-322,3,1,MIP
90,26.885999917984009,57.251268381222069,true,3.3346217168000121,true,0.54541624979454517,98,98,1.5810100666919889e-322,3,1,MIP
91,26.98799991607666,57.487652569883309,true,3.3346217168000121,true,0.54541624979454517,101,101,1.5810100666919889e-322,3,1,MIP
92,27.107999801635742,57.766308569441144,true,3.3346217168000121,true,0.54541624979454517,104,104,1.5810100666919889e-322,3,1,MIP
93,27.214999914169312,57.950280945942879,true,3.3346217168000121,true,0.54541624979454517,105,105,1.5810100666919889e-322,3,1,MIP
