scenario_id,method,certificate_at_10800,valid_lower_bound_at_10800,verified_upper_bound_at_10800,relative_gap_at_10800,authorized_next_cap_seconds,decision_reason,decision_frozen_from_10800_result,post_16200_authorized_next_cap_seconds,post_16200_decision_reason
cb443_V50_regional_r2_surplus_M07_Q30_T03600,k1_am_sf,False,0.4224838168669283,0.9037027092008609,0.5324969012867867,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_regional_r2_surplus_M07_Q30_T03600,pgrb,False,0.3927229852720102,0.9326856225764267,0.5789331627229737,,relative_gap_above_ten_percent_stop,True,,
cb443_V20_regional_r1_surplus_M02_Q30_T03600,pgrb,True,0.6620541557710068,0.6620542879155705,1.9959777641791202e-07,,certified_at_10800_stop,True,,
cb443_V30_compact_r1_shortage_M03_Q30_T03600,k1_am_sf,False,0.4698166869591504,0.6486421073654243,0.2756919700026957,,relative_gap_above_ten_percent_stop,True,,
cb443_V30_compact_r1_shortage_M03_Q30_T03600,pgrb,False,0.44423520708984676,0.653963771715447,0.320703643988489,,relative_gap_above_ten_percent_stop,True,,
cb443_V30_compact_r1_shortage_M03_Q30_T18000,k1_am_sf,False,0.15058084346776454,0.15708313110317407,0.04139392683189353,21600,five_percent_tier_direct_21600,True,,
cb443_V30_compact_r1_shortage_M03_Q30_T18000,pgrb,False,0.1536106208994493,0.15724117585229214,0.023089085496621316,21600,five_percent_tier_direct_21600,True,,
cb443_V30_regional_r1_balanced_M03_Q30_T03600,k1_am_sf,False,0.32091708602015223,0.39027501914283436,0.17771553320274963,,relative_gap_above_ten_percent_stop,True,,
cb443_V30_regional_r1_balanced_M03_Q30_T03600,pgrb,False,0.2872956436181594,0.39092036045820516,0.26507884296071266,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_compact_r1_surplus_M04_Q30_T03600,k1_am_sf,False,1.0317310052085398,1.2331005033155256,0.16330339462643087,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_compact_r1_surplus_M04_Q30_T03600,pgrb,False,0.9418575884865291,1.2465728684740134,0.24444241302997402,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_regional_r1_shortage_M04_Q30_T03600,k1_am_sf,False,0.9376112732047348,1.1479599483529417,0.18323694607116633,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_regional_r1_shortage_M04_Q30_T03600,pgrb,False,0.8114221426366475,1.1871800877683896,0.31651301180267927,,relative_gap_above_ten_percent_stop,True,,
cb443_V50_regional_r1_shortage_M04_Q30_T18000,k1_am_sf,False,0.20035903678613756,0.21564407531579494,0.07088086471781595,16200,ten_percent_tier_16200,True,,post_16200_gap_above_five_percent_stop
cb443_V50_regional_r1_shortage_M04_Q30_T18000,pgrb,False,0.19920237359855533,0.21959755175403461,0.09287525290046666,16200,ten_percent_tier_16200,True,,post_16200_gap_above_five_percent_stop
