scenario_id,method,attempt_count,entered_caps_seconds,official_cap_seconds,official_algorithm_wall_time,official_algorithm_work,total_experimental_compute_time,total_experimental_compute_work,screen_time_not_added_to_fresh_long_run
cb443_V30_regional_r2_surplus_M03_Q20_T01800,pgrb,3,3600;10800;16200,16200,16199.016203,30440.1908986898,30595.8943786,58244.33738382163,True
cb443_V50_compact_r1_shortage_M04_Q30_T01800,k1_am_sf,3,3600;10800;16200,16200,16198.1394612,40028.45058467741,30594.3671404,74600.99959255337,True
cb443_V50_compact_r1_shortage_M04_Q30_T01800,pgrb,2,3600;10800,10800,10798.2234464,24665.92951721729,14396.3762584,32924.57446201795,True
cb443_V50_compact_r2_balanced_M07_Q20_T03600,k1_am_sf,2,3600;10800,10800,10798.1436222,28544.274272020837,14396.2943505,37824.79062704067,True
cb443_V50_compact_r2_balanced_M07_Q20_T03600,pgrb,2,3600;10800,10800,10798.0798645,24929.399525396468,14396.1460008,33707.386758917746,True
cb443_V50_compact_r2_surplus_M04_Q20_T10800,k1_am_sf,2,3600;10800,10800,10798.1553894,19632.133052098197,14396.2729024,26369.36660899657,True
cb443_V50_compact_r2_surplus_M04_Q20_T10800,pgrb,2,3600;10800,10800,10799.6938335,19791.033204237556,14397.8091857,26310.321926411816,True
cb443_V50_regional_r2_shortage_M07_Q20_T18000,k1_am_sf,3,3600;10800;16200,16200,16199.8770453,38780.51167417263,30596.2907345,73196.39327228168,True
cb443_V50_regional_r2_shortage_M07_Q20_T18000,pgrb,3,3600;10800;16200,16200,16198.3188123,38504.33572745051,30594.746723700002,70503.77611297462,True
cb443_V50_regional_r1_balanced_M04_Q30_T01800,k1_am_sf,1,3600,3600,2788.8363446,5893.144010984095,2788.8363446,5893.144010984095,True
cb443_V50_regional_r1_balanced_M04_Q30_T01800,pgrb,2,3600;10800,10800,10798.1781895,25577.921435556273,14396.3941759,33818.36361331749,True
cb443_V50_regional_r2_surplus_M07_Q30_T03600,k1_am_sf,2,3600;10800,10800,10798.1172881,34822.2550129116,14396.2413216,46159.91465901315,True
cb443_V50_regional_r2_surplus_M07_Q30_T03600,pgrb,2,3600;10800,10800,10798.1228362,25672.919286186723,14396.2147475,34522.1261593427,True
cb443_V08_compact_r1_shortage_M01_Q30_T03600,k1_am_sf,1,3600,3600,7.8944829,4.358186914006084,7.8944829,4.358186914006084,True
cb443_V08_compact_r1_shortage_M01_Q30_T03600,pgrb,1,3600,3600,3.9373434,5.239310529220555,3.9373434,5.239310529220555,True
cb443_V08_compact_r1_shortage_M01_Q30_T18000,k1_am_sf,1,3600,3600,8.0417805,0.5028515372058111,8.0417805,0.5028515372058111,True
cb443_V08_compact_r1_shortage_M01_Q30_T18000,pgrb,1,3600,3600,0.5310521,0.41704257260012734,0.5310521,0.41704257260012734,True
cb443_V08_regional_r2_balanced_M01_Q30_T03600,k1_am_sf,1,3600,3600,2.6543021,0.9321088345174614,2.6543021,0.9321088345174614,True
cb443_V08_regional_r2_balanced_M01_Q30_T03600,pgrb,1,3600,3600,0.9772893,1.025878706813004,0.9772893,1.025878706813004,True
cb443_V08_regional_r2_balanced_M01_Q30_T18000,k1_am_sf,1,3600,3600,2.9961499,0,2.9961499,0.0,True
cb443_V08_regional_r2_balanced_M01_Q30_T18000,pgrb,1,3600,3600,0.053091,0.028956746715545763,0.053091,0.028956746715545763,True
cb443_V12_compact_r2_surplus_M01_Q30_T03600,k1_am_sf,1,3600,3600,27.4022075,36.33796202305952,27.4022075,36.33796202305952,True
cb443_V12_compact_r2_surplus_M01_Q30_T03600,pgrb,1,3600,3600,39.6444087,64.85624106669611,39.6444087,64.85624106669611,True
cb443_V12_compact_r2_surplus_M01_Q30_T18000,k1_am_sf,1,3600,3600,31.4934773,0,31.4934773,0.0,True
cb443_V12_compact_r2_surplus_M01_Q30_T18000,pgrb,1,3600,3600,0.1019045,0.07113545791126148,0.1019045,0.07113545791126148,True
cb443_V12_regional_r2_shortage_M01_Q30_T03600,k1_am_sf,1,3600,3600,7.6129715,8.454913885175653,7.6129715,8.454913885175653,True
cb443_V12_regional_r2_shortage_M01_Q30_T03600,pgrb,1,3600,3600,4.0547409,5.939234212309891,4.0547409,5.939234212309891,True
cb443_V12_regional_r2_shortage_M01_Q30_T18000,k1_am_sf,1,3600,3600,38.7017197,2.9224895690929973,38.7017197,2.9224895690929973,True
cb443_V12_regional_r2_shortage_M01_Q30_T18000,pgrb,1,3600,3600,1.2992013,1.657397281834802,1.2992013,1.657397281834802,True
cb443_V20_compact_r2_balanced_M02_Q30_T03600,k1_am_sf,1,3600,3600,1044.4795227,2316.6058938279866,1044.4795227,2316.6058938279866,True
cb443_V20_compact_r2_balanced_M02_Q30_T03600,pgrb,1,3600,3600,3598.3368332,7383.039426123792,3598.3368332,7383.039426123792,True
cb443_V20_compact_r2_balanced_M02_Q30_T18000,k1_am_sf,1,3600,3600,24.2257452,0,24.2257452,0.0,True
cb443_V20_compact_r2_balanced_M02_Q30_T18000,pgrb,1,3600,3600,0.8927225,1.3195313108060651,0.8927225,1.3195313108060651,True
cb443_V20_regional_r1_surplus_M02_Q30_T03600,k1_am_sf,1,3600,3600,1115.1372345,2278.367580920812,1115.1372345,2278.367580920812,True
cb443_V20_regional_r1_surplus_M02_Q30_T03600,pgrb,2,3600;10800,10800,9772.0870941,20105.490522434146,13370.5041151,27302.449733591682,True
cb443_V20_regional_r1_surplus_M02_Q30_T18000,k1_am_sf,1,3600,3600,50.6570203,0,50.6570203,0.0,True
cb443_V20_regional_r1_surplus_M02_Q30_T18000,pgrb,1,3600,3600,0.3329653,0.4533911446251661,0.3329653,0.4533911446251661,True
cb443_V30_compact_r1_shortage_M03_Q30_T03600,k1_am_sf,2,3600;10800,10800,10798.1334484,27090.44649657422,14396.1921781,35852.03758056333,True
cb443_V30_compact_r1_shortage_M03_Q30_T03600,pgrb,2,3600;10800,10800,10798.7885421,22356.10998701772,14396.991563599999,30043.634025125306,True
cb443_V30_compact_r1_shortage_M03_Q30_T18000,k1_am_sf,3,3600;10800;21600,21600,21598.4135766,44046.55155257254,35994.7486698,72097.24099503025,True
cb443_V30_compact_r1_shortage_M03_Q30_T18000,pgrb,3,3600;10800;21600,21600,21598.7977694,48203.794352756704,35995.363142,79491.35624457653,True
cb443_V30_regional_r1_balanced_M03_Q30_T03600,k1_am_sf,2,3600;10800,10800,10798.1031351,28653.70320743298,14396.1932813,37454.91892850139,True
cb443_V30_regional_r1_balanced_M03_Q30_T03600,pgrb,2,3600;10800,10800,10798.4941316,23190.359036589023,14396.648226000001,30994.151496726154,True
cb443_V30_regional_r1_balanced_M03_Q30_T18000,k1_am_sf,1,3600,3600,68.8830287,0,68.8830287,0.0,True
cb443_V30_regional_r1_balanced_M03_Q30_T18000,pgrb,1,3600,3600,18.4180972,33.34161749038357,18.4180972,33.34161749038357,True
cb443_V50_compact_r1_surplus_M04_Q30_T03600,k1_am_sf,2,3600;10800,10800,10798.1391692,32554.332973041357,14396.2606832,43513.10744308225,True
cb443_V50_compact_r1_surplus_M04_Q30_T03600,pgrb,2,3600;10800,10800,10798.2396882,23945.175778362303,14399.0723681,31886.918990684673,True
cb443_V50_compact_r1_surplus_M04_Q30_T18000,k1_am_sf,1,3600,3600,190.7605148,0,190.7605148,0.0,True
cb443_V50_compact_r1_surplus_M04_Q30_T18000,pgrb,1,3600,3600,17.8793592,31.8944120879511,17.8793592,31.8944120879511,True
cb443_V50_regional_r1_shortage_M04_Q30_T03600,k1_am_sf,2,3600;10800,10800,10798.1126027,30711.71750689734,14396.201775999998,41919.47686780824,True
cb443_V50_regional_r1_shortage_M04_Q30_T03600,pgrb,2,3600;10800,10800,10798.2035994,24549.588634952943,14402.420715,32691.491847265184,True
cb443_V50_regional_r1_shortage_M04_Q30_T18000,k1_am_sf,3,3600;10800;16200,16200,16198.1258824,40762.43660929459,30594.35356,75752.03138264129,True
cb443_V50_regional_r1_shortage_M04_Q30_T18000,pgrb,3,3600;10800;16200,16200,16198.2463848,33535.274428414414,30597.570104000002,63442.05888363082,True
