completion_sequence_number,completion_timestamp_utc,scenario_id,dataset_family,V,geographic_regime,inventory_regime,replicate,M,Q,T,method,method_label,run_stage,process_cap_seconds,actual_wall_time_seconds,gurobi_work,native_status,strict_certificate,verified_incumbent_available,objective,G,P,valid_lower_bound,verified_upper_bound,absolute_gap,relative_gap,scaled_gap,nodes,simplex_iterations,split_count,interval_count,route_witness_status,expected_model_fingerprint,actual_model_fingerprint,fingerprint_match,completion_marker_path,result_path,run_identity_sha256,result_sha256,next_action,notes
1,2026-08-31T14:14:46.556766+00:00,cb443_V08_compact_r2_shortage_M01_Q30_T01800,citibike443-regional-v1,8,compact,shortage,2,1,30,1800,k1_am_sf,K1-AM-SF,screen_3600,3600,2.5734734,1.7945664445159282,optimal,True,True,0.6158836280552391,0.2627586935097846,2.35416623030303,0.6158836280552407,0.6158836280552391,0.0,0.0,0.0,2133,34136,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_shortage_M01_Q30_T01800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V08_compact_r2_shortage_M01_Q30_T01800/k1_am_sf/screen_3600/result.json,dd7711c3dde8d200eda4eda1ebc62ac586cdd0b553d9ce938d1a128fa56d338a,208c297acb7763e45e04a626eed45aa5f5ea070b151986a3f1fc5e46b09a7e82,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
29,2026-08-31T15:11:30.263527+00:00,cb443_V20_compact_r1_surplus_M02_Q30_T01800,citibike443-regional-v1,20,compact,surplus,1,2,30,1800,k1_am_sf,K1-AM-SF,screen_3600,3600,530.5649599,1069.6367492655427,optimal,True,True,0.8299634131717751,0.26521341317177516,3.7649999999999997,0.8299634029496857,0.8299634131717751,1.0222089397160516e-08,1.2316313267467948e-08,1.0222089397160516e-08,44826,3936678,1,2,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r1_surplus_M02_Q30_T01800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r1_surplus_M02_Q30_T01800/k1_am_sf/screen_3600/result.json,4741d44f749c8e64a186fe21663098f0d7caf24f086d29e1aaa4fd1b74efdcd2,1b24b49510d0cbd86220217aae972568cd168976d258c56811950245fe2e7219,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
30,2026-08-31T15:56:24.822692+00:00,cb443_V20_compact_r1_surplus_M02_Q30_T01800,citibike443-regional-v1,20,compact,surplus,1,2,30,1800,pgrb,P-GRB,screen_3600,3600,2693.0138439,5194.25218894543,OPTIMAL,True,True,0.8299634131717751,0.26521341317177516,3.7649999999999997,0.8299634131717751,0.8299634131717751,0.0,0.0,0.0,426329,31079588,,,verified_native_incumbent,51964193,51964193,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r1_surplus_M02_Q30_T01800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_compact_r1_surplus_M02_Q30_T01800/pgrb/screen_3600/result.json,aa7667b75ce8759c0b88e26c2021ce7419de8f9ed9ab394bc742d8245035cb6d,b07085ef679ce1eb71263b87dca2d717555ee9f67b07360949498c5b8493bd31,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
32,2026-08-31T17:56:25.799794+00:00,cb443_V20_regional_r2_shortage_M03_Q30_T03600,citibike443-regional-v1,20,regional,shortage,2,3,30,3600,k1_am_sf,K1-AM-SF,screen_3600,3600,3598.073932,8119.289107900071,round31_c6_external_gini_tree_time_limit,False,True,0.5150591127753121,0.2605823950162117,1.6965114517273365,0.3950243117916486,0.5150591127753121,0.12003480098366354,0.23305053343659055,0.12003480098366354,63188,20547665,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/k1_am_sf/screen_3600/result.json,bc9f25d6e3a8034a9de8ca7a6efaf4c0f509992cd6f0594a518ee8006aad3fdb,a3556923bc7eed04841712ac0d4379ac007755900ef4ad42f34b364f077806e2,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
31,2026-08-31T16:56:25.248993+00:00,cb443_V20_regional_r2_shortage_M03_Q30_T03600,citibike443-regional-v1,20,regional,shortage,2,3,30,3600,pgrb,P-GRB,screen_3600,3600,3599.359053,7419.802481433345,TIME_LIMIT,False,True,0.5163267893142982,0.28119702534062013,1.5675317598245209,0.3450285526859833,0.5163267893142982,0.1712982366283149,0.3317632169653748,0.1712982366283149,216689,28176870,,,verified_native_incumbent,403792201,403792201,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/pgrb/screen_3600/result.json,94c805be7cf4138a2084ed9b0a155bd174cee37b1c0b6230b00fafbfe6f4f932,faf8df0b8423c3ba3c48c0afb0ea62db0a2858c6284bd8cffb4da00294121c66,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
33,2026-08-31T17:57:07.286128+00:00,cb443_V20_regional_r2_balanced_M02_Q20_T10800,citibike443-regional-v1,20,regional,balanced,2,2,20,10800,k1_am_sf,K1-AM-SF,screen_3600,3600,38.8193911,0,optimal,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_balanced_M02_Q20_T10800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_balanced_M02_Q20_T10800/k1_am_sf/screen_3600/result.json,8cbbcb73553503e96a49a5cd27b20fa22e70186307a192711192e8bb13dc6a77,1f4b422f0390ef8e924d5075fb442d5a84621c4a7282aa92e8e8e9bf23c371e4,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
34,2026-08-31T17:57:13.986642+00:00,cb443_V20_regional_r2_balanced_M02_Q20_T10800,citibike443-regional-v1,20,regional,balanced,2,2,20,10800,pgrb,P-GRB,screen_3600,3600,4.7457914,7.649212373462048,OPTIMAL,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418,62539,,,verified_native_incumbent,-1477105454,-1477105454,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_balanced_M02_Q20_T10800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_balanced_M02_Q20_T10800/pgrb/screen_3600/result.json,a2758398cdb877bf0374dccc9b987028e3b76e7bde474416a5400a250e7d4012,9df5d9ded2befa5d41768a7625d0a9c7dc41099561bf29f32baa168f3462c746,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
36,2026-08-31T17:57:57.821375+00:00,cb443_V20_regional_r2_surplus_M03_Q20_T18000,citibike443-regional-v1,20,regional,surplus,2,3,20,18000,k1_am_sf,K1-AM-SF,screen_3600,3600,29.6037981,2.50451484009395,optimal,True,True,0.022540584415584423,0.0053977272727272745,0.11428571428571432,0.022540584415584423,0.022540584415584423,0.0,0.0,0.0,1,17768,8,9,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_surplus_M03_Q20_T18000/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_surplus_M03_Q20_T18000/k1_am_sf/screen_3600/result.json,cb69699bbe5e0c4ece97b20e67d9d543d851d3655c695dd981254ea8481b64fe,eaeef21d77fc94ccc0bf03474d1d6bad6c470c5158bf87542a90f241e6f5553f,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
35,2026-08-31T17:57:25.915831+00:00,cb443_V20_regional_r2_surplus_M03_Q20_T18000,citibike443-regional-v1,20,regional,surplus,2,3,20,18000,pgrb,P-GRB,screen_3600,3600,9.5708383,16.267932537444086,OPTIMAL,True,True,0.022540584415584423,0.0053977272727272745,0.11428571428571432,0.02254058441094787,0.022540584415584423,4.636555028803002e-12,2.0569808410101897e-10,4.636555028803002e-12,633,36072,,,verified_native_incumbent,-715832896,-715832896,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_surplus_M03_Q20_T18000/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_surplus_M03_Q20_T18000/pgrb/screen_3600/result.json,f351a9442bc78b6fef7ea0365285f8f4d0dcd21912955e4f964e113f24131d6f,d22efaae2ba244f29460d54201e8c49c1dcd20eb5f95c12ab586c8f12d23d98d,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
37,2026-08-31T18:57:58.276027+00:00,cb443_V30_compact_r2_shortage_M05_Q20_T18000,citibike443-regional-v1,30,compact,shortage,2,5,20,18000,k1_am_sf,K1-AM-SF,screen_3600,3600,3598.1138531,7292.109643075196,round31_c6_external_gini_tree_time_limit,False,True,0.3478644013605063,0.03179301112074604,2.1071426015984014,0.3345221144007615,0.3478644013605063,0.013342286959744765,0.03835485007250742,0.013342286959744765,68333,10506219,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_shortage_M05_Q20_T18000/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_shortage_M05_Q20_T18000/k1_am_sf/screen_3600/result.json,75995496689c629fbdf0162f1b561263bfa4cf69b6d016beb470816cf181453b,de1303aca0ac878579fd17e31193a3da9aea7e0221409de28f27eb9bba4c7736,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
38,2026-08-31T19:57:58.905629+00:00,cb443_V30_compact_r2_shortage_M05_Q20_T18000,citibike443-regional-v1,30,compact,shortage,2,5,20,18000,pgrb,P-GRB,screen_3600,3600,3598.0980653,7574.550933076178,TIME_LIMIT,False,True,0.3478644013605063,0.03179301112074604,2.1071426015984014,0.3348929046964524,0.3478644013605063,0.012971496664053894,0.03728894538596663,0.012971496664053894,16941,9520774,,,verified_native_incumbent,-664187939,-664187939,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_shortage_M05_Q20_T18000/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_shortage_M05_Q20_T18000/pgrb/screen_3600/result.json,16e8d35f9835baf4fe71567dbe98b0483f03a8559f8c26459a95f4c31a285237,395efed9b0856d753a376a79530603951624863257cd6cfbaca39b1c5572e601,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
39,2026-08-31T20:57:59.234291+00:00,cb443_V30_compact_r2_balanced_M03_Q30_T01800,citibike443-regional-v1,30,compact,balanced,2,3,30,1800,k1_am_sf,K1-AM-SF,screen_3600,3600,3598.0940329,8267.181528027862,round31_c6_external_gini_tree_time_limit,False,True,0.8142420757383567,0.17061966447961555,4.290816075058275,0.7390608955892625,0.8142420757383567,0.07518118014909425,0.09233271331614713,0.07518118014909425,61830,14977650,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/k1_am_sf/screen_3600/result.json,481c42ffa4e070df7bd6a1a5d1cb1448d7ebc2298facdf4c710a6430cc221ae3,544bc96e58b950c48b00ccde4955188d7c4617a945406027aa8de3e23971614e,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
40,2026-08-31T21:57:59.707558+00:00,cb443_V30_compact_r2_balanced_M03_Q30_T01800,citibike443-regional-v1,30,compact,balanced,2,3,30,1800,pgrb,P-GRB,screen_3600,3600,3598.1921334,7389.8412635056875,TIME_LIMIT,False,True,0.8219739047492574,0.16840252027373306,4.357142563170163,0.64951320427926,0.8219739047492574,0.1724607004699974,0.20981286568045787,0.1724607004699974,100782,15121417,,,verified_native_incumbent,-904622568,-904622568,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_balanced_M03_Q30_T01800/pgrb/screen_3600/result.json,7121d943e40186f3ce163b9651bd099274fc64b994a4d66503043abdb9af8964,a5c9bf9525aa6f82c3c37701310f690a182377c1aece31062bb93c18ea41e6e4,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
41,2026-08-31T22:58:00.331176+00:00,cb443_V30_compact_r2_surplus_M05_Q30_T03600,citibike443-regional-v1,30,compact,surplus,2,5,30,3600,k1_am_sf,K1-AM-SF,screen_3600,3600,3598.0734216,9284.595691923685,round31_c6_external_gini_tree_time_limit,False,True,0.45540410741975723,0.12173074741975727,2.2244890666666666,0.2225940984944552,0.45540410741975723,0.23281000892530204,0.5112163134504083,0.23281000892530204,4753,5935461,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_surplus_M05_Q30_T03600/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_surplus_M05_Q30_T03600/k1_am_sf/screen_3600/result.json,38899e077549bcfb454ad61768fda26344f31c89db6467469fd3d28bf08a84d8,89c64889bae2b542c46a8924c0d47d971b87af4e5a98f07670dbc071ff011257,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
42,2026-08-31T23:58:00.894154+00:00,cb443_V30_compact_r2_surplus_M05_Q30_T03600,citibike443-regional-v1,30,compact,surplus,2,5,30,3600,pgrb,P-GRB,screen_3600,3600,3598.1514983,7259.336611350786,TIME_LIMIT,False,True,0.41325768116237876,0.10254347934419694,2.071428012121212,0.12499927254868717,0.41325768116237876,0.28825840861369156,0.6975270436665592,0.28825840861369156,28177,9164937,,,verified_native_incumbent,2677128,2677128,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_surplus_M05_Q30_T03600/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r2_surplus_M05_Q30_T03600/pgrb/screen_3600/result.json,6e21b9f3d06032013b3cb2856e4006c466cf3b3e80dc32c1c99f820f78ac7971,4bf660985f6500b9a5fde9745f2772ec947cd2a313c9bed24c8849f5206f9912,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
44,2026-09-01T01:58:03.614815+00:00,cb443_V30_regional_r2_shortage_M03_Q30_T10800,citibike443-regional-v1,30,regional,shortage,2,3,30,10800,k1_am_sf,K1-AM-SF,screen_3600,3600,3598.1351349,7076.84979646886,round31_c6_external_gini_tree_time_limit,False,True,0.2547425630375072,0.037670740638448,1.4471454826603949,0.24065029269956537,0.2547425630375072,0.014092270337941831,0.05531965357460483,0.014092270337941831,99618,12841023,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_shortage_M03_Q30_T10800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_shortage_M03_Q30_T10800/k1_am_sf/screen_3600/result.json,efcba45f522b0987ee0adfcf02848777c702811d6538b4d9f6c95eaac97ea174,0f7b658b6d6194cfdb5cc87eb769a3c08bfa94a306e305d8f3b3f10c6e16c99e,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
43,2026-09-01T00:58:02.280093+00:00,cb443_V30_regional_r2_shortage_M03_Q30_T10800,citibike443-regional-v1,30,regional,shortage,2,3,30,10800,pgrb,P-GRB,screen_3600,3600,3598.1389998,7412.978956933139,TIME_LIMIT,False,True,0.2547425630375072,0.037670740638448,1.4471454826603949,0.24049644234002804,0.2547425630375072,0.014246120697479159,0.05592359803407341,0.014246120697479159,59988,14668190,,,verified_native_incumbent,-175342411,-175342411,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_shortage_M03_Q30_T10800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_shortage_M03_Q30_T10800/pgrb/screen_3600/result.json,2d31cc0c5bbc583abc106a3debfae6102a9b37582b056207cdb6362ebceeeaf4,c66678522287385fbb54dc7684eca51f6ba9883b6eb3bed18e0c4c971b51861a,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
45,2026-09-01T01:58:46.011526+00:00,cb443_V30_regional_r2_balanced_M05_Q20_T18000,citibike443-regional-v1,30,regional,balanced,2,5,20,18000,k1_am_sf,K1-AM-SF,screen_3600,3600,39.0566173,0,optimal,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_balanced_M05_Q20_T18000/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_balanced_M05_Q20_T18000/k1_am_sf/screen_3600/result.json,c619ec5b994ad42f6f8d45d6211f5ac597951864b6574b132b44d8e2e905519c,ba6f52330c980a2889927b2eae8908eade204b5d730ae9a707283778bb207c39,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
46,2026-09-01T01:59:01.221404+00:00,cb443_V30_regional_r2_balanced_M05_Q20_T18000,citibike443-regional-v1,30,regional,balanced,2,5,20,18000,pgrb,P-GRB,screen_3600,3600,12.1283954,20.86411259893232,OPTIMAL,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,47563,,,verified_native_incumbent,-851749171,-851749171,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_balanced_M05_Q20_T18000/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_balanced_M05_Q20_T18000/pgrb/screen_3600/result.json,9bdfea8ac96251f8e1911e8d64aea545f6aadc41d21749b0bdbf388327138376,bd775c1f1d937d4e4db66b4cd06e82d293a4c9cc4612ec98f1c4fea337203b75,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
47,2026-09-01T02:14:59.689213+00:00,cb443_V30_regional_r2_surplus_M03_Q20_T01800,citibike443-regional-v1,30,regional,surplus,2,3,20,1800,k1_am_sf,K1-AM-SF,screen_3600,3600,955.4381171,1925.8550803877433,optimal,True,True,1.2030399129495564,0.2634766943501412,6.263754790662769,1.20303990445863,1.2030399129495564,8.490926406423682e-09,7.057892522955477e-09,7.057892522955477e-09,30190,4168579,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_surplus_M03_Q20_T01800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_surplus_M03_Q20_T01800/k1_am_sf/screen_3600/result.json,4dd31da1a5f553e8341cce51e5b0c9fda736c80cf288e9d94a8c076f56393f3e,899150958776d36d31df58feb8e290c373053f3430ceeef3090294209dd3b43d,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
48,2026-09-01T03:15:00.119349+00:00,cb443_V30_regional_r2_surplus_M03_Q20_T01800,citibike443-regional-v1,30,regional,surplus,2,3,20,1800,pgrb,P-GRB,screen_3600,3600,3598.2004982,7157.304814755926,TIME_LIMIT,False,True,1.2030399129495564,0.2634766943501412,6.263754790662769,1.108337073439923,1.2030399129495564,0.09470283950963343,0.07871961560896636,0.07871961560896636,115022,14060715,,,verified_native_incumbent,-626445216,-626445216,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_surplus_M03_Q20_T01800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_regional_r2_surplus_M03_Q20_T01800/pgrb/screen_3600/result.json,644963fbeb0148c782e2f135bd5055493d23af560fac70c5598111c0d03d3eb0,bfb3d42744fbc5645f9d95eacc6c747746aef8b84164c8ecf5c534bc6ac81c60,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
49,2026-09-01T04:15:01.667303+00:00,cb443_V50_compact_r1_shortage_M04_Q30_T01800,citibike443-regional-v1,50,compact,shortage,1,4,30,1800,k1_am_sf,K1-AM-SF,screen_3600,3600,3598.1030189,8777.140888718232,round31_c6_external_gini_tree_time_limit,False,True,1.685601920086922,0.3481877124339499,8.91609471768648,1.562415334366992,1.685601920086922,0.12318658571992991,0.07308165958518695,0.07308165958518695,5987,6521232,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/k1_am_sf/screen_3600/result.json,38e8604b1ee1d09fded7128ad65fcfef1e4d2baef5ab94e635fbdfb0d12d7a6a,9af1874115bd1da008c74ebbce4324d832f314008a1d80da3d3d8b3704b08db9,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
50,2026-09-01T05:15:02.288397+00:00,cb443_V50_compact_r1_shortage_M04_Q30_T01800,citibike443-regional-v1,50,compact,shortage,1,4,30,1800,pgrb,P-GRB,screen_3600,3600,3598.152812,8258.644944800657,TIME_LIMIT,False,True,1.6864819099253903,0.34906761195336217,8.91609531981352,1.3923887028727115,1.6864819099253903,0.2940932070526787,0.1743826632956231,0.1743826632956231,10202,4755295,,,verified_native_incumbent,1286464518,1286464518,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/pgrb/screen_3600/result.json,aee802fffb96c8bef113459bf2135164af7f15ea8156b752721ac85ad145939e,585b1c6070ec5efccc59b1e1afd5a3684ab2023125c20eac3aecc39a702b8743,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
51,2026-09-01T06:15:03.988519+00:00,cb443_V50_compact_r2_balanced_M07_Q20_T03600,citibike443-regional-v1,50,compact,balanced,2,7,20,3600,k1_am_sf,K1-AM-SF,screen_3600,3600,3598.1507283,9280.516355019834,round31_c6_external_gini_tree_time_limit,False,True,0.28946841025799674,0.0721351857125422,1.4488881636363635,1.6441181572030696e-06,0.28946841025799674,0.2894667661398395,0.9999943202156126,0.2894667661398395,585,2598191,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_balanced_M07_Q20_T03600/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_balanced_M07_Q20_T03600/k1_am_sf/screen_3600/result.json,523914d41e657021b65e80ba4ea4b896fa2ddb3b9a677cdc60a12c90d70a7328,ff7c647ab6c5324bea24d9c320928d9c95be0f10078eb73720f0dfe7f84b2ddb,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
52,2026-09-01T07:15:04.814245+00:00,cb443_V50_compact_r2_balanced_M07_Q20_T03600,citibike443-regional-v1,50,compact,balanced,2,7,20,3600,pgrb,P-GRB,screen_3600,3600,3598.0661363,8777.987233521277,TIME_LIMIT,False,True,0.42533549467745474,0.09000229911801416,2.235554637062937,4.946367505542488e-07,0.42533549467745474,0.4253350000407042,0.9999988370668408,0.4253350000407042,1513,4878622,,,verified_native_incumbent,-1486559025,-1486559025,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_balanced_M07_Q20_T03600/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_balanced_M07_Q20_T03600/pgrb/screen_3600/result.json,35862939e79c79ffdbe74ac37eac85a8b2ca69942b9f0d4bda0b97bcda79b8f0,6967b47e2bf81d18713038c013fc0918906ea8b6ac6562a6646534472e6e8bb0,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
53,2026-09-01T08:15:07.054087+00:00,cb443_V50_compact_r2_surplus_M04_Q20_T10800,citibike443-regional-v1,50,compact,surplus,2,4,20,10800,k1_am_sf,K1-AM-SF,screen_3600,3600,3598.117513,6737.233556898374,round31_c6_external_gini_tree_time_limit,False,True,0.007777215274314213,0.0024438902743142144,0.0355555,0.0,0.007777215274314213,0.007777215274314213,1.0,0.007777215274314213,20906,13076129,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_surplus_M04_Q20_T10800/k1_am_sf/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_surplus_M04_Q20_T10800/k1_am_sf/screen_3600/result.json,d5acb9716d584f2258773805ca035eb0e059b29da9e3fb86bdd135a8d02824a5,f99ac2dbfd723c2e8603127cb9a85d1ebf1e36a101a66a41699855fca5337799,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
54,2026-09-01T09:15:07.744332+00:00,cb443_V50_compact_r2_surplus_M04_Q20_T10800,citibike443-regional-v1,50,compact,surplus,2,4,20,10800,pgrb,P-GRB,screen_3600,3600,3598.1153522,6519.288722174262,TIME_LIMIT,False,True,0.18416779687496698,0.04550124187496697,0.9244437,3.799087350061258e-19,0.18416779687496698,0.18416779687496698,1.0,0.18416779687496698,24070,7594730,,,verified_native_incumbent,2023986432,2023986432,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_surplus_M04_Q20_T10800/pgrb/screen_3600/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_surplus_M04_Q20_T10800/pgrb/screen_3600/result.json,2d98f712f50b68a701c0d410784355635f42e48b65df4d06598cc5ad9cee09c1,cdc99934219c2903f6572afe300f481413cdc34a68da8972ad2149d66a3a6300,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
