completion_sequence_number,completion_timestamp_utc,scenario_id,dataset_family,V,geographic_regime,inventory_regime,replicate,M,Q,T,method,method_label,run_stage,process_cap_seconds,actual_wall_time_seconds,gurobi_work,native_status,strict_certificate,verified_incumbent_available,objective,G,P,valid_lower_bound,verified_upper_bound,absolute_gap,relative_gap,scaled_gap,nodes,simplex_iterations,split_count,interval_count,route_witness_status,expected_model_fingerprint,actual_model_fingerprint,fingerprint_match,completion_marker_path,result_path,run_identity_sha256,result_sha256,next_action,notes
102,2026-09-02T11:55:23.130451+00:00,cb443_V20_regional_r2_shortage_M03_Q30_T03600,citibike443-regional-v1,20,regional,shortage,2,3,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.207318,24423.137525754795,round31_c6_external_gini_tree_time_limit,False,True,0.5150591127753121,0.2605823950162117,1.6965114517273365,0.4147593699564803,0.5150591127753121,0.10029974281883186,0.19473443014799416,0.10029974281883186,236203,72228418,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r2_shortage_M03_Q30_T03600/k1_am_sf/long_10800/result.json,1f5d9dfdc2d7623d550b853163b57f7d213c472bb9adb8650b6188a9b360d524,4dfc1213e4f07027b3ae166732cf6eec4fd26854466c9e72df798d134c971ec3,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
112,2026-09-03T17:55:58.620818+00:00,cb443_V50_compact_r1_shortage_M04_Q30_T01800,citibike443-regional-v1,50,compact,shortage,1,4,30,1800,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1246603,25795.408119157724,round31_c6_external_gini_tree_time_limit,False,True,1.6832897879107886,0.3479163843443552,8.902489357109557,1.5700172147720868,1.6832897879107886,0.11327257313870187,0.06729237826559256,0.06729237826559256,13785,14888507,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/k1_am_sf/long_10800/result.json,52d20f0635a5eef3cb66e6e27cf5ba066b1f393b172a4e4fdbefa0154b1d86c1,07b8362b596208b272a574baeb892a7bb36b51a56c871bcae4e82d0d17942de6,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
113,2026-09-03T20:56:01.690443+00:00,cb443_V50_compact_r1_shortage_M04_Q30_T01800,citibike443-regional-v1,50,compact,shortage,1,4,30,1800,pgrb,P-GRB,long_10800,10800,10798.2234464,24665.92951721729,TIME_LIMIT,False,True,1.6854701601693949,0.3507769251344297,8.8979549002331,1.3987494858284004,1.6854701601693949,0.28672067434099446,0.170113171456075,0.170113171456075,28621,12448807,,,verified_native_incumbent,1286464518,1286464518,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r1_shortage_M04_Q30_T01800/pgrb/long_10800/result.json,892474df453b1cc21349d05385c88c64c09ed3fb75d31659d216368930091358,49158fa0a12225281ac902c01b45bf03eb658235013f4eb8e26e730ff1f7be94,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
114,2026-09-03T23:56:05.212747+00:00,cb443_V50_compact_r2_balanced_M07_Q20_T03600,citibike443-regional-v1,50,compact,balanced,2,7,20,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1436222,28544.274272020837,round31_c6_external_gini_tree_time_limit,False,True,0.28946841025799674,0.0721351857125422,1.4488881636363635,1.6441181572030696e-06,0.28946841025799674,0.2894667661398395,0.9999943202156126,0.2894667661398395,825,6051878,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_balanced_M07_Q20_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_balanced_M07_Q20_T03600/k1_am_sf/long_10800/result.json,bec7983b4669ca8c2029236b20cd9e3e08b0db6cfaa9beed136a89e785784af4,50c79266ce5889fd6db6b39bd81289727a4463b05e39f2bfb456892d92460823,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
115,2026-09-04T02:56:07.961457+00:00,cb443_V50_compact_r2_balanced_M07_Q20_T03600,citibike443-regional-v1,50,compact,balanced,2,7,20,3600,pgrb,P-GRB,long_10800,10800,10798.0798645,24929.399525396468,TIME_LIMIT,False,True,0.36548228560903717,0.08081573288176444,1.897777018181818,4.946367505542488e-07,0.36548228560903717,0.3654817909722866,0.9999986466190838,0.3654817909722866,6095,13432500,,,verified_native_incumbent,-1486559025,-1486559025,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_balanced_M07_Q20_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_balanced_M07_Q20_T03600/pgrb/long_10800/result.json,3c36c3e1ea7a6a17b42125d5921bdc3558c5461b8792114ce505bf63623d7e3e,c801660aeadeca797ed519acc99aba422ab8e61768487429f0345209ff4aca54,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
116,2026-09-04T05:56:12.581074+00:00,cb443_V50_compact_r2_surplus_M04_Q20_T10800,citibike443-regional-v1,50,compact,surplus,2,4,20,10800,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1553894,19632.133052098197,round31_c6_external_gini_tree_time_limit,False,True,0.007777215274314213,0.0024438902743142144,0.0355555,1.2493690249026906e-16,0.007777215274314213,0.0077772152743140885,0.9999999999999839,0.0077772152743140885,78747,45400023,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_surplus_M04_Q20_T10800/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_surplus_M04_Q20_T10800/k1_am_sf/long_10800/result.json,1ef12ee9c0a4b464b6eeac2651e9182ca2566df087041742e6702100f84e7973,f6d92fd2ed7dc00a7eee52ba7af94fb50103eed556a0297f04350b6df6049cf6,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
117,2026-09-04T08:56:15.637148+00:00,cb443_V50_compact_r2_surplus_M04_Q20_T10800,citibike443-regional-v1,50,compact,surplus,2,4,20,10800,pgrb,P-GRB,long_10800,10800,10799.6938335,19791.033204237556,TIME_LIMIT,False,True,0.06876635086614173,0.015433070866141733,0.3555552,4.142219440326095e-18,0.06876635086614173,0.06876635086614173,1.0,0.06876635086614173,80340,26541882,,,verified_native_incumbent,2023986432,2023986432,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_surplus_M04_Q20_T10800/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_compact_r2_surplus_M04_Q20_T10800/pgrb/long_10800/result.json,42bb2cda2be60107a59bf55d810de49e364df9c1f26c4f5a4df536c8715a3bd9,453d0120cb12c4f7f4df444998c4ac64192d5b782170daef25bf7abeb9ee989b,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
119,2026-09-04T14:56:23.054477+00:00,cb443_V50_regional_r2_shortage_M07_Q20_T18000,citibike443-regional-v1,50,regional,shortage,2,7,20,18000,k1_am_sf,K1-AM-SF,long_10800,10800,10798.2046253,25884.998020991312,round31_c6_external_gini_tree_time_limit,False,True,0.3266681003584966,0.03696468119307871,1.9313561277694524,0.30768532881694466,0.3266681003584966,0.018982771541551924,0.05811027008979325,0.018982771541551924,6885,11185419,2,3,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_shortage_M07_Q20_T18000/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_shortage_M07_Q20_T18000/k1_am_sf/long_10800/result.json,d52dfebdc99712538dfd8c09fef191777f5ea28a674fed4416ba75e1d99ab188,1d77929bbceebfc6a91bebe27bab7222bb9c410fa2814cc338192c6b5f7f16cb,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
118,2026-09-04T11:56:19.511433+00:00,cb443_V50_regional_r2_shortage_M07_Q20_T18000,citibike443-regional-v1,50,regional,shortage,2,7,20,18000,pgrb,P-GRB,long_10800,10800,10798.2489896,24323.53470258828,TIME_LIMIT,False,True,0.32904888131462506,0.043500565191997735,1.9036554408175155,0.3079406347872147,0.32904888131462506,0.02110824652741039,0.06414927302921726,0.02110824652741039,14599,13520962,,,verified_native_incumbent,2133008454,2133008454,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_shortage_M07_Q20_T18000/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_shortage_M07_Q20_T18000/pgrb/long_10800/result.json,32d4d49e76647033a35e33a79529c693ef49884e2b78eab8ebc993e662127096,86b553536d751f13c6298367fe91d81b5632aa18fd33a2450abe9105455d62b1,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
120,2026-09-04T17:56:26.489778+00:00,cb443_V50_regional_r1_balanced_M04_Q30_T01800,citibike443-regional-v1,50,regional,balanced,1,4,30,1800,pgrb,P-GRB,long_10800,10800,10798.1781895,25577.921435556273,TIME_LIMIT,False,True,0.7476706864390772,0.18523676344477621,3.749559486628673,0.5871910395079816,0.7476706864390772,0.16047964693109562,0.21463947944169143,0.16047964693109562,20741,12130067,,,verified_native_incumbent,-250521169,-250521169,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_balanced_M04_Q30_T01800/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r1_balanced_M04_Q30_T01800/pgrb/long_10800/result.json,ade03551aef53f39a49cfbf20f7ec230f8f723ff4659c452317749c09bfd1e29,8798d15d3527d20e93ce6893f49108e2eae2334c8086b39ef706cc0cbb535e93,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
122,2026-09-04T23:56:33.362964+00:00,cb443_V50_regional_r2_surplus_M07_Q30_T03600,citibike443-regional-v1,50,regional,surplus,2,7,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1172881,34822.2550129116,round31_c6_external_gini_tree_time_limit,False,True,0.9037027092008609,0.21317126596950894,4.60354295487568,0.4224838168669283,0.9037027092008609,0.4812188923339326,0.5324969012867867,0.4812188923339326,1686,5966636,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_surplus_M07_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_surplus_M07_Q30_T03600/k1_am_sf/long_10800/result.json,ae92db04a76c876a336360aabe29ad1021d167dbb98b9758d21df1b8fc0f55e1,e0eddcb2cac1027f9f6dff97e1d2b98065d126be8959faa9e3b8224aeb9bb0ea,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
121,2026-09-04T20:56:29.931115+00:00,cb443_V50_regional_r2_surplus_M07_Q30_T03600,citibike443-regional-v1,50,regional,surplus,2,7,30,3600,pgrb,P-GRB,long_10800,10800,10798.1228362,25672.919286186723,TIME_LIMIT,False,True,0.9326856225764267,0.2168078832495037,4.772518262179487,0.3927229852720102,0.9326856225764267,0.5399626373044165,0.5789331627229737,0.5399626373044165,4969,11421416,,,verified_native_incumbent,1150868517,1150868517,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_surplus_M07_Q30_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V50_regional_r2_surplus_M07_Q30_T03600/pgrb/long_10800/result.json,c5545619043643313c1d1fc0ea41fd5d23c5a3cb163b25a62f03dfa348c66b55,03901958476732d97c4f1e935196762956894641a50f1514180dcb9a48ea9029,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
123,2026-09-05T02:39:30.894266+00:00,cb443_V20_regional_r1_surplus_M02_Q30_T03600,citibike443-regional-v1,20,regional,surplus,1,2,30,3600,pgrb,P-GRB,long_10800,10800,9772.0870941,20105.490522434146,OPTIMAL,True,True,0.6620542879155705,0.217327861377109,2.9648428435897434,0.6620541557710068,0.6620542879155705,1.32144563735892e-07,1.9959777641791202e-07,1.32144563735892e-07,1208229,109239298,,,verified_native_incumbent,-892374139,-892374139,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r1_surplus_M02_Q30_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V20_regional_r1_surplus_M02_Q30_T03600/pgrb/long_10800/result.json,93cf8238d16339cd4a7ef52c85bc97c04742453f7f6742521bdd7d676498cebd,edd470633284b958f678bb7933108d6a7668e4e384b2f918687454a55552bdac,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
124,2026-09-05T05:39:34.653540+00:00,cb443_V30_compact_r1_shortage_M03_Q30_T03600,citibike443-regional-v1,30,compact,shortage,1,3,30,3600,k1_am_sf,K1-AM-SF,long_10800,10800,10798.1334484,27090.44649657422,round31_c6_external_gini_tree_time_limit,False,True,0.6486421073654243,0.2781559730386545,2.4699075621784647,0.4698166869591504,0.6486421073654243,0.17882542040627386,0.2756919700026957,0.17882542040627386,74697,36189468,0,1,verified_native_incumbent,,,,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r1_shortage_M03_Q30_T03600/k1_am_sf/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r1_shortage_M03_Q30_T03600/k1_am_sf/long_10800/result.json,83fa029419a795ef4e91b6e17049ba1ecf9089de436a1261b59eb7906fa651e3,faf1af9c00deef81e17456e099293230a2f08b9f0fa4e259a0620cb9826df3d7,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
125,2026-09-05T08:39:39.151119+00:00,cb443_V30_compact_r1_shortage_M03_Q30_T03600,citibike443-regional-v1,30,compact,shortage,1,3,30,3600,pgrb,P-GRB,long_10800,10800,10798.7885421,22356.10998701772,TIME_LIMIT,False,True,0.653963771715447,0.28882742003886325,2.4342423445105577,0.44423520708984676,0.653963771715447,0.2097285646256002,0.320703643988489,0.2097285646256002,346233,50503376,,,verified_native_incumbent,-132177409,-132177409,True,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r1_shortage_M03_Q30_T03600/pgrb/long_10800/completion_marker.json,results/gf_citibike443_k1_vs_pgrb_round58/local_raw/official_runs/cb443_V30_compact_r1_shortage_M03_Q30_T03600/pgrb/long_10800/result.json,ecb9556d4bfb5961be370e91e50f80a7277ab7370f4852c008b494bdf527412b,a73f5be9ce715a649d0d6cc83540db391eecac1e26ac4630a5a5126a7da3cbd1,pending_frozen_stage_decision,fresh independent optimizer process; archive time excluded
