scenario_ordinal,arm_ordinal,scenario_id,scenario_sha256,first_hex_digit,first_hex_digit_even,within_pair_order,method,stage,cap_seconds
35,69,cb443_V12_compact_r2_surplus_M01_Q30_T03600,4650a9d5e93fd264443703b1393c4a958e2e9eca4cd0e28f0fe5c6517832fdb1,4,True,1,k1_am_sf,screen_3600,3600
35,70,cb443_V12_compact_r2_surplus_M01_Q30_T03600,4650a9d5e93fd264443703b1393c4a958e2e9eca4cd0e28f0fe5c6517832fdb1,4,True,2,pgrb,screen_3600,3600
36,71,cb443_V12_compact_r2_surplus_M01_Q30_T18000,88782e08ddd491ad959bc0eca7fec29cad3bc245d6d9e71338c8a7a9d8b4f3b0,8,True,1,k1_am_sf,screen_3600,3600
36,72,cb443_V12_compact_r2_surplus_M01_Q30_T18000,88782e08ddd491ad959bc0eca7fec29cad3bc245d6d9e71338c8a7a9d8b4f3b0,8,True,2,pgrb,screen_3600,3600
37,73,cb443_V12_regional_r2_shortage_M01_Q30_T03600,0361db092500ec9ae467331a9706fddf22796c891fe54bab8cae08b43c89caec,0,True,1,k1_am_sf,screen_3600,3600
37,74,cb443_V12_regional_r2_shortage_M01_Q30_T03600,0361db092500ec9ae467331a9706fddf22796c891fe54bab8cae08b43c89caec,0,True,2,pgrb,screen_3600,3600
38,75,cb443_V12_regional_r2_shortage_M01_Q30_T18000,caeda0a4e9154eb9404364285322547d4dab837528bdc6808af852a7168f107b,c,True,1,k1_am_sf,screen_3600,3600
38,76,cb443_V12_regional_r2_shortage_M01_Q30_T18000,caeda0a4e9154eb9404364285322547d4dab837528bdc6808af852a7168f107b,c,True,2,pgrb,screen_3600,3600
39,77,cb443_V20_compact_r2_balanced_M02_Q30_T03600,53b18cd640afaa46d592b1b0742551f57f3b75891dcdf4fc0414ea31dc9b5c01,5,False,1,pgrb,screen_3600,3600
39,78,cb443_V20_compact_r2_balanced_M02_Q30_T03600,53b18cd640afaa46d592b1b0742551f57f3b75891dcdf4fc0414ea31dc9b5c01,5,False,2,k1_am_sf,screen_3600,3600
40,79,cb443_V20_compact_r2_balanced_M02_Q30_T18000,56ee07d937a781fb5d9358084467d7d9977a1dffdc1b3d7462492fef31a38a6d,5,False,1,pgrb,screen_3600,3600
40,80,cb443_V20_compact_r2_balanced_M02_Q30_T18000,56ee07d937a781fb5d9358084467d7d9977a1dffdc1b3d7462492fef31a38a6d,5,False,2,k1_am_sf,screen_3600,3600
41,81,cb443_V20_regional_r1_surplus_M02_Q30_T03600,46a2c7e792338fd87a11233ba346c6a8f595454258ba140ddf917521c5a000a2,4,True,1,k1_am_sf,screen_3600,3600
41,82,cb443_V20_regional_r1_surplus_M02_Q30_T03600,46a2c7e792338fd87a11233ba346c6a8f595454258ba140ddf917521c5a000a2,4,True,2,pgrb,screen_3600,3600
42,83,cb443_V20_regional_r1_surplus_M02_Q30_T18000,6f6e4aedbd63a4a2af2dda7fe64dca2d4a67a37c79c465ba72620d71594e5c7f,6,True,1,k1_am_sf,screen_3600,3600
42,84,cb443_V20_regional_r1_surplus_M02_Q30_T18000,6f6e4aedbd63a4a2af2dda7fe64dca2d4a67a37c79c465ba72620d71594e5c7f,6,True,2,pgrb,screen_3600,3600
43,85,cb443_V30_compact_r1_shortage_M03_Q30_T03600,ca00135150eea1211b1fb8be679d21257457f7fbd1d10a86a8c9ac4e5cf18719,c,True,1,k1_am_sf,screen_3600,3600
43,86,cb443_V30_compact_r1_shortage_M03_Q30_T03600,ca00135150eea1211b1fb8be679d21257457f7fbd1d10a86a8c9ac4e5cf18719,c,True,2,pgrb,screen_3600,3600
44,87,cb443_V30_compact_r1_shortage_M03_Q30_T18000,9611a23125848e9e17f92ffd79cfea4696271a1c01ae29892c55b83935ebd16b,9,False,1,pgrb,screen_3600,3600
44,88,cb443_V30_compact_r1_shortage_M03_Q30_T18000,9611a23125848e9e17f92ffd79cfea4696271a1c01ae29892c55b83935ebd16b,9,False,2,k1_am_sf,screen_3600,3600
45,89,cb443_V30_regional_r1_balanced_M03_Q30_T03600,6a7cb95024f5a09581d4d956d2963117dc9c042c2ab0dd1b38f26d0e7127fdc2,6,True,1,k1_am_sf,screen_3600,3600
45,90,cb443_V30_regional_r1_balanced_M03_Q30_T03600,6a7cb95024f5a09581d4d956d2963117dc9c042c2ab0dd1b38f26d0e7127fdc2,6,True,2,pgrb,screen_3600,3600
46,91,cb443_V30_regional_r1_balanced_M03_Q30_T18000,0e617e555eaa81df5759d57566320787c9df87e6eb814b2ef318fe52416d0de0,0,True,1,k1_am_sf,screen_3600,3600
46,92,cb443_V30_regional_r1_balanced_M03_Q30_T18000,0e617e555eaa81df5759d57566320787c9df87e6eb814b2ef318fe52416d0de0,0,True,2,pgrb,screen_3600,3600
47,93,cb443_V50_compact_r1_surplus_M04_Q30_T03600,1bf3f9de2de889f06305feb5f83ce5e535cf2613119e1fb54021e5a3b700938e,1,False,1,pgrb,screen_3600,3600
47,94,cb443_V50_compact_r1_surplus_M04_Q30_T03600,1bf3f9de2de889f06305feb5f83ce5e535cf2613119e1fb54021e5a3b700938e,1,False,2,k1_am_sf,screen_3600,3600
48,95,cb443_V50_compact_r1_surplus_M04_Q30_T18000,7892c961c4d484b4a50217e94fc4f27436c2f9ee82e5f7aa1669e7c113f4787c,7,False,1,pgrb,screen_3600,3600
48,96,cb443_V50_compact_r1_surplus_M04_Q30_T18000,7892c961c4d484b4a50217e94fc4f27436c2f9ee82e5f7aa1669e7c113f4787c,7,False,2,k1_am_sf,screen_3600,3600
49,97,cb443_V50_regional_r1_shortage_M04_Q30_T03600,6e7e5ecea7e6f79870bd8d67f6889fae20bcc3be98d0f3de42a040edbe91f47c,6,True,1,k1_am_sf,screen_3600,3600
49,98,cb443_V50_regional_r1_shortage_M04_Q30_T03600,6e7e5ecea7e6f79870bd8d67f6889fae20bcc3be98d0f3de42a040edbe91f47c,6,True,2,pgrb,screen_3600,3600
50,99,cb443_V50_regional_r1_shortage_M04_Q30_T18000,0262e2315fe97d74cdb7a22997c23e68b7a3e72b8922da4338b0f3260ad7bd38,0,True,1,k1_am_sf,screen_3600,3600
50,100,cb443_V50_regional_r1_shortage_M04_Q30_T18000,0262e2315fe97d74cdb7a22997c23e68b7a3e72b8922da4338b0f3260ad7bd38,0,True,2,pgrb,screen_3600,3600
