leaf_id,parent_id,child_index,depth,gamma_L,gamma_U,base_lower_bound,current_lower_bound,cutoff,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,lp_native_status,terminal_mip_started,terminal_native_status,closure_source,model_sha256,row_signature,parent_child_coverage_valid,parent_replaced,lower_bound_sources
R.1.0.0.0.1.0.1.0,"R.1.0.0.0.1.0.1",0,8,0.51210937499999998,0.51582031250000004,1.6086620005826766,1.6089615465646141,1.7493134520506337,replaced,1,1,0,1.6089615465646141,"OPTIMAL",0,"not_run","",6326c720e99de1a0d86b22e9c93df4196a75b6ab09fdb8e660119dd3059475e9,6326c720e99de1a0d86b22e9c93df4196a75b6ab09fdb8e660119dd3059475e9,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.1.1,"R.1.0.0.0.1.0.1",1,8,0.51582031250000004,0.51953125,1.6086620005826766,1.610843602757366,1.7493134520506337,replaced,1,1,0,1.610843602757366,"OPTIMAL",0,"not_run","",650079481669707891128342eb10fdc23ea723188acd4afab4b20d2f1dc27ab2,650079481669707891128342eb10fdc23ea723188acd4afab4b20d2f1dc27ab2,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.0.1.0,"R.1.0.0.0.0.1.0.1",0,9,0.49355468749999998,0.49541015624999996,1.6066755234641796,1.6078725738862849,1.7493134520506337,replaced,1,1,0,1.6078725738862849,"OPTIMAL",0,"not_run","",f2db6938e29f18030ac05aa1d52e354aae2cba5a0e125189f55bdd06be274eb2,f2db6938e29f18030ac05aa1d52e354aae2cba5a0e125189f55bdd06be274eb2,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.0.1.1,"R.1.0.0.0.0.1.0.1",1,9,0.49541015624999996,0.49726562499999993,1.6066755234641796,1.6073844371305663,1.7493134520506337,replaced,1,1,0,1.6073844371305663,"OPTIMAL",0,"not_run","",d15155c6db1d679c08ce67a9acc4c1cce2815ee17ed483883dc7c93522fbec64,d15155c6db1d679c08ce67a9acc4c1cce2815ee17ed483883dc7c93522fbec64,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.0.0.0,"R.1.0.0.0.0.1.0.0",0,9,0.48984374999999997,0.49169921875,1.6095710896791204,1.6156992486366806,1.7493134520506337,replaced,1,1,0,1.6156992486366806,"OPTIMAL",0,"not_run","",8c849a3ca6fff9ff14ddae4b62310aea92a96c5d720025bfa41555ff8f31b05b,8c849a3ca6fff9ff14ddae4b62310aea92a96c5d720025bfa41555ff8f31b05b,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.0.0.1,"R.1.0.0.0.0.1.0.0",1,9,0.49169921875,0.49355468749999998,1.6095710896791204,1.6100919655396664,1.7493134520506337,replaced,1,1,0,1.6100919655396664,"OPTIMAL",0,"not_run","",e1f8b4ab91535c33eb989371d2d7df93002a8cebf91a1a5e1ac949e862522ed0,e1f8b4ab91535c33eb989371d2d7df93002a8cebf91a1a5e1ac949e862522ed0,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.0.0.0,"R.1.0.0.0.1.0.0.0",0,9,0.50468749999999996,0.50654296874999993,1.6068375058724056,1.6072943384821627,1.7493134520506337,replaced,1,1,0,1.6072943384821627,"OPTIMAL",0,"not_run","",a0fe7e07736e41dc4d7468919ca77c75c868d1d2b6a5ff6839b3a3c1aa5a630d,a0fe7e07736e41dc4d7468919ca77c75c868d1d2b6a5ff6839b3a3c1aa5a630d,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.0.0.1,"R.1.0.0.0.1.0.0.0",1,9,0.50654296874999993,0.50839843749999991,1.6068375058724056,1.6076181111878278,1.7493134520506337,replaced,1,1,0,1.6076181111878278,"OPTIMAL",0,"not_run","",5b8bb145cea5048eb77ba31820bb99a2b08beb3cd485bf217bd3ec82cad467af,5b8bb145cea5048eb77ba31820bb99a2b08beb3cd485bf217bd3ec82cad467af,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.0.1.0,"R.1.0.0.0.1.0.0.1",0,9,0.50839843749999991,0.51025390625,1.6076613435940124,1.6080249360789409,1.7493134520506337,replaced,1,1,0,1.6080249360789409,"OPTIMAL",0,"not_run","",a6c595ec432a5a85dcc91327d9a57bc8129ca0138c11f7c0dfb1c5ac379b3c17,a6c595ec432a5a85dcc91327d9a57bc8129ca0138c11f7c0dfb1c5ac379b3c17,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.1.0.0.1.1,"R.1.0.0.0.1.0.0.1",1,9,0.51025390625,0.51210937499999998,1.6076613435940124,1.608490961618805,1.7493134520506337,replaced,1,1,0,1.608490961618805,"OPTIMAL",0,"not_run","",00213bfeea4674250f5eaee1dc26bc6a92418694f572bd96caaceffc0951b9b7,00213bfeea4674250f5eaee1dc26bc6a92418694f572bd96caaceffc0951b9b7,1,1,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound"
R.1.0.0.0.0.1.1.0.0.0,"R.1.0.0.0.0.1.1.0.0",0,10,0.49726562499999993,0.49819335937499998,1.6070397970352857,1e+100,1.7493134520506337,empty,1,1,0,1.6075620196009406,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",c1a98bb886d15fe08ff49a1ef81ca587847e10b422fba91f19082bb6744884b1,c1a98bb886d15fe08ff49a1ef81ca587847e10b422fba91f19082bb6744884b1,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.1.0.0.1,"R.1.0.0.0.0.1.1.0.0",1,10,0.49819335937499998,0.49912109374999997,1.6070397970352857,1e+100,1.7493134520506337,empty,1,1,0,1.6073946855033148,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",7ff713d3ad3aa99963df82463a5ff9fa02d1bfbde819d49b19cc2dc55da0cdc2,7ff713d3ad3aa99963df82463a5ff9fa02d1bfbde819d49b19cc2dc55da0cdc2,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.1.0.1.0,"R.1.0.0.0.0.1.1.0.1",0,10,0.49912109374999997,0.50004882812499996,1.6068359367343792,1e+100,1.7493134520506337,empty,1,1,0,1.6072630583070773,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",b00c0ac4076f916a491f3ba1dd2d5d84b8e1f1d857a7fb9b4f4620e45cc296c3,b00c0ac4076f916a491f3ba1dd2d5d84b8e1f1d857a7fb9b4f4620e45cc296c3,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.1.0.1.1,"R.1.0.0.0.0.1.1.0.1",1,10,0.50004882812499996,0.5009765625,1.6068359367343792,1e+100,1.7493134520506337,empty,1,1,0,1.6072088458959819,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",ab752f1f352bf13da7498887fee4cc309727dc1f9694dae19a7f6c503b057e4b,ab752f1f352bf13da7498887fee4cc309727dc1f9694dae19a7f6c503b057e4b,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.1.1.0.0,"R.1.0.0.0.0.1.1.1.0",0,10,0.5009765625,0.50190429687500004,1.6068010962824839,1e+100,1.7493134520506337,empty,1,1,0,1.6071899287387406,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",5e2437bd1a323c3112088d6c49f4e0ad81f8b416a4da15d9d7fb39e49740fac6,5e2437bd1a323c3112088d6c49f4e0ad81f8b416a4da15d9d7fb39e49740fac6,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.1.1.0.1,"R.1.0.0.0.0.1.1.1.0",1,10,0.50190429687500004,0.50283203124999998,1.6068010962824839,1e+100,1.7493134520506337,empty,1,1,0,1.6071817111956155,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",4370fbb492b30eca9b274ef3c339ef1775fa45b112eba67fbf635ada96e74636,4370fbb492b30eca9b274ef3c339ef1775fa45b112eba67fbf635ada96e74636,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.1.1.1.0,"R.1.0.0.0.0.1.1.1.1",0,10,0.50283203124999998,0.50375976562499991,1.6070177217388411,1e+100,1.7493134520506337,empty,1,1,0,1.607285769386549,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",1f40292aee3b2e1db008475fe9dacfb39196d0e984a28e8549c58533b713cf32,1f40292aee3b2e1db008475fe9dacfb39196d0e984a28e8549c58533b713cf32,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.1.1.1.1,"R.1.0.0.0.0.1.1.1.1",1,10,0.50375976562499991,0.50468749999999996,1.6070177217388411,1e+100,1.7493134520506337,empty,1,1,0,1.6074116510602341,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",90bbb06c303449d7336b58c7b0cb8c1e46d98c5d16c589296099c5562fe8f550,90bbb06c303449d7336b58c7b0cb8c1e46d98c5d16c589296099c5562fe8f550,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.0.1.0.0,"R.1.0.0.0.0.1.0.1.0",0,10,0.49355468749999998,0.49448242187499997,1.6078725738862849,1e+100,1.7493134520506337,empty,1,1,0,1.6087338672666811,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",bb05c1dfe1834ae12165ab4dfc2b1d264a7595d99359f38ea1845349461b68dd,bb05c1dfe1834ae12165ab4dfc2b1d264a7595d99359f38ea1845349461b68dd,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.0.1.0.1,"R.1.0.0.0.0.1.0.1.0",1,10,0.49448242187499997,0.49541015624999996,1.6078725738862849,1e+100,1.7493134520506337,empty,1,1,0,1.6082100850062877,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",c7b1540a6274e2e9be73d31cfc21798b281b4ffb454e4af95069964e973a6b3f,c7b1540a6274e2e9be73d31cfc21798b281b4ffb454e4af95069964e973a6b3f,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.0.1.1.0,"R.1.0.0.0.0.1.0.1.1",0,10,0.49541015624999996,0.49633789062499994,1.6073844371305663,1e+100,1.7493134520506337,empty,1,1,0,1.6079282085236624,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",fa137e442c840b5f7e9010db9913a513bbdfdb6027cc1b6d7141fb4f47f23225,fa137e442c840b5f7e9010db9913a513bbdfdb6027cc1b6d7141fb4f47f23225,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.0.1.0.1.1.1,"R.1.0.0.0.0.1.0.1.1",1,10,0.49633789062499994,0.49726562499999993,1.6073844371305663,1e+100,1.7493134520506337,empty,1,1,0,1.6077400170646716,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",a4ec424f0ea722ae1fed7c565e7eb45b9916e556c3cac785f376d9fd7fa52cad,a4ec424f0ea722ae1fed7c565e7eb45b9916e556c3cac785f376d9fd7fa52cad,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.1.0.0.0.0.0,"R.1.0.0.0.1.0.0.0.0",0,10,0.50468749999999996,0.505615234375,1.6072943384821627,1e+100,1.7493134520506337,empty,1,1,0,1.6075428142118877,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",41a3abddea919026d93ac2185764c917203bebb8105fef378d62c2f17c92416f,41a3abddea919026d93ac2185764c917203bebb8105fef378d62c2f17c92416f,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.1.0.0.0.0.1,"R.1.0.0.0.1.0.0.0.0",1,10,0.505615234375,0.50654296874999993,1.6072943384821627,1e+100,1.7493134520506337,empty,1,1,0,1.6076839459209928,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",d7e17ca764e28335e3b322bcaed65cbaedc084b5efd97b4a794c094c584aea62,d7e17ca764e28335e3b322bcaed65cbaedc084b5efd97b4a794c094c584aea62,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.1.0.0.0.1.0,"R.1.0.0.0.1.0.0.0.1",0,10,0.50654296874999993,0.50747070312499987,1.6076181111878278,1e+100,1.7493134520506337,empty,1,1,0,1.6078451581672248,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",7f74e71cb2370320cd9dd2bff011d6a5cbf021b25b6a589f698a60f0b78b55e8,7f74e71cb2370320cd9dd2bff011d6a5cbf021b25b6a589f698a60f0b78b55e8,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
R.1.0.0.0.1.0.0.0.1.1,"R.1.0.0.0.1.0.0.0.1",1,10,0.50747070312499987,0.50839843749999991,1.6076181111878278,1e+100,1.7493134520506337,empty,1,1,0,1.6080113859689271,"OPTIMAL",1,"INFEASIBLE","native_terminal_mip_infeasible",6348f1a2f5a664ee8a7db80d7a67d88906a4258c85d42b020afe51f74dee42df,6348f1a2f5a664ee8a7db80d7a67d88906a4258c85d42b020afe51f74dee42df,1,0,"inherited_complete_parent_lp_bound;complete_optimal_interval_lp_bound;native_exact_terminal_mip_bound"
