number,id,arm,stage,kind,input_sha256,V,M,Q,T,executable_sha256,cap,wall,internal_wall,certificate,status,UB,LB,signed_absolute_gap,relative_gap,gap_note,hga_seconds,exact_start,initial_objective,initial_route_signature,lp_calls,mip_calls,splits,failure,result_sha256,artifact_dir
11,S12,DS,development,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,2.155999999959022,2.1276622,True,optimal,0.05856397312578515,0.058563973125785096,5.551115123125783e-17,9.478720153093029e-16,within numerical tolerance,0.3424821,0.3453044,0.10798673648880089,cdcf40981a11982af32a491fadd11d796f6f08a33eb8b703933b98bedb8d0602,3,1,0,False,0d090a980f97e7d4b5c5acbf79134f2a27664c3bdc7022d7280e2bd015cb51df,results\unified_exact_round71\local_raw\development\S12\DS
12,S12,DS-X,development,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,2.125,2.0945465,True,optimal,0.05856397312578515,0.058563973125785096,5.551115123125783e-17,9.478720153093029e-16,within numerical tolerance,0.3460473,0.3514042,0.10798673648880089,cdcf40981a11982af32a491fadd11d796f6f08a33eb8b703933b98bedb8d0602,3,1,0,False,a8ad365a2a9536b5a8a0f37db372020c9c953bea9c8abc9b126d34de11c9167b,results\unified_exact_round71\local_raw\development\S12\DS-X
13,N12,P-GRB,development,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,3.8909999998286366,3.8665697,True,optimal,0.8046255197202796,0.8046255197202797,-1.1102230246251565e-16,-1.3798009103801667e-16,within numerical tolerance,0,,,,0,1,0,False,32ac70dea4ceed9f52b933613f986a30fd555bb7fd44de00382446a2f5c725bd,results\unified_exact_round71\local_raw\development\N12\P-GRB
14,N12,DS,development,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,1.4369999999180436,1.4073902,True,optimal,0.8046255197202796,0.8046255197202777,1.887379141862766e-15,2.3456615476462833e-15,within numerical tolerance,0.0158641,0.0185833,0.9195880914082921,447f905d673c19f6a9d806e6ebb6dd3f110e76dd9b63c6b20a10549112643aa5,3,1,0,False,fad0fd0fce1b27dea16b2f1d4208904e5d7ad22a8dfcd8fe63736807c60be2b0,results\unified_exact_round71\local_raw\development\N12\DS
15,N12,DS-X,development,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,120,1.4219999997876585,1.3989747,True,optimal,0.8046255197202796,0.8046255197202777,1.887379141862766e-15,2.3456615476462833e-15,within numerical tolerance,0.0162511,0.0190553,0.9195880914082921,447f905d673c19f6a9d806e6ebb6dd3f110e76dd9b63c6b20a10549112643aa5,3,1,0,False,c5aeec9b1b7ef91a4f03a011dc165608b7692dd6ca5d751fb934029b4b8679c8,results\unified_exact_round71\local_raw\development\N12\DS-X
16,D7,P-GRB,development,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,1200,1197.0780000002123,1197.0603191,False,time_limit,0.27732086593398886,0.1972864787145512,0.08003438721943765,0.2885985046595389,open,0,,,,0,1,0,False,7a531e70995343a33493726c771a3b7f0aa2fe63d7d9198968305a5b976ae8cc,results\unified_exact_round71\local_raw\development\D7\P-GRB
17,D7,DS,development,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,1200,1197.1090000001714,1197.0617646,False,round31_c6_external_gini_tree_time_limit,0.31895879908690944,0.20407715858329653,0.11488164050361291,0.36017705368996616,open,2.8289386,2.8400257,0.6945633798694341,515a182b0db3453b0bfbf9020c45d5dafd7d09a55431e29fed6c56b4019e91f7,3,1,0,False,3d6f51fcaefe3cd924d4b02d7bdc1ca2b066ecbe55fc647d187d0a851ccecafc,results\unified_exact_round71\local_raw\development\D7\DS
18,D7,DS-X,development,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,1200,1197.1089999997057,1197.0770348,False,round31_c6_external_gini_tree_time_limit,0.2783352667791633,0.20414629462573686,0.07418897215342646,0.26654535378116295,open,9.3804927,9.3854935,0.544510590216379,000e791cac05d2040d50752230da35f40accb6d7788289bb581109f70ddbdd5e,3,1,0,False,79ce8597ae783b9bc19d8c0fb3981d336cd011065419f4b3cbfce6d82ded2172,results\unified_exact_round71\local_raw\development\D7\DS-X
19,D7,K1-R,development,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,1200,1197.125,1197.0895658,False,round31_c6_external_gini_tree_time_limit,0.21564407531579505,0.1973574792283258,0.018286596087469242,0.08479990030187406,open,612.4211812,612.4328822,0.21564407531579505,e90fa09098516df76adf2b3dc1c2dac6c903b7052a108ae94dd666fa8b7a542b,5,1,2,False,bc8a16d3d1b0fae1af87bcbaa7b9b39f7cdb83b1fb4c59bbc2072a5abb5f719b,results\unified_exact_round71\local_raw\development\D7\K1-R
20,D6,P-GRB,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,600,597.094000000041,597.0569636,False,time_limit,0.1572411758522922,0.14498588325431813,0.01225529259797406,0.07793946166801963,open,0,,,,0,1,0,False,10049b8b2201303dade14df122c8a7788bf570fb166f43a8f133b9070f18556c,results\unified_exact_round71\local_raw\development\D6\P-GRB
21,D6,DS,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,600,597.061999999918,597.0315668,False,round31_c6_external_gini_tree_time_limit,0.15708313110317415,0.15007904223698956,0.007004088866184588,0.04458842153830137,open,5.5090713,5.5139186,0.16002728060440277,47e5af8f669b1ae950f0771cfeb18b9ea30d495c253294bb90b17c42b0073937,5,1,1,False,54b02467a1f027570f026875febe71333ee6fd4cd3eb3c0f5ef360f53bed8cf4,results\unified_exact_round71\local_raw\development\D6\DS
22,D6,DS-X,development,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,4f60ed8cd6f65c695947e8ac3bd525b77d28d94733faf2c9ef25d057a69023af,600,597.061999999918,597.0319262,False,round31_c6_external_gini_tree_time_limit,0.15708313110317415,0.15008706391847396,0.006996067184700194,0.044537355065230336,open,5.5113492,5.5146381,0.16002728060440277,47e5af8f669b1ae950f0771cfeb18b9ea30d495c253294bb90b17c42b0073937,5,1,1,False,13697fd7b9bf2ce837a402144310c9a08437521dbfb1c7710e426c09870ab3d8,results\unified_exact_round71\local_raw\development\D6\DS-X
