file,method,instance_name,finalization_source,lower_bound,best_valid_lb_seen,gap,best_valid_gap_seen,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s_auto_oracle\interval_3.json,interval-cutoff-oracle,tight_T_seed3102.txt,cplex_solver_final_no_valid_bound,0.0,0.0,1.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__plain_cplex__1800s.json,cplex,high_imbalance_seed3201.txt,solver_final_json,2.0586039623,2.0586039623,0.157619037351,0.157619037351,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__plain_cplex__300s.json,cplex,high_imbalance_seed3201.txt,solver_final_json,1.9775993942,1.9775993942,0.225923879082,0.225923879082,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__plain_cplex__900s.json,cplex,high_imbalance_seed3201.txt,solver_final_json,2.0393714833,2.0393714833,0.176667239453,0.176667239453,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s.json,gcap-frontier,high_imbalance_seed3201.txt,solver_final_json,2.313397,2.313397,0.0532070156787,0.0532070156787,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_1.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.31339692676,2.31339692676,0.0532070456525,0.0532070456525,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_2.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.33208430136,2.33208430136,0.0455589527547,0.0455589527547,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s_auto_oracle\interval_3.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_solver_final,2.44340319194,2.44340319194,0.0,0.0,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s.json,gcap-frontier,high_imbalance_seed3201.txt,solver_final_json,2.294618,2.294618,0.0608926076686,0.0608926076686,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_controlling_leaf_scheduler_round\raw\official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s_auto_oracle\interval_1.json,interval-cutoff-oracle,high_imbalance_seed3201.txt,cplex_time_limit_with_valid_best_bound,2.300069569,2.300069569,0.058661469961,0.058661469961,True,
