instance,instance_class,budget_seconds,all_three_fresh,all_three_comparable,plain_cplex__lower_bound,plain_cplex__upper_bound,plain_cplex__gap,plain_cplex__certificate,plain_cplex__actual_process_wall_seconds,plain_cplex__engineering_blocker,plain_cplex__time_to_first_valid_lb,plain_cplex__time_to_best_lb,plain_cplex__time_to_gap_5pct,plain_cplex__time_to_gap_1pct,plain_cplex__time_to_gap_0_1pct,plain_cplex__primal_dual_integral,plain_cplex__controlling_set_switches,plain_cplex__time_spent_controlling,plain_cplex__time_spent_noncontrolling,plain_cplex__leaves_never_attempted,plain_cplex__accepted_checkpoint_bounds,plain_cplex__checkpoint_based_bound_fathomings,plain_cplex__solver_final_closures,plain_cplex__unresolved_leaves,tailored_legacy_scheduler_static__lower_bound,tailored_legacy_scheduler_static__upper_bound,tailored_legacy_scheduler_static__gap,tailored_legacy_scheduler_static__certificate,tailored_legacy_scheduler_static__actual_process_wall_seconds,tailored_legacy_scheduler_static__engineering_blocker,tailored_legacy_scheduler_static__time_to_first_valid_lb,tailored_legacy_scheduler_static__time_to_best_lb,tailored_legacy_scheduler_static__time_to_gap_5pct,tailored_legacy_scheduler_static__time_to_gap_1pct,tailored_legacy_scheduler_static__time_to_gap_0_1pct,tailored_legacy_scheduler_static__primal_dual_integral,tailored_legacy_scheduler_static__controlling_set_switches,tailored_legacy_scheduler_static__time_spent_controlling,tailored_legacy_scheduler_static__time_spent_noncontrolling,tailored_legacy_scheduler_static__leaves_never_attempted,tailored_legacy_scheduler_static__accepted_checkpoint_bounds,tailored_legacy_scheduler_static__checkpoint_based_bound_fathomings,tailored_legacy_scheduler_static__solver_final_closures,tailored_legacy_scheduler_static__unresolved_leaves,tailored_controlling_scheduler_static__lower_bound,tailored_controlling_scheduler_static__upper_bound,tailored_controlling_scheduler_static__gap,tailored_controlling_scheduler_static__certificate,tailored_controlling_scheduler_static__actual_process_wall_seconds,tailored_controlling_scheduler_static__engineering_blocker,tailored_controlling_scheduler_static__time_to_first_valid_lb,tailored_controlling_scheduler_static__time_to_best_lb,tailored_controlling_scheduler_static__time_to_gap_5pct,tailored_controlling_scheduler_static__time_to_gap_1pct,tailored_controlling_scheduler_static__time_to_gap_0_1pct,tailored_controlling_scheduler_static__primal_dual_integral,tailored_controlling_scheduler_static__controlling_set_switches,tailored_controlling_scheduler_static__time_spent_controlling,tailored_controlling_scheduler_static__time_spent_noncontrolling,tailored_controlling_scheduler_static__leaves_never_attempted,tailored_controlling_scheduler_static__accepted_checkpoint_bounds,tailored_controlling_scheduler_static__checkpoint_based_bound_fathomings,tailored_controlling_scheduler_static__solver_final_closures,tailored_controlling_scheduler_static__unresolved_leaves,lowest_gap_arm
tight_T_seed3101,control,900,True,True,0.018684593498,0.139366024177,0.865931502256,CPLEX did not report optimality: time limit exceeded,900.161751100095,,900.1355378,900.119635,,,,,0,0,0,0,0,0,0,0,0.107252734134,0.107252734134,0,gamma-frontier certificate: every relevant Gini interval was either closed with exact pricing or fathomed by a valid interval lower bound above the verified incumbent objective,76.2585634002462,,76.2253116,76.2196835,,,,,0,0,0,0,0,0,0,0,0.031391,0.107252734134,0.707317484692,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.1500009000301,,31.7743,31.7672947,,,,581.367771081,0,850.306,0.0,2,0,0,0,3,tailored_legacy_scheduler_static
high_imbalance_seed3202,control,900,True,True,1.1404943279,1.7774623665,0.358358101193,CPLEX did not report optimality: time limit exceeded,900.1513706999831,,900.1256288,900.110493,,,,,0,0,0,0,0,0,0,0,1.74931345205,1.74931345205,0,gamma-frontier certificate: every relevant Gini interval was either closed with exact pricing or fathomed by a valid interval lower bound above the verified incumbent objective,294.10749879991636,,294.0726422,294.0659982,,,,,0,0,0,0,0,0,0,0,1.697023,1.74931345205,0.0298919853325,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.3346591000445,,39.1667308,39.1624426,78.4451,,,39.156560755464994,3,843.0768720000001,0.0,0,0,0,2,1,tailored_legacy_scheduler_static
moderate_seed3301,hard,900,True,True,0.040607297356,0.049647278371,0.182084120451,CPLEX did not report optimality: time limit exceeded,902.2649296999443,,902.2387014,902.2230862,,,,,0,0,0,0,0,0,0,0,0.0122881381662,0.0491525526647,0.75,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.2099827998318,,457.8347173,457.8230796,,,,,0,0,0,0,0,0,0,0,0.047668,0.0491525526647,0.0302029616828,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.2538776998408,,49.8655499,49.8590283,533.244,,,70.0943158608,4,832.2968079999999,0.0,0,0,0,2,2,tailored_controlling_scheduler_static
moderate_seed3302,hard,900,True,True,0.11963888794,0.214283090497,0.44167835333,CPLEX did not report optimality: time limit exceeded,900.8491565999575,,900.8234555,900.8070317,,,,,0,0,0,0,0,0,0,0,0.0305681572733,0.195636206549,0.84375,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.3428643997759,,451.3795063,451.3744687,,,,,0,0,0,0,0,0,0,0,0.125769,0.195636206549,0.357128201274,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.1421805997379,,51.9267037,51.9225337,,,,301.6034908345,3,830.1336,0.0,1,0,0,0,4,tailored_controlling_scheduler_static
high_imbalance_seed3201,hard,900,True,True,2.0393714833,2.47697113612,0.176667239453,CPLEX did not report optimality: time limit exceeded,900.1706272000447,,900.1450341,900.1280101,,,,,0,0,0,0,0,0,0,0,2.289985,2.44340319194,0.0627887335373,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.312833499629,,473.6547151,473.6401731,,,,,0,0,0,0,0,0,0,0,2.299943,2.44340319194,0.058713270252,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.2621877999045,,49.8977865,49.8910267,,,,53.88384203839999,3,832.2817580000001,0.0,0,0,0,1,2,tailored_controlling_scheduler_static
tight_T_seed3102,hard,900,True,True,0.47826546729,0.612333719141,0.218946381132,CPLEX did not report optimality: time limit exceeded,900.179523400031,,900.1535179,900.1371313,,,,,0,0,0,0,0,0,0,0,0.31574776659,0.600704436685,0.474370843117,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.2940998999402,,450.6789437,450.6731448,,,,,0,0,0,0,0,0,0,0,0.450528327514,0.600704436685,0.25,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,882.141876200214,,67.375777,67.3717213,,,,196.1521793792,2,787.8965,0.0,1,0,0,0,4,plain_cplex
V12_M1,control,1800,True,True,0.357200583208,0.357200583208,0,CPLEX reported optimality and the independent verifier recomputed the same feasible objective.,185.09758159983903,,185.0724786,185.0643928,,,,,0,0,0,0,0,0,0,0,0.357200583208,0.357200583208,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,543.6169994999655,,500.6619087,500.6501818,,,,,0,0,0,0,0,0,0,0,0.357200583208,0.357200583208,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,99.84880150016397,,26.8795501,26.8738655,57.811,99.8088,99.8088,11.386010830614998,3,72.900418,0.0,0,0,0,3,0,plain_cplex
V12_M2,control,1800,True,True,0.6579079083,0.718504070755,0.0843365610877,CPLEX did not report optimality: time limit exceeded,1770.2856332999654,,1770.2562824,1770.2467943,,,,,0,0,0,0,0,0,0,0,0.718504070755,0.718504070755,0,gamma-frontier certificate: every relevant Gini interval was either closed with exact pricing or fathomed by a valid interval lower bound above the verified incumbent objective,289.62283989973366,,289.5888388,289.5823734,,,,,0,0,0,0,0,0,0,0,0.718504070755,0.718504070755,0,sealed frontier certificate completed by automatic exact interval cutoff MIP infeasibility certificates,476.46089209988713,,34.6633668,34.6592083,246.095,476.423,476.423,15.690715077990001,2,441.712042,0.0,0,0,0,2,0,tailored_legacy_scheduler_static
tight_T_seed3101,control,1800,True,True,0.020071596431,0.134541531987,0.850814866349,CPLEX did not report optimality: time limit exceeded,1770.1781539004296,,1770.151709,1770.135656,,,,,0,0,0,0,0,0,0,0,0.107252734134,0.107252734134,0,gamma-frontier certificate: every relevant Gini interval was either closed with exact pricing or fathomed by a valid interval lower bound above the verified incumbent objective,76.33571309968829,,76.3043646,76.2960227,,,,,0,0,0,0,0,0,0,0,0.033005,0.107252734134,0.692268917277,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1770.2109930003062,,31.7589709,31.7520382,,,,1203.3908391983,0,1738.37,0.0,2,0,0,0,3,tailored_legacy_scheduler_static
high_imbalance_seed3202,control,1800,True,True,1.1960100056,1.77133486081,0.324797342352,CPLEX did not report optimality: time limit exceeded,1770.234851299785,,1770.210168,1770.1930713,,,,,0,0,0,0,0,0,0,0,1.74931345205,1.74931345205,0,gamma-frontier certificate: every relevant Gini interval was either closed with exact pricing or fathomed by a valid interval lower bound above the verified incumbent objective,293.9924396998249,,293.9574774,293.9506873,,,,,0,0,0,0,0,0,0,0,1.729682,1.74931345205,0.0112223752854,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1770.1672175000422,,39.3858323,39.3808711,78.9258,,,53.56642201027999,3,1730.6901149999999,0.0,0,0,0,2,1,tailored_legacy_scheduler_static
moderate_seed3301,hard,1800,True,True,0.040996444816,0.0500445932179,0.18080171743,CPLEX did not report optimality: time limit exceeded,1789.5799531000666,,1789.552362,1789.5354885,,,,,0,0,0,0,0,0,0,0,0.047951,0.0491525526647,0.0244453766815,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1541.262866999954,,504.7244585,504.7131393,,,,,0,0,0,0,0,0,0,0,0.048294,0.0491525526647,0.0174671022805,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1770.4124189000577,,49.6489308,49.6441933,533.305,,,87.05898301645,4,1720.662061,0.0,0,0,0,2,2,tailored_controlling_scheduler_static
moderate_seed3302,hard,1800,True,True,0.12092065609,0.217059690496,0.442915191607,CPLEX did not report optimality: time limit exceeded,1788.5526877003722,,1788.5269642,1788.5096238,,,,,0,0,0,0,0,0,0,0,0.0305681572733,0.195636206549,0.84375,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1770.2304920000024,,509.9163767,509.9102041,,,,,0,0,0,0,0,0,0,0,0.126798,0.195636206549,0.351868438687,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1770.184758800082,,51.7754614,51.768579,,,,616.0076650815,3,1718.3192999999999,0.0,1,0,0,0,4,tailored_controlling_scheduler_static
high_imbalance_seed3201,hard,1800,True,True,2.0586039623,2.44379212444,0.157619037351,CPLEX did not report optimality: time limit exceeded,1770.1870275996625,,1770.1493211,1770.1246112,,,,,0,0,0,0,0,0,0,0,2.303377,2.44340319194,0.0573078534091,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1521.3591833002865,,512.7454295,512.7347666,,,,,0,0,0,0,0,0,0,0,2.313397,2.44340319194,0.0532070156787,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1770.3974616997875,,49.8324234,49.8266182,,,,104.34665141125001,4,1720.348385,0.0,0,0,0,1,2,tailored_controlling_scheduler_static
tight_T_seed3102,hard,1800,True,True,0.48467162526,0.618727757146,0.216664163419,CPLEX did not report optimality: time limit exceeded,1770.227325499989,,1770.2005189,1770.17726,,,,,0,0,0,0,0,0,0,0,0.531358,0.600704436685,0.115441858675,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1704.4243413996883,,514.9383368,514.9327067,,,,,0,0,0,0,0,0,0,0,0.450528327514,0.600704436685,0.25,gamma-frontier diagnostic still has relevant intervals that are neither closed nor fathomed by a valid lower bound; do not treat as an optimality certificate,1770.0950213000178,,67.6255018,67.6147897,,,,418.06982796570003,2,1644.9288,0.0,1,0,0,0,4,tailored_legacy_scheduler_static
