run_id,leaf_id,gamma_L,gamma_U,parent_id,split_depth,child_index,parent_child_coverage_valid,parent_replaced,initial_bound,final_bound,lower_bound_sources,screening_time,exact_solver_time,time_while_controlling,time_while_noncontrolling,attempt_count,cumulative_allocated_time,first_attempt_time,last_attempt_time,final_status,closure_source,instance_hash,model_fingerprint,formulation_profile,latest_checkpoint_sequence,checkpoint_acceptance_status,checkpoint_rejection_reason
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,1,0.0122881,0.0245763,root,0,-1,true,false,0.0122881,0.045742,gamma_floor|solver_final_fixed_interval_bound,0,211.895,211.895,0,4,211.29,1.94173,244.469,open,,d5bf31d0bb885c86,b3b400df77a2aeb3,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,2,0.0245763,0.0368644,root,0,-1,true,false,0.0245763,0.0482943,gamma_floor|solver_final_fixed_interval_bound,0,30.1003,30.1003,0,1,30,32.0477,62.1532,open,,d5bf31d0bb885c86,0981ff597531c88d,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__300s,3,0.0368644,0.0491526,root,0,-1,true,false,0.0368644,0.0491526,gamma_floor|solver_final_fixed_interval_bound,0,0.500219,0.500219,0,1,30,62.1533,62.659,fathomed,solver_final_exact_closure,d5bf31d0bb885c86,73c3b53dd6db45e5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,0,0,0.0489091,root,0,-1,true,false,0,0.122681,gamma_floor|solver_final_fixed_interval_bound,0,181.947,181.947,0,3,181.194,0.0061408,242.46,open,,5023fc071e6d33a9,ba8fcaa5985e89e3,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,1,0.0489091,0.0978181,root,0,-1,true,false,0.0489091,0.144171,gamma_floor|solver_final_fixed_interval_bound,0,30.2356,30.2356,0,1,30,30.3282,60.5692,open,,5023fc071e6d33a9,4ec968367c6e7149,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,2,0.0978181,0.146727,root,0,-1,true,false,0.0978181,0.170519,gamma_floor|solver_final_fixed_interval_bound,0,30.2432,30.2432,0,1,30,60.5692,90.8176,open,,5023fc071e6d33a9,12627594b1d7ed46,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__300s,3,0.146727,0.195636,root,0,-1,true,false,0.146727,0.146727,gamma_floor,0,0,0,0,0,0,-1,-1,open,,5023fc071e6d33a9,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,1,0.2375,0.475,root,0,-1,true,false,1.50461,2.30007,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,30.1987,30.1987,0,1,30,0.0048259,30.2088,open,,beaa3fbbd6523fa6,4f1b65851e64c47d,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,2,0.475,0.7125,root,0,-1,true,false,1.74211,2.29462,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,213.468,213.468,0,4,212.689,30.2088,244.396,open,,beaa3fbbd6523fa6,f43b33590b826bb8,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,3,0.7125,0.95,root,0,-1,true,false,1.97961,2.4434,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.694235,0.694235,0,1,30,60.4998,61.199,fathomed,solver_final_exact_closure,beaa3fbbd6523fa6,565f17d732a604f7,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,0,0,0.150176,root,0,-1,true,false,0.315748,0.494325,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,30.2847,30.2847,0,1,30,0.0063083,30.2977,open,,8e9a4ec7edfa3f8d,b00154d86c96bd51,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,1,0.150176,0.300352,root,0,-1,true,false,0.450176,0.519561,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,30.1832,30.1832,0,1,30,30.2977,60.4871,open,,8e9a4ec7edfa3f8d,8377874d0f1c3ab9,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,2,0.300352,0.450528,root,0,-1,true,false,0.600352,0.600352,gamma_floor|cheap_projection_bound,0,0,0,0,0,0,-1,-1,open,,8e9a4ec7edfa3f8d,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,3,0.450528,0.600704,root,0,-1,true,false,0.450528,0.450528,gamma_floor,0,160.19,160.19,0,1086,90157,60.4871,226.564,open,,8e9a4ec7edfa3f8d,f85f214357155264,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M1__tailored_controlling_scheduler_static__900s,1,0.0893001,0.1786,root,0,-1,true,false,0.0937385,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.29399,0.29399,0,1,30,0.005693,0.304443,fathomed,solver_final_exact_closure,a154aff570ee4405,a195c7d4133cc3d1,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M1__tailored_controlling_scheduler_static__900s,2,0.1786,0.2679,root,0,-1,true,false,0.183039,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,72.4681,72.4681,0,2,90,0.304464,73.2672,fathomed,solver_final_exact_closure,a154aff570ee4405,a7700d99fe0dc484,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M1__tailored_controlling_scheduler_static__900s,3,0.2679,0.357201,root,0,-1,true,false,0.272339,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.479869,0.479869,0,1,30,30.4121,30.8965,fathomed,solver_final_exact_closure,a154aff570ee4405,40103e98e78ed251,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M2__tailored_controlling_scheduler_static__900s,2,0.359252,0.538878,root,0,-1,true,false,0.390323,0.718504,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,441.773,441.773,0,4,450,0.0046573,442.476,fathomed,solver_final_exact_closure,52a1bbf5593d7d3f,831681fce70b0aa5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M2__tailored_controlling_scheduler_static__900s,3,0.538878,0.718504,root,0,-1,true,false,0.569949,0.718504,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.654708,0.654708,0,1,30,30.4588,31.1208,fathomed,solver_final_exact_closure,52a1bbf5593d7d3f,71379639ca35c8c6,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,1,0.0268132,0.0536264,root,0,-1,true,false,0.0268132,0.0313908,gamma_floor|solver_final_fixed_interval_bound,0,850.306,850.306,0,5,849.371,0.0036844,850.341,open,,ec532e94d68e194a,5315149b148157a5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,2,0.0536264,0.0804396,root,0,-1,true,false,0.0536264,0.0536264,gamma_floor,0,0,0,0,0,0,-1,-1,open,,ec532e94d68e194a,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,3,0.0804396,0.107253,root,0,-1,true,false,0.0804396,0.0804396,gamma_floor,0,0,0,0,0,0,-1,-1,open,,ec532e94d68e194a,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,1,0.2375,0.475,root,0,-1,true,false,0.826715,1.74931,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,8.63738,8.63738,0,1,30,0.007302,8.64967,fathomed,solver_final_exact_closure,979308f70f2d4f3c,22cea6dcf4b3af97,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,2,0.475,0.7125,root,0,-1,true,false,1.06421,1.69702,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,833.95,833.95,0,5,832.836,8.64969,843.129,open,,979308f70f2d4f3c,3adaef2386c41c09,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,3,0.7125,0.95,root,0,-1,true,false,1.30171,1.74931,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.489492,0.489492,0,1,30,38.7842,39.2784,fathomed,solver_final_exact_closure,979308f70f2d4f3c,3ddfedf15234d9d1,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,0,0,0.0122881,root,0,-1,true,false,0,0.0491526,gamma_floor|solver_final_fixed_interval_bound,0,1.91233,1.91233,0,1,30,0.002349,1.92029,fathomed,solver_final_exact_closure,d5bf31d0bb885c86,6f76345b2512aea7,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,1,0.0122881,0.0245763,root,0,-1,true,false,0.0122881,0.0476683,gamma_floor|solver_final_fixed_interval_bound,0,799.709,799.709,0,5,798.756,1.92031,832.349,open,,d5bf31d0bb885c86,b3b400df77a2aeb3,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,2,0.0245763,0.0368644,root,0,-1,true,false,0.0245763,0.0482943,gamma_floor|solver_final_fixed_interval_bound,0,30.186,30.186,0,1,30,32.09,62.2816,open,,d5bf31d0bb885c86,0981ff597531c88d,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,3,0.0368644,0.0491526,root,0,-1,true,false,0.0368644,0.0491526,gamma_floor|solver_final_fixed_interval_bound,0,0.489478,0.489478,0,1,30,62.2816,62.7761,fathomed,solver_final_exact_closure,d5bf31d0bb885c86,73c3b53dd6db45e5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,0,0,0.0489091,root,0,-1,true,false,0,0.125769,gamma_floor|solver_final_fixed_interval_bound,0,769.873,769.873,0,5,769.122,0.008258,830.18,open,,5023fc071e6d33a9,ba8fcaa5985e89e3,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,1,0.0489091,0.0978181,root,0,-1,true,false,0.0489091,0.144171,gamma_floor|solver_final_fixed_interval_bound,0,30.1153,30.1153,0,1,30,30.1263,60.2466,open,,5023fc071e6d33a9,4ec968367c6e7149,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,2,0.0978181,0.146727,root,0,-1,true,false,0.0978181,0.170519,gamma_floor|solver_final_fixed_interval_bound,0,30.1453,30.1453,0,1,30,60.2466,90.397,open,,5023fc071e6d33a9,12627594b1d7ed46,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,3,0.146727,0.195636,root,0,-1,true,false,0.146727,0.146727,gamma_floor,0,0,0,0,0,0,-1,-1,open,,5023fc071e6d33a9,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,1,0.2375,0.475,root,0,-1,true,false,1.50461,2.29994,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,30.1222,30.1222,0,1,30,0.0047085,30.1319,open,,beaa3fbbd6523fa6,4f1b65851e64c47d,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,2,0.475,0.7125,root,0,-1,true,false,1.74211,2.30802,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,801.465,801.465,0,5,800.445,30.1319,832.326,open,,beaa3fbbd6523fa6,f43b33590b826bb8,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,3,0.7125,0.95,root,0,-1,true,false,1.97961,2.4434,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.694558,0.694558,0,1,30,60.3997,61.1,fathomed,solver_final_exact_closure,beaa3fbbd6523fa6,565f17d732a604f7,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,0,0,0.150176,root,0,-1,true,false,0.315748,0.494002,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,30.1329,30.1329,0,1,30,0.0044757,30.1428,open,,8e9a4ec7edfa3f8d,b00154d86c96bd51,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,1,0.150176,0.300352,root,0,-1,true,false,0.450176,0.519561,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,30.1286,30.1286,0,1,30,30.1428,60.277,open,,8e9a4ec7edfa3f8d,8377874d0f1c3ab9,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,2,0.300352,0.450528,root,0,-1,true,false,0.600352,0.600352,gamma_floor|cheap_projection_bound,0,0,0,0,0,0,-1,-1,open,,8e9a4ec7edfa3f8d,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,3,0.450528,0.600704,root,0,-1,true,false,0.450528,0.450528,gamma_floor,0,727.635,727.635,0,4924,1.85499e+06,60.277,814.716,open,,8e9a4ec7edfa3f8d,f85f214357155264,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M1__tailored_controlling_scheduler_static__1800s,1,0.0893001,0.1786,root,0,-1,true,false,0.0937385,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.29818,0.29818,0,1,30,0.0044081,0.310998,fathomed,solver_final_exact_closure,a154aff570ee4405,a195c7d4133cc3d1,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M1__tailored_controlling_scheduler_static__1800s,2,0.1786,0.2679,root,0,-1,true,false,0.183039,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,72.1097,72.1097,0,2,90,0.311018,72.9293,fathomed,solver_final_exact_closure,a154aff570ee4405,a7700d99fe0dc484,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M1__tailored_controlling_scheduler_static__1800s,3,0.2679,0.357201,root,0,-1,true,false,0.272339,0.357201,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.492538,0.492538,0,1,30,30.434,30.9314,fathomed,solver_final_exact_closure,a154aff570ee4405,40103e98e78ed251,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M2__tailored_controlling_scheduler_static__1800s,2,0.359252,0.538878,root,0,-1,true,false,0.390323,0.718504,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,441.145,441.145,0,4,450,0.0039113,441.76,fathomed,solver_final_exact_closure,52a1bbf5593d7d3f,831681fce70b0aa5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__V12_M2__tailored_controlling_scheduler_static__1800s,3,0.538878,0.718504,root,0,-1,true,false,0.569949,0.718504,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.567042,0.567042,0,1,30,30.3365,30.9147,fathomed,solver_final_exact_closure,52a1bbf5593d7d3f,71379639ca35c8c6,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,1,0.0268132,0.0536264,root,0,-1,true,false,0.0268132,0.0330053,gamma_floor|solver_final_fixed_interval_bound,0,1738.37,1738.37,0,6,1737.29,0.0041262,1738.42,open,,ec532e94d68e194a,5315149b148157a5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,2,0.0536264,0.0804396,root,0,-1,true,false,0.0536264,0.0536264,gamma_floor,0,0,0,0,0,0,-1,-1,open,,ec532e94d68e194a,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,3,0.0804396,0.107253,root,0,-1,true,false,0.0804396,0.0804396,gamma_floor,0,0,0,0,0,0,-1,-1,open,,ec532e94d68e194a,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,1,0.2375,0.475,root,0,-1,true,false,0.826715,1.74931,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,8.83101,8.83101,0,1,30,0.0061969,8.84639,fathomed,solver_final_exact_closure,979308f70f2d4f3c,22cea6dcf4b3af97,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,2,0.475,0.7125,root,0,-1,true,false,1.06421,1.72968,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,1721.37,1721.37,0,6,1720.16,8.84642,1730.74,open,,979308f70f2d4f3c,3adaef2386c41c09,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,3,0.7125,0.95,root,0,-1,true,false,1.30171,1.74931,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.489105,0.489105,0,1,30,39.0453,39.54,fathomed,solver_final_exact_closure,979308f70f2d4f3c,3ddfedf15234d9d1,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,0,0,0.0122881,root,0,-1,true,false,0,0.0491526,gamma_floor|solver_final_fixed_interval_bound,0,1.93592,1.93592,0,1,30,0.0068566,1.95081,fathomed,solver_final_exact_closure,d5bf31d0bb885c86,6f76345b2512aea7,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,1,0.0122881,0.0245763,root,0,-1,true,false,0.0122881,0.0483824,gamma_floor|solver_final_fixed_interval_bound,0,1688.1,1688.1,0,6,1686.53,1.95083,1720.72,open,,d5bf31d0bb885c86,b3b400df77a2aeb3,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,2,0.0245763,0.0368644,root,0,-1,true,false,0.0245763,0.0482943,gamma_floor|solver_final_fixed_interval_bound,0,30.1192,30.1192,0,1,30,32.2052,62.3295,open,,d5bf31d0bb885c86,0981ff597531c88d,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,3,0.0368644,0.0491526,root,0,-1,true,false,0.0368644,0.0491526,gamma_floor|solver_final_fixed_interval_bound,0,0.506941,0.506941,0,1,30,62.3296,62.8415,fathomed,solver_final_exact_closure,d5bf31d0bb885c86,73c3b53dd6db45e5,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,0,0,0.0489091,root,0,-1,true,false,0,0.126798,gamma_floor|solver_final_fixed_interval_bound,0,1658.06,1658.06,0,6,1656.87,0.0037223,1718.37,open,,5023fc071e6d33a9,ba8fcaa5985e89e3,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,1,0.0489091,0.0978181,root,0,-1,true,false,0.0489091,0.144171,gamma_floor|solver_final_fixed_interval_bound,0,30.0935,30.0935,0,1,30,30.1286,60.2271,open,,5023fc071e6d33a9,4ec968367c6e7149,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,2,0.0978181,0.146727,root,0,-1,true,false,0.0978181,0.170519,gamma_floor|solver_final_fixed_interval_bound,0,30.1658,30.1658,0,1,30,60.2271,90.3999,open,,5023fc071e6d33a9,12627594b1d7ed46,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,3,0.146727,0.195636,root,0,-1,true,false,0.146727,0.146727,gamma_floor,0,0,0,0,0,0,-1,-1,open,,5023fc071e6d33a9,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,1,0.2375,0.475,root,0,-1,true,false,1.50461,2.3134,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,788.586,788.586,0,5,787.44,0.0046048,1720.44,open,,beaa3fbbd6523fa6,4f1b65851e64c47d,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,2,0.475,0.7125,root,0,-1,true,false,1.74211,2.33208,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,931.075,931.075,0,5,930,30.2849,962.103,open,,beaa3fbbd6523fa6,f43b33590b826bb8,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,3,0.7125,0.95,root,0,-1,true,false,1.97961,2.4434,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,0.687385,0.687385,0,1,30,60.5636,61.261,fathomed,solver_final_exact_closure,beaa3fbbd6523fa6,565f17d732a604f7,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,0,0,0.150176,root,0,-1,true,false,0.315748,0.494002,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,30.1489,30.1489,0,1,30,0.0047785,30.1606,open,,8e9a4ec7edfa3f8d,b00154d86c96bd51,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,1,0.150176,0.300352,root,0,-1,true,false,0.450176,0.519561,gamma_floor|cheap_projection_bound|solver_final_fixed_interval_bound,0,30.2099,30.2099,0,1,30,30.1606,60.3759,open,,8e9a4ec7edfa3f8d,8377874d0f1c3ab9,round17_static_no_callback_paper_safe,0,not_seen,not_seen
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,2,0.300352,0.450528,root,0,-1,true,false,0.600352,0.600352,gamma_floor|cheap_projection_bound,0,0,0,0,0,0,-1,-1,open,,8e9a4ec7edfa3f8d,pending_fixed_interval_export,round17_static_no_callback_paper_safe,0,not_seen,not_seen
