sequence,timestamp,instance,arm,budget_seconds,run_id,skipped_existing,return_code,wall_seconds,engineering_blocker,run_order,diagnostic_only
28,2026-07-14T04:29:46+08:00,high_imbalance_seed3201,tailored_controlling_scheduler_static,300,official__high_imbalance_seed3201__tailored_controlling_scheduler_static__300s,False,0,294.32100729993545,,28,
29,2026-07-14T04:34:41+08:00,tight_T_seed3102,tailored_legacy_scheduler_static,300,official__tight_T_seed3102__tailored_legacy_scheduler_static__300s,False,0,294.2323145000264,,29,
30,2026-07-14T04:39:36+08:00,tight_T_seed3102,tailored_controlling_scheduler_static,300,official__tight_T_seed3102__tailored_controlling_scheduler_static__300s,False,0,294.11986700003035,,30,
31,2026-07-14T04:48:58+08:00,V12_M1,tailored_legacy_scheduler_static,900,official__V12_M1__tailored_legacy_scheduler_static__900s,False,0,493.29619179992005,,31,
32,2026-07-14T04:50:40+08:00,V12_M1,tailored_controlling_scheduler_static,900,official__V12_M1__tailored_controlling_scheduler_static__900s,False,0,101.1558265001513,,32,
33,2026-07-14T04:55:31+08:00,V12_M2,tailored_legacy_scheduler_static,900,official__V12_M2__tailored_legacy_scheduler_static__900s,False,0,290.5714823999442,,33,
34,2026-07-14T05:03:28+08:00,V12_M2,tailored_controlling_scheduler_static,900,official__V12_M2__tailored_controlling_scheduler_static__900s,False,0,476.8021013997495,,34,
35,2026-07-14T05:04:45+08:00,tight_T_seed3101,tailored_legacy_scheduler_static,900,official__tight_T_seed3101__tailored_legacy_scheduler_static__900s,False,0,76.2585634002462,,35,
36,2026-07-14T05:19:28+08:00,tight_T_seed3101,tailored_controlling_scheduler_static,900,official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,False,0,882.1500009000301,,36,
37,2026-07-14T05:24:23+08:00,high_imbalance_seed3202,tailored_legacy_scheduler_static,900,official__high_imbalance_seed3202__tailored_legacy_scheduler_static__900s,False,0,294.10749879991636,,37,
38,2026-07-14T05:39:05+08:00,high_imbalance_seed3202,tailored_controlling_scheduler_static,900,official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,False,0,882.3346591000445,,38,
39,2026-07-14T05:53:48+08:00,moderate_seed3301,tailored_legacy_scheduler_static,900,official__moderate_seed3301__tailored_legacy_scheduler_static__900s,False,0,882.2099827998318,,39,
40,2026-07-14T06:08:31+08:00,moderate_seed3301,tailored_controlling_scheduler_static,900,official__moderate_seed3301__tailored_controlling_scheduler_static__900s,False,0,882.2538776998408,,40,
41,2026-07-14T06:23:14+08:00,moderate_seed3302,tailored_legacy_scheduler_static,900,official__moderate_seed3302__tailored_legacy_scheduler_static__900s,False,0,882.3428643997759,,41,
42,2026-07-14T06:37:57+08:00,moderate_seed3302,tailored_controlling_scheduler_static,900,official__moderate_seed3302__tailored_controlling_scheduler_static__900s,False,0,882.1421805997379,,42,
43,2026-07-14T06:52:57+08:00,high_imbalance_seed3201,plain_cplex,900,official__high_imbalance_seed3201__plain_cplex__900s,False,0,900.1706272000447,,43,
44,2026-07-14T07:07:40+08:00,high_imbalance_seed3201,tailored_legacy_scheduler_static,900,official__high_imbalance_seed3201__tailored_legacy_scheduler_static__900s,False,0,882.312833499629,,44,
45,2026-07-14T07:22:23+08:00,high_imbalance_seed3201,tailored_controlling_scheduler_static,900,official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,False,0,882.2621877999045,,45,
46,2026-07-14T07:37:23+08:00,tight_T_seed3102,plain_cplex,900,official__tight_T_seed3102__plain_cplex__900s,False,0,900.179523400031,,46,
47,2026-07-14T07:52:06+08:00,tight_T_seed3102,tailored_legacy_scheduler_static,900,official__tight_T_seed3102__tailored_legacy_scheduler_static__900s,False,0,882.2940998999402,,47,
48,2026-07-14T08:06:48+08:00,tight_T_seed3102,tailored_controlling_scheduler_static,900,official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,False,0,882.141876200214,,48,
49,2026-07-14T15:55:26+08:00,V12_M1,plain_cplex,1800,official__V12_M1__plain_cplex__1800s,False,0,185.09758159983903,,49,
50,2026-07-14T16:04:30+08:00,V12_M1,tailored_legacy_scheduler_static,1800,official__V12_M1__tailored_legacy_scheduler_static__1800s,False,0,543.6169994999655,,50,
51,2026-07-14T16:06:10+08:00,V12_M1,tailored_controlling_scheduler_static,1800,official__V12_M1__tailored_controlling_scheduler_static__1800s,False,0,99.84880150016397,,51,
52,2026-07-14T16:35:41+08:00,V12_M2,plain_cplex,1800,official__V12_M2__plain_cplex__1800s,False,0,1770.2856332999654,,52,
53,2026-07-14T16:40:31+08:00,V12_M2,tailored_legacy_scheduler_static,1800,official__V12_M2__tailored_legacy_scheduler_static__1800s,False,0,289.62283989973366,,53,
54,2026-07-14T16:48:28+08:00,V12_M2,tailored_controlling_scheduler_static,1800,official__V12_M2__tailored_controlling_scheduler_static__1800s,False,0,476.46089209988713,,54,
55,2026-07-14T17:17:58+08:00,tight_T_seed3101,plain_cplex,1800,official__tight_T_seed3101__plain_cplex__1800s,False,0,1770.1781539004296,,55,
56,2026-07-14T17:19:15+08:00,tight_T_seed3101,tailored_legacy_scheduler_static,1800,official__tight_T_seed3101__tailored_legacy_scheduler_static__1800s,False,0,76.33571309968829,,56,
57,2026-07-14T17:48:46+08:00,tight_T_seed3101,tailored_controlling_scheduler_static,1800,official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,False,0,1770.2109930003062,,57,
58,2026-07-14T18:18:16+08:00,high_imbalance_seed3202,plain_cplex,1800,official__high_imbalance_seed3202__plain_cplex__1800s,False,0,1770.234851299785,,58,
59,2026-07-14T18:23:11+08:00,high_imbalance_seed3202,tailored_legacy_scheduler_static,1800,official__high_imbalance_seed3202__tailored_legacy_scheduler_static__1800s,False,0,293.9924396998249,,59,
60,2026-07-14T18:52:41+08:00,high_imbalance_seed3202,tailored_controlling_scheduler_static,1800,official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,False,0,1770.1672175000422,,60,
61,2026-07-14T19:22:31+08:00,moderate_seed3301,plain_cplex,1800,official__moderate_seed3301__plain_cplex__1800s,False,0,1789.5799531000666,,61,
62,2026-07-14T19:48:13+08:00,moderate_seed3301,tailored_legacy_scheduler_static,1800,official__moderate_seed3301__tailored_legacy_scheduler_static__1800s,False,0,1541.262866999954,,62,
63,2026-07-14T20:17:44+08:00,moderate_seed3301,tailored_controlling_scheduler_static,1800,official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,False,0,1770.4124189000577,,63,
64,2026-07-14T20:47:33+08:00,moderate_seed3302,plain_cplex,1800,official__moderate_seed3302__plain_cplex__1800s,False,0,1788.5526877003722,,64,
65,2026-07-14T21:17:03+08:00,moderate_seed3302,tailored_legacy_scheduler_static,1800,official__moderate_seed3302__tailored_legacy_scheduler_static__1800s,False,0,1770.2304920000024,,65,
66,2026-07-14T21:46:34+08:00,moderate_seed3302,tailored_controlling_scheduler_static,1800,official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,False,0,1770.184758800082,,66,
67,2026-07-14T22:16:04+08:00,high_imbalance_seed3201,plain_cplex,1800,official__high_imbalance_seed3201__plain_cplex__1800s,False,0,1770.1870275996625,,67,
68,2026-07-14T22:41:26+08:00,high_imbalance_seed3201,tailored_legacy_scheduler_static,1800,official__high_imbalance_seed3201__tailored_legacy_scheduler_static__1800s,False,0,1521.3591833002865,,68,
69,2026-07-14T23:10:57+08:00,high_imbalance_seed3201,tailored_controlling_scheduler_static,1800,official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,False,0,1770.3974616997875,,69,
70,2026-07-14T23:40:28+08:00,tight_T_seed3102,plain_cplex,1800,official__tight_T_seed3102__plain_cplex__1800s,False,0,1770.227325499989,,70,
71,2026-07-15T00:08:53+08:00,tight_T_seed3102,tailored_legacy_scheduler_static,1800,official__tight_T_seed3102__tailored_legacy_scheduler_static__1800s,False,0,1704.4243413996883,,71,
72,2026-07-15T00:38:23+08:00,tight_T_seed3102,tailored_controlling_scheduler_static,1800,official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,False,0,1770.0950213000178,,72,
73,2026-07-15T00:44:34+08:00,moderate_seed3301,tailored_controlling_checkpoint_merge_disabled_static,300,diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__300s,False,0,294.18958820030093,,73,True
74,2026-07-15T00:50:55+08:00,high_imbalance_seed3201,tailored_controlling_checkpoint_merge_disabled_static,300,diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__300s,False,0,294.3336621997878,,74,True
75,2026-07-15T00:55:50+08:00,tight_T_seed3102,tailored_controlling_checkpoint_merge_disabled_static,300,diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__300s,False,0,294.1846981998533,,75,True
76,2026-07-15T01:10:32+08:00,moderate_seed3301,tailored_controlling_checkpoint_merge_disabled_static,900,diagnostic__moderate_seed3301__tailored_controlling_checkpoint_merge_disabled_static__900s,False,0,882.2899838001467,,76,True
77,2026-07-15T01:25:15+08:00,high_imbalance_seed3201,tailored_controlling_checkpoint_merge_disabled_static,900,diagnostic__high_imbalance_seed3201__tailored_controlling_checkpoint_merge_disabled_static__900s,False,0,882.2736517000012,,77,True
78,2026-07-15T01:39:57+08:00,tight_T_seed3102,tailored_controlling_checkpoint_merge_disabled_static,900,diagnostic__tight_T_seed3102__tailored_controlling_checkpoint_merge_disabled_static__900s,False,0,882.082454000134,,78,True
