run_id,leaf_id,attempt_count,time_while_controlling,time_while_noncontrolling,status,reason
official__V12_M1__tailored_controlling_scheduler_static__900s,1,1,0.29399,0,passed,controller_selected_only_controlling_leaves
official__V12_M1__tailored_controlling_scheduler_static__900s,2,2,72.4681,0,passed,controller_selected_only_controlling_leaves
official__V12_M1__tailored_controlling_scheduler_static__900s,3,1,0.479869,0,passed,controller_selected_only_controlling_leaves
official__V12_M2__tailored_controlling_scheduler_static__900s,2,4,441.773,0,passed,controller_selected_only_controlling_leaves
official__V12_M2__tailored_controlling_scheduler_static__900s,3,1,0.654708,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,1,5,850.306,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,2,0,0,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__900s,3,0,0,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,1,1,8.63738,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,2,5,833.95,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__900s,3,1,0.489492,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,0,1,1.91233,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,1,5,799.709,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,2,1,30.186,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__900s,3,1,0.489478,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,0,5,769.873,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,1,1,30.1153,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,2,1,30.1453,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__900s,3,0,0,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,1,1,30.1222,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,2,5,801.465,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__900s,3,1,0.694558,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,0,1,30.1329,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,1,1,30.1286,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,2,0,0,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__900s,3,4924,727.635,0,passed,controller_selected_only_controlling_leaves
official__V12_M1__tailored_controlling_scheduler_static__1800s,1,1,0.29818,0,passed,controller_selected_only_controlling_leaves
official__V12_M1__tailored_controlling_scheduler_static__1800s,2,2,72.1097,0,passed,controller_selected_only_controlling_leaves
official__V12_M1__tailored_controlling_scheduler_static__1800s,3,1,0.492538,0,passed,controller_selected_only_controlling_leaves
official__V12_M2__tailored_controlling_scheduler_static__1800s,2,4,441.145,0,passed,controller_selected_only_controlling_leaves
official__V12_M2__tailored_controlling_scheduler_static__1800s,3,1,0.567042,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,1,6,1738.37,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,2,0,0,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3101__tailored_controlling_scheduler_static__1800s,3,0,0,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,1,1,8.83101,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,2,6,1721.37,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3202__tailored_controlling_scheduler_static__1800s,3,1,0.489105,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,0,1,1.93592,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,1,6,1688.1,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,2,1,30.1192,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3301__tailored_controlling_scheduler_static__1800s,3,1,0.506941,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,0,6,1658.06,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,1,1,30.0935,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,2,1,30.1658,0,passed,controller_selected_only_controlling_leaves
official__moderate_seed3302__tailored_controlling_scheduler_static__1800s,3,0,0,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,1,5,788.586,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,2,5,931.075,0,passed,controller_selected_only_controlling_leaves
official__high_imbalance_seed3201__tailored_controlling_scheduler_static__1800s,3,1,0.687385,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,0,1,30.1489,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,1,1,30.2099,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,2,0,0,0,passed,controller_selected_only_controlling_leaves
official__tight_T_seed3102__tailored_controlling_scheduler_static__1800s,3,10629,1584.57,0,passed,controller_selected_only_controlling_leaves
