run_id,parent_uid,parent_parent_uid,parent_native_depth,parent_gini_generation,child_gini_generation,parent_gamma_L,parent_gamma_U,split,parent_relaxation,lower_uid,lower_gamma_L,lower_gamma_U,lower_estimate,lower_gamma_floor,lower_weighted_penalty_lb,lower_domain_estimate,lower_lift,lower_station_deviation_lbs,upper_uid,upper_gamma_L,upper_gamma_U,upper_estimate,upper_gamma_floor,upper_weighted_penalty_lb,upper_domain_estimate,upper_lift,upper_station_deviation_lbs,estimate_mode,sibling_discriminated,creation_time,creation_node_count,open_nodes,simplex_iterations,validity_status,failure_reason
mip_gate__V12_M1__mip_start_only__30s,109,105,8,8,9,0.21208784627999672,0.2134831610581546,0.21278550366907567,0.32506276318542504,113,0.21208784627999672,0.21278550366907567,0.32506276318542504,0.21208784627999672,0.029589285714285714,0.21652623913713959,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,114,0.21278550366907567,0.2134831610581546,0.32506276318542504,0.21278550366907567,0.029589285714285714,0.21722389652621854,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,2.7225242999999999,65,39,4852,passed,
mip_gate__V12_M1__mip_start_only__30s,110,105,8,8,9,0.2134831610581546,0.21487847583631248,0.21418081844723352,0.32550543942491006,115,0.2134831610581546,0.21418081844723352,0.32550543942491006,0.2134831610581546,0.029589285714285714,0.21792155391529747,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,116,0.21418081844723352,0.21487847583631248,0.32550543942491006,0.21418081844723352,0.029589285714285714,0.21861921130437639,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,2.7531957,66,40,4863,passed,
mip_gate__V12_M1__mip_start_only__30s,113,109,9,9,10,0.21208784627999672,0.21278550366907567,0.21243667497453619,0.3250630668766038,117,0.21208784627999672,0.21243667497453619,0.3250630668766038,0.21208784627999672,0.029589285714285714,0.21652623913713959,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,118,0.21243667497453619,0.21278550366907567,0.3250630668766038,0.21243667497453619,0.029589285714285714,0.21687506783167906,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,2.7788727999999998,67,41,4939,passed,
mip_gate__V12_M1__mip_start_only__30s,114,109,9,9,10,0.21278550366907567,0.2134831610581546,0.21313433236361512,0.3252840042979237,119,0.21278550366907567,0.21313433236361512,0.3252840042979237,0.21278550366907567,0.029589285714285714,0.21722389652621854,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,120,0.21313433236361512,0.2134831610581546,0.3252840042979237,0.21313433236361512,0.029589285714285714,0.21757272522075799,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,2.8061158000000002,68,42,4950,passed,
mip_gate__V12_M1__mip_start_only__30s,70,48,8,8,9,0.19953001327657585,0.20092532805473373,0.20022767066565478,0.32226688029701284,171,0.19953001327657585,0.20022767066565478,0.32226688029701284,0.19953001327657585,0.029589285714285714,0.20396840613371872,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,172,0.20022767066565478,0.20092532805473373,0.32226688029701284,0.20022767066565478,0.029589285714285714,0.20466606352279765,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,3.2231290000000001,97,58,5785,passed,
mip_gate__V12_M1__mip_start_only__30s,171,70,9,9,10,0.19953001327657585,0.20022767066565478,0.19987884197111533,0.32235777822645545,173,0.19953001327657585,0.19987884197111533,0.32235777822645545,0.19953001327657585,0.029589285714285714,0.20396840613371872,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,174,0.19987884197111533,0.20022767066565478,0.32235777822645545,0.19987884197111533,0.029589285714285714,0.2043172348282582,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,3.2478817000000002,98,59,5824,passed,
mip_gate__V12_M1__mip_start_only__30s,50,47,8,8,9,0.19673938372026012,0.19813469849841797,0.19743704110933905,0.32224978605137578,183,0.19673938372026012,0.19743704110933905,0.32224978605137578,0.19673938372026012,0.029589285714285714,0.20117777657740299,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,184,0.19743704110933905,0.19813469849841797,0.32224978605137578,0.19743704110933905,0.029589285714285714,0.20187543396648192,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,3.3472331999999998,105,62,6200,passed,
mip_gate__V12_M1__mip_start_only__30s,183,50,9,9,10,0.19673938372026012,0.19743704110933905,0.19708821241479957,0.32236833507922813,185,0.19673938372026012,0.19708821241479957,0.32236833507922813,0.19673938372026012,0.029589285714285714,0.20117777657740299,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,186,0.19708821241479957,0.19743704110933905,0.32236833507922813,0.19708821241479957,0.029589285714285714,0.20152660527194244,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,3.3714748999999999,106,63,6229,passed,
mip_gate__V12_M1__mip_start_only__30s,24,20,8,8,9,0.19394875416394436,0.19534406894210224,0.19464641155302331,0.32229463407216602,191,0.19394875416394436,0.19464641155302331,0.32229463407216602,0.19394875416394436,0.029589285714285714,0.19838714702108723,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,192,0.19464641155302331,0.19534406894210224,0.32229463407216602,0.19464641155302331,0.029589285714285714,0.19908480441016618,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,3.4314149999999999,111,64,6564,passed,
mip_gate__V12_M1__mip_start_only__30s,191,24,9,9,10,0.19394875416394436,0.19464641155302331,0.19429758285848384,0.32241810276957744,193,0.19394875416394436,0.19429758285848384,0.32241810276957744,0.19394875416394436,0.029589285714285714,0.19838714702108723,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,194,0.19429758285848384,0.19464641155302331,0.32241810276957744,0.19429758285848384,0.029589285714285714,0.19873597571562671,0,0.10000000000000009|0|0|0|0.14285714285714279|0|0|0|0|0|0|0,parent-copy,false,3.4536145999999999,112,65,6622,passed,
