source_json,parent_leaf,gamma_L,gamma_U,ledger_mode,bucket_count,bucket_policy_effective,budget_seconds,parent_S_L,parent_S_U,s_bucket_L,s_bucket_U,s_range_certificate_valid,coverage_used_for_paper_certificate,coverage_tolerance,group_exact_cover,uncovered_s_gap,bucket_outside_parent_domain,bucket_overlap_beyond_boundary,audit_passed,failures
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_10800s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,10800,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10800s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,10800,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_10800s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,10800,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_10800s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,10800,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_10s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,10,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_10s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,10,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_1200s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_1200s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_1200s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_1200s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_1200s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_1200s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_sp_h_coupled_estimator_1200s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_1200s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,1200,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_300s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_300s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_300s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_300s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_300s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_300s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_sp_h_coupled_estimator_300s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,300,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_all_new_paper_safe_cuts_3600s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_integer_inventory_domain_3600s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_bucket_required_movement_3600s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_current_best_new_combined_paper_safe_3600s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_3600s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_plain_fixed_interval_mip_telemetry_only_3600s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_sp_h_coupled_estimator_3600s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
results\gf_tailored_bc_lp_pattern_strengthening_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_3600s.json,dominant_k4,0.0122881381662,0.0245762763324,paper-safe,1,uniform,3600,16.5954610355,23.2728211828,16.5954610355,23.2728211828,True,True,1e-07,True,0.0,False,False,True,
