formula,proof_status,variant,budget_seconds,rows_added,mccormick_rows,LB impact,runtime impact,reason if rejected
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,all_new_paper_safe_cuts,1200,1,4,0.0487233640003,1201.3350074,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip,3600,0,0,0.048035857993,3600.1510223,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip_telemetry_only,3600,0,0,0.0483429120506,3601.8028948,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,static_tailored_compact_bc,3600,1,4,0.0487638722254,3601.5771018,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,current_best_new_combined_paper_safe,3600,1,4,0.0487638722254,3601.896151,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,bucket_integer_inventory_domain,3600,1,4,0.0487233640003,3601.7677443,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,bucket_required_movement,3600,1,4,0.0487638722254,3601.9996302,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,sp_h_coupled_estimator,3600,1,4,0.0487638722254,3601.9858283,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,all_new_paper_safe_cuts,3600,1,4,0.0487638722254,3602.0235172,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip,300,0,0,0.044971943372,300.1273499,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,current_best_new_combined_paper_safe,300,1,4,0.048388162834,331.099088,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,all_new_paper_safe_cuts,300,1,4,0.048388162834,331.0896445,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip,1200,0,0,0.04719744437,1200.117706,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,current_best_new_combined_paper_safe,1200,1,4,0.048388162834,1201.2086535,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,all_new_paper_safe_cuts,1200,1,4,0.0487233640003,1201.326337,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip,3600,0,0,0.048147514854,3600.259872,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,current_best_new_combined_paper_safe,3600,1,4,0.0487233640003,3601.8842342,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,all_new_paper_safe_cuts,3600,1,4,0.0487233640003,3602.0799859,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip,10800,0,0,0.048310474908,10801.4454149,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,plain_fixed_interval_mip_telemetry_only,10800,0,0,0.0484679856754,10813.5080741,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,static_tailored_compact_bc,10800,1,4,0.049002141816,10803.3972069,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,current_best_new_combined_paper_safe,10800,1,4,0.0488918805666,10803.9928675,
H + V lambda W_SP <= V(UB-epsilon)S,paper_safe_with_bucket_local_mccormick,all_new_paper_safe_cuts,10800,1,4,0.0487820084447,10803.8715473,
