"variant","interval_id","range","status","interval_lb","lb_source","open_nodes","pricing_closed","result_file"
"ablation_v12_m2_average_improved_full_1200s","7","0.512514,0.559106","bound_fathomed","0.719065","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_1200s.json"
"ablation_v12_m2_average_improved_full_300s","0","0,0.372737","bound_fathomed","0.745475","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_300s.json"
"ablation_v12_m2_average_improved_full_300s","3","0.559106,0.745475","bound_fathomed","0.719065","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_300s.json"
"ablation_v12_m2_average_improved_full_300s","4","0.372737,0.465922","bound_fathomed","0.719065","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_300s.json"
"ablation_v12_m2_average_improved_full_300s","6","0.465922,0.512514","unresolved","0.689652","inventory_route_gini_relaxation","1","true","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_300s.json"
"ablation_v12_m2_average_improved_full_300s","7","0.512514,0.559106","bound_fathomed","0.719065","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_improved_full_300s.json"
"ablation_v12_m2_average_round7_baseline","0","0,0.372737","bound_fathomed","0.745475","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_round7_baseline.json"
"ablation_v12_m2_average_round7_baseline","1","0.372737,0.745475","unresolved","0.585988","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_round7_baseline.json"
"ablation_v12_m2_average_vehicle_indexed_ops_only","0","0,0.372737","bound_fathomed","0.745475","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_vehicle_indexed_ops_only.json"
"ablation_v12_m2_average_vehicle_indexed_ops_only","1","0.372737,0.745475","unresolved","0.585988","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_vehicle_indexed_ops_only.json"
"ablation_v12_m2_average_vehicle_transfer_flow_only","0","0,0.372737","bound_fathomed","0.745475","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_vehicle_transfer_flow_only.json"
"ablation_v12_m2_average_vehicle_transfer_flow_only","1","0.372737,0.745475","unresolved","0.585074","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\ablation_v12_m2_average_vehicle_transfer_flow_only.json"
"generated_regen_V10_M1_average_improved_full_60s","1","0.35922,0.718441","bound_fathomed","0.718441","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M1_average_improved_full_60s.json"
"generated_regen_V10_M1_average_improved_full_60s","2","0,0.17961","bound_fathomed","0.718441","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M1_average_improved_full_60s.json"
"generated_regen_V10_M1_average_improved_full_60s","5","0.269415,0.35922","unresolved","0.690682","inventory_route_gini_relaxation","1","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M1_average_improved_full_60s.json"
"generated_regen_V10_M1_average_improved_full_60s","6","0.17961,0.224513","bound_fathomed","0.718441","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M1_average_improved_full_60s.json"
"generated_regen_V10_M1_average_improved_full_60s","7","0.224513,0.269415","unresolved","0.689583","inventory_route_gini_relaxation","3","true","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M1_average_improved_full_60s.json"
"generated_regen_V10_M2_average_improved_full_60s","0","0,0.0150318","bound_fathomed","0.0601271","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M2_average_improved_full_60s.json"
"generated_regen_V10_M2_average_improved_full_60s","1","0.0150318,0.0300635","bound_fathomed","0.0601271","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M2_average_improved_full_60s.json"
"generated_regen_V10_M2_average_improved_full_60s","2","0.0300635,0.0450953","bound_fathomed","0.0601271","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M2_average_improved_full_60s.json"
"generated_regen_V10_M2_average_improved_full_60s","3","0.0450953,0.0601271","bound_fathomed","0.0601271","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M2_average_improved_full_60s.json"
"generated_regen_V10_M2_low_improved_full_60s","0","0,0.0407929","bound_fathomed","0.163172","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M2_low_improved_full_60s.json"
"generated_regen_V10_M2_low_improved_full_60s","1","0.0407929,0.0815859","bound_fathomed","0.163172","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M2_low_improved_full_60s.json"
"generated_regen_V10_M2_low_improved_full_60s","2","0.0815859,0.122379","bound_fathomed","0.163172","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M2_low_improved_full_60s.json"
"generated_regen_V10_M2_low_improved_full_60s","3","0.122379,0.163172","bound_fathomed","0.163172","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V10_M2_low_improved_full_60s.json"
"generated_regen_V8_M2_average_improved_full_60s","1","0.0419464,0.0838929","bound_fathomed","0.0838929","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V8_M2_average_improved_full_60s.json"
"generated_regen_V8_M2_average_improved_full_60s","3","0.0209732,0.0419464","bound_fathomed","0.0838929","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V8_M2_average_improved_full_60s.json"
"generated_regen_V8_M2_average_improved_full_60s","4","0,0.0104866","bound_fathomed","0.0838929","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V8_M2_average_improved_full_60s.json"
"generated_regen_V8_M2_average_improved_full_60s","6","0.0104866,0.0157299","bound_fathomed","0.0838929","inventory_route_gini_relaxation","0","false","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V8_M2_average_improved_full_60s.json"
"generated_regen_V8_M2_average_improved_full_60s","7","0.0157299,0.0209732","unresolved","0.0831986","inventory_route_gini_relaxation","26","true","E:\codes\ExactEBRP\results\optimization_update_round8\raw\generated_regen_V8_M2_average_improved_full_60s.json"
