instance_id,mechanism_role,arm,source,run_id,certified,right_censored,false_certificate,work,process_seconds,exact_phase_seconds,nodes,lp_jobs,terminal_mip_jobs,split_count,run_dir
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,envelope-D-score,round43_stage3_reuse,stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__d__single,True,False,False,35.68105804398642,31.0284602,30.0872962,556.0,175,12,23,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__algorithm__K1__d2__rho0.1__d__single
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,C6,reference,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_hga_full_k4,True,False,False,10.503884558425527,9.0603292,8.1766734,485.0,22,3,6,results/gf_regression_adaptive_round40/runs/k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_hga_full_k4
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,K1-single,reference,k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_single,True,False,False,8.672767368804703,6.6204256,5.7240564,962.0,1,1,0,results/gf_regression_adaptive_round40/runs/k1__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__c6_k1_single
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,hard_c6_win_guard,P-GRB,reference,reference__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__pgrb,True,False,False,247.29863210454607,174.4937639,174.4937639,58047.0,0,0,0,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__pgrb
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,old-score-no-envelope,round43_ablation,stage3-ablation-old-no-envelope__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__old__none,False,True,False,189.0300476439838,106.9031884,104.5506101,5573.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-ablation-old-no-envelope__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__old__none
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,envelope-no-adaptive,round43_stage2_reuse,stage2-envelope__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.01__no-adaptive__single,True,False,False,226.30685306541812,129.3600606,127.1537582,6998.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage2-envelope__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.01__no-adaptive__single
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,envelope-old-score,round43_ablation,stage3-ablation-old-envelope__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__old__single,True,False,False,226.30685306541812,129.1641171,126.9573379,6998.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-ablation-old-envelope__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__old__single
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,envelope-D-score,round43_stage3_reuse,stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__d__single,True,False,False,226.30685306541812,125.9897934,123.8154668,6998.0,5,1,0,results/gf_k1_k4_envelope_refinement_round43/runs/stage3-candidate__round39_small_hard_V12_M3_Q20_slot07_seed621538683__algorithm__K1__d2__rho0.1__d__single
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,C6,reference,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_hga_full_k4,False,True,False,138.4451303784979,79.7295563,77.4270527,2687.0,12,4,0,results/gf_regression_adaptive_round40/runs/k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_hga_full_k4
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,K1-single,reference,k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_single,False,True,False,187.35975806230462,101.7787313,99.6225491,5573.0,1,1,0,results/gf_regression_adaptive_round40/runs/k1__round39_small_hard_V12_M3_Q20_slot07_seed621538683__c6_k1_single
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical_fail_closed_endpoint,P-GRB,reference,reference__round39_small_hard_V12_M3_Q20_slot07_seed621538683__pgrb,True,False,False,4938.029809485076,3218.8071995,3218.8071995,1695559.0,0,0,0,results/gf_k1_k4_envelope_refinement_round43/runs/reference__round39_small_hard_V12_M3_Q20_slot07_seed621538683__pgrb
