stage,instance,arm,common_ub,gap_threshold,reached,first_observed_seconds,observation_policy
stage2,high_imbalance_seed6202,P-GRB,9.820664665302525,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,C3-REPLICA,0.19563620654901237,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,C3-REPLICA,0.19563620654901237,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,C3-REPLICA,0.19563620654901237,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,C3-REPLICA,0.19563620654901237,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,C3-REPLICA,0.19563620654901237,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,C3-REPLICA,0.19563620654901237,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,P-GRB,0.19563620654901237,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,P-GRB,0.19563620654901237,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,P-GRB,0.19563620654901237,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,P-GRB,0.19563620654901237,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,P-GRB,0.19563620654901237,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed3302,P-GRB,0.19563620654901237,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,C3-REPLICA,0.04854285887126694,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,C3-REPLICA,0.04854285887126694,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,C3-REPLICA,0.04854285887126694,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,C3-REPLICA,0.04854285887126694,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,C3-REPLICA,0.04854285887126694,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,C3-REPLICA,0.04854285887126694,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,P-GRB,0.04854285887126694,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,P-GRB,0.04854285887126694,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,P-GRB,0.04854285887126694,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,P-GRB,0.04854285887126694,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,P-GRB,0.04854285887126694,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed4302,P-GRB,0.04854285887126694,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,C3-REPLICA,0.16885733659692667,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,C3-REPLICA,0.16885733659692667,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,C3-REPLICA,0.16885733659692667,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,C3-REPLICA,0.16885733659692667,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,C3-REPLICA,0.16885733659692667,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,C3-REPLICA,0.16885733659692667,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,P-GRB,0.16885733659692667,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,P-GRB,0.16885733659692667,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,P-GRB,0.16885733659692667,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,P-GRB,0.16885733659692667,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,P-GRB,0.16885733659692667,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed5301,P-GRB,0.16885733659692667,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,C3-REPLICA,0.10573533268303861,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,C3-REPLICA,0.10573533268303861,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,C3-REPLICA,0.10573533268303861,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,C3-REPLICA,0.10573533268303861,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,C3-REPLICA,0.10573533268303861,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,C3-REPLICA,0.10573533268303861,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,P-GRB,0.10573533268303861,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,P-GRB,0.10573533268303861,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,P-GRB,0.10573533268303861,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,P-GRB,0.10573533268303861,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,P-GRB,0.10573533268303861,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed5302,P-GRB,0.10573533268303861,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,C3-REPLICA,,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,C3-REPLICA,,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,C3-REPLICA,,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,C3-REPLICA,,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,C3-REPLICA,,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,C3-REPLICA,,0.0001,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,P-GRB,1.042133065991235,0.25,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,P-GRB,1.042133065991235,0.1,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,P-GRB,1.042133065991235,0.05,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,P-GRB,1.042133065991235,0.01,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,P-GRB,1.042133065991235,0.001,False,,recorded_valid_bounds_only
stage2,moderate_seed6301,P-GRB,1.042133065991235,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,C3-REPLICA,0.10725273413394144,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,C3-REPLICA,0.10725273413394144,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,C3-REPLICA,0.10725273413394144,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,C3-REPLICA,0.10725273413394144,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,C3-REPLICA,0.10725273413394144,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,C3-REPLICA,0.10725273413394144,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,C3-REPLICA,0.562981400559009,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,C3-REPLICA,0.562981400559009,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,C3-REPLICA,0.562981400559009,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,C3-REPLICA,0.562981400559009,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,C3-REPLICA,0.562981400559009,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,C3-REPLICA,0.562981400559009,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,P-GRB,0.562981400559009,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,P-GRB,0.562981400559009,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,P-GRB,0.562981400559009,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,P-GRB,0.562981400559009,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,P-GRB,0.562981400559009,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed4101,P-GRB,0.562981400559009,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,C3-REPLICA,0.3623546627845846,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,C3-REPLICA,0.3623546627845846,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,C3-REPLICA,0.3623546627845846,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,C3-REPLICA,0.3623546627845846,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,C3-REPLICA,0.3623546627845846,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,C3-REPLICA,0.3623546627845846,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,P-GRB,0.3623546627845846,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,P-GRB,0.3623546627845846,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,P-GRB,0.3623546627845846,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,P-GRB,0.3623546627845846,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,P-GRB,0.3623546627845846,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed5102,P-GRB,0.3623546627845846,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,C3-REPLICA,0.2849628509699851,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,C3-REPLICA,0.2849628509699851,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,C3-REPLICA,0.2849628509699851,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,C3-REPLICA,0.2849628509699851,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,C3-REPLICA,0.2849628509699851,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,C3-REPLICA,0.2849628509699851,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,P-GRB,0.2849628509699851,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,P-GRB,0.2849628509699851,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,P-GRB,0.2849628509699851,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,P-GRB,0.2849628509699851,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,P-GRB,0.2849628509699851,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed5103,P-GRB,0.2849628509699851,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,C3-REPLICA,0.6855974831044359,0.25,True,131.5540617,recorded_valid_bounds_only
stage2,tight_T_seed6102,C3-REPLICA,0.6855974831044359,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,C3-REPLICA,0.6855974831044359,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,C3-REPLICA,0.6855974831044359,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,C3-REPLICA,0.6855974831044359,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,C3-REPLICA,0.6855974831044359,0.0001,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,P-GRB,0.6855974831044359,0.25,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,P-GRB,0.6855974831044359,0.1,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,P-GRB,0.6855974831044359,0.05,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,P-GRB,0.6855974831044359,0.01,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,P-GRB,0.6855974831044359,0.001,False,,recorded_valid_bounds_only
stage2,tight_T_seed6102,P-GRB,0.6855974831044359,0.0001,False,,recorded_valid_bounds_only
stage2,V12_M1,C3-REPLICA,0.3572005832084155,0.25,True,6.9972026,recorded_valid_bounds_only
stage2,V12_M1,C3-REPLICA,0.3572005832084155,0.1,False,,recorded_valid_bounds_only
stage2,V12_M1,C3-REPLICA,0.3572005832084155,0.05,False,,recorded_valid_bounds_only
stage2,V12_M1,C3-REPLICA,0.3572005832084155,0.01,False,,recorded_valid_bounds_only
stage2,V12_M1,C3-REPLICA,0.3572005832084155,0.001,False,,recorded_valid_bounds_only
stage2,V12_M1,C3-REPLICA,0.3572005832084155,0.0001,False,,recorded_valid_bounds_only
stage2,V12_M1,P-GRB,0.3572005832084155,0.25,True,0.6419999599456787,recorded_valid_bounds_only
stage2,V12_M1,P-GRB,0.3572005832084155,0.1,True,8.668999910354614,recorded_valid_bounds_only
stage2,V12_M1,P-GRB,0.3572005832084155,0.05,True,20.704999923706055,recorded_valid_bounds_only
stage2,V12_M1,P-GRB,0.3572005832084155,0.01,True,33.07599997520447,recorded_valid_bounds_only
stage2,V12_M1,P-GRB,0.3572005832084155,0.001,True,34.68400001525879,recorded_valid_bounds_only
stage2,V12_M1,P-GRB,0.3572005832084155,0.0001,True,34.7039999961853,recorded_valid_bounds_only
stage2,V12_M2,C3-REPLICA,0.7185040707549709,0.25,True,7.789770000000001,recorded_valid_bounds_only
stage2,V12_M2,C3-REPLICA,0.7185040707549709,0.1,True,18.057451,recorded_valid_bounds_only
stage2,V12_M2,C3-REPLICA,0.7185040707549709,0.05,False,,recorded_valid_bounds_only
stage2,V12_M2,C3-REPLICA,0.7185040707549709,0.01,False,,recorded_valid_bounds_only
stage2,V12_M2,C3-REPLICA,0.7185040707549709,0.001,False,,recorded_valid_bounds_only
stage2,V12_M2,C3-REPLICA,0.7185040707549709,0.0001,False,,recorded_valid_bounds_only
stage2,V12_M2,P-GRB,0.7185040707549709,0.25,True,6.453999996185303,recorded_valid_bounds_only
stage2,V12_M2,P-GRB,0.7185040707549709,0.1,True,10.830999851226807,recorded_valid_bounds_only
stage2,V12_M2,P-GRB,0.7185040707549709,0.05,True,40.14399981498718,recorded_valid_bounds_only
stage2,V12_M2,P-GRB,0.7185040707549709,0.01,True,153.96299982070923,recorded_valid_bounds_only
stage2,V12_M2,P-GRB,0.7185040707549709,0.001,True,170.5,recorded_valid_bounds_only
stage2,V12_M2,P-GRB,0.7185040707549709,0.0001,True,170.6050000190735,recorded_valid_bounds_only
stage3,high_imbalance_seed3202,C2-PAPER,1.7493134520506337,0.25,True,19.630340699999998,recorded_valid_bounds_only
stage3,high_imbalance_seed3202,C2-PAPER,1.7493134520506337,0.1,True,19.630340699999998,recorded_valid_bounds_only
stage3,high_imbalance_seed3202,C2-PAPER,1.7493134520506337,0.05,False,,recorded_valid_bounds_only
stage3,high_imbalance_seed3202,C2-PAPER,1.7493134520506337,0.01,False,,recorded_valid_bounds_only
stage3,high_imbalance_seed3202,C2-PAPER,1.7493134520506337,0.001,False,,recorded_valid_bounds_only
stage3,high_imbalance_seed3202,C2-PAPER,1.7493134520506337,0.0001,False,,recorded_valid_bounds_only
stage3,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.25,True,17.1224199,recorded_valid_bounds_only
stage3,high_imbalance_seed3202,C3-REPLICA,1.7493134520506337,0.1,True,17.7409099,recorded_valid_bounds_only
