stage,instance,arm,status,strict_certificate,certificate_class,rejection_reason,all_relevant_leaves_closed,verified_ub,valid_global_lb,verifier_passed,certificate_consistent
stage3,tight_T_seed3101,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,0.10725273413394144,0.039548146402267864,True,True
stage3,V12_M1,C2-PAPER,optimal,True,engineering_exact_original_problem_optimal,none,True,0.3572005832084155,0.3572005832084146,True,True
stage3,V12_M1,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.3572005832084155,0.31663236056917027,True,True
stage3,V12_M1,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,0.3572005832084155,0.3564504596888608,True,True
stage3,V12_M2,C2-PAPER,paper_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.7185040707549709,0.6552496903260966,True,True
stage3,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.7185040707549709,0.6552496903260966,True,True
stage3,V12_M2,S0-CPLEX,global_gini_tree_time_limit,False,time_limit_valid_bound,none,False,0.7185040707549709,0.7071386322459102,True,True
stage4,moderate_seed3302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.19563620654901237,0.1394169181016961,True,True
stage4,moderate_seed3302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.19563620654901237,0.1394169181016961,True,True
stage4,moderate_seed6301,C3-REPLICA,missing,False,,,not_applicable,,,False,True
stage4,moderate_seed6301,C3-REPLICA,missing,False,,,not_applicable,,,False,True
stage4,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.7185040707549709,0.6552496903260966,True,True
stage4,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,False,certificate_rejected,relevant_leaf_open,False,0.7185040707549709,0.6552496903260966,True,True
