stage,instance,arm,status,completed_process,result_exists,authoritative,work,lp_work,terminal_mip_work,lp_optimize_count,terminal_mip_leaf_count,terminal_mip_optimize_count,split_count,optimize_count,model_count,model_read_count,model_build_count,model_free_count,environment_count,environment_free_count,presolve_count,root_relaxation_count,simplex_iterations,barrier_iterations,native_nodes,peak_memory_gb,open_leaf_count,closed_leaf_count,release_symmetry
stage2,high_imbalance_seed3202,P-GRB,time_limit,True,True,True,581.9976989121426,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,8492,0.0837908,0,0,True
stage2,high_imbalance_seed4201,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,497.17079370171706,30.07435268774823,467.09644101396884,44,3,3,38,47,47,47,44,47,1,1,47,3,1138456,0,4261,0.139866659,34,5,True
stage2,high_imbalance_seed4201,P-GRB,time_limit,True,True,True,549.9724196247716,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,10623,0.114684656,0,0,True
stage2,high_imbalance_seed5202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,484.8874434850693,19.025516678098825,465.8619268069705,28,1,1,25,29,29,29,28,29,1,1,29,1,766582,0,1440,0.167772086,24,2,True
stage2,high_imbalance_seed5202,P-GRB,time_limit,True,True,True,568.7427493162174,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,10794,0.133578906,0,0,True
stage2,high_imbalance_seed5203,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,503.0548462068426,35.16226213161695,467.8925840752256,53,16,16,37,69,69,69,53,69,1,1,69,16,1035298,0,2916,0.135849073,23,15,True
stage2,high_imbalance_seed5203,P-GRB,time_limit,True,True,True,545.690867350785,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,11291,0.113807789,0,0,True
stage2,high_imbalance_seed6202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,561.1188501982878,187.75964378175433,373.3592064165334,20,1,1,18,21,21,21,20,21,1,1,21,1,327760,0,305,0.566828763,18,1,True
stage2,high_imbalance_seed6202,P-GRB,time_limit,True,True,True,660.86509954727,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1765,0.329304589,0,0,True
stage2,moderate_seed3302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,465.9528911258309,81.31945946304744,384.6334316627834,115,18,18,97,133,133,133,115,133,1,1,133,18,1076076,0,20,0.08758487,81,17,True
stage2,moderate_seed3302,P-GRB,time_limit,True,True,True,554.8542866057608,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,6830,0.081947467,0,0,True
stage2,moderate_seed4302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,463.44684168743464,46.117923450885364,417.32891823654927,157,74,74,83,231,231,231,157,231,1,1,231,74,1503248,0,1125,0.081733298,11,73,True
stage2,moderate_seed4302,P-GRB,time_limit,True,True,True,522.0531954320295,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,11584,0.118501313,0,0,True
stage2,moderate_seed5301,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,506.82664497636983,227.25908554680476,279.5675594295651,278,131,131,146,409,409,409,278,409,1,1,409,131,1615828,0,131,0.071021525,16,131,True
stage2,moderate_seed5301,P-GRB,time_limit,True,True,True,585.6092026606575,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,5223,0.078142054,0,0,True
stage2,moderate_seed5302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,492.0917824226808,33.32485783821831,458.7669245844626,43,6,6,37,49,49,49,43,49,1,1,49,6,996163,0,2156,0.131553575,33,5,True
stage2,moderate_seed5302,P-GRB,time_limit,True,True,True,539.3320843639573,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,10907,0.13226874,0,0,True
stage2,moderate_seed6301,C3-REPLICA,missing,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
stage2,moderate_seed6301,P-GRB,time_limit,True,True,True,723.019940916208,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,672,0.463384799,0,0,True
stage2,tight_T_seed3101,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,470.5325431608441,289.1262809439777,181.4062622168666,361,174,174,185,535,535,535,361,535,1,1,535,173,1632982,0,173,0.055520851,11,175,True
stage2,tight_T_seed3101,P-GRB,time_limit,True,True,True,543.6478897917422,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,10288,0.12893368,0,0,True
stage2,tight_T_seed4101,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,453.10567644396065,119.46088381872134,333.64479262523923,202,91,91,107,293,293,293,202,293,1,1,293,91,1388688,0,91,0.075756795,14,94,True
stage2,tight_T_seed4101,P-GRB,time_limit,True,True,True,545.4948416835063,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,10821,0.116019215,0,0,True
stage2,tight_T_seed5102,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,453.72475685210975,163.63652865211515,290.08822819999466,250,116,116,131,366,366,366,250,366,1,1,366,116,1498904,0,116,0.081274581,14,118,True
stage2,tight_T_seed5102,P-GRB,time_limit,True,True,True,550.5497551310665,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,11770,0.126437152,0,0,True
stage2,tight_T_seed5103,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,459.2919589958494,185.96823271600604,273.3237262798441,266,127,127,136,393,393,393,266,393,1,1,393,127,1665155,0,127,0.061197355,8,129,True
stage2,tight_T_seed5103,P-GRB,time_limit,True,True,True,547.5066858861962,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,12217,0.121431965,0,0,True
stage2,tight_T_seed6102,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,279.6960059121118,232.99414016106275,46.70186575104907,20,1,1,17,21,21,21,20,21,1,1,21,1,236902,0,1,0.503973249,16,2,True
stage2,tight_T_seed6102,P-GRB,time_limit,True,True,True,679.1565492215543,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1704,0.379951255,0,0,True
stage2,V12_M1,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,372.43783558610073,43.451742406736905,328.9860931793637,231,103,103,120,334,334,334,231,334,1,1,334,103,624248,0,7233,0.043116902,11,110,True
stage2,V12_M1,P-GRB,optimal,True,True,True,53.573278258640755,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,26343,0.024137242,0,0,True
stage2,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,467.36481079198614,30.755674756898127,436.60913603508806,112,48,48,58,160,160,160,112,160,1,1,160,48,535056,0,1160,0.090709898,6,53,True
stage2,V12_M2,P-GRB,optimal,True,True,True,282.0967431295214,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,85427,0.038775411,0,0,True
stage3,high_imbalance_seed3202,C2-PAPER,paper_external_gini_tree_time_limit,True,True,True,535.2495952313006,43.65362547956751,491.5959697517332,66,23,23,31,89,89,89,66,89,1,1,89,23,1395121,0,1619,0.095879255,10,25,True
stage3,high_imbalance_seed3202,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,534.2129189767437,44.13672921379331,490.0761897629504,66,23,23,41,89,89,89,66,89,1,1,89,23,1397006,0,1619,0.09587926,18,24,True
stage3,high_imbalance_seed3202,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage3,moderate_seed3302,C2-PAPER,paper_external_gini_tree_time_limit,True,True,True,467.6628563424964,95.74578113585508,371.91707520664136,139,18,18,68,157,157,157,139,157,1,1,157,18,1119049,0,20,0.087584863,55,17,True
stage3,moderate_seed3302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,466.0256747428309,81.31945946304744,384.70621527978335,115,18,18,97,133,133,133,115,133,1,1,133,18,1076076,0,20,0.08758487,81,17,True
stage3,moderate_seed3302,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage3,tight_T_seed3101,C2-PAPER,paper_external_gini_tree_time_limit,True,True,True,507.16627283367313,23.46352216663424,483.7027506670389,30,9,9,9,39,39,39,30,39,1,1,39,9,726792,0,964,0.18316261,3,10,True
stage3,tight_T_seed3101,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,470.6151745367018,289.1262809439777,181.48889359272422,361,174,174,185,535,535,535,361,535,1,1,535,173,1632982,0,173,0.055520851,11,175,True
stage3,tight_T_seed3101,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage3,V12_M1,C2-PAPER,optimal,True,True,True,172.85109000753008,30.732874329038196,142.1182156784919,164,69,69,77,233,233,233,164,233,1,1,233,69,282398,0,2326,0.066071979,0,81,True
stage3,V12_M1,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,371.3328704013023,43.451742406736905,327.88112799456525,231,103,103,120,334,334,334,231,334,1,1,334,103,621145,0,7156,0.043116902,11,110,True
stage3,V12_M1,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage3,V12_M2,C2-PAPER,paper_external_gini_tree_time_limit,True,True,True,463.02429001084323,30.34670692777793,432.6775830830653,110,47,47,53,157,157,157,110,157,1,1,157,47,527697,0,1126,0.090709891,4,53,True
stage3,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,459.877124928024,30.506676616150102,429.37044831187393,111,47,47,58,158,158,158,111,158,1,1,158,47,526962,0,1123,0.090709898,7,52,True
stage3,V12_M2,S0-CPLEX,global_gini_tree_time_limit,True,True,True,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
stage4,moderate_seed3302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,463.30741805061064,81.31945946304744,381.9879585875631,115,18,18,97,133,133,133,115,133,1,1,133,18,1070908,0,20,0.087584882,81,17,True
stage4,moderate_seed3302,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,465.4986110631951,81.31945946304744,384.1791516001476,115,18,18,97,133,133,133,115,133,1,1,133,18,1075242,0,20,0.087584882,81,17,True
stage4,moderate_seed6301,C3-REPLICA,missing,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
stage4,moderate_seed6301,C3-REPLICA,missing,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
stage4,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,463.1185983668128,30.506676616150102,432.61192175066276,111,47,47,58,158,158,158,111,158,1,1,158,47,528057,0,1126,0.09070991,7,52,True
stage4,V12_M2,C3-REPLICA,cplex_replica_external_gini_tree_time_limit,True,True,True,462.2351866122513,30.506676616150102,431.72850999610125,111,47,47,58,158,158,158,111,158,1,1,158,47,526962,0,1123,0.09070991,7,52,True
