row_id,stage,instance,arm,complete,terminal_strict,terminal_local_parent_exact,terminal_honest_cap,process_seconds,executable_sha256,artifact_aliases,failure_reasons
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L2__midpoint,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,midpoint-split,True,False,True,False,34.7945248,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L2__pmm,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,pmm-split,True,False,True,False,39.596879,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L2__fpmm,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,fpmm-split,True,False,True,False,39.9142575,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L3__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,retain,True,False,True,False,6.848216,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L3__midpoint,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,midpoint-split,True,False,True,False,9.7438421,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L3__pmm,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,pmm-split,True,False,True,False,16.5426338,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q20_slot07_seed621538683__k4__L3__fpmm,true_counterfactual_development,round39_small_hard_V12_M3_Q20_slot07_seed621538683,fpmm-split,True,False,True,False,16.7013634,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L0__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,retain,True,False,True,False,7.4454285,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L0__midpoint,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,midpoint-split,True,False,True,False,11.5878867,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L0__pmm,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,pmm-split,True,False,True,False,29.9945677,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L0__fpmm,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fpmm-split,True,False,True,False,30.0491211,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L1__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,retain,True,False,True,False,82.6562565,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L1__midpoint,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,midpoint-split,True,False,True,False,119.372911,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L1__pmm,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,pmm-split,True,False,True,False,82.7366225,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L1__fpmm,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fpmm-split,True,False,True,False,82.879965,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L2__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,retain,True,False,True,False,10.8047349,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L2__midpoint,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,midpoint-split,True,False,True,False,16.0814463,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L2__pmm,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,pmm-split,True,False,True,False,24.775108,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L2__fpmm,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fpmm-split,True,False,True,False,24.9225772,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L3__retain,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,retain,True,False,True,False,5.7933742,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L3__midpoint,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,midpoint-split,True,False,True,False,9.1603891,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L3__pmm,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,pmm-split,True,False,True,False,10.7874424,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__k4__L3__fpmm,true_counterfactual_development,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,fpmm-split,True,False,True,False,10.7805506,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L0__retain,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,retain,True,False,True,False,24.00388,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L0__midpoint,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,midpoint-split,True,False,True,False,68.1813752,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L0__pmm,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,pmm-split,True,False,True,False,63.3588057,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L0__fpmm,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,fpmm-split,True,False,True,False,63.2146381,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L1__retain,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,retain,True,False,True,False,23.2108632,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L1__midpoint,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,midpoint-split,True,False,True,False,38.5636814,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L1__pmm,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,pmm-split,True,False,True,False,66.5519343,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L1__fpmm,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,fpmm-split,True,False,True,False,66.550933,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L2__retain,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,retain,True,False,True,False,7.6976929,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L2__midpoint,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,midpoint-split,True,False,True,False,16.9270006,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L2__pmm,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,pmm-split,True,False,True,False,27.6094984,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L2__fpmm,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,fpmm-split,True,False,True,False,27.6171762,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L3__retain,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,retain,True,False,True,False,4.0062547,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L3__midpoint,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,midpoint-split,True,False,True,False,5.0537745,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L3__pmm,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,pmm-split,True,False,True,False,8.3927071,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V10_M2_Q20_slot05_seed968549317__k4__L3__fpmm,true_counterfactual_development,round39_small_medium_V10_M2_Q20_slot05_seed968549317,fpmm-split,True,False,True,False,8.3944575,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L0__retain,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,retain,True,False,True,False,17.4050477,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L0__midpoint,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,midpoint-split,True,False,True,False,18.8622591,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L0__pmm,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,pmm-split,True,False,True,False,33.2747405,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L0__fpmm,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fpmm-split,True,False,True,False,33.3963874,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L1__retain,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,retain,True,False,True,False,393.782187,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L1__midpoint,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,midpoint-split,True,False,True,False,2367.8229568,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L1__pmm,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,pmm-split,True,False,True,False,927.9262007,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L1__fpmm,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fpmm-split,True,False,True,False,928.5126814,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L2__retain,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,retain,True,False,True,False,208.0518902,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L2__midpoint,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,midpoint-split,True,False,True,False,1144.1261557,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L2__pmm,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,pmm-split,True,False,True,False,665.3098822,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L2__fpmm,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fpmm-split,True,False,True,False,665.3970163,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L3__retain,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,retain,True,False,True,False,45.0973575,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L3__midpoint,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,midpoint-split,True,False,True,False,45.1548601,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L3__pmm,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,pmm-split,True,False,True,False,150.1685508,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__k4__L3__fpmm,true_counterfactual_development,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,fpmm-split,True,False,True,False,150.2021912,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__high_imbalance_seed3201__k4__L1__retain,true_counterfactual_development,high_imbalance_seed3201,retain,True,False,True,False,194.9131478,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__high_imbalance_seed3201__k4__L1__midpoint,true_counterfactual_development,high_imbalance_seed3201,midpoint-split,True,False,True,False,56.4959368,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__high_imbalance_seed3201__k4__L1__pmm,true_counterfactual_development,high_imbalance_seed3201,pmm-split,True,False,True,False,136.9202329,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__high_imbalance_seed3201__k4__L1__fpmm,true_counterfactual_development,high_imbalance_seed3201,fpmm-split,True,False,True,False,137.2014641,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L0__retain,true_counterfactual_development,moderate_seed3301,retain,True,False,True,False,56.6451861,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L0__midpoint,true_counterfactual_development,moderate_seed3301,midpoint-split,True,False,True,False,54.0015825,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L0__pmm,true_counterfactual_development,moderate_seed3301,pmm-split,True,False,True,False,68.3411341,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L0__fpmm,true_counterfactual_development,moderate_seed3301,fpmm-split,True,False,True,False,68.4606804,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L1__retain,true_counterfactual_development,moderate_seed3301,retain,True,False,False,True,3580.0682973,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L1__midpoint,true_counterfactual_development,moderate_seed3301,midpoint-split,True,False,False,True,3580.0724815,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L1__pmm,true_counterfactual_development,moderate_seed3301,pmm-split,True,False,False,True,3580.0600945,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L1__fpmm,true_counterfactual_development,moderate_seed3301,fpmm-split,True,False,False,True,3580.065959,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L2__retain,true_counterfactual_development,moderate_seed3301,retain,True,False,True,False,633.6737121,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
cf__moderate_seed3301__k4__L2__midpoint,true_counterfactual_development,moderate_seed3301,midpoint-split,True,False,False,True,3580.0534352,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,none,none
