instance,horizon_seconds,arm,GI_pgrb,GI_c6,GI_arm,c6_advantage_over_pgrb,retention,arm_advantage_over_pgrb
round32_multi_m_high_imbalance_V50_M4_seed163456187,300,gamma-veto,0.23274106085953283,0.280322076844128,0.2897575528486859,False,-57016491989.15304,False
round32_multi_m_high_imbalance_V50_M4_seed163456187,300,no-adaptive,0.23274106085953283,0.280322076844128,0.9215020517212568,False,-688760990861.724,False
round32_multi_m_high_imbalance_V50_M4_seed163456187,1200,gamma-veto,0.20235413902307633,0.10744833663937733,0.10980720564051677,True,0.975145155070681,True
round32_multi_m_high_imbalance_V50_M4_seed163456187,1200,no-adaptive,0.20235413902307633,0.10744833663937733,0.9057165424096609,True,-7.411163340076181,False
round32_multi_m_high_imbalance_V50_M4_seed163456187,3600,gamma-veto,0.19449119652252922,0.06893963451094388,0.06972698935130867,True,0.9937288327779455,True
round32_multi_m_high_imbalance_V50_M4_seed163456187,3600,no-adaptive,0.19449119652252922,0.06893963451094388,0.9021990917920824,True,-5.636790844579448,False
round32_multi_m_moderate_V50_M2_seed254020866,300,gamma-veto,0.24472203567949397,0.22212316849960667,0.23061664416307182,True,0.6241636540514637,True
round32_multi_m_moderate_V50_M2_seed254020866,300,no-adaptive,0.24472203567949397,0.22212316849960667,0.5391008750833334,True,-13.026265301733037,False
round32_multi_m_moderate_V50_M2_seed254020866,1200,gamma-veto,0.2145171866073615,0.15664207584519577,0.1594091445631337,True,0.9521889689454065,True
round32_multi_m_moderate_V50_M2_seed254020866,1200,no-adaptive,0.2145171866073615,0.15664207584519577,0.5097752187708333,True,-5.101640900124008,False
round32_multi_m_moderate_V50_M2_seed254020866,3600,gamma-veto,0.1982335684227687,0.1308359696165545,0.13637309858962643,True,0.9178438242437593,True
round32_multi_m_moderate_V50_M2_seed254020866,3600,no-adaptive,0.1982335684227687,0.1308359696165545,0.5030067594053326,True,-4.522018534501011,False
round32_multi_m_moderate_V50_M4_seed721910669,300,gamma-veto,0.41942648605471583,1.0,1.0,False,-580573513945.2842,False
round32_multi_m_moderate_V50_M4_seed721910669,300,no-adaptive,0.41942648605471583,1.0,1.0,False,-580573513945.2842,False
round32_multi_m_moderate_V50_M4_seed721910669,1200,gamma-veto,0.3825369941191091,0.4163124776446896,0.42702092796820257,False,-44483933849.09349,False
round32_multi_m_moderate_V50_M4_seed721910669,1200,no-adaptive,0.3825369941191091,0.4163124776446896,0.6321057507083334,False,-249568756589.22433,False
round32_multi_m_moderate_V50_M4_seed721910669,3600,gamma-veto,0.3479495087749133,0.26859905270146184,0.27057536989056297,True,0.9750938143660859,True
round32_multi_m_moderate_V50_M4_seed721910669,3600,no-adaptive,0.3479495087749133,0.26859905270146184,0.5440352502361112,True,-2.471135657742021,False
round32_multi_m_tight_T_V50_M2_seed104207248,300,gamma-veto,0.3926932806601452,0.22122035820175326,0.23316213895107737,True,0.9303576297755012,True
round32_multi_m_tight_T_V50_M2_seed104207248,300,no-adaptive,0.3926932806601452,0.22122035820175326,0.841431085283011,True,-2.616960148514133,False
round32_multi_m_tight_T_V50_M2_seed104207248,1200,gamma-veto,0.36713139940304645,0.12226273643260366,0.13968476932025892,True,0.9288515211529611,True
round32_multi_m_tight_T_V50_M2_seed104207248,1200,no-adaptive,0.36713139940304645,0.12226273643260366,0.8231966124958693,True,-1.8624890892954842,False
round32_multi_m_tight_T_V50_M2_seed104207248,3600,gamma-veto,0.3516697250935341,0.048350509114902594,0.0874566332380642,True,0.8710727113117799,True
round32_multi_m_tight_T_V50_M2_seed104207248,3600,no-adaptive,0.3516697250935341,0.048350509114902594,0.39290128295319954,True,-0.13593453921683002,False
round32_multi_m_tight_T_V50_M4_seed1562257203,300,gamma-veto,0.3335425232005086,0.6751402914590577,0.6851903655838223,False,-351647842383.3137,False
round32_multi_m_tight_T_V50_M4_seed1562257203,300,no-adaptive,0.3335425232005086,0.6751402914590577,0.9398806832898492,False,-606338160089.3406,False
round32_multi_m_tight_T_V50_M4_seed1562257203,1200,gamma-veto,0.3042222352808119,0.206570595080752,0.20909314606590365,True,0.9741678585225638,True
round32_multi_m_tight_T_V50_M4_seed1562257203,1200,no-adaptive,0.3042222352808119,0.206570595080752,0.8603858551314658,True,-5.695384314193147,False
round32_multi_m_tight_T_V50_M4_seed1562257203,3600,gamma-veto,0.2955022138845589,0.09944589689455881,0.10025690927827394,True,0.9958633703000934,True
round32_multi_m_tight_T_V50_M4_seed1562257203,3600,no-adaptive,0.2955022138845589,0.09944589689455881,0.8427203377629361,True,-2.7911272244611647,False
tight_T_seed3101,300,gamma-veto,0.8218725625962912,0.5319556743200231,0.537460032212367,True,0.9810140143091675,True
tight_T_seed3101,300,no-adaptive,0.8218725625962912,0.5319556743200231,0.5433007770359971,True,0.9608677411535853,True
tight_T_seed3101,1200,gamma-veto,0.7937296105633487,0.4723793352738585,0.48011478355551257,True,0.975928297323892,True
tight_T_seed3101,1200,no-adaptive,0.7937296105633487,0.4723793352738585,0.473030594285312,True,0.9979733671898465,True
tight_T_seed3101,3600,gamma-veto,0.7415457985890976,0.2927819429729401,0.3390234742903816,True,0.8969579863914142,True
tight_T_seed3101,3600,no-adaptive,0.7415457985890976,0.2927819429729401,0.32210926740714546,True,0.9346486485772375,True
tight_T_seed3102,300,gamma-veto,0.6046113812156226,0.1822555256197081,0.17054288337493748,True,1.0277316913914805,True
tight_T_seed3102,300,no-adaptive,0.6046113812156226,0.1822555256197081,0.7073539983333341,True,-0.24326078532224646,False
tight_T_seed3102,1200,gamma-veto,0.373526614555198,0.0536686796607065,0.054493998219344135,True,0.9974197339862464,True
tight_T_seed3102,1200,no-adaptive,0.373526614555198,0.0536686796607065,0.44343362789583307,True,-0.2185564455785493,False
tight_T_seed3102,3600,gamma-veto,0.2147582085765127,0.017889559886902166,0.01816466607311471,True,0.9986025901633211,True
tight_T_seed3102,3600,no-adaptive,0.2147582085765127,0.017889559886902166,0.14781120929861102,True,0.34005922082318185,True
