stage,instance,arm,common_ub,gap_threshold,first_time_seconds,reached
stage1c,V12_M2,T-CPX-EXT-POFF,0.7185040707549709,0.01,,False
stage1c,V12_M2,T-CPX-EXT-POFF,0.7185040707549709,0.001,,False
stage1c,V12_M2,T-CPX-EXT-PON,0.7185040707549709,0.1,32.3653184,True
stage1c,V12_M2,T-CPX-EXT-PON,0.7185040707549709,0.05,127.4142233,True
stage1c,V12_M2,T-CPX-EXT-PON,0.7185040707549709,0.01,,False
stage1c,V12_M2,T-CPX-EXT-PON,0.7185040707549709,0.001,,False
stage1c,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,0.1,4.8094322,True
stage1c,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,0.05,53.2870972,True
stage1c,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,0.01,,False
stage1c,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,0.001,,False
stage2,high_imbalance_seed3202,P-CPX,1.7493134520506337,0.1,,False
stage2,high_imbalance_seed3202,P-CPX,1.7493134520506337,0.05,,False
stage2,high_imbalance_seed3202,P-CPX,1.7493134520506337,0.01,,False
stage2,high_imbalance_seed3202,P-CPX,1.7493134520506337,0.001,,False
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.1,,False
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.05,,False
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.01,,False
stage2,high_imbalance_seed3202,P-GRB,1.7493134520506337,0.001,,False
stage2,high_imbalance_seed3202,S0-SAFE,1.7493134520506337,0.1,6.4670092,True
stage2,high_imbalance_seed3202,S0-SAFE,1.7493134520506337,0.05,16.6716456,True
stage2,high_imbalance_seed3202,S0-SAFE,1.7493134520506337,0.01,,False
stage2,high_imbalance_seed3202,S0-SAFE,1.7493134520506337,0.001,,False
stage2,high_imbalance_seed3202,T-CPX-EXT-PON,1.7493134520506337,0.1,33.9274524,True
stage2,high_imbalance_seed3202,T-CPX-EXT-PON,1.7493134520506337,0.05,33.9274524,True
stage2,high_imbalance_seed3202,T-CPX-EXT-PON,1.7493134520506337,0.01,,False
stage2,high_imbalance_seed3202,T-CPX-EXT-PON,1.7493134520506337,0.001,,False
stage2,high_imbalance_seed3202,T-CPX-ST-PON-DIAG,1.7493134520506337,0.1,8.0840035,True
stage2,high_imbalance_seed3202,T-CPX-ST-PON-DIAG,1.7493134520506337,0.05,21.4018823,True
stage2,high_imbalance_seed3202,T-CPX-ST-PON-DIAG,1.7493134520506337,0.01,,False
stage2,high_imbalance_seed3202,T-CPX-ST-PON-DIAG,1.7493134520506337,0.001,,False
stage2,high_imbalance_seed3202,T-GRB-EXT-COLD,1.7493134520506337,0.1,31.8309264,True
stage2,high_imbalance_seed3202,T-GRB-EXT-COLD,1.7493134520506337,0.05,31.8309264,True
stage2,high_imbalance_seed3202,T-GRB-EXT-COLD,1.7493134520506337,0.01,,False
stage2,high_imbalance_seed3202,T-GRB-EXT-COLD,1.7493134520506337,0.001,,False
stage2,high_imbalance_seed3202,T-GRB-EXT-WARM,1.7493134520506337,0.1,31.7612208,True
stage2,high_imbalance_seed3202,T-GRB-EXT-WARM,1.7493134520506337,0.05,31.7612208,True
stage2,high_imbalance_seed3202,T-GRB-EXT-WARM,1.7493134520506337,0.01,,False
stage2,high_imbalance_seed3202,T-GRB-EXT-WARM,1.7493134520506337,0.001,,False
stage2,tight_T_seed3101,P-CPX,0.10725273413394144,0.1,,False
stage2,tight_T_seed3101,P-CPX,0.10725273413394144,0.05,,False
stage2,tight_T_seed3101,P-CPX,0.10725273413394144,0.01,,False
stage2,tight_T_seed3101,P-CPX,0.10725273413394144,0.001,,False
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.1,,False
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.05,,False
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.01,,False
stage2,tight_T_seed3101,P-GRB,0.10725273413394144,0.001,,False
stage2,tight_T_seed3101,S0-SAFE,0.10725273413394144,0.1,,False
stage2,tight_T_seed3101,S0-SAFE,0.10725273413394144,0.05,,False
stage2,tight_T_seed3101,S0-SAFE,0.10725273413394144,0.01,,False
stage2,tight_T_seed3101,S0-SAFE,0.10725273413394144,0.001,,False
stage2,tight_T_seed3101,T-CPX-EXT-PON,0.10725273413394144,0.1,,False
stage2,tight_T_seed3101,T-CPX-EXT-PON,0.10725273413394144,0.05,,False
stage2,tight_T_seed3101,T-CPX-EXT-PON,0.10725273413394144,0.01,,False
stage2,tight_T_seed3101,T-CPX-EXT-PON,0.10725273413394144,0.001,,False
stage2,tight_T_seed3101,T-CPX-ST-PON-DIAG,0.10725273413394144,0.1,,False
stage2,tight_T_seed3101,T-CPX-ST-PON-DIAG,0.10725273413394144,0.05,,False
stage2,tight_T_seed3101,T-CPX-ST-PON-DIAG,0.10725273413394144,0.01,,False
stage2,tight_T_seed3101,T-CPX-ST-PON-DIAG,0.10725273413394144,0.001,,False
stage2,tight_T_seed3101,T-GRB-EXT-COLD,0.10725273413394144,0.1,,False
stage2,tight_T_seed3101,T-GRB-EXT-COLD,0.10725273413394144,0.05,,False
stage2,tight_T_seed3101,T-GRB-EXT-COLD,0.10725273413394144,0.01,,False
stage2,tight_T_seed3101,T-GRB-EXT-COLD,0.10725273413394144,0.001,,False
stage2,tight_T_seed3101,T-GRB-EXT-WARM,0.10725273413394144,0.1,,False
stage2,tight_T_seed3101,T-GRB-EXT-WARM,0.10725273413394144,0.05,,False
stage2,tight_T_seed3101,T-GRB-EXT-WARM,0.10725273413394144,0.01,,False
stage2,tight_T_seed3101,T-GRB-EXT-WARM,0.10725273413394144,0.001,,False
stage2,V12_M1,P-CPX,0.3572005832084155,0.1,27.7704899,True
stage2,V12_M1,P-CPX,0.3572005832084155,0.05,164.6230146,True
stage2,V12_M1,P-CPX,0.3572005832084155,0.01,,False
stage2,V12_M1,P-CPX,0.3572005832084155,0.001,,False
stage2,V12_M1,P-GRB,0.3572005832084155,0.1,8.75600004196167,True
stage2,V12_M1,P-GRB,0.3572005832084155,0.05,20.89199995994568,True
stage2,V12_M1,P-GRB,0.3572005832084155,0.01,33.27999997138977,True
stage2,V12_M1,P-GRB,0.3572005832084155,0.001,34.88199996948242,True
stage2,V12_M1,S0-SAFE,0.3572005832084155,0.1,10.7231013,True
stage2,V12_M1,S0-SAFE,0.3572005832084155,0.05,49.1374208,True
stage2,V12_M1,S0-SAFE,0.3572005832084155,0.01,175.313669,True
stage2,V12_M1,S0-SAFE,0.3572005832084155,0.001,,False
stage2,V12_M1,T-CPX-EXT-PON,0.3572005832084155,0.1,31.5342665,True
stage2,V12_M1,T-CPX-EXT-PON,0.3572005832084155,0.05,31.5342665,True
stage2,V12_M1,T-CPX-EXT-PON,0.3572005832084155,0.01,77.2388824,True
stage2,V12_M1,T-CPX-EXT-PON,0.3572005832084155,0.001,77.2388824,True
stage2,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,0.1,12.2221153,True
stage2,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,0.05,46.0957088,True
stage2,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,0.01,169.8310115,True
stage2,V12_M1,T-CPX-ST-PON-DIAG,0.3572005832084155,0.001,263.1053128,True
stage2,V12_M1,T-GRB-EXT-COLD,0.3572005832084155,0.1,22.8984757,True
stage2,V12_M1,T-GRB-EXT-COLD,0.3572005832084155,0.05,22.8984757,True
stage2,V12_M1,T-GRB-EXT-COLD,0.3572005832084155,0.01,22.8984757,True
stage2,V12_M1,T-GRB-EXT-COLD,0.3572005832084155,0.001,22.8984757,True
stage2,V12_M1,T-GRB-EXT-WARM,0.3572005832084155,0.1,18.7859209,True
stage2,V12_M1,T-GRB-EXT-WARM,0.3572005832084155,0.05,18.7859209,True
stage2,V12_M1,T-GRB-EXT-WARM,0.3572005832084155,0.01,18.7859209,True
stage2,V12_M1,T-GRB-EXT-WARM,0.3572005832084155,0.001,18.7859209,True
stage2,V12_M2,P-CPX,0.7185040707549709,0.1,,False
stage2,V12_M2,P-CPX,0.7185040707549709,0.05,,False
stage2,V12_M2,P-CPX,0.7185040707549709,0.01,,False
stage2,V12_M2,P-CPX,0.7185040707549709,0.001,,False
stage2,V12_M2,P-GRB,0.7185040707549709,0.1,11.008000135421753,True
stage2,V12_M2,P-GRB,0.7185040707549709,0.05,40.28200006484985,True
stage2,V12_M2,P-GRB,0.7185040707549709,0.01,153.7039999961853,True
stage2,V12_M2,P-GRB,0.7185040707549709,0.001,170.1930000782013,True
stage2,V12_M2,S0-SAFE,0.7185040707549709,0.1,5.1110678,True
stage2,V12_M2,S0-SAFE,0.7185040707549709,0.05,55.9272065,True
stage2,V12_M2,S0-SAFE,0.7185040707549709,0.01,,False
stage2,V12_M2,S0-SAFE,0.7185040707549709,0.001,,False
stage2,V12_M2,T-CPX-EXT-PON,0.7185040707549709,0.1,32.3966963,True
stage2,V12_M2,T-CPX-EXT-PON,0.7185040707549709,0.05,127.2619236,True
stage2,V12_M2,T-CPX-EXT-PON,0.7185040707549709,0.01,211.8380248,True
stage2,V12_M2,T-CPX-EXT-PON,0.7185040707549709,0.001,211.8380248,True
stage2,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,0.1,4.8086601,True
stage2,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,0.05,52.2722665,True
stage2,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,0.01,,False
stage2,V12_M2,T-CPX-ST-PON-DIAG,0.7185040707549709,0.001,,False
stage2,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,0.1,31.919583,True
stage2,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,0.05,91.9423966,True
stage2,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,0.01,182.6125488,True
stage2,V12_M2,T-GRB-EXT-COLD,0.7185040707549709,0.001,182.6125488,True
stage2,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,0.1,32.023968,True
stage2,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,0.05,92.0462338,True
stage2,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,0.01,159.8164197,True
stage2,V12_M2,T-GRB-EXT-WARM,0.7185040707549709,0.001,159.8164197,True
