run_id,instance,arm,optimize_count,lp_optimize_count,partial_mip_optimize_count,terminal_mip_optimize_count,presolve_executions,root_executions,splits,declined_splits,lp_cutoff_prunes,partial_bound_events,partial_targets_reached,open_leaves,closed_leaves,total_work,lp_work,partial_mip_work,terminal_mip_work,lifecycle_complete
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,9,0,0,0,9,6,2,0,0,0,0,5,1,546.117542792032,0,0,0,True
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,39,30,0,9,39,9,9,5,0,0,0,3,10,543.741403192072,23.46352216663424,0,520.2778810254378,True
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,14,10,1,3,14,4,1,3,0,2,1,3,2,545.3354251047207,7.917091877021578,1.1616960117801987,536.2566372159189,True
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,10,0,0,0,10,8,2,0,0,0,0,3,3,527.1154335241364,0,0,0,True
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,8,7,0,1,8,1,1,1,0,0,0,4,1,478.7725535626651,4.337921362102464,0,474.43463220056265,True
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,8,7,0,1,8,1,1,1,0,0,0,4,1,480.38690774076923,4.337921362102464,0,476.04898637866677,True
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,7,0,0,0,7,5,1,0,0,0,0,3,2,673.0158941025511,0,0,0,True
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,28,26,0,2,28,2,11,0,0,0,0,10,5,640.9350263440753,442.5240677899971,0,198.4109585540781,True
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,21,18,1,2,21,3,5,2,0,3,1,4,5,630.9684042360941,323.36678130776244,17.433041247068584,290.1685816812631,True
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
