stage,instance,family,V,arm,repetition,common_ub,valid_final_lb,common_ub_gap,bound_progress_auc,normalized_gap_auc,bound_observations,auc_status,correction_reason
stage2,moderate_seed3302,moderate,20,P-GRB,0,0.19563620654901237,0.12931018892684115,0.33902731397296176,0.6541766990922144,0.3458233009077856,1800,observed_historical_trace,compatible_observations_retained
stage2,moderate_seed4302,moderate,20,C3-REPLICA,0,0.04854285887126694,0.006826339528771914,0.859375,0.08781798695080167,0.9121820130491983,314,observed_historical_trace,compatible_observations_retained
stage2,moderate_seed4302,moderate,20,C4-CANDIDATE,0,0.04854285887126694,0.016240295448157305,0.6654441904374504,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,moderate_seed4302,moderate,20,P-GRB,0,0.04854285887126694,8.816848156789071e-08,0.9999981836982077,1.7316802918276863e-06,0.9999982683197082,1741,observed_historical_trace,compatible_observations_retained
stage2,moderate_seed5301,moderate,20,C3-REPLICA,0,0.16885733659692667,0.08263319999845456,0.5106330487984344,0.4038337435259819,0.5961662564740181,555,observed_historical_trace,compatible_observations_retained
stage2,moderate_seed5301,moderate,20,C4-CANDIDATE,0,0.16885733659692667,0.08358982994364039,0.5049677341342017,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,moderate_seed5301,moderate,20,P-GRB,0,0.16885733659692667,0.07245933448078741,0.5708842983011599,0.42352399793524,0.57647600206476,1732,observed_historical_trace,compatible_observations_retained
stage2,moderate_seed5302,moderate,20,C3-REPLICA,0,0.10573533268303861,0.01610829051859732,0.847654609770937,0.1222841451582184,0.8777158548417816,86,observed_historical_trace,compatible_observations_retained
stage2,moderate_seed5302,moderate,20,C4-CANDIDATE,0,0.10573533268303861,0.01618004087091167,0.8469760253233953,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,moderate_seed5302,moderate,20,P-GRB,0,0.10573533268303861,0.026346485760173625,0.7508260948196747,0.23121243630735622,0.7687875636926438,1797,observed_historical_trace,compatible_observations_retained
stage2,moderate_seed6301,moderate,50,P-GRB,0,0.6075292832179728,0.4334604561007951,0.28651923771503923,0.6957579920377313,0.3042420079622688,417,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed3101,tight_T,20,P-GRB,0,0.10725273413394144,0.01937849707503963,0.8193193186959785,0.1658197168812766,0.8341802831187234,1691,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed4101,tight_T,20,C3-REPLICA,0,0.562981400559009,0.4194737161392273,0.25490661730083203,0.6523582200374263,0.3476417799625737,400,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed4101,tight_T,20,C4-CANDIDATE,0,0.562981400559009,0.3022442685314236,0.4631363163484407,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,tight_T_seed4101,tight_T,20,P-GRB,0,0.562981400559009,0.36326075806486424,0.3547553121574414,0.627850243433635,0.3721497565663649,1787,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed5102,tight_T,20,C3-REPLICA,0,0.3623546627845846,0.2552055634582377,0.2957022782677582,0.5813136372394418,0.41868636276055815,502,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed5102,tight_T,20,C4-CANDIDATE,0,0.3623546627845846,0.20843292656852036,0.4247819940641107,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,tight_T_seed5102,tight_T,20,P-GRB,0,0.3623546627845846,0.2258845704217254,0.3766202187495763,0.6123884912657587,0.38761150873424133,1821,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed5103,tight_T,20,C3-REPLICA,0,0.2849628509699851,0.18364656523840459,0.3555420834214354,0.5022668523286241,0.4977331476713759,531,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed5103,tight_T,20,C4-CANDIDATE,0,0.2849628509699851,0.14558766572211784,0.4890994905948197,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,tight_T_seed5103,tight_T,20,P-GRB,0,0.2849628509699851,0.15202339601727297,0.466515036960781,0.5177582081135068,0.4822417918864932,2011,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed6102,tight_T,50,C3-REPLICA,0,0.6855974831044359,0.5528118497098944,0.193678706043783,0.2997345738394891,0.7002654261605109,38,observed_historical_trace,compatible_observations_retained
stage2,tight_T_seed6102,tight_T,50,C4-CANDIDATE,0,0.6855974831044359,0.5536563779344199,0.19244689255943145,,,0,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected
stage2,tight_T_seed6102,tight_T,50,P-GRB,0,0.6855974831044359,0.5114077669336669,0.25406994696366914,0.7294585741611157,0.27054142583888435,909,observed_historical_trace,compatible_observations_retained
stage2,V12_M1,v12,12,P-GRB,0,0.3572005832084155,0.3572005832084151,1.2432488375612486e-15,0.9912913126675427,0.008708687332457306,5096,observed_historical_trace,compatible_observations_retained
stage2,V12_M2,v12,12,P-GRB,0,0.7185040707549709,0.7185040707549712,0.0,0.9745292129860104,0.02547078701398966,17593,observed_historical_trace,compatible_observations_retained
