run_id,instance,family,arm,trace_complete,trace_reason,valid_bound_observation_count,auc_status,observed_start_process_seconds,observed_end_process_seconds,observed_duration_seconds,raw_lower_bound_time_integral,mean_observed_lower_bound,normalized_proof_progress_auc,normalized_gap_auc,common_verified_upper_bound,initial_valid_lower_bound,final_observed_lower_bound
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,moderate,C5-CANDIDATE,True,complete_observed_trace,51,observed,51.0210222,295.0866658,244.0656436,96.74804082892354,0.39640171964344245,0.652481667293096,0.347518332706904,0.6075292832179728,0.0,0.4949981501640891
stage2__V12_M1__p_grb__300s,V12_M1,v12,P-GRB,True,complete_native_callback_trace,5096,observed,0.03804907738342285,34.8290489667572,34.79099988937378,11.50099675861521,0.3305739069065377,0.9254573549048737,0.07454264509512688,0.3572005832084155,0.0,0.35719238650436647
stage2__V12_M2__p_grb__300s,V12_M2,v12,P-GRB,True,complete_native_callback_trace,17592,observed,0.05436745040893555,169.15636744850158,169.10199999809265,116.02412854738681,0.6861191975771752,0.9547879047508256,0.04507263701897512,0.7185040707549709,0.0022162500000000034,0.7185040707549712
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,high_imbalance,P-GRB,True,complete_native_callback_trace,2167,observed,0.13214022016296387,295.0011401782013,294.86899995803833,312.03594903607194,1.0582189008694591,0.6049338382603533,0.3950661617396472,1.7493134520506337,-6.938893903907228e-18,1.074868661415556
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,moderate,P-GRB,True,complete_native_callback_trace,1802,observed,0.1280123057220459,295.00301230572205,294.875,37.74032571010697,0.12798753950015082,0.6542119260939901,0.34578807390601046,0.19563620654901237,0.0,0.12931018892684115
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,tight_T,P-GRB,True,complete_native_callback_trace,1689,observed,0.13329554114379882,295.00229549918214,294.86899995803833,5.2352131072566115,0.017754369255505376,0.16553768441308936,0.8344623155869111,0.10725273413394144,0.0,0.01937849707503963
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,high_imbalance,P-GRB,True,complete_native_callback_trace,1938,observed,0.13029672016296387,295.0012965332428,294.87099981307983,581.6407537672494,1.9725261356184716,0.7084949432244401,0.2915050567755605,2.784107571242904,0.0,2.0042580270669403
stage2__high_imbalance_seed4201__c4_candidate__300s,high_imbalance_seed4201,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,2916,observed,16.52835,295.0156548,278.4873048,743.0631273100356,2.6682118520399984,0.958372398969049,0.04162760103095641,2.784107571242904,0.0,2.6896611173437055
stage2__high_imbalance_seed4201__c5_candidate__300s,high_imbalance_seed4201,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,1632,observed,16.4604795,295.0271388,278.56665929999997,743.5834711066126,2.6693196988294883,0.9587703170671256,0.041229682932871506,2.784107571242904,0.0,2.690845603962983
stage2__moderate_seed4302__p_grb__300s,moderate_seed4302,moderate,P-GRB,True,complete_native_callback_trace,1742,observed,0.1282325607635498,295.0022326332428,294.87400007247925,2.4771552077383433e-05,8.40072440136962e-08,1.7305788321301547e-06,0.9999982694211662,0.04854285887126694,0.0,8.816848156789071e-08
stage2__moderate_seed4302__c4_candidate__300s,moderate_seed4302,moderate,C4-CANDIDATE,True,complete_observed_trace,172,observed,19.0199965,295.0279941,276.0079976,3.4208899930433003,0.012394169816778164,0.255324266122167,0.7446757338778333,0.04854285887126694,0.0,0.016240295448157305
stage2__moderate_seed4302__c5_candidate__300s,moderate_seed4302,moderate,C5-CANDIDATE,True,complete_observed_trace,172,observed,19.1544424,295.0240533,275.8696109,3.4161009359413623,0.012383027346856501,0.25509472731500255,0.7449052726849972,0.04854285887126694,0.0,0.016240295448157305
stage2__tight_T_seed4101__p_grb__300s,tight_T_seed4101,tight_T,P-GRB,True,complete_native_callback_trace,1780,observed,0.12259551226196289,295.0045954817444,294.8819999694824,104.19166004782029,0.3533334013558073,0.627611144888565,0.372388855111435,0.562981400559009,0.0,0.36326075806486424
stage2__tight_T_seed4101__c4_candidate__300s,tight_T_seed4101,tight_T,C4-CANDIDATE,True,complete_observed_trace,239,observed,9.827464,295.0250557,285.1975917,85.93137544415127,0.3013047022309455,0.5351947718552804,0.4648052281447196,0.562981400559009,0.0,0.3022442685314236
stage2__tight_T_seed4101__c5_candidate__300s,tight_T_seed4101,tight_T,C5-CANDIDATE,True,complete_observed_trace,238,observed,9.7995102,295.0222835,285.22277330000003,85.9403580833631,0.30130959421311776,0.5352034612758682,0.46479653872413146,0.562981400559009,0.0,0.3022442685314236
stage2__high_imbalance_seed5202__p_grb__300s,high_imbalance_seed5202,high_imbalance,P-GRB,True,complete_native_callback_trace,1643,observed,0.14870929972839356,295.0047094847412,294.8560001850128,271.1000260327018,0.9194319459756461,0.7965017012293922,0.20349829877060688,1.1543377051882164,3.469446951953614e-18,0.9252150909251404
stage2__high_imbalance_seed5202__c4_candidate__300s,high_imbalance_seed5202,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,192,observed,13.752406,295.0231142,281.2707082,284.1369886677265,1.0101904691251689,0.8751255933032663,0.12487440669673351,1.1543377051882164,0.0,1.0155419140820865
stage2__high_imbalance_seed5202__c5_candidate__300s,high_imbalance_seed5202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,162,observed,13.7730963,295.0253415,281.2522452,284.21721746097296,1.0105420394381726,0.8754301578266491,0.12456984217335094,1.1543377051882164,0.0,1.0159527187400632
stage2__high_imbalance_seed5203__p_grb__300s,high_imbalance_seed5203,high_imbalance,P-GRB,True,complete_native_callback_trace,1990,observed,0.13194202016296386,295.00194190572205,294.8699998855591,580.0991327544589,1.9673046867419508,0.83629337125494,0.16370662874505956,2.3524097575828193,0.0,1.9903564132248892
stage2__high_imbalance_seed5203__c4_candidate__300s,high_imbalance_seed5203,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,1486,observed,14.1742043,295.021651,280.84744670000003,564.1810873674315,2.008852471320799,0.8539551686713682,0.1460448313286341,2.3524097575828193,0.0,2.0264485645829993
stage2__high_imbalance_seed5203__c5_candidate__300s,high_imbalance_seed5203,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,976,observed,14.2586179,253.6214547,239.3628368,493.5902841110037,2.062100745085269,0.8765907973465272,0.12340920265347295,2.3524097575828193,0.0,2.3524097575828193
stage2__moderate_seed5301__p_grb__300s,moderate_seed5301,moderate,P-GRB,True,complete_native_callback_trace,1726,observed,0.12454527820129394,295.0015451332428,294.8769998550415,21.087485267877398,0.07151281815212372,0.4235102814799769,0.5764897185200227,0.16885733659692667,0.0,0.07245428297814198
stage2__moderate_seed5301__c4_candidate__300s,moderate_seed5301,moderate,C4-CANDIDATE,True,complete_observed_trace,843,observed,20.5795003,295.0197813,274.44028099999997,21.809174966772527,0.07946783499603154,0.47062115628251533,0.5293788437174842,0.16885733659692667,0.0,0.08358982994364039
stage2__moderate_seed5301__c5_candidate__300s,moderate_seed5301,moderate,C5-CANDIDATE,True,complete_observed_trace,233,observed,20.671035,295.0285959,274.3575609,22.8197601557365,0.08317525524311693,0.4925770885612251,0.5074229114387749,0.16885733659692667,0.0,0.08450251911563354
stage2__moderate_seed5302__p_grb__300s,moderate_seed5302,moderate,P-GRB,True,complete_native_callback_trace,1788,observed,0.14813696076354982,295.00113712479555,294.853000164032,7.199294353556577,0.024416554518866963,0.22261305446828777,0.7773869455317125,0.109681593369203,0.0,0.026346485760173625
stage2__moderate_seed5302__c4_candidate__300s,moderate_seed5302,moderate,C4-CANDIDATE,True,complete_observed_trace,838,observed,20.112297,295.0192528,274.9069558,4.409731101157307,0.01604081311192966,0.1462489066687252,0.8537510933312726,0.109681593369203,0.0,0.01618004087091167
stage2__moderate_seed5302__c5_candidate__300s,moderate_seed5302,moderate,C5-CANDIDATE,True,complete_observed_trace,203,observed,20.0488248,295.0281514,274.97932660000004,6.74196556947986,0.02451808160577501,0.22353870738587692,0.776461292614123,0.109681593369203,0.0,0.02742039834230075
stage2__tight_T_seed5102__p_grb__300s,tight_T_seed5102,tight_T,P-GRB,True,complete_native_callback_trace,1815,observed,0.12991013324279785,295.0009101847412,294.8710000514984,65.42127852446956,0.2218640643299745,0.6122842814413295,0.3877157185586704,0.3623546627845846,0.0,0.2258845704217254
stage2__tight_T_seed5103__p_grb__300s,tight_T_seed5103,tight_T,P-GRB,True,complete_native_callback_trace,2006,observed,0.13417476866455078,295.0011746332428,294.86699986457825,43.4869797148838,0.1474799816013857,0.5175410798262935,0.4824589201737057,0.2849628509699851,0.0,0.15202339601727297
stage2__tight_T_seed5103__c4_candidate__300s,tight_T_seed5103,tight_T,C4-CANDIDATE,True,complete_observed_trace,145,observed,28.8202366,295.0293565,266.2091199,38.66705831739383,0.1452506898783892,0.5097179838844621,0.49028201611553796,0.2849628509699851,0.0,0.14558766572211784
stage2__tight_T_seed5103__c5_candidate__300s,tight_T_seed5103,tight_T,C5-CANDIDATE,True,complete_observed_trace,148,observed,28.7255088,295.0270723,266.3015635,38.681537865220214,0.14525464047912065,0.5097318474484951,0.4902681525515051,0.2849628509699851,0.0,0.14558766572211784
stage2__high_imbalance_seed6202__p_grb__300s,high_imbalance_seed6202,high_imbalance,P-GRB,True,complete_native_callback_trace,1191,observed,0.6387047389648437,295.0057048419617,294.3670001029968,2306.7759318559442,7.8363944703340405,0.8048835420020792,0.1951164579979202,9.736060015392617,-1.734723475976807e-18,7.8574233767331165
stage2__high_imbalance_seed6202__c4_candidate__300s,high_imbalance_seed6202,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,119,observed,21.5308432,295.1284276,273.5975844,1830.2417175372552,6.68953902334693,0.687088926400498,0.31291107359950193,9.736060015392617,0.0,7.461555638889693
stage2__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,119,observed,21.2875164,295.1364566,273.84894019999996,1833.7395751322854,6.696171888753892,0.6877701943257648,0.3122298056742351,9.736060015392617,0.0,7.461555638889693
stage2__moderate_seed6301__p_grb__300s,moderate_seed6301,moderate,P-GRB,True,complete_native_callback_trace,417,observed,0.566882157220459,295.0058820485016,294.4389998912811,124.5454005032401,0.4229922005890094,0.696249896545721,0.3037501034542792,0.6075292832179728,0.0,0.4334604561007951
stage2__tight_T_seed6102__p_grb__300s,tight_T_seed6102,tight_T,P-GRB,True,complete_native_callback_trace,911,observed,0.5836116381469727,295.0056115694824,294.42199993133545,147.3332671178263,0.5004152785871541,0.7298966097734729,0.2701033902265259,0.6855974831044359,0.0,0.5114077669336669
stage2__tight_T_seed6102__c4_candidate__300s,tight_T_seed6102,tight_T,C4-CANDIDATE,True,complete_observed_trace,45,observed,90.2746069,295.0761236,204.80151670000004,102.73205757545475,0.501617660019286,0.7316503814277796,0.26834961857222056,0.6855974831044359,0.0,0.5536563779344199
stage2__tight_T_seed6102__c5_candidate__300s,tight_T_seed6102,tight_T,C5-CANDIDATE,True,complete_observed_trace,53,observed,90.7811086,295.0796528,204.29854420000004,103.087677492061,0.5045933043514119,0.7359906020462269,0.26400939795377265,0.6855974831044359,0.0,0.5632890266694838
stage3__V12_M1__s0_cplex__300s,V12_M1,v12,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable,,,,,,,,,,
stage3__V12_M1__c3_replica__300s,V12_M1,v12,C3-REPLICA,True,compatible_existing_c3_trace,454,observed,12.3007086,286.09404570000004,273.79333710000003,84.77942390791101,0.30964750569129534,0.8668729006823193,0.13312709931768066,0.3572005832084155,0.0,0.316632
stage3__V12_M2__s0_cplex__300s,V12_M2,v12,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable,,,,,,,,,,
stage3__V12_M2__c3_replica__300s,V12_M2,v12,C3-REPLICA,True,compatible_existing_c3_trace,218,observed,13.3070218,290.8385019,277.5314801,179.950337276802,0.6483961286552515,0.9024251288847214,0.09757487111527856,0.7185040707549709,0.0,0.65525
stage3__high_imbalance_seed3202__s0_cplex__300s,high_imbalance_seed3202,high_imbalance,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable,,,,,,,,,,
stage3__high_imbalance_seed3202__c3_replica__300s,high_imbalance_seed3202,high_imbalance,C3-REPLICA,True,compatible_existing_c3_trace,130,observed,32.790573800000004,268.3315138,235.54093999999998,377.78296655961,1.6038951299065463,0.9168712034006136,0.08312879659938635,1.7493134520506337,0.0,1.60997
stage3__moderate_seed3302__s0_cplex__300s,moderate_seed3302,moderate,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable,,,,,,,,,,
stage3__moderate_seed3302__c3_replica__300s,moderate_seed3302,moderate,C3-REPLICA,True,compatible_existing_c3_trace,230,observed,42.190437599999996,280.0233283,237.8328907,32.89691805283189,0.13831946437689197,0.7070238521632705,0.2929761478367293,0.19563620654901237,0.0,0.139417
stage3__tight_T_seed3101__s0_cplex__300s,tight_T_seed3101,tight_T,S0-CPLEX,False,auc_not_required_for_arm,0,auc_unavailable,,,,,,,,,,
stage3__tight_T_seed3101__c3_replica__300s,tight_T_seed3101,tight_T,C3-REPLICA,True,compatible_existing_c3_trace,725,observed,29.2598046,295.0275533,265.7677487,3.8177355951507037,0.014364931839266105,0.13393534398224863,0.8660646560177524,0.10725273413394144,0.0,0.0237456
stage4__V12_M2__c5_candidate__rep1__300s,V12_M2,v12,C5-CANDIDATE,True,complete_observed_trace,948,observed,6.8482519,228.0828659,221.234614,146.5290649378747,0.6623243184625471,0.9218101127340943,0.07818988726590359,0.7185040707549709,0.0,0.7185040707549704
stage4__V12_M2__c5_candidate__rep2__300s,V12_M2,v12,C5-CANDIDATE,True,complete_observed_trace,948,observed,6.8757879,228.2567421,221.3809542,146.6253611585718,0.6623214796793563,0.9218061617708285,0.07819383822917066,0.7185040707549709,0.0,0.7185040707549704
stage4__high_imbalance_seed3202__c5_candidate__rep1__300s,high_imbalance_seed3202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,414,observed,15.7733864,210.5986098,194.8252234,321.1963163361684,1.6486382550000374,0.9424487378562231,0.05755126214377644,1.7493134520506337,0.0,1.749313452050631
stage4__high_imbalance_seed3202__c5_candidate__rep2__300s,high_imbalance_seed3202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,414,observed,15.6358793,210.4728843,194.837005,321.224796418411,1.648684737370147,0.9424753096350287,0.05752469036497166,1.7493134520506337,0.0,1.749313452050631
stage4__tight_T_seed3101__c5_candidate__rep1__300s,tight_T_seed3101,tight_T,C5-CANDIDATE,True,complete_observed_trace,149,observed,14.8804417,295.0274503,280.1470086,14.536873919080158,0.05189016292455303,0.48381202906911963,0.5161879709308804,0.10725273413394144,0.0,0.05362636706697072
stage4__tight_T_seed3101__c5_candidate__rep2__300s,tight_T_seed3101,tight_T,C5-CANDIDATE,True,complete_observed_trace,149,observed,14.8898312,295.0254983,280.1356671,14.536572163391094,0.051891186559268,0.48382157320543684,0.5161784267945633,0.10725273413394144,0.0,0.05362636706697072
stage4__tight_T_seed5102__c5_candidate__rep1__300s,tight_T_seed5102,tight_T,C5-CANDIDATE,True,complete_observed_trace,202,observed,17.4233797,295.0227185,277.5993388,57.706958725170985,0.2078785885248333,0.5736881841876962,0.4263118158123041,0.3623546627845846,0.0,0.20843292656852036
stage4__tight_T_seed5102__c5_candidate__rep2__300s,tight_T_seed5102,tight_T,C5-CANDIDATE,True,complete_observed_trace,202,observed,17.5365456,295.022558,277.4860124,57.68890666823158,0.2078984312372193,0.5737429446597532,0.4262570553402473,0.3623546627845846,0.0,0.20843292656852036
stage4__moderate_seed6301__c5_candidate__rep1__300s,moderate_seed6301,moderate,C5-CANDIDATE,True,complete_observed_trace,51,observed,50.3022879,295.0803763,244.7780884,97.33573041486596,0.3976488706611942,0.6545344918271592,0.3454655081728407,0.6075292832179728,0.0,0.4949981501640891
stage4__moderate_seed6301__c5_candidate__rep2__300s,moderate_seed6301,moderate,C5-CANDIDATE,True,complete_observed_trace,51,observed,50.5210718,295.0803085,244.55923669999999,96.58480985088538,0.394934213706946,0.650066136096438,0.34993386390356207,0.6075292832179728,0.0,0.4949981501640891
