file,instance_name,algorithm_preset,method,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,unresolved_intervals,invalid_bound_intervals,open_nodes,compact_interval_bc_enabled,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_bound_valid,compact_bc_bound_scope,compact_bc_certificate_valid,certificate_uses_bpc_tree,no_archive_scanning,no_external_known_ub
results\gf_compact_bc_round\raw\v12_m1_diag_60s_auto_oracle\interval_7.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.357200583208,0.357200583208,0,3.3891311,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m1_plain_cplex_300s.json,regen_candidate_V12_M1_average.txt,custom,cplex,optimal,True,0.357200583208,0.357200583208,0.357200583208,0,128.2411592,0,0,0,False,0,0,False,none,False,False,True,True
results\gf_compact_bc_round\raw\v12_m2_ablation_no_new_cuts_60s.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.718504070755,0.681921,0.718504070755,0.0509156068059,60.4934203,1,0,2,True,1,1,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m2_ablation_no_new_cuts_60s_auto_oracle\interval_2.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.68192100032,0.718504070755,0.0509156063605,10.1628138,0,0,0,True,0,1,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m2_ablation_no_new_cuts_60s_auto_oracle\interval_5.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.718504070755,0.718504070755,0,0.5941604,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m2_compact_bc_300s.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.718504070755,0.718504070755,0.718504070755,0,290.781898,0,0,0,False,0,0,False,none,True,False,True,True
results\gf_compact_bc_round\raw\v12_m2_plain_cplex_300s.json,regen_candidate_V12_M2_average.txt,custom,cplex,not_certified,False,0.718504070755,0.64378396605,0.718504070755,0.103993989382,300.1644599,0,0,0,False,0,0,False,none,False,False,True,True
results\gf_compact_bc_round\raw\v12_m2_plain_cplex_60s.json,regen_candidate_V12_M2_average.txt,custom,cplex,not_certified,False,0.738363591211,0.58754885124,0.738363591211,0.204255385513,60.1757046,0,0,0,False,0,0,False,none,False,False,True,True
results\gf_compact_bc_round\raw\v12_m2_smoke_60s.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.718504070755,0.692512,0.718504070755,0.0361752588648,60.5712398,1,0,2,True,1,1,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m2_smoke_60s_auto_oracle\interval_6.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.718504070755,0.718504070755,0,2.9435325,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m2_smoke_60s_auto_oracle\interval_7.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.69251192254,0.718504070755,0.0361753666721,10.1640337,0,0,0,True,0,1,True,original_fixed_interval,False,False,True,True
