"file","instance","status","certified","full_basis","requires_pricing","pricing_satisfied","all_intervals_accounted","rejection","interval_basis","pricing_status","pricing_closure"
"smoke_v4_vehicle-indexed-relaxation-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_vehicle-indexed-transfer-flow-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"v12_m1_iterative_lite_300s.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","False","not_certified","False","True","False","unresolved_intervals","0:inventory_route_gini_relaxation_fathomed;2:inventory_route_gini_relaxation_fathomed;3:unresolved;4:unresolved","negative_columns_remaining","False"
"v12_m1_iterative_lite_pricing_verifier_checkpoint.json",,,,,,,,,,,
"v12_m1_iterative_lite_state.json","regen_candidate_V12_M1_average.txt",,,,,,,,,"negative_columns_remaining",
"v12_m1_multifocus_300s.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","False","not_certified","False","True","False","unresolved_intervals","0:inventory_route_gini_relaxation_fathomed;1:inventory_route_gini_relaxation_fathomed;3:inventory_route_gini_relaxation_fathomed;6:inventory_route_gini_relaxation_fathomed;7:inventory_route_gini_relaxation_fathomed;8:inventory_route_gini_relaxation_fathomed;10:unresolved;11:unresolved;12:unresolved","pricing_time_limit","False"
"v12_m1_multifocus_pricing_verifier_checkpoint.json",,,,,,,,,,,
"v12_m1_multifocus_state.json","regen_candidate_V12_M1_average.txt",,,,,,,,,"pricing_time_limit",
"v12_m2_iterative_300s.json","regen_candidate_V12_M2_average.txt","gcap_frontier_not_closed","False","not_certified","False","True","False","unresolved_intervals","0:inventory_route_gini_relaxation_fathomed;1:inventory_route_gini_relaxation_fathomed;3:inventory_route_gini_relaxation_fathomed;4:inventory_route_gini_relaxation_fathomed;7:inventory_route_gini_relaxation_fathomed;8:unresolved;9:unresolved","pricing_time_limit","False"
"v12_m2_iterative_pricing_verifier_checkpoint.json",,,,,,,,,,,
"v12_m2_iterative_reserved_300s.json","regen_candidate_V12_M2_average.txt","gcap_frontier_not_closed","False","not_certified","False","True","False","unresolved_intervals","0:inventory_route_gini_relaxation_fathomed;1:inventory_route_gini_relaxation_fathomed;3:inventory_route_gini_relaxation_fathomed;4:inventory_route_gini_relaxation_fathomed;7:inventory_route_gini_relaxation_fathomed;8:unresolved;9:unresolved","negative_columns_remaining","False"
"v12_m2_iterative_reserved_pricing_verifier_checkpoint.json",,,,,,,,,,,
"v12_m2_iterative_reserved_state.json","regen_candidate_V12_M2_average.txt",,,,,,,,,"negative_columns_remaining",
"v12_m2_iterative_state.json","regen_candidate_V12_M2_average.txt",,,,,,,,,"pricing_time_limit",
"v12_m2_resume_60s.json","regen_candidate_V12_M2_average.txt","gcap_frontier_not_closed","False","not_certified","False","True","False","focus_diagnostic_only","0:focus_diagnostic_only","pricing_time_limit","False"
"v12_m2_resume_pricing_verifier_checkpoint.json",,,,,,,,,,,
"v12_m2_resume_state_out.json","regen_candidate_V12_M2_average.txt",,,,,,,,,"pricing_time_limit",
