run_id,node_uid,parent_uid,event,row_attachment_mode,theoretical_full_rows,theoretical_full_bounds,inherited_rows,inherited_bounds,exact_duplicate_rows_omitted,identical_bounds_omitted,dominance_omissions,delta_rows_attached,delta_bounds_attached,row_factory_seconds,families,aggregate_signature,status,failure_reason
stage1__tight_T_seed3101__parent_delta__300s,116,113,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,7439,42,1191,42,0,251,0,0.014611499999999999,direct_gini_floor|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,3b40fe763e105d38,passed,
stage1__tight_T_seed3101__parent_delta__300s,121,116,branch_bounds_only,exact-incremental-delta,1442,42,7690,42,261,41,0,0,1,0.0142822,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,96f80cadf27a6ee2,passed,
stage1__tight_T_seed3101__parent_delta__300s,122,116,branch_bounds_only,exact-incremental-delta,1442,42,7690,42,1191,41,0,0,1,0.0151246,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,6dae26bd676da0e1,passed,
stage1__tight_T_seed3101__parent_delta__300s,119,115,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,8620,42,261,42,0,1181,0,0.014517499999999999,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,ede9dd480c587034,passed,
stage1__tight_T_seed3101__parent_delta__300s,123,119,branch_bounds_only,exact-incremental-delta,1442,42,9801,42,261,41,0,0,1,0.014617399999999999,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,de0e24bdcb280679,passed,
stage1__tight_T_seed3101__parent_delta__300s,124,119,branch_bounds_only,exact-incremental-delta,1442,42,9801,42,1191,41,0,0,1,0.014902500000000001,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,ca1830df9083982d,passed,
stage1__tight_T_seed3101__parent_delta__300s,120,115,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,8620,42,1191,42,0,251,0,0.015083600000000001,direct_gini_floor|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,895a6d14cf7ce59d,passed,
stage1__tight_T_seed3101__parent_delta__300s,125,120,branch_bounds_only,exact-incremental-delta,1442,42,8871,42,261,41,0,0,1,0.0145781,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,6531ac74cf57a7cd,passed,
stage1__tight_T_seed3101__parent_delta__300s,126,120,branch_bounds_only,exact-incremental-delta,1442,42,8871,42,1191,41,0,0,1,0.0144148,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,b0d411eeaa526d66,passed,
stage1__tight_T_seed3101__parent_delta__300s,123,119,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,9801,42,261,42,0,1181,0,0.014624399999999999,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,de0e24bdcb280679,passed,
stage1__tight_T_seed3101__parent_delta__300s,127,123,branch_bounds_only,exact-incremental-delta,1442,42,10982,42,261,41,0,0,1,0.014316300000000001,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,aa2a9c21dac63397,passed,
