source_station_row_index,legacy_internal_index,capacity,utm18n_easting_m,utm18n_northing_m,companion_full_row_index,companion_capacity,companion_match_status,station_id,station_name,latitude,longitude,eligible_for_generation
27,28,23,588691.128,4501897.139,454,23,exact_coordinate_and_capacity,d5cabb43-6c78-4022-964e-a8b02470509e,Sterling St & Nostrand Ave,40.66318,-73.95076,True
28,29,41,587654.669,4501937.799,1449,41,exact_coordinate_and_capacity,a11a0000-19cf-4053-b3a1-3a5886d7446c,Flatbush Ave & Ocean Ave,40.663657,-73.963014,True
29,30,27,590046.659,4501941.195,2198,27,exact_coordinate_and_capacity,8b830188-101e-44bf-a755-5e6c611e3edc,Lefferts Ave & Schenectady Ave,40.66343,-73.93472,True
30,31,23,588949.507,4501994.595,1519,23,exact_coordinate_and_capacity,aba6e644-3ac8-4cdc-9bc6-763e9d82dee9,Empire Blvd & New York Ave,40.66403,-73.94769,True
31,32,19,587974.675,4502015.556,1775,19,exact_coordinate_and_capacity,1900647078394106472,McKeever Pl & Sullivan Pl,40.6643233158,-73.9592179149,True
32,33,19,589371.112,4502086.251,886,19,exact_coordinate_and_capacity,efa2a82f-eb4a-4b82-a602-6c42cb984101,Kingston Ave & Montgomery St,40.66481,-73.94269,True
33,34,20,588901.608,4502111.705,698,20,exact_coordinate_and_capacity,1834145868297717964,New York Ave & Montgomery St,40.66509,-73.94824,True
34,35,20,589840.888,4502178.512,930,20,exact_coordinate_and_capacity,c45aa693-fedd-478f-ade9-bf176c4e32ff,Crown St & Troy Ave,40.66559,-73.93712,True
35,36,27,588165.766,4502183.540,1323,27,exact_coordinate_and_capacity,2f580cf9-14e2-4300-ba22-f6d88d0312a5,Bedford Ave & Montgomery St,40.665816,-73.956934,True
36,37,24,590778.709,4502225.437,2104,24,exact_coordinate_and_capacity,c4377169-c19e-47e1-90a4-c4e14bb41601,Buffalo Ave & E New York Ave,40.66591,-73.92602,True
37,38,21,590577.440,4502230.753,1935,21,exact_coordinate_and_capacity,b16e9f3f-9b07-486f-a1ca-c76030f5ea64,Carroll St & Rochester Ave,40.66598,-73.9284,True
38,39,19,587858.758,4502249.104,56,19,exact_coordinate_and_capacity,81a98b0b-cfd6-48b4-90bd-806ebbc264a0,Montgomery St & Franklin Ave,40.6664393069,-73.9605563879,True
39,40,21,588458.654,4502250.747,1586,21,exact_coordinate_and_capacity,acfeadeb-73bb-4ec3-b809-78675b01af74,Crown St & Rogers Ave,40.66639,-73.95346,True
40,41,20,590304.980,4502250.751,318,20,exact_coordinate_and_capacity,922763d6-d73c-4678-8bcd-f42ee3a236db,Carroll St & Utica Ave,40.66619,-73.93162,True
41,42,19,589619.631,4502299.075,575,19,exact_coordinate_and_capacity,d08be53f-9691-4d6f-81f3-7d052abb7dd6,Albany Ave & Carroll St,40.6667,-73.93972,True
42,43,20,589384.409,4502316.226,1710,20,exact_coordinate_and_capacity,59f0cb81-e31b-4ba9-9159-3437c52f7505,Kingston Ave & Carroll St,40.66688,-73.9425,True
43,44,22,590103.976,4502373.766,1125,22,exact_coordinate_and_capacity,ecc52c52-e2d9-4e73-8f9c-18ad8e9b0606,Schenectady Ave & President St,40.66732,-73.93398,True
44,45,19,588005.245,4502417.569,1569,19,exact_coordinate_and_capacity,b90574d1-e9e7-45be-8adb-e38cb285fea5,Carroll St & Franklin Ave,40.6679411,-73.9588,True
45,46,28,588706.573,4502444.660,46,28,exact_coordinate_and_capacity,8aad788d-c7eb-4fca-a426-c39f47741a6f,President St & Nostrand Ave,40.66811,-73.9505,True
46,47,27,587749.460,4502495.956,1395,27,exact_coordinate_and_capacity,74a1dc19-f894-4246-99f1-476a92452995,Carroll St & Washington Ave,40.6686744,-73.9618148,True
47,48,24,590590.989,4502506.254,1560,24,exact_coordinate_and_capacity,bf5a9ad8-6725-4ade-967d-aba612d423bf,Eastern Pkwy & Rochester Ave,40.66846,-73.9282,True
48,49,21,591043.955,4502518.451,45,21,exact_coordinate_and_capacity,d470e82e-d109-4e2e-b66a-f5e944cbfe97,Eastern Pkwy & Ralph Ave,40.66852,-73.92284,True
49,50,21,591361.764,4502522.352,2200,21,exact_coordinate_and_capacity,1879828885264130640,Pitkin Ave & Grafton St,40.66852,-73.91908,True
50,51,24,590120.633,4502533.841,787,24,exact_coordinate_and_capacity,5e93b806-08e1-4ef9-98ae-d3dda20e0469,Eastern Pkwy & Schenectady Ave,40.66876,-73.93376,True
51,52,24,588289.626,4502558.299,1690,24,exact_coordinate_and_capacity,17aeb1e3-fd18-4cf9-9473-17dfa5b0a312,Union St & Bedford Ave,40.6691783,-73.9554162,True
52,53,24,589863.815,4502589.572,216,24,exact_coordinate_and_capacity,823ef531-40e6-4397-b973-86bf5b032076,Eastern Pkwy & Troy Ave,40.66929,-73.93679,True
53,54,21,589157.917,4502592.170,71,21,exact_coordinate_and_capacity,eb07bdfc-3a6f-40eb-96d2-0b92ac371619,Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514,True
54,55,30,589391.778,4502617.184,768,30,exact_coordinate_and_capacity,fb180cce-96ee-4e66-b3ce-000f3db6e670,Eastern Pkwy & Kingston Ave,40.66959,-73.94237,True
55,56,27,588721.410,4502618.031,2047,27,exact_coordinate_and_capacity,174bf571-e597-463d-84bc-611c4a13d85e,Eastern Pkwy & Nostrand Ave,40.66967,-73.9503,True
56,57,21,591280.402,4502676.784,2188,21,exact_coordinate_and_capacity,9206af28-03bf-43e3-a8b0-354792921466,St Johns Pl & Howard Ave,40.66992,-73.92002,True
57,58,21,590827.053,4502696.764,1408,21,exact_coordinate_and_capacity,36ddce8f-bd83-4a05-b601-b526fb4d8628,Buffalo Ave & St John's Pl,40.67015,-73.92538,True
58,59,30,588050.695,4502705.420,646,30,exact_coordinate_and_capacity,1880643915885220532,Eastern Pkwy & Franklin Ave (SW Corner),40.670529,-73.958222,True
59,60,21,590368.473,4502730.030,818,21,exact_coordinate_and_capacity,bb6bba3f-19a0-4ebb-a454-4ac678d9d62d,St Johns Pl & Utica Ave,40.6705,-73.9308,True
60,61,42,588096.171,4502733.459,96,42,exact_coordinate_and_capacity,1dacb0f6-29f5-4d1b-b910-92ffa5b4ca5d,Eastern Pkwy & Franklin Ave (NE Corner),40.6707767,-73.9576801,True
61,62,25,588686.144,4502739.734,1386,25,exact_coordinate_and_capacity,3bdd81c8-3112-45e6-ae72-11a3f4fa5921,Lincoln Pl & Nostrand Ave,40.67077,-73.9507,True
62,63,22,589402.399,4502788.286,1905,22,exact_coordinate_and_capacity,74f913d2-6eac-49ce-bd6d-53a06fa855a6,St Johns Pl & Kingston Ave,40.67113,-73.94222,True
63,64,19,591093.052,4502788.839,1820,19,exact_coordinate_and_capacity,d5d2aebc-158c-43ec-9105-2a779d0245d8,Sterling Pl & Ralph Ave,40.67095,-73.92222,True
64,65,22,590582.946,4502819.239,1830,22,exact_coordinate_and_capacity,398ebef6-dcc2-4305-b1d2-47efafdaa85c,Sterling Pl & Rochester Ave,40.67128,-73.92825,True
65,66,31,587635.709,4502824.891,2028,31,exact_coordinate_and_capacity,e63c8dac-ab44-48c8-83a0-92c53a00f12e,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,True
66,67,21,590115.118,4502849.077,2128,21,exact_coordinate_and_capacity,0e8bfd72-c494-4d3e-85e2-4f98b801fe3b,Sterling Pl & Schenectady Ave,40.6716,-73.93378,True
67,68,23,591759.112,4502862.538,1035,23,exact_coordinate_and_capacity,44a80c48-c1a9-4ff1-92eb-6bf8be492f5e,Park Pl & Thomas S. Boyland St,40.67154,-73.91433,True
68,69,28,587822.197,4502884.713,1047,28,exact_coordinate_and_capacity,2b54cb2c-31be-4620-a13c-0fa72b58c90a,Lincoln Pl & Classon Ave,40.6721683,-73.9609,True
69,70,20,590823.670,4502904.335,53,20,exact_coordinate_and_capacity,d18512f9-52c8-4175-92b9-b6258dc30748,Park Pl & Buffalo Ave,40.67202,-73.92539,True
70,71,25,588943.536,4502917.115,140,25,exact_coordinate_and_capacity,c2bb1874-bcb7-47c5-aa7d-05423b9087e8,Sterling Pl & New York Ave,40.67234,-73.94763,True
71,72,21,590354.048,4502943.018,830,21,exact_coordinate_and_capacity,68827e5f-ed28-45de-99bf-66093a8c504f,Park Pl & Utica Ave,40.67242,-73.93094,True
72,73,21,589890.764,4502947.390,2203,21,exact_coordinate_and_capacity,c7dbc7b5-240b-494d-8663-dbee4103a20c,Troy Ave & Park Pl,40.67251,-73.93642,True
73,74,25,588393.610,4502949.965,1025,25,exact_coordinate_and_capacity,dd351a72-4241-4275-843d-0fffa8a1f414,Sterling Pl & Bedford Ave,40.672695,-73.954131,True
74,75,39,586977.672,4502963.550,1591,39,exact_coordinate_and_capacity,66de1580-0aca-11e7-82f6-3863bb44ef7c,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,True
75,76,19,591297.863,4502975.651,1280,19,exact_coordinate_and_capacity,085da8d4-9465-46f0-82d1-10c9c9177d64,Prospect Pl & Howard Ave,40.67261,-73.91977,True
76,77,63,587127.377,4502983.745,660,63,exact_coordinate_and_capacity,ed5c92f1-3293-4385-9e2b-9b716a096a19,Plaza St East & Flatbush Ave,40.673134,-73.969106,True
77,78,20,589675.470,4502995.858,1261,20,exact_coordinate_and_capacity,5736cd70-be41-483e-8d82-721874f40e6e,Albany Ave & Park Pl,40.67297,-73.93896,True
78,79,21,589425.995,4503005.063,1031,21,exact_coordinate_and_capacity,1d167807-0aa8-413a-b7a0-01c2ca8a6a60,Kingston Ave & Park Pl,40.67308,-73.94191,True
79,80,21,588159.259,4503008.558,2201,21,exact_coordinate_and_capacity,2fe3e166-2d2f-41c8-b522-fdf8ee3ae16f,Sterling Pl & Franklin Ave,40.67324785,-73.95689517,True
80,81,21,591795.810,4503039.519,211,21,exact_coordinate_and_capacity,0dd71c6d-11ee-4ad4-ba99-36b9ad36112c,St Marks Ave & Thomas S. Boyland St,40.67313,-73.91387,True
81,82,23,592052.662,4503049.358,2053,23,exact_coordinate_and_capacity,1857515306802639416,Eastern Pkwy & St Marks Ave,40.67319,-73.91083,True
82,83,30,587629.055,4503055.104,1634,30,exact_coordinate_and_capacity,add829db-2feb-4e81-af61-056791a6e53b,St Johns Pl & Washington Ave,40.6737236,-73.9631611,True
83,84,19,590125.224,4503061.253,535,19,exact_coordinate_and_capacity,94bcf812-5cff-460c-841f-54876ed1e7a4,Schenectady Ave & Prospect Pl,40.67351,-73.93363,True
84,85,29,587873.961,4503082.144,853,29,exact_coordinate_and_capacity,1906951766876655628,Sterling Pl & Classon Ave,40.6739411,-73.96026,True
85,86,27,587291.912,4503083.187,1668,27,exact_coordinate_and_capacity,c83e1ef5-776e-417e-8ee2-d08ca121f884,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,True
86,87,19,591108.721,4503096.564,895,19,exact_coordinate_and_capacity,03872f6b-a522-4c41-a4f2-5d0c41779e7b,St Marks Ave & Ralph Ave,40.67372,-73.92199,True
87,88,24,592247.140,4503112.833,1543,24,exact_coordinate_and_capacity,026fd07d-d810-45dc-9237-a3d84dce4fa9,Bergen St & Mother Gaston Blvd,40.67374,-73.90852,True
88,89,25,589208.243,4503117.908,1598,25,exact_coordinate_and_capacity,1ddadf67-ae08-4e86-bdda-236629b9eabd,Brooklyn Ave & Prospect Pl,40.67412,-73.94447,True
89,90,20,590624.004,4503126.162,1993,20,exact_coordinate_and_capacity,814dd1a9-100c-4b1b-8110-6319bbd464e9,St Marks Ave & Rochester Ave,40.67404,-73.92772,True
90,91,22,588715.299,4503129.769,424,22,exact_coordinate_and_capacity,475c44e1-31e3-4c60-b071-af2ca3f7618c,Prospect Pl & Nostrand Ave,40.67428,-73.9503,True
91,92,20,591566.952,4503158.820,430,20,exact_coordinate_and_capacity,af72ab76-c6cb-4994-af96-51fa8846ecdc,Bergen St & Saratoga Ave,40.67423,-73.91656,True
92,93,49,586955.153,4503191.191,1246,49,exact_coordinate_and_capacity,66de5e5b-0aca-11e7-82f6-3863bb44ef7c,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,True
93,94,21,590842.852,4503202.110,379,21,exact_coordinate_and_capacity,e9575102-1081-4c30-8d15-ea95913579e2,Bergen St & Buffalo Ave,40.6747,-73.92512,True
94,95,23,588979.537,4503228.408,1281,23,exact_coordinate_and_capacity,78b4aa30-e4e9-4447-9419-c89f8527892e,New York Ave & St Marks Ave,40.67514,-73.94716,True
95,96,21,592016.559,4503234.320,321,21,exact_coordinate_and_capacity,4568f854-1268-45cf-bac8-82286ef40ae6,Dean St & Rockaway Ave,40.67486,-73.91123,True
96,97,22,589925.974,4503250.907,1983,22,exact_coordinate_and_capacity,3893eeef-06a8-47b1-95f2-a85454f7d5c9,Bergen St & Troy Ave,40.67524,-73.93596,True
97,98,19,592449.627,4503279.665,381,19,exact_coordinate_and_capacity,d979131e-0b9f-4aa2-88c5-46d4ff94abc8,Pacific St & Sackman St,40.67522,-73.9061,True
98,99,22,589457.279,4503285.216,1887,22,exact_coordinate_and_capacity,00d94dfc-3695-47e1-aba6-7f319dd2eb08,Bergen St & Kingston Ave,40.6756,-73.9415,True
99,100,33,587613.879,4503289.003,73,33,exact_coordinate_and_capacity,1880643645302280466,Washington Ave & Park Pl,40.675832,-73.963308,True
100,101,29,588217.336,4503296.189,1472,29,exact_coordinate_and_capacity,66f68197-4897-4576-896a-48e0312104c5,Franklin Ave & St Marks Ave,40.6758324,-73.9561677,True
101,102,21,591784.706,4503322.490,582,21,exact_coordinate_and_capacity,101c813e-02a8-4b6b-bd5d-981c1ea62019,Pacific St & Thomas S. Boyland St,40.67568,-73.91396,True
102,103,19,591129.186,4503357.719,1302,19,exact_coordinate_and_capacity,901cab1a-a77e-424e-b602-16883e792f93,Pacific St & Ralph Ave,40.67607,-73.92171,True
103,104,24,588491.274,4503358.910,997,24,exact_coordinate_and_capacity,a2f71eea-05a2-4fe7-99ab-f74535c880ae,Bedford Ave & Bergen St,40.676368,-73.952918,True
104,105,27,587940.646,4503368.469,1307,27,exact_coordinate_and_capacity,956e9f8d-d23a-4a0e-bf28-84180e818af7,Classon Ave & St Marks Ave,40.676513,-73.959431,True
105,106,21,587129.665,4503379.674,1821,21,exact_coordinate_and_capacity,699d3378-6ea8-465f-888b-c49c60089ce8,Park Pl & Vanderbilt Ave,40.6767,-73.969024,True
106,107,19,590641.105,4503387.274,885,19,exact_coordinate_and_capacity,b930dd82-92d0-4d86-b896-7d8b827c2d5f,Pacific St & Rochester Ave,40.67639,-73.92748,True
107,108,22,592667.151,4503392.289,1445,22,exact_coordinate_and_capacity,fdf21800-6106-4739-b7d5-b379b19e5732,Van Sinderen Ave & Atlantic Ave,40.67621,-73.90351,True
108,109,19,589213.268,4503403.296,977,19,exact_coordinate_and_capacity,9b70cbe2-25fc-42f8-b6e6-ac21ef248e4b,Brooklyn Ave & Dean St,40.67669,-73.94437,True
109,110,23,587402.629,4503412.790,304,23,exact_coordinate_and_capacity,69f84045-48f9-4c6c-90d3-0503e5ed39e9,Prospect Pl & Underhill Ave,40.6769694,-73.96579,True
110,111,20,590384.610,4503418.566,178,20,exact_coordinate_and_capacity,d2b23c87-b7c3-48c2-a634-db4b76ecbcf7,Pacific St & Utica Ave,40.6767,-73.93051,True
111,112,20,589914.501,4503430.624,967,20,exact_coordinate_and_capacity,c066c90a-efb1-4f8b-aa15-38ba4edd4ebc,Pacific St & Troy Ave,40.67686,-73.93607,True
112,113,21,590151.137,4503433.493,880,21,exact_coordinate_and_capacity,81640d04-c36a-4fb1-98b0-85be10be516c,Schenectady Ave & Pacific St,40.67686,-73.93327,True
113,114,27,586868.003,4503449.661,693,27,exact_coordinate_and_capacity,1880643497376459348,Park Pl & Carlton Ave,40.677358,-73.97211,True
114,115,25,586771.932,4503477.037,1486,25,exact_coordinate_and_capacity,66de5d57-0aca-11e7-82f6-3863bb44ef7c,7 Ave & Park Pl,40.6776147,-73.97324283,True
115,116,21,591031.343,4503478.644,1612,21,exact_coordinate_and_capacity,b1f3eb8c-07f9-479f-a8ab-f04e094bc7d0,Columbus Pl & Atlantic Ave,40.67717,-73.92285,True
116,117,27,587128.611,4503487.945,310,27,exact_coordinate_and_capacity,62b97c1e-9d06-4c5e-b9c3-d76099e37fe4,Prospect Pl & Vanderbilt Ave,40.67767534,-73.96902144,True
117,118,21,588259.849,4503492.055,1201,21,exact_coordinate_and_capacity,26176e86-8362-4c91-a693-6aa3f9ce0b73,Dean St & Franklin Ave,40.6775920694,-73.9556372166,True
118,119,21,592894.963,4503492.835,30,21,exact_coordinate_and_capacity,038b7369-9c6e-4eb2-8569-f7461443302f,Fulton St & Williams Ave,40.67709,-73.9008,True
119,120,22,588767.521,4503498.985,1625,22,exact_coordinate_and_capacity,c702c094-b08f-449d-a41d-b3724f147491,Pacific St & Nostrand Ave,40.6776,-73.94963,True
120,121,20,592261.561,4503517.138,415,20,exact_coordinate_and_capacity,cf1a96a7-f695-4ba2-bcf2-899552e21e47,Herkimer St & Eastern Pkwy,40.67738,-73.90829,True
121,122,25,587687.042,4503535.556,217,25,exact_coordinate_and_capacity,1d32e684-602b-46b6-8c96-ab47b57a03f3,Grand Ave & Bergen St,40.678045,-73.962408,True
122,123,19,591572.899,4503636.292,411,19,exact_coordinate_and_capacity,4efda436-cd19-4ec3-acc7-1a622f723264,Fulton St & Saratoga Ave,40.67853,-73.91642,True
123,124,24,591805.291,4503640.271,864,24,exact_coordinate_and_capacity,ffaa8f6a-a4ea-4d3a-a57c-f42f77cd4581,Thomas S. Boyland St & Fulton St,40.67854,-73.91367,True
124,125,24,589458.967,4503652.364,1825,24,exact_coordinate_and_capacity,66dcb9f7-0aca-11e7-82f6-3863bb44ef7c,Kingston Ave & Herkimer St,40.67890679,-73.94142771,True
125,126,23,592648.629,4503657.404,50,23,exact_coordinate_and_capacity,ef6216aa-d3c8-46bb-8c6b-b62f8ba51b16,Van Sinderen Ave & Truxton St,40.6786,-73.90369,True
126,127,20,592026.463,4503662.993,811,20,exact_coordinate_and_capacity,4a4c7548-2466-48ef-8d7e-0aa4d6acb69e,Somers St & Rockaway Ave,40.67872,-73.91105,True
127,128,25,586604.709,4503665.598,1190,25,exact_coordinate_and_capacity,66de5ace-0aca-11e7-82f6-3863bb44ef7c,Prospect Pl & 6 Ave,40.6793307,-73.97519523,True
128,129,21,587991.268,4503666.762,72,21,exact_coordinate_and_capacity,292ad4f3-9fb0-44ec-9e61-613c711f73c1,Pacific St & Classon Ave,40.6791944,-73.9587903,True
129,130,27,587208.935,4503684.669,278,27,exact_coordinate_and_capacity,8caf71df-76c3-43fb-be98-d555d2291460,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,True
130,131,19,590772.475,4503704.183,1732,19,exact_coordinate_and_capacity,0579ff13-5d5b-4cbd-bc6e-3e9396591aef,Sumpter St & Fulton St,40.67923,-73.92588,True
131,132,25,591107.149,4503707.171,1463,25,exact_coordinate_and_capacity,e24cb64d-10c2-48db-9440-59e63c0f1c95,Ralph Ave & Fulton St,40.67922,-73.92192,True
132,133,25,588979.589,4503718.016,1401,25,exact_coordinate_and_capacity,653ba606-f397-41e6-adc4-f775bf2d0c9f,Herkimer St & New York Ave,40.67955,-73.94709,True
133,134,19,590433.230,4503721.894,2139,19,exact_coordinate_and_capacity,66dcba5e-0aca-11e7-82f6-3863bb44ef7c,Fulton St & Utica Ave,40.6794268,-73.9298911,True
134,135,20,590028.971,4503749.535,1755,20,exact_coordinate_and_capacity,1789e458-c466-4d77-aba6-365f5c3823ed,Lewis Ave & Fulton St,40.67972,-73.93467,True
135,136,29,592558.717,4503750.653,1538,29,exact_coordinate_and_capacity,7dcc5a03-5997-4250-9207-fa8b6f027c86,Somers St & Broadway,40.67945,-73.90474,True
136,137,24,588426.987,4503774.699,1721,24,exact_coordinate_and_capacity,8f9ce302-2a6d-443c-8fe0-625b20021ea2,Brevoort Pl & Bedford Ave,40.68012,-73.95362,True
137,138,27,589707.023,4503777.892,1715,27,exact_coordinate_and_capacity,66dcbb2c-0aca-11e7-82f6-3863bb44ef7c,Albany Ave & Fulton St,40.6800105,-73.938475,True
138,139,25,590281.115,4503797.005,631,25,exact_coordinate_and_capacity,e982e1cb-7e7b-4769-85b8-565925200654,Chauncey St & Stuyvesant Ave,40.68012,-73.93168,True
139,140,25,588245.089,4503797.229,976,25,exact_coordinate_and_capacity,66dbeded-0aca-11e7-82f6-3863bb44ef7c,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,True
140,141,27,587491.885,4503803.992,1048,27,exact_coordinate_and_capacity,284b08f2-3d26-4f52-9463-25e4a07c16f7,Underhill Ave & Pacific St,40.6804836,-73.9646795,True
141,142,19,588928.733,4503806.900,327,19,exact_coordinate_and_capacity,1859088223746072684,Verona Pl & Fulton St,40.680356084,-73.9476791024,True
142,143,20,591998.257,4503824.737,2157,20,exact_coordinate_and_capacity,9be6c750-85b6-4e81-bace-1a8ffe941d7b,MacDougal St & Rockaway Ave,40.68018,-73.91136,True
143,144,24,590556.181,4503835.881,622,24,exact_coordinate_and_capacity,17aba164-9d41-4336-9767-2218b8994ded,Chauncey St & Malcolm X Blvd,40.68044,-73.92842,True
144,145,33,586562.218,4503844.293,1517,33,exact_coordinate_and_capacity,66de5a47-0aca-11e7-82f6-3863bb44ef7c,Bergen St & Flatbush Ave,40.6809447235,-73.9756733179,True
145,146,29,586956.292,4503852.158,108,29,exact_coordinate_and_capacity,c3189056-8eda-4278-891f-e8e15c2d759a,Carlton Ave & Dean St,40.6809741,-73.9710097,True
146,147,22,589059.081,4503855.526,1551,22,exact_coordinate_and_capacity,7a701539-2c10-4abe-803f-525785ebb7fb,MacDonough St & Marcy Ave,40.68078,-73.94613,True
147,148,24,588727.710,4503874.140,375,24,exact_coordinate_and_capacity,66dc1687-0aca-11e7-82f6-3863bb44ef7c,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,True
148,149,19,590006.940,4503942.425,346,19,exact_coordinate_and_capacity,66dcbac5-0aca-11e7-82f6-3863bb44ef7c,Lewis Ave & Decatur St,40.6814598,-73.934903,True
149,150,19,590788.927,4503948.635,2020,19,exact_coordinate_and_capacity,c9e76fa9-54e2-4161-9798-4787bf04217a,Patchen Ave & Bainbridge St,40.68143,-73.92565,True
150,151,31,587933.534,4503962.018,971,31,exact_coordinate_and_capacity,47bcbcc1-9241-4e65-99f1-07c15543be1b,Fulton St & Irving Pl,40.68186,-73.959432,True
151,152,29,592317.722,4503963.040,688,29,exact_coordinate_and_capacity,ace80a8c-6196-484e-8dd0-061e3c90389b,Broadway & Furman Ave,40.68139,-73.90756,True
152,153,19,591760.134,4503964.555,2152,19,exact_coordinate_and_capacity,5782a158-b596-4936-a451-32ccc131a57d,Thomas S. Boyland St & Marion St,40.6814658848,-73.9141568542,True
153,154,21,591300.837,4503971.564,1694,21,exact_coordinate_and_capacity,079b5a90-1d2b-40b2-b1e9-71c075f16b89,Chauncey St & Howard Ave,40.68158,-73.91959,True
154,155,27,588392.994,4504001.405,1620,27,exact_coordinate_and_capacity,66dc1545-0aca-11e7-82f6-3863bb44ef7c,Hancock St & Bedford Ave,40.68216564,-73.95399026,True
