leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,native_log
L0.0.1.0.0.1,LP,"OPTIMAL",0,14.782,0.154,0.433782,0,1659,0,0.0296434,e7b0a7184889cfcfd6ce7e3a7f7c3fab1e937d29c01f840a8105413c81a1a943,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.1_lp.gurobi.log"
L0.0.1.0.0.0.0,LP,"OPTIMAL",0,14.4807,0.162,0.456396,0,1925,0,0.0296434,d09e284a8e8377a0184a30863441bfe14fe01c7b0a690f488870b3beabd1d5ed,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.0.0_lp.gurobi.log"
L0.0.1.0.0.0.1,LP,"OPTIMAL",0,14.1683,0.152,0.417712,0,1730,0,0.0296434,dc877f94eecf17d0e72a0202cd9b71c93dc22b14a77e2118a96082c90a700429,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.0.1_lp.gurobi.log"
L0.0.1.0.0.0.0,MIP,"INFEASIBLE",0,13.9818,0.0079999,0.0159617,0,0,0,0.0296434,d09e284a8e8377a0184a30863441bfe14fe01c7b0a690f488870b3beabd1d5ed,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.0.0_terminal_mip.gurobi.log"
L0.0.1.0.0.0.1,MIP,"INFEASIBLE",0,13.9398,0.0079999,0.0160131,0,0,0,0.0296434,dc877f94eecf17d0e72a0202cd9b71c93dc22b14a77e2118a96082c90a700429,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.0.1_terminal_mip.gurobi.log"
L0.0.1.0.0.1.0,LP,"OPTIMAL",0,13.7823,0.153,0.434712,0,1773,0,0.0296434,6f5fffef2813244fb278582783495579048303c232ca78167b641823ec0030a0,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.1.0_lp.gurobi.log"
L0.0.1.0.0.1.1,LP,"OPTIMAL",0,13.481,0.144,0.399159,0,1534,0,0.0296434,351e8bb0b1c46c69ac326456174d222345b38df4b5d53525e7b09edbe24107a7,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.1.1_lp.gurobi.log"
L0.0.1.0.0.1.0,MIP,"INFEASIBLE",0,13.303,0.0079999,0.0160188,0,0,0,0.0296434,6f5fffef2813244fb278582783495579048303c232ca78167b641823ec0030a0,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.1.0_terminal_mip.gurobi.log"
L0.0.1.0.0.1.1,MIP,"INFEASIBLE",0,13.2588,0.0079999,0.0159565,0,0,0,0.0296434,351e8bb0b1c46c69ac326456174d222345b38df4b5d53525e7b09edbe24107a7,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.1.1_terminal_mip.gurobi.log"
L0.0.1.0.1.0,LP,"OPTIMAL",0,13.1042,0.14,0.402457,0,1612,0,0.0296434,32c0679626c4dd56968a5ef2f0612cf03c42080ddda8a8c6e8ab2c9d3fb305f0,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1.0_lp.gurobi.log"
