source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,closure_source_class,bound_valid,best_bound,bound_used_for_merge,gap_to_cutoff,runtime_seconds
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,2,0.475,0.7125,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,3,0.7125,0.95,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,4,0.475,0.59375,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,5,0.59375,0.7125,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,6,0.475,0.534375,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,7,0.534375,0.59375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,8,0.475,0.5046875,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,9,0.5046875,0.534375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,1,0.2375,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,2,0.475,0.7125,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,3,0.7125,0.95,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,4,0.475,0.59375,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,5,0.59375,0.7125,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,6,0.475,0.534375,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,7,0.534375,0.59375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,8,0.475,0.5046875,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.intervals.csv,9,0.5046875,0.534375,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,1,0.2375,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,2,0.475,0.7125,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,3,0.7125,0.95,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,4,0.475,0.59375,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,5,0.59375,0.7125,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,6,0.475,0.534375,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,7,0.534375,0.59375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,8,0.475,0.5046875,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_300s.merged.intervals.csv,9,0.5046875,0.534375,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,0,0,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,1,0.0122881381662,0.0245762763324,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,2,0.0245762763324,0.0368644144986,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,3,0.0368644144986,0.0491525526647,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,4,0,0.00614406908309,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,5,0.00614406908309,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,6,0.00614406908309,0.00921610362464,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,7,0.00921610362464,0.0122881381662,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,8,0.00614406908309,0.00768008635387,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,9,0.00768008635387,0.00921610362464,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,10,0.00768008635387,0.00844809498925,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,11,0.00844809498925,0.00921610362464,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,12,0.00768008635387,0.00806409067156,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,13,0.00806409067156,0.00844809498925,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,14,0.00768008635387,0.00787208851271,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,15,0.00787208851271,0.00806409067156,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,16,0.00787208851271,0.00796808959214,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,17,0.00796808959214,0.00806409067156,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,18,0.00806409067156,0.00825609283041,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.intervals.csv,19,0.00825609283041,0.00844809498925,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,0,0,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,1,0.0122881381662,0.0245762763324,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,2,0.0245762763324,0.0368644144986,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,3,0.0368644144986,0.0491525526647,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,4,0,0.00614406908309,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,5,0.00614406908309,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,6,0.00614406908309,0.00921610362464,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,7,0.00921610362464,0.0122881381662,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,8,0.00614406908309,0.00768008635387,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,9,0.00768008635387,0.00921610362464,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,10,0.00768008635387,0.00844809498925,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,11,0.00844809498925,0.00921610362464,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,12,0.00768008635387,0.00806409067156,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,13,0.00806409067156,0.00844809498925,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,14,0.00768008635387,0.00787208851271,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,15,0.00787208851271,0.00806409067156,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,16,0.00787208851271,0.00796808959214,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,17,0.00796808959214,0.00806409067156,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,18,0.00806409067156,0.00825609283041,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_1200s_static300.merged.intervals.csv,19,0.00825609283041,0.00844809498925,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,0,0,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,1,0.0122881381662,0.0245762763324,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,2,0.0245762763324,0.0368644144986,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,3,0.0368644144986,0.0491525526647,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,4,0,0.00614406908309,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,5,0.00614406908309,0.0122881381662,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,6,0.0122881381662,0.0184322072493,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,7,0.0184322072493,0.0245762763324,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,8,0.0122881381662,0.0153601727077,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,9,0.0153601727077,0.0184322072493,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,10,0.0122881381662,0.013824155437,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s.intervals.csv,11,0.013824155437,0.0153601727077,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,0,0,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,1,0.0122881381662,0.0245762763324,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,2,0.0245762763324,0.0368644144986,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,3,0.0368644144986,0.0491525526647,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,4,0,0.00614406908309,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,5,0.00614406908309,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,6,0.00614406908309,0.00921610362464,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,7,0.00921610362464,0.0122881381662,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,8,0.00614406908309,0.00768008635387,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,9,0.00768008635387,0.00921610362464,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,10,0.00768008635387,0.00844809498925,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.intervals.csv,11,0.00844809498925,0.00921610362464,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,0,0,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,1,0.0122881381662,0.0245762763324,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,2,0.0245762763324,0.0368644144986,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,3,0.0368644144986,0.0491525526647,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,4,0,0.00614406908309,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,5,0.00614406908309,0.0122881381662,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,6,0.00614406908309,0.00921610362464,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,7,0.00921610362464,0.0122881381662,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,8,0.00614406908309,0.00768008635387,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,9,0.00768008635387,0.00921610362464,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,10,0.00768008635387,0.00844809498925,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3301_300s_static30.merged.intervals.csv,11,0.00844809498925,0.00921610362464,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,0,0,0.0489090516373,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,1,0.0489090516373,0.0978181032745,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,2,0.0978181032745,0.146727154912,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,3,0.146727154912,0.195636206549,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,4,0,0.0244545258186,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,5,0.0244545258186,0.0489090516373,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,6,0.0244545258186,0.0366817887279,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,7,0.0366817887279,0.0489090516373,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,8,0.0244545258186,0.0305681572733,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,9,0.0305681572733,0.0366817887279,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,10,0.0305681572733,0.0336249730006,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_moderate_seed3302_300s.intervals.csv,11,0.0336249730006,0.0366817887279,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3101_300s.intervals.csv,0,0,0.0268131835335,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3101_300s.intervals.csv,1,0.0268131835335,0.053626367067,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3101_300s.intervals.csv,2,0.053626367067,0.0804395506005,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3101_300s.intervals.csv,3,0.0804395506005,0.107252734134,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,0,0,0.150176109171,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,1,0.150176109171,0.300352218343,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,2,0.300352218343,0.450528327514,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,3,0.450528327514,0.600704436685,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,4,0,0.0750880545856,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,5,0.0750880545856,0.150176109171,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,6,0.0750880545856,0.112632081878,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,7,0.112632081878,0.150176109171,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,8,0.112632081878,0.131404095525,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,9,0.131404095525,0.150176109171,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,10,0.131404095525,0.140790102348,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_tight_T_seed3102_300s.intervals.csv,11,0.140790102348,0.150176109171,unresolved,unresolved,unresolved,true,,,,
